mvabercron,Dr. Michael von Abercron CDU
DorisAchelwilm,Doris Achelwilm LINKE
aggelidis_fdp,Grigorios Aggelidis FDP
goekayakbulut,G�kay Akbulut LINKE
RenataAlt_MdB,Renata Alt FDP
peteraltmaier,Peter Altmaier CDU
Philipp_Amthor,Philipp Amthor CDU
KerstinAndreae,Kerstin Andreae GR�NE
NielsAnnen,Niels Annen SPD
PeterAumer,Peter Aumer CSU
badulrichmartha,Lisa Badum GR�NE
ABaerbock,Annalena Baerbock GR�NE
MdB_Ulrike_Bahr,Ulrike Bahr SPD
DoroBaer,Dorothee B�r CSU
Thomas_Bareiss,Thomas Barei� CDU
katarinabarley,Katarina Barley SPD
SBarrientosK,Simone Barrientos LINKE
matthiasbartke,Matthias Bartke SPD
soerenbartol,S�ren Bartol SPD
DietmarBartsch,Dietmar Bartsch LINKE
baerbelbas,B�rbel Bas SPD
BerndBaumannAfD,Bernd Baumann AfD
MargareteBause,Margarete Bause GR�NE
DerDanyal,Danyal Bayaz GR�NE
LieblingXhain,Canan Bayram GR�NE
jensbeeck,Jens Beeck FDP
olafinderbeek,Olaf in der Beek FDP
nicolabeerfdp,Nicola Beer FDP
MaikBeermann,Maik Beermann CDU
Manfredbehrens,Manfred Behrens CDU
SybilleBenning,Sybille Benning CDU
MarcBernhardAfD,Marc Bernhard AfD
c_bernstiel,Christoph Bernstiel CDU
lgbeutin,Lorenz G�sta Beutin LINKE
SteffenBilger,Steffen Bilger CDU
MWBirkwald,Matthias W. Birkwald LINKE
AndreasBleckMdB,Andreas Bleck AfD
PeterBoehringer,Peter Boehringer AfD
JBrandenburgFDP,Jens Brandenburg FDP
BraFDP,Mario Brandenburg FDP
StBrandner,Stephan Brandner AfD
michel_brandt_,Michel Brandt LINKE
fbrantner,Franziska Brantner GR�NE
HBraun,Helge Braun CDU
JuergenBraunAfD,J�rgen Braun AfD
Brehm_inNBGNord,Sebastian Brehm CSU
HeikeBrehmerMdB,Heike Brehmer CDU
LeniBreymaier,Leni Breymaier SPD
rbrinkhaus,Ralph Brinkhaus CDU
agnieszka_mdb,Agnieszka Brugger GR�NE
BrunnerGanzOhr,Karl-Heinz Brunner SPD
ch_buchholz,Christine Buchholz LINKE
Marcus_Buehl,Marcus B�hl AfD
Birke_Bull,Birke Bull-Bischoff LINKE
marcobuelow,Marco B�low SPD
BurkertMartin,Martin Burkert SPD
busen_mdb,Karlheinz Busen FDP
Buettner_MdB,Matthias B�ttner AfD
PetrBystronAfD,Petr Bystron AfD
larscastellucci,Lars Castelluci SPD
joerg_cezanne,J�rg Cezanne LINKE
annachristmann,Anna Christmann GR�NE
Tino_Chrupalla,Tino Chrupalla AfD
JoanaCotar,Joana Cotar AfD
CarloCronenberg,Carlo Cronenberg FDP
GottfriedCurio,Dr. Gottfried Curio AfD
SevimDagdelen,Sevim Dagdelen LINKE
BrittaDassler,Britta Dassler FDP
Diether_Dehm,Diether Dehm LINKE
ekindeligoez,Ekin Delig�z GR�NE
KarambaDiaby,Dr. Karamba Diaby SPD
EstherDilcher,Esther Dilcher SPD
dittmarsabine,Sabine Dittmar SPD
DjirSarai,Bijan Djir-Sarai FDP
AlexDobrindt,Alexander Dobrindt CSU
anked,Anke Domscheit-Berg LINKE
katjadoerner,Katja D�rner GR�NE
Siegbert_Droese,Siegbert Droese AfD
katdro,Katharina Dr�ge GR�NE
christianduerr,Christian D�rr FDP
Hansjoerg_Durz,Hansj�rg Durz CSU
ebner_sha,Harald Ebner GR�NE
Thomas_Ehrhorn,Thomas Ehrhorn AfD
TErndl,Thomas Erndl CSU
ernst_klaus,Klaus Ernst LINKE
WiebkeEsdar,Wiebke Esdar SPD
EskenSaskia,Saskia Esken SPD
EspendillerM,Michael Espendiller AfD
MarcusFaber,Marcus Faber FDP
yasmin_fahimi,Yasmin Fahimi SPD
Johannes_SPD,Johannes Fechner SPD
UweFe,Uwe Feiler CDU
fritzfelgentreu,Fritz Felgentreu SPD
PeterFelser,Peter Felser AfD
Axel_Fischer,Axel Fischer CDU
DFoest,Daniel F�st FDP
FrankeEdgar,Dr. Edgar Franke SPD
UliFreese,Uli Freese SPD
MdB_Freihold,Brigitte Freihold LINKE
Otto_Fricke,Otto Fricke FDP
Friedhoff_AfD,Dietmar Friedhoff AfD
HPFriedrichCSU,Hans-Peter Friedrich CSU
DrFriesenMdB,Dr. Anton Friesen AfD
MichaelFrieser,Michael Frieser CSU
SylviaGabelmann,Sylvia Gabelmann LINKE
MatthiasGastel,Matthias Gastel GR�NE
AG_AfD,Alexander Gauland AfD
thomasgebhart,Thomas Gebhart CDU
axelgehrke,Axel Gehrke AfD
StefanGelbhaar,Stefan Gelbhaar GR�NE
MGerdesMdB,Michael Gerdes SPD
A_Gloeckner,Angelika Gl�ckner SPD
Gminder_AfD,Franziska Gminder AfD
NicoleGohlke,Nicole Gohlke LINKE
GoeringEckardt,Katrin G�ring-Eckardt GR�NE
vonGottberg_AfD,Wilhelm von Gottberg AfD
KayGottschalk1,Kay Gottschalk AfD
Timon_Gremmels,Timon Gremmels SPD
KerstinGriese,Kerstin Griese SPD
groehe,Hermann Gr�he CDU
michaelgrossmdb,Michael Gro� SPD
MGrosseBroemer,Michael Grosse-Br�mer CDU
UliGroetsch,Uli Gr�tsch SPD
GruebelMdB,Markus Gr�bel CDU
E_Grundl,Erhard Grundl GR�NE
FGuentzler,Fritz G�ntzler CDU
olavgutting,Olav Gutting CDU
GregorGysi,Gregor Gysi LINKE
hacker_fdp,Thomas Hacker FDP
RitaHaglKehl,Rita Hagl-Kehl SPD
hahnflo,Florian Hahn CSU
HajdukBundestag,Anja Hajduk GR�NE
MetinHakverdi,Metin Hakverdi SPD
HeikeHaensel,Heike H�nsel LINKE
stephanharbarth,Stephan Harbarth CDU
M_HarderKuehnel,Mariana Harder-K�hnel AfD
juergenhardt,J�rgen Hardt CDU
sebast_hartmann,Sebastian Hartmann SPD
VerHartmannAfD,Verena Hartmann AfD
R_Hartwig_AfD,Dr. Roland Hartwig AfD
BriHasselmann,Britta Ha�elmann GR�NE
MatthiasHauer,Matthias Hauer CDU
Jochen_Haug,Jochen Haug AfD
MarkHauptmann,Mark Hauptmann CDU
dirk_heidenblut,Dirk Heidenblut SPD
MatthiasHeider,Matthias Heider CDU
hubertus_heil,Hubertus Heil SPD
MechthildHeil,Mechthild Heil CDU
ThomasHeilmann,Thomas Heilmann CDU
FrankHeinrich,Frank Heinrich CDU
GaHeinrich,Gabriela Heinrich SPD
MarcusHeld_SPD,Marcus Held SPD
KatrinHelling,Katrin Helling-Plahr FDP
HellmichMdB,Wolfgang Hellmich SPD
UdoHemmelgarn,Udo Hemmelgarn AfD
MarcHenrichmann,Marc Henrichmann CDU
HerbrandMarkus,Markus Herbrand FDP
torstenherbst,Torsten Herbst FDP
WaldemarHerdt,Waldemar Herdt AfD
Herrmann_AfD,Lars Herrmann AfD
GustavHerzogMdB,Gustav Herzog SPD
Martin_Hess_AfD,Martin Hess AfD
fdp_hessel,Katja Hessel FDP
GabiHillerOhm,Gabriele Hiller-Ohm SPD
HilseMdB,Karsten Hilse AfD
ChristianHirte,Christian Hirte CDU
HHirte,Heribert Hirte CDU
ThomasHitschler,Thomas Hitschler SPD
GeroHocker,Gero Clemens Hocker FDP
ManuelHoeferlin,Manuel H�ferlin FDP
bhoffmann_mdb,Bettina Hoffmann GR�NE
ToniHofreiter,Dr. Anton Hofreiter GR�NE
EvaHoegl,Dr. Eva H�gl SPD
MatthiasHoehn,Matthias H�hn LINKE
DrHollnagel,Dr. Bruno Hollnagel AfD
Leif_Erik_Holm,Leif-Erik Holm AfD
OWvonHoltz,Ottmar von Holtz GR�NE
HoubenReinhard,Reinhard Houben FDP
Huber_AfD,Johannes Huber AfD
AndrejHunko,Andrej Hunko LINKE
uihnen,Ulla Ihnen FDP
Jacobi_AfD,Fabian Jacobi AfD
DJanecek,Dieter Janecek GR�NE
tj_tweets,Thomas Jarzombek CDU
UllaJelpke,Ulla Jelpke LINKE
GydeJ,Gyde Jensen FDP
Marc_Jongen,Dr. Marc Jongen AfD
c_jung77,Christian Jung SPD
Ingmar_Jung,Ingmar Jung CDU
fjunge,Frank Junge SPD
josip_juratovic,Josip Juratovic SPD
thomas_jurk,Thomas Jurk SPD
KaczmarekOliver,Oliver Kaczmarek SPD
kahrs,Johannes Kahrs SPD
lier_e,Elisabeth Kaiser SPD
uwe_kamann,Uwe Kamann AfD
KirstenKappert,Kirsten Kappert-Gonther GR�NE
RKapschack,Ralf Kapschack SPD
AnjaKarliczek,Anja Karliczek CDU
KartesMdB,Torbj�rn Kartes CDU
GabyKatzmarek,Gabriele Katzmarek SPD
StefanKaufmann,Stefan Kaufmann CDU
UweKekeritz,Uww Kekeritz GR�NE
UlrichKelber,Ulrich Kelber SPD
RonjaKemmer,Ronja Kemmer CDU
KemmerichThL,Thomas L. Kemmerich FDP
AchimKesslerMdB,Dr. Achim Kessler LINKE
KestnerJens,Jens Kestner AfD
KatjaKeul,Katja Keul GR�NE
StefanKeuterAfD,Stefan Keuter AfD
RKiesewetter,Roderich Kiesewetter CDU
mikiessling,Michael Kie�ling CDU
katjakipping,Katja Kipping LINKE
sven_kindler,Sven Kindler GR�NE
CanselK,Cansel Kiziltepe SPD
arnoklare,Arno Klare SPD
MdBKlein,Karsten Klein FDP
VolkmarKlein,Volkmar Klein CDU
MariaKlSchmeink,Maria Klein-Schmeink GR�NE
NKleinwaechter,Norbert Kleinw�chter AfD
larsklingbeil,Lars Klingbeil SPD
MarcelKlingeVS,Marcel Hans Klinge FDP
DanielaKluckert,Daniela Kluckert FDP
axel_knoerig,Axel Knoerig CDU
JensKoeppen,Jens Koeppen CDU
BaerbelKofler,B�rbel Kofler SPD
koehler_fdp,Lukas K�hler FDP
danielakolbe,Daniela Kolbe SPD
EnricoKomning,Enrico Komning AfD
carina_konrad,Carina Konrad FDP
KoobMar,Markus Koob CDU
KorkmazGT,Elvan Korkmaz SPD
SteffenKotre,Steffen Kotre AfD
BabettesChefin,Sylvia Kotting-Uhl GR�NE
Dr_Rainer_Kraft,Rainer Kraft AfD
AnetteKramme,Anette Kramme SPD
kraussalex,Alexander Krau� CDU
JuttaKrellmann,Jutta Krellmann LINKE
guenterkrings,G�nter Krings CDU
Oliver_Krischer,Oliver Krischer GR�NE
RuedigerKruse,R�diger Kruse CDU
MichaelKuffer,Michael Kuffer CSU
KonstantinKuhle,Konstantin Kuhle FDP
ChrisKuehn_mdb,Christian K�hn GR�NE
Dr_Roy_Kuehne,Roy K�hne CDU
stephankuehn,Stephan K�hn GR�NE
RenateKuenast,Renate K�nast GR�NE
markuskurthmdb,Markus Kurth GR�NE
LambrechtMdB,Christine Lambrecht SPD
Lambsdorff,Alexander Graf Lambsdorff FDP
karllamers,Dr. Karl A. Lamers CDU
AndreasLaemmel,Andreas L�mmel CDU
LangeMdB,Christian Lange SPD
UlrichLange,Ulrich Lange CSU
DrLaunert,Dr. Silke Launert CSU
Karl_Lauterbach,Karl Lauterbach SPD
CarenLay,Caren Lay LINKE
monikalazar,Monika Lazar GR�NE
ULechte,Ulrich Lechte FDP
svenlehmann,Sven Lehmann GR�NE
SabineLeidig,Sabine Leidig LINKE
KLeikert,Katja Leikert CDU
SteffiLemke,Steffi Lemke GR�NE
DerLenzMdB,Andreas Lenz CSU
MichaelLeutert,Michael Leutert LINKE
vdleyen,Ursula von der Leyen CDU
berlinliebich,Stefan Liebich LINKE
helgelindh,Helge Lind SPD
AndreaLindholz,Andrea Lindholz CSU
c_lindner,Christian Lindner FDP
tobiaslindner,Dr. Tobias Lindner FDP
michael_g_link,Michael Georg Link FDP
LischkaB,Burkhard Lischka SPD
NikolasLoebel,Nikolas L�bel CDU
LoetzschMdB,Gesine L�tzsch LINKE
JM_Luczak,Dr. Jan-Marco Luczak CDU
OlliLuksic,Oliver Luksic FDP
thlutze,Thomas Lutze LINKE
HeikoMaas,Heiko Maas SPD
Frank_Magnitz,Frank Magnitz AfD
YvonneMagwas,Yvonne Magwas CDU
TillMansmann,Till Mansmann FDP
FabioDeMasi,FabioDeMasi LINKE
KatjaMast,Katja Mast SPD
matschie,Christoph Matschie SPD
AMattfeldt,Andreas Mattfeldt CDU
HildeMattheis,HildeMattheis SPD
pascalmeiser,Pascal Meiser LINKE
meister_schafft,Dr. Michael Meister CDU
AngelaMerkelCDU,Angela Merkel CDU
JanMetzler,Jan Metzler CDU
ChristophFDP,Christop Meyer FDP
CorinnaMiazga,Corinna Miazga AfD
hans_michelbach,Hans Michelbach CSU
IreneMihalic,Irene Mihalic GR�NE
KlausMindrup,Klaus Mindrup SPD
susanne_mittag,Susanne Mittag SPD
Amira_M_Ali,Amira Mohamed Ali LINKE
Conni_Moehring,Cornelia M�hring LINKE
Falko_Mohrs,Falko Mohrs SPD
KarstenMoering,Karsten M�ring CDU
marlenemortler,Marlene Mortler CSU
NiemaMovassat,Niema Movassat LINKE
mrosek1958,Andreas Mrosek AfD
alexmuellerfdp,Alexander M�ller FDP
