User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
BÜNDNIS 90/DIE GRÜNEN,@Die_Gruenen,2021-05-13T09:32:22.000Z,"""Wenn wie jetzt israelische Flaggen vor Synagogen verbrannt oder Steine auf jüdische Gotteshäuser geworfen werden, müssen wir unsere Stimme erheben. #Antisemitismus hat in Deutschland keinen Platz und wir müssen ihn entschieden bekämpfen."" 
@ABaerbockBaerbock verurteilt Angriffe der Hamas auf Israel: „Wir stehen an der Seite der Israelis“
Grünen-Kanzlerkandidatin Annalena Baerbock verurteilt die Raketenangriffe auf Israel durch die islamistische Hamas „aufs Schärfste“. „Wir stehen in diesen schwierigen Stunden an der Seite der...
rnd.de",567,365,2.7K
Annalena Baerbock,@ABaerbock,2021-05-12T10:34:33.000Z,"Herzlichen Glückwunsch, lieber Winfried Kretschmann. Ich wünsche dir gutes Gelingen und viel Erfolg für deine dritte Amtszeit. Glückwunsch auch an die grünen Ministerinnen und Minister - ein starkes Team für Baden-Württemberg. Ich freue mich auf die Zusammenarbeit mit euch.",121,63,2.2K
Annalena Baerbock,@ABaerbock,2021-05-11T20:32:15.000Z,"Die Bilder aus Israel erfüllen mich mit großer Sorge. Ich verurteile die fortlaufenden Raketenangriffe der Hamas aufs Schärfste. Diese müssen sofort beendet werden. Die Gewaltspirale zeigt, wie dringend die Wiederaufnahme von Friedensverhandlungen ist.Omid Nouripour
@nouripour
 · May 11
Meine Erklärung zur Eskalation im Nahen Osten:

https://gruene-bundestag.de/presse/pressemitteilungen/eskalation-in-nahost-hamas-muss-raketen-auf-israel-stoppen-friedensgespraeche-dringend-noetig…",1K,517,3.8K
Annalena Baerbock,@ABaerbock,2021-05-09T09:41:48.000Z,"Die Europäische Union ist nicht nur eine Antwort auf eine lange, schmerzvolle Geschichte, sondern vor allem ein Zukunftsversprechen. Gemeinsam können wir so viel erreichen. Für Klimaschutz, für ein solidarisches Miteinander, für die Menschenrechte. #Europatag B!",536,353,4.2K
Annalena Baerbock,@ABaerbock,2021-05-09T07:29:23.000Z,"Gerade Mütter leisten in der Corona-Pandemie unfassbares, gehen bis an ihre Belastungsgrenzen. Sie verdienen nicht nur Blumen, sondern auch politisch unsere volle Unterstützung. Es ist an der Zeit, die strukturelle Schlechterstellung von Frauen zu beenden. #Muttertag !B",355,411,7K
Annalena Baerbock,@ABaerbock,2021-05-08T20:44:35.000Z,"Bilder aus #Kabul sind herzzerreißend. Meine Gedanken sind bei den afghanischen Mädchen, die ihrem Recht auf Bildung nachgehen wollten. 

The news from Kabul are heartbreaking. My heart goes out to all girls fighting for their right of education.

تسليت به مردم شريف #افقانستان.TOLOnews
@TOLOnews
 · May 8
Blasts Near Girls' School in Kabul; 15 People Killed
https://tolonews.com/afghanistan-172024…",210,212,2.3K
Benjamin Haddad,@benjaminhaddad,2021-05-01T15:13:25.000Z,"Join 
@AtlanticCouncil
 @EUintheUS
 May 5/7 for the US-EU Future Forum. Thrilled to announce CNN’s 
@FareedZakaria
 will interview the co-leader of the German Greens 
@ABaerbock
 to discuss transatlantic relations and the green transition. 
https://atlanticcouncil.org/programs/europe-center/eu-us-future-forum/…",51,125,678
Annalena Baerbock,@ABaerbock,2021-05-01T11:23:27.000Z,"Wir brauchen faire Löhne in ganz Deutschland und gleiche Löhne in Ost und West. Der Mindestlohn gehört auf 12 Euro erhöht. Wir wollen investieren in gute Löhne und Arbeitsbedingungen, in gute Kitas, Schulen und in Krankenhäuser.",343,181,3.2K
Annalena Baerbock,@ABaerbock,2021-05-01T11:23:26.000Z,"Solidarität heißt nicht nur angemessener Lohn, sondern auch gute Arbeitsbedingungen - in allen Branchen. #TagDerArbeit #SolidaritaetIstZukunft",519,400,5.2K
Annalena Baerbock,@ABaerbock,2021-04-30T13:15:12.000Z,"Ich bin zutiefst bestürzt über die Geschehnisse in #Israel. Allen, die bei dem Unglück geliebte Menschen verloren haben oder selbst zu Schaden gekommen sind, gilt mein tiefes Mitgefühl.Katrin Göring-Eckardt
@GoeringEckardt
 · Apr 30
Erschütternde Nachrichten aus #Israel über Tragödie am #LagBaomer Fest. Meine Gedanken sind bei den Opfern & mein tiefes Mitgefühl gilt ihren Familien und allen Menschen, die sie nun schmerzlich vermissen werden. Den vielen Verletzten wünsche ich schnelle Genesung! twitter.com/derspiegel/sta…",55,53,1.2K
Daniela Vates,@DanielaVates,2021-04-30T06:57:41.000Z,"„Auf den Tisch hauen reicht nicht“, sagt ⁦
@ABaerbock
⁩ im ⁦
@RND_de
⁩-Interview mit ⁦
@EvaQuadbeck
⁩ und mir. Es geht um Pflege, Industrieumbau und - klar- um Corona. Service: Was zeigt, dass die #Grünen -Kanzlerkandidatin  ungeduldig wird. ⁦Grünen-Kanzlerkandidatin Baerbock: „Auf den Tisch zu hauen reicht nicht“
Grünen-Kanzlerkandidatin Annalena Baerbock will die Stahlindustrie auf Klimaneutralität umstellen und Tariflöhne in allen Pflegeheimen einführen. Im RND-Interview macht sie ihre Skepsis gegenüber...
rnd.de",104,80,518
Auschwitz Memorial,@AuschwitzMuseum,2021-04-29T09:00:01.000Z,"29 April 1942 | A French Jewish boy, Lucien Benayoun, was born in Lyon.

He was deported to #Auschwitz on 11 August 1944 and murdered in a gas chamber.",245,1.6K,7K
Annalena Baerbock,@ABaerbock,2021-04-29T17:46:01.000Z,"Ob Klimaschutz oder Corona-Pandemie: die Herausforderungen unserer Zeit lassen sich nur europäisch lösen. Mit EU-Kommissar 
@ThierryBreton
 habe ich über eine schnellere Impfstoffproduktion in der EU gesprochen und darüber wie Nachhaltigkeit zum europäischen Erfolgsmodell wird.",147,124,1.9K
Annalena Baerbock,@ABaerbock,2021-04-29T09:19:36.000Z,"Historische Entscheidung des #BVerfG. #Klimaschutz schützt unsere Freiheit und die Freiheit unserer Kinder und Enkel. Deshalb konkreter Auftrag für das Hier und Heute: Klimaschutzgesetz jetzt überarbeiten. Die nächsten Jahre sind entscheidend für konsequentes Handeln.SPIEGEL EIL
@SPIEGEL_EIL
 · Apr 29
»Fridays for Future« hatte gegen das #Klimaschutzgesetz des Bundes geklagt – es geht ihnen nicht weit genug. Nun hat Karlsruhe der Verfassungsbeschwerde teilweise recht gegeben.
https://spiegel.de/politik/deutschland/bundesverfassungsgericht-deutsches-klimaschutzgesetz-in-teilen-verfassungswidrig-a-141ff3a9-da38-4d46-b9ce-eda97b9dc4bb…",275,612,5.2K
