User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
A.Widmann-Mauz,@AWidmannMauz,2021-05-13T16:55:59.000Z,"Hass, Hetze & Gewalt gegen Jüdinnen & Juden, Synagogen, jüdische Symbole & Einrichtungen sind inakzeptabel und durch nichts zu rechtfertigen. Klar und entschieden gg. Antisemitismus, keine Toleranz der Intoleranz! #Bonn #Muenster #Gelsenkirchen #IsraelUnderAttac",16,7,58
Paul Ziemiak,@PaulZiemiak,2021-05-13T11:44:40.000Z,"Heute Nacht haben zwei bisher  unbekannte Täter die Flagge Israels  vor unserem Konrad-Adenauer-Haus 
@CDU
 gestohlen. Wir haben diese heute Morgen umgehend ersetzt. 
Ihr könnt uns zwar die Flagge nehmen, aber nicht unsere Haltung! 

#standwithisrael #Israel #IsraelUnderAttack",487,421,3.1K
A.Widmann-Mauz,@AWidmannMauz,2021-05-12T08:47:28.000Z,"Wir brauchen ein gesellschaftliches Klima, in dem alle Menschen angstfrei leben und ihre Talente einbringen können. Das schafft #Zusammenhalt, stärkt unsere Demokratie und auch den Wirtschaftsstandort Deutschland.",,,3
A.Widmann-Mauz,@AWidmannMauz,2021-05-12T08:46:34.000Z,"Das Beratungszentrum für Betroffene, eine bundesweite Hilfehotline & ein Rassismus-Barometer sind wesentliche Bausteine im Kampf gegen #Rechtsextremismus und #Rassismus, die wir jetzt kraftvoll voranbringen werden.",2,,4
A.Widmann-Mauz,@AWidmannMauz,2021-05-12T08:45:39.000Z,"Mit 89 Maßnahmen geht die Bundesregierung gegen #Rechtsextremismus, #Antisemitismus & #Rassismus vor. Das haben wir gerade im Kabinett beschlossen. Wir stärken Sicherheitsbehörden & Strafrecht, verbessern Prävention, helfen Opfern schnell + unbürokratisch:Bundeskabinett verabschiedet Abschlussbericht
Mit 89 Maßnahmen geht die Bundesregierung entschieden gegen Rechtsextremismus und Rassismus vor. Das Maßnahmenpaket stärkt Sicherheitsbehörden und Strafrecht, verbessert die Prävention und hilft...
integrationsbeauftragte.de",14,10,22
Frauen Union,@frauenunion,2021-05-10T15:41:40.000Z,"Gemeinsam gegen Hass und Hetze gegen Frauen im Netz. 
@AWidmannMauz
 und Eva Kühne-Hörmann fordern frauenfeindliche Straftaten in der polizeilichen Kriminalstatistik extra zu erfassen. Position der 
@frauenunion
   
https://zeit.de/news/2021-05/10/mehr-initiative-bei-hass-und-hetze-gegen-frauen-gefordert?wt_zmc=sm.ext.zonaudev.twitter.ref.zeitde.share.link.x… via 
@zeitonline",3,4,12
A.Widmann-Mauz,@AWidmannMauz,2021-05-10T12:11:54.000Z,"Argumentativ sattelfest, ausgleichend und auf den Punkt - überzeugender Auftritt von 
@ArminLaschet
 gestern bei #AnneWill #teamCDU #wegenmorgenTV-Kritik: Anne Will Laschet kann sie alle schaffen
Will Armin Laschet Kanzler werden, muss er in die Offensive. Sein Stehvermögen zeigt er bei Anne Will. Nur die Klimaaktivistin Luisa Neubauer liefert sich mit ihm einen starken Schlagabtausch.
m.faz.net",2,4,25
Frauen Union,@frauenunion,2021-05-09T07:00:00.000Z,"Alles Gute zum #Muttertag! Wir möchten den Müttern für all das danken, was sie tagtäglich für ihre Familien aber auch für unsere Gesellschaft leisten.",1,3,17
A.Widmann-Mauz,@AWidmannMauz,2021-05-05T15:33:44.000Z,"Ärztinnen, Pflegekräfte, Saisonarbeiter, Mitarbeiter in Gastronomie&Logistik – Zuwanderer aus der EU sind nicht nur in der #Corona-Pandemie unverzichtbar. Sie durch gute Informationen zu stärken &ihre Rechte zu schützen, stärkt auch den #Wirtschaftsstandort Deutschland. 
@cducsubtIntegrationsbeauftragte
@IntegrationBund
 · May 5
5 Jahre Gleichbehandlungsstelle EU-Arbeitnehmer! Bei der Jahreskonferenz mit @AWidmannMauz ging es heute darum, wie sich die #EU-Zuwanderung nach Deutschland in Zeiten der Pandemie verändert hat und wie wir sie in Zukunft fair und verlässlich gestalten können.",,1,8
A.Widmann-Mauz,@AWidmannMauz,2021-05-05T11:01:27.000Z,"Der Grundstein ist gelegt: Wir wollen Baden-Württemberg verlässlich und zukunftsorientiert regieren. Auf 162 Seiten hat die 
@CDU_BW
 gemeinsam mit den Grünen dargelegt, welche konkreten Vorhaben wir für die Menschen in unserem Land umsetzen wollen. #wegenmorgen",1,,4
