User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Angelika Glöckner,@A_Gloeckner,2021-05-09T14:54:59.000Z,Starkes Ergebnis: 96 Prozent für #OlafScholz  als unseren Kanzlerkandidaten #besterkanzlerolafscholz,1,,6
Angelika Glöckner,@A_Gloeckner,2021-05-09T08:14:33.000Z,"Ich freue mich auf den #Bundesparteitag heute. #spd bester Kandidat, bestes Zukunftsprogramm #olafkannkanzler",1,,5
Angelika Glöckner,@A_Gloeckner,2021-05-07T19:45:11.000Z,"#maskenskandale #korruptionKatja Mast
@KatjaMast
 · May 7
30 Millionen Euro Provision. twitter.com/m_grill/status…",,,2
Angelika Glöckner,@A_Gloeckner,2021-05-07T19:10:03.000Z,"Gute Rede, von meinem Kollegen Klaus MindrupKlaus Mindrup
@KlausMindrup
 · May 7
Jetzt: Debatte zum #Klimaschutz im #Bundestag. Auch ich spreche für die @spdbt. Mal hören, wie Annalena #Baerbock erklärt, warum 65 Prozent weniger Treibhausgase bis 2030 - die Robert #Habeck im Dezember forderte- nun nicht mehr ausreichend sein sollen.",,1,2
Angelika Glöckner,@A_Gloeckner,2021-05-07T17:26:07.000Z,"Zwei Milliarden Euro für Kinder und Jugendliche. Endlich haben CDU/CSU ihren Widerstand aufgegeben.
#aufholpaket #spdrlpt21",,,3
Angelika Glöckner,@A_Gloeckner,2021-04-17T17:35:27.000Z,"#langeher #NewGeneration  #spd #olafkannkanzlerInes Schwerdtner
@inesschwerdtner
 · Apr 17
Der Moment, als die SPD einen Teil der Arbeiterschaft verlor  twitter.com/phoenix_de/sta…",1,1,3
Angelika Glöckner,@A_Gloeckner,2021-04-16T18:01:08.000Z,"Corina-Krise und CDU/CSU streiten sich noch immer um die K-Frage. Kein Problem, können sie sich locker leisten. Sie haben ja uns, die #SPD. Lasst euch Zeit.",3,1,10
Angelika Glöckner,@A_Gloeckner,2021-04-16T08:17:20.000Z,"Nur Handeln hilft die Pandemie zu bekämpfen.
#karllauterbach #pandemiebekaempfen #spdSPD-Fraktion im Bundestag
@spdbt
 · Apr 16
.@Karl_Lauterbach erklärt @c_lindner im #Bundestag, warum #Ausgangsbeschränkungen nicht hinreichend, aber notwendig sind. #Infektionsschutzgesetz",3,2,8
Angelika Glöckner,@A_Gloeckner,2021-04-02T16:52:07.000Z,"Erinnerung und Gedenken sind sehr wichtige Gesten. Auch in meinem Wahlkreis, aus der #Niederauerbachkaserne in #Zweibrücken, haben junge Soldaten im Einsatz ihr Leben gelassen. Meine Gedanken sind auch bei den Hinterbliebenen. 
#unvergessenThomas Hitschler
@ThomasHitschler
 · Apr 2
#unvergessen twitter.com/BMVg_Bundesweh…",1,,7
Angelika Glöckner,@A_Gloeckner,2021-04-02T12:10:57.000Z,"Baden-Württemberg:Entscheidung gegen Ampel offenbart für welchen Kurs 
@Die_Gruenen
 tatsächlich stehen. Mehr #Klimaschutz einfordern und mit CDU koalieren passt nicht.
Besser:#SPD",,1,8
Angelika Glöckner,@A_Gloeckner,2021-04-01T06:19:31.000Z,"Ich hoffe nur, dass der ein oder andere OB in meinem Wahlkreis das endlich auch zur Kenntnis nimmt 
@MarkusZwickWELT
@welt
 · Apr 1
Corona: Dramatische Prognose vom RKI droht sich nach Ostern zu bestätigen
http://to.welt.de/UnObYgh",,1,1
Angelika Glöckner,@A_Gloeckner,2021-03-29T11:44:19.000Z,"Wo die Union in den nächsten Jahren sparen will, wird hier durch einen Unionsabgeordneten erklärt oder kurz gefasst: Unternehmen entlasten, dafür Sozialleistungen kürzen.
Deshalb Zeit für den Wechsel.
#olafkannkanzler #spt #btw2021Berlin direkt
@berlindirekt
 · Mar 28
Wie können die Kosten der #coronakrise aufgefangen werden? @christophploss @CDU regt an, #renten -Projekte wie die #Mütterrente oder die #Rente mit 63 noch einmal zu überprüfen.
Mehr dazu um 19.10 Uhr #berlindirekt @ZDF",2,,3
Angelika Glöckner,@A_Gloeckner,2021-03-26T18:13:53.000Z,"CDUCSU haben zu lange auf der Bremse gestanden, warum eigentlich? 

#transparenz #vertrauenSPD-Fraktion im Bundestag
@spdbt
 · Mar 26
Nach dem #Lobbyregister gestern jetzt der Durchbruch bei den #Transparenzregeln. Es sind gute Stunden für die Demokratie - sozialdemokratische Stunden! Worauf wir uns mit der #CDUCSU genau geeinigt haben? Ein Thread 
Show this thread",2,,3
Angelika Glöckner,@A_Gloeckner,2021-03-19T20:11:30.000Z,"Herzlichen Glückwunsch, liebe #Verdi. Ich kann mich noch gut erinnern, als du geboren wurdest.Wie schnell doch die Zeit verging. Ich bin froh, dass es dich gibt.",,,5
Angelika Glöckner,@A_Gloeckner,2021-03-16T06:26:42.000Z,"CDUCSU gehören auf die Oppositionsbank. Viel zu lange schon blockieren sie wichtige Entscheidungen für unser Land und sozialen Zusammenhalt, für mehr Klimaschutz, für eine innovative Wirtschaft. Schluss mit Klima- und Sozialpolitik light.
#SPD #olafkannkanzlerWahlrecht.de
@Wahlrecht_de
 · Mar 15
Sonntagsfrage zur Bundestagswahl • INSA/BILD: CDU/CSU 29,5 % | SPD 17 % | GRÜNE 17 % | AfD 11,5 % | FDP 10,5 % | DIE LINKE 8 % | Sonstige 6,5 %
➤ Übersicht: https://wahlrecht.de/umfragen/
➤ Verlauf: https://wahlrecht.de/umfragen/insa.htm… #btw21",1,1,5
