User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Alice Weidel,@Alice_Weidel,2021-05-13T08:05:55.000Z,"Wir wünschen allen Vätern einen schönen #Vatertag & danken allen, die heute nicht mit dem #Bollerwagen, sondern für unser aller Wohl unterwegs sind. Ob im Taxi, Rettungswagen, Polizeiauto oder einfach nur an der Kasse in der Tanke: Danke für euren Einsatz!  #AfD #Feiertag",103,296,1.9K
Alice Weidel,@Alice_Weidel,2021-05-12T10:31:51.000Z,"Für ihren Klimapopulismus riskiert die #Bundesregierung die Grundlagen unseres Wohlstands, um sich bei radikalen Ideologen anzubiedern. Man ruiniert #Mittelstand & Mittelschicht, die schon unter der irregeleiteten #Lockdown-Politik schwer gelitten haben. #Klimaschutzgesetz #AfDAfD-Fraktion im Deutschen Bundestag
@AfDimBundestag
 · May 12
Zur Verabschiedung des Entwurfs für ein verschärftes #Klimaschutzgesetz erklären die Fraktionsvorsitzenden der #AfD im Deutschen #Bundestag @Alice_Weidel und Alexander #Gauland: ""Klimaschutzgesetz ist Sargnagel für Wohlstand und Wirtschaftskraft!"" #Klima https://afdbundestag.de/weidel-gauland-klimaschutzgesetz-ist-sargnagel-fuer-wohlstand-und-wirtschaftskraft/…",74,237,942
Alice Weidel,@Alice_Weidel,2021-05-12T09:00:52.000Z,"Die Probleme sind längst da, Herr #Seehofer: Jedes Jahr drängen #Migranten in Großstadt-Stärke nach #Deutschland, Wohnraum-Knappheit, eine katastrophale Situation in den #Schulen und Milliardenkosten für das Sozialsystem sind die unmittelbaren Folgen. #AfD https://facebook.com/aliceweidel/posts/4338121026199099…",69,342,1.3K
Alice Weidel,@Alice_Weidel,2021-05-08T08:59:11.000Z,"""Wir treten dafür ein, den Menschen in der Pandemie ihre Eigenverantwortung zurückzugeben, Risikogruppen zwar zu schützen, aber die #Freiheit für die übergroße Mehrheit wiederherzustellen."" #Freiheitsrechte #AfD #Impfung #Impfzwang #Impfen #Grundgesetz 

https://facebook.com/aliceweidel/posts/4328097633868105?__cft__[0]=AZXfBILBsUaRhnyjvJPsWB0_TbvKmuao96cWQfwm9nQ0EeyNfRKrL7VWVvllSd4vC3h4xgj6MdxtnM2-5VmwywH2Az3oOb5A3155hP_j2v5lqt_zEHCNV5HUUr1Jx9-mlprkHbpQIVo1e2jkNqlCm9jj9lEHLlD226y55EVSDDZNGwJgknU_4EaKkPqg8sFkOdM&__tn__=%2CO%2CP-R…",119,346,1.6K
Alice Weidel,@Alice_Weidel,2021-05-04T09:13:57.000Z,"Nicht verpassen: Heute Abend um 23:30 Uhr bin ich bei #MarkusLanz zu Gast. Teilen, einschalten und mitfiebern! #AfD",720,889,3.2K
Alice Weidel,@Alice_Weidel,2021-04-27T11:28:21.000Z,"Wenn die gefällten Urteile nicht genehm sind, müssen Richter mit Hausdurchsuchungen und Ermittlungen durch Staatsanwälte rechnen. Passiert ist das nicht etwa in einer #Bananenrepublik, sondern in #Weimar. #VerfassungsbeschwerdeRazzia bei Masken-Richter aus Weimar: Haus und Büro durchsucht, Handy sichergestellt
Der Familienrichter Christian Dettmar aus Weimar soll das Recht bewusst falsch angewendet haben, um die Maskenpflicht an Schulen zu kippen. Die Staatsanwaltschaft ermittelt, das Haus des Juristen...
focus.de",203,584,1.7K
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2021-04-27T10:20:23.000Z,"Zum Ergebnis des Impfgipfels teilen die Vorsitzenden der #AfD-Fraktion im Deutschen #Bundestag, 
@Alice_Weidel
   und Alexander #Gauland, mit: ""#Lockerungen nur für #Geimpfte würden die #Gesellschaft spalten!"" #Impfneid #Impfgipfel #Impfungen #ImpfenWeidel/Gauland: Lockerungen nur für Geimpfte würden die Gesellschaft spalten
Berlin, 27. April 2021. Zum Ergebnis des Impfgipfels teilen die Vorsitzenden der AfD-Fraktion im Deutschen Bundestag, Alice Weidel und Alexander Gauland, mit: „Vom Impfgipfel geht das fatale Signal...
afdbundestag.de",83,126,558
Alice Weidel,@Alice_Weidel,2021-04-27T07:44:50.000Z,"Wird auf das Auto von 
@Karl_Lauterbach
 ein Farbanschlag verübt: Die Leitmedien empören sich bundesweit. #AfD-Wahlkämpfer werden brutal attackiert: Randnotiz. Finde den Fehler...AfD-Landtagsabgeordneter zusammengeschlagen
Am Sonntag sind der AfD-Landtagsabgeordnete Ulrich Siegmund sowie zwei seiner Wahlhelfer mit Faustschlägen attackiert worden. Das Motiv der beiden Angreifer ist noch nicht abschließend geklärt. 
t-online.de",98,653,2.1K
Alice Weidel,@Alice_Weidel,2021-04-26T09:16:21.000Z,"#Grundrechte werden nicht von der Obrigkeit zugeteilt, sie sind unveräußerliche und von der Verfassung garantierte Rechte aller Bürger. Ihre vorübergehende Einschränkung muss unverzüglich und für alle Bürger aufgehoben werden! #AfD #Geimpfte #Bundestag #Freiheit #BundesnotbremseAfD-Fraktion im Deutschen Bundestag
@AfDimBundestag
 · Apr 26
Zur Debatte im Vorfeld des „Impfgipfels“ um die Aufhebung von Grundrechtseinschränkungen für #Geimpfte erklären @Alice_Weidel und Alexander #Gauland: ""Einschränkungen der #Grundrechte für alle Bürger aufheben!"" #AfD #Corona #Bundestag #Freiheit  https://afdbundestag.de/weidel-gauland-einschraenkungen-der-grundrechte-fuer-alle-buerger-aufheben/…",94,511,1.8K
Alice Weidel,@Alice_Weidel,2021-04-25T12:08:29.000Z,Seit gestern freuen wir uns über unseren neuen Familienzuwachs - unsere kleine Leni!  #Wochenende,537,378,4.7K
Alice Weidel,@Alice_Weidel,2021-04-23T11:19:53.000Z,"Leben wir noch in einem freien Land, wenn der Rundfunkrat Berufsverbote für jene Schauspieler fordert, die einfach nur das ""Vergehen"" begangen haben, ihre Meinung zu äußern? Cancel Culture in Reinform. Erschreckend! #allesdichtmachen #AfD#allesdichtmachen: ARD-Rundfunkrat will Schauspielern sogar die Jobs wegnehmen
Mit Ironie, Witz und Sarkasmus hinterfragen sie die Corona-Politik der Bundesregierung und kritisieren vor allem das hiesige Diskuss...
bild.de",296,828,3K
