User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Amira Mohamed Ali,@Amira_M_Ali,2021-05-14T11:04:39.000Z,"#Lindner warnt vor Erhöhung des Mindestlohns; vor höheren Hartz-IV-Sätzen; vor einem #Mietendeckel. 
Zeigt wieder: Die #FDP ist die Partei der Millionäre & Gegner der Menschen mit kleinen & mittleren Einkommen. Eine Ampel-Koalition wäre eine Gefahr für Gemeinwesen & Sozialstaat.",32,52,250
Amira Mohamed Ali,@Amira_M_Ali,2021-05-12T11:35:05.000Z,"#Klimaschutzgesetz ist zu unkonkret. Es müssen viel stärker diejenigen in die Pflicht genommen werden, die für die meisten CO2-Emissionen verantwortlich sind -> Konzerne & Superreiche. #Klimaschutz darf nicht auf die Menschen mit kleinen & mittleren Einkommen abgewälzt werden!",4,8,51
Amira Mohamed Ali,@Amira_M_Ali,2021-05-12T10:42:57.000Z,"Armuts und Reichtumsbericht zeigt Totalversagen der #BuReg: Ihre Politik hat zu keinem Rückgang der #Armut geführt. Wir müssen endlich den Niedriglohnsektor zurückdrängen, wir brauchen mehr allgemeinverbindliche Tarifverträge und die Abkehr vom menschenunwürdigen #HartzIV-System!",2,12,40
linksfraktion,@Linksfraktion,2021-05-11T13:16:23.000Z,"„Ein Ende der Gewalt, zwei souveräne & sichere Staaten Israel & Palästina & eine israelisch-palästinensische Lösung für Jerusalem – anders ist Frieden in Nahost nicht zu erreichen!“ so 
@GregorGysi
 angesichts des Konflikts zwischen Israel und PalästinaMilitärische Eskalation stoppen, israelisch-palästinensische Friedenslösung suchen
Zu den aktuellen Entwicklungen im Konflikt zwischen Israel und Palästina erklärt der außenpolitische Sprecher der Fraktion DIE LINKE im Bundestag, Gregor Gysi: „Der Beschuss von zivilen Einrichtungen...
linksfraktion.de",25,69,224
Jan Korte,@jankortemdb,2021-05-10T15:25:11.000Z,"Seit heute ist die Website zum #Lobbyregister, das ab dem 1.1.2022 verpflichtend ist, online. Ein Erfolg der 
@Linksfraktion
, der – man kann es nicht anders sagen – ohne die tatkräftige Unterstützung einiger Unions-MdB so schnell nicht möglich gewesen wäre.Deutscher Bundestag - Lobbyregister des Deutschen Bundestages und der Bundesregierung
In das Lobbyregisters müssen sich Interessenvertreterinnen und Interessenvertreter registrieren, die Kontakt zu Mitgliedern des Bundestages oder der Bundesregierung aufnehmen, um unmittelbar...
bundestag.de",4,36,143
Dietmar Bartsch,@DietmarBartsch,2021-05-09T09:20:24.000Z,"#TagdesSieges Die Sowjetunion trug die Hauptlast am deutschen Vernichtungskrieg, hatte den größten Anteil an dessen Niederschlagung. Dafür verneigen wir uns in Demut & tiefer Dankbarkeit. Dass Deutschland des 80. Jahrestages des Überfalls nicht offiziell gedenkt, ist beschämend.",34,38,255
linksfraktion,@Linksfraktion,2021-05-09T07:19:04.000Z,"#SophieScholl – Vorbild und Heldin zugleich. »Ihr Mut, öffentlich gegen Krieg und NS-Faschismus zu kämpfen, muss für alle Zeit Teil unserer Erinnerungskultur bleiben […]«, so 
@Amira_M_Ali
 
Mehr hier: https://bit.ly/3xZZzec 
#sohiescholl100",3,10,57
Amira Mohamed Ali,@Amira_M_Ali,2021-05-05T19:47:41.000Z,"Sehr gut: US-Regierung spricht sich für eine vorübergehende Aussetzung des Patentschutzes für #Corona-Impfstoffe aus! Jetzt sind Sie dran, Frau Merkel, Herr Spahn, Union & SPD: Nehmen sie die Forderung meiner Fraktion an! Gesundheit vor Profit! #Patentschutz",37,105,609
Amira Mohamed Ali,@Amira_M_Ali,2021-05-05T07:01:20.000Z,"Wir halten es für richtig, die #Grundrechte für doppelt Geimpfte wieder erstarken zu lassen. Wir brauchen zusätzlich mehr Tempo beim #Impfen, gerade dort, wo die #Inzidenz hoch ist & Menschen aufgrund finanzieller Benachteiligungen eng an eng leben müssen.Mohamed Ali: ""Mehr Tempo beim Impfen""
""Dass die Grundrechte für doppelt Geimpfte wieder erstarken sollen, halten wir für vollkommen richtig"", sagt Linken-Fraktionsvorsitzende Amira Mohamed Ali.
zdf.de",40,23,84
Amira Mohamed Ali,@Amira_M_Ali,2021-05-04T16:04:50.000Z,"Schwarz-grüne Romantik: Robert #Habeck sieht bundesweiten #Mietendeckel kritisch. Wieder eine Anbiederung an #Maaßen, Amthor und Co.? Wenn die Grünen unbedingt mit der #CDU regieren wollen, sollen sie es auch direkt sagen! Die Wählerinnen und Wähler haben Ehrlichkeit verdient.",51,80,527
