User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Robin Alexander,@robinalexander_,2021-05-11T20:50:12.000Z,"Da fehlt der Satz „Israel hat das Recht auf Selbstverteidigung“, der zur deutschen Staatsräson gehört. Damit fällt 
@ABaerbock
, die ihre Kanzlerkandidatur mit bemerkenswerter außenpolitischer Klarheit begann, sogar hinter die GroKo und 
@HeikoMaas
 zurück. Enttäuschend! 
@welt
 Annalena Baerbock
@ABaerbock
 · May 11
Die Bilder aus Israel erfüllen mich mit großer Sorge. Ich verurteile die fortlaufenden Raketenangriffe der Hamas aufs Schärfste. Diese müssen sofort beendet werden. Die Gewaltspirale zeigt, wie dringend die Wiederaufnahme von Friedensverhandlungen ist.
https://twitter.com/nouripour/status/1392104683834118150?s=21…",181,269,1.5K
Jens Spahn,@jensspahn,2021-05-11T13:45:50.000Z,"Mehr als jeder dritte Deutsche (27,7 Mio) ist nun mindestens einmal gegen COVID-19 geimpft, fast 10% (8 Mio) haben bereits den vollen Impfschutz. Von allen über 60-Jährigen sind bereits zwei Drittel mindestens einmal geimpft.  Wir sind weiter auf Kurs.",359,86,839
Ralf Schuler,@drumheadberlin,2021-05-10T14:23:47.000Z,"Grüne Jugend warb mit Lenin-Propaganda 
@BILDKommunismus als Vorbild? - Grüne Jugend warb mit Lenin-Propaganda
Für ihren Frühjahrskongress warb die Jugendorganisation der Grünen mit zwei Motiven der Kommunistischen Partei der Sowjetunion.
bild.de",41,134,361
Paul Ziemiak,@PaulZiemiak,2021-05-08T17:12:14.000Z,"Liebe Frau 
@ABaerbock
, ein kleiner Tipp. Hier können Sie sich über Ludwig Erhard & die #SozialeMarktwirtschaft informieren. Vielleicht sollten Sie das lesen bevor Sie Verantwortung für die größte Volkswirtschaft Europas übernehmen wollen.Soziale Marktwirtschaft: Einführung - Soziale MarktwirtschaftKonrad-Adenauer-Stiftung e.V.
Konrad-Adenauer-Stiftung e.V.
kas.de",993,336,1.4K
Markus Lachmann,@DerLachmann,2021-05-09T06:23:35.000Z,Der Streit in der SPD geht weiter: Nach der Attacke von SPD-Landeschef Lewentz auf Generalsekretär Klingbeil greift jetzt Dreyer-Kronprinz Schweitzer in der WamS die SPD-Granden Esken und - indirekt - auch Klingbeil an. Was ist denn da los in der SPD?,1,2,13
Karin Prien,@PrienKarin,2021-05-08T15:45:30.000Z,"￼
„Wer die Vergangenheit nicht kennt, kann die Gegenwart nicht verstehen und die Zukunft nicht gestalten.“  Der Satz von Helmut Kohl ist heute so richtig wie damals  #BaerbockWELT
@welt
 · May 8
Panne im Bundestag: Baerbock schreibt Soziale Marktwirtschaft SPD zu – Grüne sprechen von ""Versehen"" http://to.welt.de/0VZXPCt",88,121,539
Andreas Steier,@AndreasSteier,2021-05-04T15:23:47.000Z,"Nur Impfen  bringt uns der Normalität ein gutes Stück näher. Und das Impftempo hat endlich angezogen  Aktuell haben rund 29% aller Deutschen die 1. Impfung und rund 8% die 2. Impfung erhalten. Im Schnitt werden 8 Menschen pro Sekunde geimpft.

#impfung #modernaBundeswehr",1,,4
Jens Spahn,@jensspahn,2021-05-03T14:19:01.000Z,"Innerhalb eines Monats haben wir so viele Impfungen verabreicht wie im ersten Quartal: Zwischen Januar & März waren es knapp 15 Mio. Dosen, allein im April kamen gut 15 Mio. dazu. Das verdeutlicht die Geschwindigkeit, die wir beim Impfen haben gewinnen können. (1/3)",124,36,409
Andreas Hallaschka,@Hallaschka_HH,2021-05-02T14:04:25.000Z,"Von hinten in den Mann.
Der Polizist liegt seit gestern schwer verletzt in der Intensivstation.

Ich werde nie verstehen, wie manche solche Gewalt mit dem Kampf um soziale Gerechtigkeit verbinden.
#1Mai #Lyon #PolizeiThe following media includes potentially sensitive content. Change settings
View
From 
Commissaires de Police SICP",167,439,1K
Jens Spahn,@jensspahn,2021-04-30T07:55:44.000Z,"22,4 Mio Deutsche (26,9%) sind nun erstgeimpft, 6,4 Mio haben vollen Impfschutz. Mit 916.000 Impfungen gestern gab es den bisher zweithöchsten Tageswert. Impfzahlen gestern und vorgestern sind Spitze in Europa. Rekorde gibt's jetzt nicht täglich - aber der Trend stimmt.",251,116,1.2K
