User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Andrej Hunko,@AndrejHunko,2021-05-10T14:44:18.000Z,"Aus EU-Mitteln lässt sich das #BKA eine #Drohne zur Verfolgung von ""Sozialleistungsbetrug durch Unionsbürger"" bezahlen. Das ist schon krass genug, jetzt wird uns noch jede (!) Auskunft dazu verweigert.
Das Gerät wird in NRW eingesetzt, auch von dort nur Stillschweigen.",,6,9
Jan Korte,@jankortemdb,2021-05-08T06:56:41.000Z,Leider aktuell: Der größte Lump im ganzen Land ist und bleibt der Denunziant. Gilt auch für den eigenen Laden.,42,34,290
linksfraktion,@Linksfraktion,2021-05-07T11:08:33.000Z,"„#Merkel betreibt auf #EU Ebene weiter Social Distancing. Durch ihr physisches Fernbleiben vom EU #Sozialgipfel in Porto unterstreicht sie wieder einmal den niedrigen Stellenwert, den soziale Fragen für die #Bundesregierung in der EU haben."", 
@AndrejHunkoSocial Distancing der EU beenden
„Merkel betreibt auf EU-Ebene weiter Social Distancing. Durch ihr physisches Fernbleiben vom EU-Sozialgipfel in Porto unterstreicht sie wieder einmal den niedrigen Stellenwert, den soziale Fragen für...
linksfraktion.de",2,8,17
Gesine Lötzsch,@LoetzschMdB,2021-05-06T12:54:21.000Z,"Unser Antrag, den 8. Mai als Tag der Befreiung vom Faschismus zum gesetzlichen Feiertag zu machen, wurde gerade mit Mehrheit im #Bundestag abgelehnt. Aber wir bleiben dran. #tagderbefreiung #niewiederkrieg #niewiederfaschismus",18,34,120
linksfraktion,@Linksfraktion,2021-05-06T12:13:55.000Z,"#Farbebekennen: Wer soll die Kosten der #CoronaKrise tragen? Während die Union den Rentner:innen ins Portemonnaie fassen will, machen wir uns lieber für eine einmalige #Vermögensabgabe für #Superreiche stark, erklärt 
@FabioDeMasi
 zu unserem Antrag heute:Fabio De Masi, DIE LINKE: Vermögensabgabe für Multimillionäre und...
06.05.2021 - Wenn die Schuldenbremse nach der Corona-Krise wieder greift, droht ein Kürzungshammer nach der Wahl. Milliardäre und Multimillionäre wie die Qua...
youtube.com",10,31,136
Andrej Hunko,@AndrejHunko,2021-05-06T10:10:52.000Z,"Susanne Ferschl, MdB
@SusanneFerschl
 · May 6
Wie passend, dass wir heute unseren Antrag zur Freigabe der #Patente im #Bundestag haben 
#Biden #USA #Impfstoffe  

http://dip21.bundestag.de/dip21/btd/19/257/1925787.pdf…",,,4
Andrej Hunko,@AndrejHunko,2021-05-06T09:47:57.000Z,"Gutes Zeichen: #USA geben endlich ihre Blockade gegen den #TRIPSwaiver (Freigabe #Impfstoff-#Patente) auf. #DE & #EU müssen sofort nachziehen.
@Linksfraktion
 fordert dies sei Langem. Im #Europarat habe ich im Januar einen solchen Passus in die Resolution zu #Impfungen gebracht.",3,7,21
linksfraktion,@Linksfraktion,2021-05-03T08:49:08.000Z,"Unser Antrag am Donnerstag im Plenum des #Bundestag|es: Eine einmalige #Vermögensabgabe nach Vorbild von #Adenauer|s #Lastenausgleich trifft nur 0,7% der Bevölkerung in Deutschland, brächte dem Bund aber Einnahmen von bis zu 310 Mrd. Euro. 
@hib_Nachrichten
 https://bundestag.de/dokumente/textarchiv/2021/kw18-de-vermoegensabgabe-836858…",43,120,512
nd.Aktuell,@ndaktuell,2021-04-30T12:00:01.000Z,"Nahid Taghavi ist seit 1983 auch in Köln zuhause und pendelte regelmäßig zwischen Deutschland und dem Iran, wo ihre Brüder leben. Am 16. Oktober wurde die Architektin festgenommen und sitzt im berüchtigten Teheraner Evin-Gefängnis.Faustpfand
Nahid Taghavi ist seit 1983 auch in Köln zuhause und pendelte regelmäßig zwischen Deutschland und dem Iran, wo ihre Brüder leben. Am 16. Oktober wurde die Architektin festgenommen und sitzt im...
neues-deutschland.de",,8,4
Esquerra International,@Esquerra_INT,2021-04-29T11:49:54.000Z," More than 250 political representatives from all over the world sign a 
 letter to the Spanish government calling for an 
 amnesty & a democratic solution to the conflict between #Catalonia and the Spanish state.
 Read about it here:
https://eucatplatform.eu/letter-on-amnesty/…Jordi Solé
 and 9 others",,7,11
