User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
"Bärbel Kofler, MdB",@BaerbelKofler,2021-05-12T19:31:17.000Z,"Ich freue mich, dass der iranische Menschenrechtsverteidiger #ArashSadeghi nach mehr als 5 Jahren endlich aus der Haft entlassen wurde. Ich fordere die sofortige Freilassung seiner Ehefrau #GolrokhEbrahimi und aller anderen politischen Gefangenen in #Iran !",1,14,39
Auswärtiges Amt,@AuswaertigesAmt,2021-05-11T07:52:43.000Z," Vorsitz im #Europarat: Heute ist der 10. Jahrestag der #IstanbulKonvention 
 ein Meilenstein für mehr Gewaltschutz gegen Frauen. Ab 10 Uhr im Konferenz-Livestream 
@FranziskaGiffey
 & 
@MiRo_SPD
 mit vielen internationalen Gästen 
@coe
 @BMFSFJ
 German Presidency at the Council of Europe
@GermanyCoE
 · May 10
11 May marks the 10th anniversary of the #IstanbulConvention, the most advanced treaty on preventing and combating #ViolenceAgainstWomen and domestic violence. Join our conference with @BMFSFJ, @CoE and @MiRo_SPD tomorrow at 10 am CET via livestream: https://t1p.de/o04u",4,13,28
Michael Roth MdB,@MiRo_SPD,2021-05-11T07:17:36.000Z,"10 years ago, 
@coe
 set out to ensure women's right to live free from violence. It is shameful how today, governments abuse the #IstanbulConvention for political gains. Preventing violence against women must not be ideological bargaining ground - it should be a matter of course.",,19,40
"Bärbel Kofler, MdB",@BaerbelKofler,2021-05-07T13:39:44.000Z,"Ich appelliere an die 
 Regierung, das Demonstrationsrecht aller Kolumbianer zu garantieren + jeden Gewaltexzess der Sicherheitskräfte gegen friedlich Protestierende zu unterbinden. Sofortige Rückkehr zu Dialog + Friedensprozess ist das Gebot der Stunde!Menschenrechtsbeauftragte Kofler zu den Ereignissen in Kolumbien
Zu den Ereignissen in Kolumbien sagte die Beauftragte der Bundesregierung für Menschenrechtspolitik und Humanitäre Hilfe im Auswärtigen Amt, Bärbel Kofler, heute (07.05.):  Ich bin bestürzt über die…
auswaertiges-amt.de",5,42,77
"Bärbel Kofler, MdB",@BaerbelKofler,2021-05-06T07:36:41.000Z,Der Gesundheitszustand des in #Iran inhaftierten Filmemachers und Menschenrechtsaktivisten Mohammed #Nourizad ist sehr besorgniserregend. Weitere Haft würde sein Leben gefährden. Ich fordere die sofortige Freilassung dieses politischen Gefangenen!,1,15,28
"Bärbel Kofler, MdB",@BaerbelKofler,2021-05-03T16:17:01.000Z,"Am heutigen #TagderPressefreiheit sprechen wir allen Journalisten für ihren Einsatz unsere Anerkennung aus. Zu oft werden sie bedroht und getötet, ungestraft, nur weil sie ihrer unerlässlichen Arbeit nachgehen.

Aus dem Statement von 10 europäischen Menschenrechtsbotschaftern.",2,4,12
"Bärbel Kofler, MdB",@BaerbelKofler,2021-04-26T09:17:34.000Z,"On the 8th anniversary of #ranaplaza  two days ago, our thoughts go to #Bangladesh . When the factory collapsed, over 1100 people died, thousands were injured. The following improvements in building safety and labor standards must continue until every factory is safe for workers.",2,3,15
"Bärbel Kofler, MdB",@BaerbelKofler,2021-04-26T07:44:32.000Z,"Wir werden den Kobane-Prozess gegen die HDP und ihre Mitglieder in Ankara genau beobachten und erwarten, dass rechtsstaatliche Standards eingehalten werden. 
Selahattin Demirtaş muss von der 
 im Einklang mit dem EGMR-Urteil endlich freigelassen werden!Menschenrechtsbeauftragte Kofler zum Auftakt des Kobane-Prozesses
Anlässlich des Auftakts der Gerichtsverhandlung im sogenannten Kobane-Prozess in Ankara erklärte die Beauftragte der Bundesregierung für Menschenrechtspolitik und humanitäre Hilfe im Auswärtigen Amt…
auswaertiges-amt.de",7,21,49
Udviklingsministeren,@udviklingsmin,2021-04-23T09:35:42.000Z,"Deeply concerned by the ongoing reports of #GBV, including sexual violence, occurring as a result of the crisis in the #Tigray region. There is a need for a comprehensive effort to prevent and respond to GBV. Read full statement: https://bit.ly/32IHfYC #CalltoActionGBV",71,597,617
"Bärbel Kofler, MdB",@BaerbelKofler,2021-04-23T08:13:45.000Z,The right to information is becoming increasingly important in a digitalized world because it relates to a range of other fundamental human rights like freedom of expression. See here the full statement by 10 European Human Rights Ambassadors: ,1,3,6
