User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Beate W.-R. MdB,@BeateWaRo,2020-06-06T12:16:30.000Z,Heute startet die Online-Kampagne für einen Nationalpark Steigerwald. Macht mit! Postet ein Foto mit Schild und Hashtag #steigibleibt  oder #nationalparksteigerwald # https://instagram.com/p/CBF-L9wgepL/?igshid=17ax25tzdum13…,4,1,4
Omid Nouripour,@nouripour,2021-04-25T20:40:51.000Z,"@ABaerbock
 vertritt in der 
@faznet
 die bewährte Position von uns 
@Die_Gruenen
 zu Russland. 
@HeikoMaas
 nennt das sofort „Geschrei“. Warum er wohl bisher nicht bei 
@bueti
, 
@JTrittin
, 
@ManuelSarrazin
 oder mir so ausfallend geworden war?


#Fail

#baerbockforkanzlerin #allesistdrin",24,49,381
Annalena Baerbock,@ABaerbock,2021-04-23T11:54:40.000Z,"Wieder sind Menschen gestorben. Wieder Trauer, wieder ist von Unglück die Rede. Mit einer flächendeckenden, europäisch koordinierten Seenotrettung hätten wir sie retten können. Danke an 
@SOSMedGermany
 für Euren Einsatz.tagesschau
@tagesschau
 · Apr 22
Libyen: Mehr als 120 Menschen im Mittelmeer ertrunken http://tagesschau.de/ausland/fluechtlinge-libyen-bootsunglueck-101.html… #OceanViking #Mittelmeer #Bootsunglück",447,439,5K
Beate W.-R. MdB,@BeateWaRo,2021-04-04T06:34:14.000Z,"Ostern -das Fest der Hoffnung, des Aufbruchs, des Frühlings. All das können wir in diesen Tagen gut brauchen. Ich wünsche euch ein frohes Osterfest mit viel #freude, #frühling #lebenslust Ein Fest mit #abstandhalten zwar ... aber auch mit einer gehörigen Portion #optimismus",,,3
Agnieszka Brugger,@agnieszka_mdb,2021-04-04T06:16:56.000Z,"Ihr Lieben, frohe #Ostern. Atmet durch, haltet Abstand, haltet zusammen  
@MiKellner
 fragt in seiner Osteraktion nach unserem Projekt aus unserem #Bundestagswahl Programm. Da ich viel Blut in dieses Thema gegeben habe, für mich: Feministische Außenpolitik. #allesistdrin",3,7,110
Team Beate,@TeamBeate,2021-03-25T10:07:40.000Z,"#Jugend in der #Pandemie -Sorgen und Nöte junger Menschen wurden bisher politisch viel zu wenig mitgedacht. Dazu 
@BeateWaRo
 gleich im #Plenum als #jugendpolitische Sprecherin der 
@GrueneBundestag
. Auch hier zeigt sich Planlosigkeit der #Bundesregierung.
#Jugendstarkmachen.",1,2,7
Helga Stieglmeier,@H_Stieglmeier,2021-03-25T12:04:07.000Z,"@BeateWaRo
 in einer starken Rede für mehr Beteiligung junger MenschenGrüne im Bundestag
@GrueneBundestag
 · Mar 25
Ich appelliere eindringlich, jungen Menschen endlich mehr Beteiligung auf allen politischen Ebenen zu ermöglichen. 

Man muss ihre Stimmen nicht nur hören – sie müssen auch zählen.

Deshalb: endlich mehr Beteiligung und endlich eine Senkung des Wahlalters.

- @BeateWaRo",1,3,5
Grüne im Bundestag,@GrueneBundestag,2021-03-18T13:32:29.000Z,"Jetzt LIVE  Wie können wir künftig erinnern, wenn es keine Zeitzeug*innen mehr gibt? 

Mit 
@BeateWaRo
, 
@Erhard_Grundl
, F. Azoulay 
@ArolsenArchives
, 
@Cha_Knobloch
, G. Hammermann, 
@lime_green_leni
, 
@HannesBurkhardt
 & 
@davidschiepek
.Grüne im Bundestag
@GrueneBundestag
Ohne Zeitzeug*innen: Wie kann Jugend künftig erinnern?",3,6,21
"Erhard Grundl, MdB",@Erhard_Grundl,2021-03-18T10:27:37.000Z,"Wie können wir künftig erinnern, wenn es keine Zeitzeug*innen mehr gibt? 

Darüber sprechen 
@BeateWaRo
 & ich heute ab 14.30 Uhr mit F. Azoulay 
@ArolsenArchives
, 
@Cha_Knobloch
, G. Hammermann, 
@lime_green_leni
, 
@HannesBurkhardt
 & D. Schiepek. 
Live hier: https://youtube.com/watch?v=m2FswU9CB-w…",1,6,16
Marina Weisband,@Afelia,2021-03-15T16:58:15.000Z,"Die CDU hat einige Fehler gemacht im Umgang mit der Pandemie. Ich würde sie gerne sicherheitshalber aussetzen, bis wir mehr Daten haben.",116,1.8K,16.5K
Kirsten Kappert-Gonther,@KirstenKappert,2021-03-15T21:15:27.000Z,"Als Ärztin muss ich immer abwägen zwischen den Nebenwirkungen einer med Maßnahme und den Vorteilen. Angesichts der Pandemie und der individuellen Gefahren durch Covid-19, leuchtet mir die Aussetzung der Impfung nicht ein. Chaos und Verunsicherung schaden zusätzlich #AstraZeneca",9,24,160
