User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Beatrix von Storch,@Beatrix_vStorch,2021-05-14T21:42:16.000Z,"Jedes Jahr daran erinnern, dass die Anerkennung des Existenzrechts Israels keine Pflichtbedingung für die Teilnahme an der deutschen #Islamkonferenz ist. Die Lippenbekenntnisse können sich die #Heuchler von Regierung und Kartellparteien sparen! #IStandWithIsrael #Antisemitismus",12,39,140
Beatrix von Storch,@Beatrix_vStorch,2021-05-14T08:25:05.000Z,#Twitter zensiert meine Forderung nach Abschiebung von ausländischen Antisemiten und stellt sich damit auf die Seite des Judenhasses. #Gelsenkirchen #Antisemitismus,113,292,732
Beatrix von Storch,@Beatrix_vStorch,2021-05-13T19:52:50.000Z,"Die Bundesregierung hat zugesehen, wie Judenhass durch die antisemitische BDS-Bewegung salonfähig gemacht wurde. Die #AfD hat bereits 2019 das Verbot der #BDS-Bewegung gefordert. Das war richtig und ist es mehr denn je. #Gelsenkirchen #AntisemitismusAfD fordert Verbot der BDS-Bewegung
Berlin: (hib/AHE) Die AfD-Fraktion fordert ein Verbot der BDS-Bewegung („Boycott, Divestment and Sanctions“) in Deutschland. In einem Antrag (19/9757) weisen die Abgeordneten darauf...
bundestag.de",26,94,354
Beatrix von Storch,@Beatrix_vStorch,2021-05-13T10:55:31.000Z,"Heute ist – #ChristiHimmelfahrt. Und was tut 
@HeikoMaas
? Klar: er wünscht ein gesegnetes Fest...und zwar allen Muslimen zum Ende des #Ramadan . Während der muslimische Mob seinen  Hass gegen  auf deutschen Straßen freien Lauf lässt. #deutschlandabernormal - ist nicht islamisch.Heiko Maas
@HeikoMaas
Regierungsvertreter*in aus Deutschland
 · May 13
Ich wünsche allen Musliminnen und Muslimen zum Ende des #Ramadan #EidMubarak , ein gesegnetes Fest des Fastenbrechens! Solidarität und Unterstützung für Mitmenschen sind der Kern dieses Fests. Wir sollten dies noch stärker leben! #EidAlFitr",92,247,761
Joana Cotar,@JoanaCotar,2021-05-13T10:14:00.000Z,"#Zensur findet nicht statt? #Meinungsfreiheit #AfD 

https://afd.de/zensur",30,154,417
Beatrix von Storch,@Beatrix_vStorch,2021-05-11T19:44:24.000Z,"„Selbst Neandertaler sind zivilisierter.“ Mit diesem Satz sei dieses  Barbarenvideo geteilt worden. Twitter habe den Account daraufhin gesperrt. Schauen wir mal. Ich mache mir den Satz zueigen 
@TwitterDE
 #Islam #Frauenrechte #ZensurThe following media includes potentially sensitive content. Change settings
View",35,91,287
Tino Chrupalla,@Tino_Chrupalla,2021-05-11T13:20:52.000Z,"Der #Ärztetag will tief in das Recht von Eltern und Kindern auf ein selbstbestimmtes Leben eingreifen. Bisher gibt es keinen wissenschaftlichen Beleg dafür, dass Kinder und Jugendliche Treiber der Pandemie sind. #DeutschlandAberNormalJörg Meuthen und Tino Chrupalla zur Forderung des Deutschen Ärztetages nach einer faktischen...
Berlin, 10. Mai 2021. Auf dem Deutschen Ärztetag, der Hauptversammlung der Bundesärztekammer, haben rund 250 Abgeordnete der 17 deutschen Ärztekammern die Bundesregierung aufgefordert, „unverzüglich...
afd.de",82,216,604
Beatrix von Storch,@Beatrix_vStorch,2021-05-11T11:37:29.000Z,Grüne Mathematiker*in: 5+2+1=7. #Baerbock erneuert jede Woche ihren Titel als #Inkompetenz-Weltmeister. Mit der gleichen #Wissenschaftsfeindlichkeit berechnen die Grünen auch Klima-Modelle und die Kosten für ihre Irrsinns-Pläne. #MINTFächerStärken #BildungStattGrüne,150,307,875
Beatrix von Storch,@Beatrix_vStorch,2021-05-11T07:31:59.000Z,"Wo ist #Neubauer wenn ihre #FridaysForFuture-Freundin #GretaThunberg eine glühende Israel-Hasserin & BDS-Unterstützerin teilt? Kein Wort über die Raketenangriffe der islamistischen Hamas. Widerlich.  hat jedes Recht sich zu verteidigen. #IStandWithIsrael #GrünerAntisemitismusGreta Thunberg
@GretaThunberg
 · May 10
Devastating to follow the developments in Jerusalem and Gaza... #SaveSheikhJarrah twitter.com/NaomiAKlein/st…",128,163,652
Beatrix von Storch,@Beatrix_vStorch,2021-05-10T11:30:38.000Z,"#Neubauer bleibt eine öko-sozialistische #Göre, die das Bionade-Bonzen-Milieu der heuchlerischen Soja-Teutonen mit steuerzahlerbezahlten Gender-Gaga- und Diversity-Jobs perfekt symbolisiert. #AnneWill #Staatsfunk #KannWeg",429,531,2K
