User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
"Dr. Bernd Baumann, AfD",@BerndBaumannAfD,2020-12-16T16:40:14.000Z,"Während Millionen Deutsche sich um ihre wirtschaftliche Existenz sorgen, planen führende SPD-Politiker mehr Einwanderer ins Land zu holen. Der Familiennachzug sowie das Umsiedlungskontingent (""Resettlement"") der UN sollen ausgeweitet werden.",58,253,699
"Dr. Bernd Baumann, AfD",@BerndBaumannAfD,2021-04-23T08:04:53.000Z,"Freie und faire Wahlen in Deutschland sind in Gefahr. Dabei sind ausländische Akteure nicht das größte Problem. Es ist vor allem die brutale Ausgrenzung der größten Oppositionspartei durch die linksgrünen Medien, die unsere Demokratie gefährdet!

#AfD #Meinungsfreiheit",9,13,52
"Dr. Bernd Baumann, AfD",@BerndBaumannAfD,2021-04-21T15:27:26.000Z,"Statt in dieser Krise vernünftig zu regieren, beschäftigen sich CDU/CSU nur mit sich selbst.

Mit Korruption und Maskengeschäften.

Mit internen Machtkämpfen, Posten und Karrieren.

Wenn sie doch nur halb so viel Energie für unser Land aufbringen würden!""Wieder mal war die AfD die einzige Opposition!"" - Dr. Bernd Baumann...
Rede von Dr. Bernd Baumann vor dem Deutschen Bundestag zur Geschäftsordnung am 21.04.2021.
youtube.com",5,4,27
"Dr. Bernd Baumann, AfD",@BerndBaumannAfD,2021-04-21T08:17:42.000Z,Wir sagen Nein zum #Infektionsschutzgesetz. Die Bürger in #Deutschland müssen eigenverantwortlich und frei leben können. Die #AfD-Fraktion im Deutschen #Bundestag steht für #Freiheit statt Notstand!,5,66,266
"Dr. Bernd Baumann, AfD",@BerndBaumannAfD,2021-04-19T08:52:29.000Z,"Die #Maskenaffäre der #CDU hat gezeigt: Nebenverdienste von Politikern müssen dringend offengelegt werden! Die Diskussionsplattform 
@PluraPolit
 hat mich nach meiner Meinung dazu gefragt. Die Antwort können Sie hier nachhören:
 http://plurapolit.de/2021-nebeneinkunfte/#bernd-baumann…
#cdukorrupt #cdukaufen",5,5,28
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2021-03-27T09:00:02.000Z,"+++Korrupte Politiker ab ins Gefängnis!+++
@BerndBaumannAfD
, Parlamentarischer Geschäftsführer der #AfD-Fraktion, fordert in seiner Rede eine Ausweitung und Verschärfung des Straftatbestands der Abgeordnetenbestechung. Die Maskenaffäre muss Konsequenzen haben!",89,186,651
"Dr. Bernd Baumann, AfD",@BerndBaumannAfD,2021-03-07T21:42:45.000Z,"Wegen dem #Corona-#Lockdown sind zur Zeit alle Geschäfte in Deutschland geschlossen. Das Einzige, was man jetzt noch kaufen kann, sind #CDU-Politiker.
#cdukorruptMasken-Affäre im Superwahljahr: „Die Union hat offensichtlich ein massives Korruptionsproblem“ -...
Zwei Unionsmänner stürzen über den Vorwurf persönlicher Bereicherung an der Corona-Krise. Die SPD attestiert dem Koalitionspartner ein „ernstes Korruptionsproblem“, die Opposition fährt Attacken....
welt.de",50,188,739
"Dr. Bernd Baumann, AfD",@BerndBaumannAfD,2021-03-05T13:37:17.000Z,"Corona-#Lockdown, Chaos-#Migration, #Clankriminalität, #Niedrigzinspolitik, #Verfassungsschutz - Sie haben Fragen? Am Dienstag, den 09.03.2021 stehe ich Ihnen ab 19 Uhr telefonisch unter der +49 4036191226 zur Verfügung. Ich freue mich auf Ihre Fragen! #AfD",18,35,103
"Dr. Bernd Baumann, AfD",@BerndBaumannAfD,2021-03-01T15:56:30.000Z,Die Ministerpräsidenten von Bayern und Sachsen - Markus #Söder und Michael #Kretschmer - haben heute wieder von einer möglichen #Impfpflicht gesprochen. Nur die #AfD spricht sich konsequent für Freiwilligkeit aus!,21,127,384
"Dr. Bernd Baumann, AfD",@BerndBaumannAfD,2021-02-25T11:24:31.000Z,"Informieren Sie sich auf unserer #AfD-Sonderseite:Corona-Krise in Deutschland
Regierung im Coronawahn: Existenzen am Abgrund! Die Corona-Pandemie hat sich in Deutschland im Frühjahr 2020 zur Corona-Hysterie entwickelt. Wir werfen in unserer großen Doku „Regierung im Coronawa...
afdbundestag.de",3,24,69
