User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Birke Bull-Bischoff,@Birke_Bull,2021-05-12T16:06:56.000Z,"Nehmt den Wessis das Kommando? Eine Provokation. Eine Provokation? 
@bodoramelow
 @Eva0112
 @Birke_Bull
, einem aus der Wirtschaft, einem aus der Schule, einer aus der Politik, einem von der TAFEL. 90min Spannung! https://fb.watch/5rIXb8s-4s/ via 
@FacebookWatchNehmt den Wessis das Kommando? Eine Provokation. Eine Provokation?
Nehmt den Wessis das Kommando? Eine Provokation. Eine Provokation?
facebook.com",,1,5
Birke Bull-Bischoff,@Birke_Bull,2021-05-10T08:56:41.000Z,"Am Freitag habe ich unseren Antrag für eine Föderalismusreform vorgestellt - seid Ihr einverstanden? #neueschulebrauchtdaslandDeutscher Bundestag - Mediathek
Live, unkommentiert und in voller Länge: Sämtliche Live-Übertragungen des Parlamentsfernsehens sowie das vollständige Videoangebot seit Beginn der 17. Wahlperiode im Oktober 2009 bietet...
bundestag.de",1,2,6
Birke Bull-Bischoff,@Birke_Bull,2021-05-07T08:34:54.000Z,"Alle reden über Föderalismus, wir machen heute mal einen Vorschlag - um 14.50 Debatte im Plenum! #neueschulebrauchtdasland #bildung",1,4,4
Birke Bull-Bischoff,@Birke_Bull,2021-05-06T22:36:18.000Z,"ER meint die Frühschicht :-).Matthias Höhn, MdB
@MatthiasHoehn
 · May 7
Die Spätschicht sagt Gute Nacht!
@MWBirkwald @KirstenTackmann @Birke_Bull @Petra_Sitte_MdB @pascalmeiser",,1,4
Birke Bull-Bischoff,@Birke_Bull,2021-05-06T22:35:40.000Z,"Sie meint die Frühschicht :-).Matthias Höhn, MdB
@MatthiasHoehn
 · May 7
Die Spätschicht sagt Gute Nacht!
@MWBirkwald @KirstenTackmann @Birke_Bull @Petra_Sitte_MdB @pascalmeiser",,,1
Birke Bull-Bischoff,@Birke_Bull,2021-05-06T13:09:25.000Z,"#Bildungschancen & Mangel sind in Ländern zu ungleich verteilt, #Gerechtigkeit sollte Aufgabe des Bundes sein! Daher stellen wir morgen im Bundestag unseren Antrag für ein #Bildungsrahmengesetz vor! #linke #neueschulebrauchtdaslandPolitik in 60 Sekunden: Bildungsföderalismus? Muss reformiert werden!
Bildungsföderalismus ist ins Gerede gekommen. Das Chaos der letzten Tage, das Desaster mit dem DigitalPakt Schule. Große soziale Unterschiede beim Zugang zu ...
youtube.com",,,
Birke Bull-Bischoff,@Birke_Bull,2021-05-04T08:54:00.000Z,"Am Freitag diskutieren wir den #Bildungsföderalismus im BT (aktuell TOP 42 
), denn wir beantragen ein #Bildungsrahmengesetz , wie immer mit dem Ziel ""mehr Bildungsgerechtigkeit"". Hier könnt Ihr schon mal reinlesen: https://dip21.bundestag.de/dip21/btd/19/289/1928903.pdf…",1,3,10
Birke Bull-Bischoff,@Birke_Bull,2021-04-22T06:19:02.000Z,Heute im Bundestag: Kinder- und Jugendstärkungsgesetz ohne #Schulsozialarbeit als Regelaufgabe = sehr schwache Nummer der Koalition. Schulsozialarbeit für alle Schüler:innen muss sein. Neue Mehrheiten nötig! #r2g #bildung #bildungsgerechtigkeit #neueSchule #bildungspolitik,,2,10
Birke Bull-Bischoff,@Birke_Bull,2021-04-21T13:56:55.000Z,"1. Mangelwirtschaft beenden für mehr Räume und Personal
2. Ungleichheit und Benachteiligung beenden durch moderne Lern- und Prüfungskulturen
3. Mehr Kompetenz für den Bund für gleichwertige Bildungsgerechtigkeit im ganzen Land (2/2)",2,,5
Birke Bull-Bischoff,@Birke_Bull,2021-04-21T12:42:11.000Z,"Ich ärgere mich, d f Schulen höhere Inzidenzwerte gelten sollen + frage nun 
@rki_de
 , ob sie damit eigentlich einverstanden sind + es neuen Stufenplan geben wird. Wir müssen dabei über BMG gehen, bin gespannt auf Qualität d Antwort! #bildungabersicher #Infektionsschutzgesetz",,11,44
