User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
BMVI,@BMVI,2021-05-14T12:34:40.000Z,"Finden wir auch und deswegen fördern wir die neue Fahrradbrücke am Frankfurter Flughafen mit 3 Millionen Euro! #Fahrradland ADFC Frankfurt
@adfc_ffm
 · 11h
Top! 

Am Flughafen #Frankfurt wird eine Brücke für Radfahrende und zu Fuß Gehende gebaut, 
damit die bis zu 10.000 Rad-Pendler täglich schneller und leichter von Gateway Gardens zum Terminal 2 gelangen. twitter.com/FAZ_RheinMain/…",2,5,12
Paul Ziemiak,@PaulZiemiak,2021-05-13T09:32:01.000Z,"Dieser offene Judenhass ist abscheulich. Antisemitismus pur! Wir stehen dagegen auf! Für mich ist klar: Dort wo Jüdinnen und Juden nicht in Freiheit leben können, fühle auch ich mich meiner Freiheit beraubt. #Synagoge #GelsenkirchenZentralrat der Juden in Deutschland
@ZentralratJuden
 · May 13
Judenhass mitten in #Gelsenkirchen vor der #Synagoge. Zeiten, in denen Juden auf offener Straße beschimpft werden, sollten längst überwunden sein. Das ist purer #Antisemitismus, sonst nichts!",194,87,764
Paul Ziemiak,@PaulZiemiak,2021-05-13T11:44:40.000Z,"Heute Nacht haben zwei bisher  unbekannte Täter die Flagge Israels  vor unserem Konrad-Adenauer-Haus 
@CDU
 gestohlen. Wir haben diese heute Morgen umgehend ersetzt. 
Ihr könnt uns zwar die Flagge nehmen, aber nicht unsere Haltung! 

#standwithisrael #Israel #IsraelUnderAttack",484,419,3.1K
Steffen Bilger,@SteffenBilger,2021-05-12T15:20:00.000Z,"#Klimaschutz durch Innovationen ist unser Ansatz im 
@BMVI
. Dazu passt das Projekt, das wir heute an der A81 in #Hegau starten konnte. PV-Strom kann an bzw. über Bundesfernstraßen gewonnen werden. Das ist zudem eine Chance für besseren Lärmschutz.Solardach über der A81 bei Hegau-Ost geplant
Mit Solardächern über Autobahnabschnitten soll künftig Strom erzeugt werden. Die bundesweit erste Demonstrationsanlage wird neben der Autobahnraststätte Hegau-Ost an der A81 im Landkreis Konstanz...
swr.de",1,2,5
DLR_de,@DLR_de,2021-05-12T16:02:51.000Z,"Flugzeuge entwerfen, testen und bewerten – und das alles virtuell.  Im DLR-Projekt VicToria legen wir den Grundstein, um Fluggeräte vollständig digital zu entwickeln und zu erproben.  Das Video zeigt die Flügeldeformation in Beispielmanövern unseres Forschungsfliegers ATRA.",2,9,26
BMEL,@bmel,2021-05-10T13:20:55.000Z,"Wir 
@bmel
 fördern den Einsatz von #KünstlicheIntelligenz #KI im Weinbau:

• PINOT: Entwickeln einer ""künstlichen Nase"" mit Sensoren.
• SmartGrape: Bestimmen der Qualität von Trauben per Infrarot.

BMin 
@JuliaKloeckner
 übergibt 3-Jahres-Förderung über 2,9 Mio. und 1,2 Mio. Euro.",12,7,17
Verteidigungsministerium,@BMVg_Bundeswehr,2021-05-10T12:27:08.000Z,"Der Truppenabzug bei #ResoluteSupport ist in vollem Gange. Der Einsatz in #Afghanistan war der größte und intensivste in der Geschichte der #Bundeswehr. Das zeigen auch einige Zahlen zum Einsatz in Afghanistan, die wir gesammelt haben:",14,14,72
BMWi Bund,@BMWi_Bund,2021-05-10T12:41:07.000Z,"Im Rahmen der #NMK2021 wird im Hafen #Rostock-#Warnemünde heute die größte #Landstrom-Anlage Europas eingeweiht: 
@peteraltmaier
: „#Grünstrom an und Dieselmotor aus!“ Maritime #Energiewende",1,7,15
Björn Simon,@BjoernSimon,2021-05-10T11:48:26.000Z,"Am Montag nach Muttertag findet der Tag der #Kinderbetreuung statt. Ich danke allen #Kinderbetreuerin|nen und #Kinderbetreuer|n für ihre großartige und wichtige Arbeit in Kitas und in der #Kindertagespflege. 

#TagDerKinderbetreuung #DeshalbDanke #HeldenjedenTag 
@CDU
 @cducsubt",1,1,3
Björn Simon,@BjoernSimon,2021-05-10T10:36:06.000Z,"Mit #klimafreundlich|en und #nachhaltig|en Kraftstoffen, die mithilfe von Erneuerbaren Energien hergestellt werden, kommen wir dem Ziel des CO2-neutralen Fliegens ein deutliches Stück näher.  

#PtL #Energiewende #Kerosin 
@CDU
 @cducsubtBMVI
@BMVI
 · May 8
So können #Flugzeuge bald mit nachhaltigem Kerosin abheben. Gemeinsam mit Bund, Ländern & Industrie haben wir einen Fahrplan für klimafreundliche Power-to-Liquid-Flugkraftstoffe vereinbart: die #PtL-Roadmap.  200.000 Tonnen PtL-Kerosin jährl. sollen so bis 2030 produziert werden.
Show this thread
1:49
741 views",1,,1
CDU/CSU,@cducsubt,2021-05-08T07:10:00.000Z,"Eine Bundesstiftung soll das Werk des Kanzlers der Einheit ehren. Der Bundestag hat die Bundeskanzler-Helmut-#Kohl-Stiftung auf den Weg gebracht, mit Sitz in Berlin. „Die Stadt, die ohne ihn vielleicht nie Hauptstadt geworden wäre“, so 
@gittaconnemannBundesstiftung bewahrt Werk Helmut Kohls
Der Deutsche Bundestag hat das Gesetz über die Errichtung einer Bundeskanzler-Helmut-Kohl-Stiftung verabschiedet. Die Stiftung soll forschen und das Werk des Altkanzlers bewahren. Sitz i...
cducsu.de",17,4,21
Paul Ziemiak,@PaulZiemiak,2021-05-09T20:46:46.000Z,"Fakten für 
@Luisamneubauer
! 
@ArminLaschet
 hat #NRW zu einem Klimaindustrieland weiterentwickelt. Mit sicheren Arbeitsplätzen. Er hat die richtigen Entscheidungen getroffen und die Politik ihrer Partei, der Grünen, korrigiert. #AnneWill",1.3K,304,959
Verteidigungsministerium,@BMVg_Bundeswehr,2021-05-10T08:40:58.000Z,Gestern war #EuropaTag - und auch heute bleiben wir europäisch. Aktuell sind wir an drei Missionen und Operationen unter dem Dach der Europäischen Union beteiligt. Mehr Infos zu den EU-Einsätzen der #Bundeswehr: https://bmvg.de/de/themen/gsvp-sicherheits-verteidigungspolitik-eu…,,7,34
