User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Britta Haßelmann,@BriHasselmann,2021-05-13T12:35:11.000Z,"#Antisemitismus müssen wir entschieden bekämpfen. Zu den antisemitischen Ausschreitungen muss es umgehend einen Bericht des Innenministeriums im Innenausschuss des Bundestages geben. 
@IreneMihalic
 @KonstantinNotzIrene Mihalic - Zu antisemitischen Ausschreitungen fordern Grüne Bericht des Innenministeriums im...
Die antisemitischen Ausschreitungen sind unerträglich. Dem muss entschlossen entgegen gewirkt werden. Hierzu bedarf es auch eines klaren Signals des Bundesinnenministers.
gruene-bundestag.de",2,7,56
Britta Haßelmann,@BriHasselmann,2021-05-13T10:13:50.000Z,"Allen Muslim*innen, die heute das Ende des Fastenmonats feiern, ein schönes #Zuckerfest.Lamya Kaddor
@LamyaKaddor
 · 18h
Ich werde oft gefragt:Sag mal Lamya,wie gratuliert man Euch eigentlich zum Fest?Freue mich sehr,dass viele prominente grüneFreund:innen für Vielfalt stehen und diese sichtbarer machen!Wir wünschen allen Muslim:innen ein schönesRamdanfest<3

https://facebook.com/599358231/videos/10159234527793232/…

@Die_Gruenen
Show this thread",5,4,64
BÜNDNIS 90/DIE GRÜNEN,@Die_Gruenen,2021-05-13T09:32:22.000Z,"""Wenn wie jetzt israelische Flaggen vor Synagogen verbrannt oder Steine auf jüdische Gotteshäuser geworfen werden, müssen wir unsere Stimme erheben. #Antisemitismus hat in Deutschland keinen Platz und wir müssen ihn entschieden bekämpfen."" 
@ABaerbockBaerbock verurteilt Angriffe der Hamas auf Israel: „Wir stehen an der Seite der Israelis“
Grünen-Kanzlerkandidatin Annalena Baerbock verurteilt die Raketenangriffe auf Israel durch die islamistische Hamas „aufs Schärfste“. „Wir stehen in diesen schwierigen Stunden an der Seite der...
rnd.de",659,394,3K
Britta Haßelmann,@BriHasselmann,2021-05-13T08:01:05.000Z,"Freue mich schon jetzt, wenn es nach der #Corona-Pandemie-Zeit wieder möglich ist, das Himmelfahrts-Wochenende zur Kulturellen Landpartie im Wendland verbringen zu können. #KLP21",1,1,32
Britta Haßelmann,@BriHasselmann,2021-05-12T17:59:56.000Z,"Wenn es um #Israel geht, stehen alle Demokrat*innen zusammen. Ist das ihr Niveau 
@MarkusBlume
 und das ihrer #@CSU. Zeugt nicht von Verantwortungsbewusstsein.Omid Nouripour
@nouripour
 · May 12
Replying to @MarkusBlume
Lieber Herr Blume, Ihre Umfrageergebnisse im allen Ehren: können Sie bitte aufhören, das wichtige Thema unserer unverbrüchlichen Verpflichtung für Israel, zu der alle demokratischen Kräfte in unsere Land stehen müssen, mit Fakenews in d Wahlkampf zu ziehen? #WeAllStandwithIsrael",9,29,301
Britta Haßelmann,@BriHasselmann,2021-05-12T16:59:06.000Z,"Und jetzt zum 100.Geburtstag von #JosephBeuys B'90/Die Grünen NRW
@gruenenrw
 · May 12
Heute Abend noch nichts vor? Wir hätten da was für dich 
! Ab 19 Uhr streamen wir unsere digitale Kulturveranstaltung zum 100. Geburtstag von Joseph #Beuys 
.

Wir freuen uns auf dich. Zum Stream: http://gruenlink.de/215y",5,,14
Britta Haßelmann,@BriHasselmann,2021-05-12T07:49:41.000Z,"100 Jahre Joseph Beuys | Zollverein
Anlässlich des 100. Geburtstags von Joseph Beuys zeigen die Stiftung Zollverein und als Kooperationspartner das Ruhr Museum vom 10. Mai bis 26. September 2021 die Schau „Die Unsichtbare Skulptur. Der...
zollverein.de",1,,8
Britta Haßelmann,@BriHasselmann,2021-05-12T07:49:01.000Z,"Kunst, Kultur und Musik sind Lebenselixier. Heute wäre der Niederrheiner #JosephBeuys 100 Jahre alt geworden. https://beuys2021.de/de",2,3,17
Britta Haßelmann,@BriHasselmann,2021-05-12T06:07:01.000Z,"Voller Sorge blicken wir nach #Israel. Wir verurteilen die Raketenangriffe der Hamas. Sie müssen sofort beendet werden. Die Gewaltspirale macht deutlich, wir brauchen dringend die Wiederaufnahme von Friedensverhandlungen.Eskalation in Nahost: Hamas muss Raketen auf Israel stoppen, Friedensgespräche dringend nötig
Wir verurteilen die Raketenangriffe der Hamas aus dem Gaza-Streifen gegen Israel. Diese sind absolut inakzeptabel und müssen sofort beendet werden. Militärische Eskalation ist kein Mittel zur Lösung...
gruene-bundestag.de",13,4,80
Britta Haßelmann,@BriHasselmann,2021-05-11T15:48:26.000Z,"Bis heute ist #Scheuer im Amt des Bundesverkehrsminister’s. Das ist skandalös und ein Armutszeugnis für die Bundesregierung und Söder.Grüne im Bundestag
@GrueneBundestag
 · May 11
Der Untersuchungsausschuss zur #PKWMaut hat einen politischen Abgrund von Skrupellosigkeit, Ignoranz und Rechtsbrüchen offenbart. 

Das Wahlkampfprojekt der @CSU wird die Steuerzahler*innen 600 bis 800 Millionen Euro kosten – personelle Konsequenzen sind längst überfällig.",18,52,389
