User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
game_eV,@game_verband,2021-05-11T09:03:22.000Z,"Erneute Absage an den #Esport: Das Bundesinnenministerium macht in einer Antwort auf eine Kleine Anfrage von 
@BrittaDassler
 MdB & 
@fdpbt
 klar, dass es keinen Handlungsbedarf sieht. Wir kritisieren diese Blockadehaltung. game-GF 
@FelixFFalk",5,15,51
Britta Dassler,@BrittaDassler,2021-05-10T10:45:07.000Z,"Förderung des #eSports in #Deutschland ist ohne Strategie und wirksame Maßnahmen. Die #Bundesregierung bleibt wieder bei Ankündigungen. 
https://brittadassler.de/wp-content/uploads/2021/05/KA_eSport_Antworten.pdf…",2,,3
Britta Dassler,@BrittaDassler,2021-05-10T06:06:05.000Z,Am 10. Mai sagt ganz Deutschland Danke für die tolle Arbeit der Fachkräfte in Kitas und in der Kindertagespflege. http://bit.ly/2mV7bOn #TagDerKinderbetreuung #deshalbDanke #fdpbt,,2,5
Oliver Rast,@oliver_rast,2021-05-08T07:56:27.000Z,"#Fanszenen bisweilen überrascht: 
@fdpbt
 stellt durch 
@BrittaDassler
 Antrag auf Grundsatzreform der Datei ""Gewalttäter Sport"" in Dt BT, den 
@jungewelt
 exklusiv vorstellte. Wie reagieren 
@Linksfraktion
, #AndréHahn, 
@GrueneSportpoli
 @monikalazar
?
@fanhilfenRückenwind für die Kurve
Fußballfans: FDP stellt Antrag auf Grundsatzreform der Datei »Gewalttäter Sport«
jungewelt.de",,4,8
Britta Dassler,@BrittaDassler,2021-05-05T08:44:21.000Z,"Es ist gut, dass der 
@deb_teams
 klare Konsequenzen gezogen hat: 
@athleten_de
 hat erst kürzlich eine eigene Arbeitsgruppe eingerichtet, die #Rassismus im #Sport sichtbarer machen will. Rassismus hat keinen Platz in unserem Sport! #fdpbt 
@DLF_SportEishockey-Torwart Greiss - Nationalmannschafts-Aus wegen rechten Posts
Der deutsche NHL-Eishockey-Torwart Thomas Greiss hat mit einem Social-Media Post erneut rechtes Gedankengut erkennen lassen. Der Deutsche Eishockey-Bund zieht Konsequenzen: Für die WM in Lettland wird
deutschlandfunk.de",,2,7
Fraktion der Freien Demokraten,@fdpbt,2021-05-04T12:09:40.000Z,"„Jetzt lenkt auch die #GroKo beim Thema Lockerungen für Geimpfte und Genesene ein. Doch nicht aus inhaltlicher Überzeugung, sondern allein aufgrund des Drucks der Verfassungsbeschwerde der Abgeordneten der 
@fdpbt
!“ 
@MarcoBuschmann
.",45,37,156
Lukas Köhler,@koehler_fdp,2021-05-04T10:19:19.000Z,"Die 
@fdp
 hat das härteste #Klimaschutz-Konzept - denn mit dem sinkenden CO2-Limit im #Emissionshandel werden die Klimaziele garantiert erreicht. Warum dabei der #CO2Preis steigt, aber das Preis-Leistungs-Verhältnis sehr viel besser ist als bei einer CO2-Steuer, erfahrt ihr hier:",51,132,426
Britta Dassler,@BrittaDassler,2021-04-21T12:59:26.000Z,"#Extremismus bleibt Extremismus - egal, ob links oder rechts. Liebe 
@DanielaKluckert
, ich stehe an deiner Seite! #fdpDaniela Kluckert
@DanielaKluckert
 · Apr 21
So sieht mein Bürgerbüro in #Berlin heute aus. Linksextremismus ist allgegenwärtig. Wer meint, mich damit einzuschüchtern, täuscht sich jedoch.  #Politik #Demokratie #fdp",,,3
Britta Dassler,@BrittaDassler,2021-04-20T17:38:03.000Z,"http://inFranken.de berichtet über meine Rede in der ich deutlich auf den Einfluss von #Sport auf die psychische und physische Gesundheit hingewiesen habe! Zuvor hatte die #Bundesregierung einen Vergleich zur #Gartenarbeit und Spaziergängen gemacht. 

https://infranken.de/lk/erlangenhoechstadt/erlangen-bundestagsabgeordnete-fordert-fitnessstudio-oeffnung-art-5195481…Nachrichten, Anzeigen und Ratgeberthemen aus Franken
Aktuelle Nachrichten, Kommentare, Bildergalerien, Videos und Ratgebertipps aus Franken, Wirtschaft, Finanzen, Wetter, Sport, Reise und Veranstaltungen.
infranken.de",,,
Fraktion der Freien Demokraten,@fdpbt,2021-04-18T08:15:22.000Z,"Heute erinnern wir an alle, die an #Covid19 verstorben sind. Unsere Gedanken sind bei den Angehörigen. #Gemeinsam möchten wir heute mit ihnen trauern.  #Gedenktag #gedenkenChristian Lindner and 9 others",37,32,160
