User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Karl-Heinz Brunner,@BrunnerGanzOhr,2021-05-11T11:01:26.000Z,"Ver.di #Kempten wird heute 20 Jahre alt! Ich wünsche alles Gute und nur das Beste für die Zukunft.20 Jahre ver di Kempten Wir Feiern
youtube.com",,,
BayernSPDimBundestag,@BayernSPD_LG,2021-05-10T17:00:40.000Z,"Damit unsere Verfassung jeden Menschen vor Gewalt und Diskriminierung schützt, wollen wir den Rassebegriff aus dem Grundgesetz streichen und die Schutzwirkung des Artikel 3, Absatz 3 GG mit Aufnahme der sexuellen Identität und Orientierung erweitern.Karl-Heinz Brunner",1,2,2
Karl-Heinz Brunner,@BrunnerGanzOhr,2021-05-07T15:36:00.000Z,"Unsere #Demokratie muss #wehrhaft sein. Dazu zählt auch, dass wir unsere Presse- und #Meinungsfreiheit gegenüber den Rechten verteidigen. Auf der Straße, im Netz sowie im Parlament.Meinungsfreiheit verteidigen!
Die Meinungsfreiheit ist ein wertvolles Gut. Dafür einzustehen ist die Pflicht eines jeden Demokraten.
youtube.com",1,1,1
Karl-Heinz Brunner,@BrunnerGanzOhr,2021-05-07T14:31:23.000Z,"Es ist gut und richtig, dass der #Bundestag über jeden Einsatz der #Bundeswehr abstimmt.Landes- und Bündnisverteidigung legal?
Ich bin stolz darauf, dass dieses Parlament als quasi zweites Verfassungsorgan neben der Regierung die elementare Entscheidung trifft, wie, wann und wo die B...
youtube.com",,1,1
BayernSPDimBundestag,@BayernSPD_LG,2021-05-06T09:43:12.000Z,"Das Corona-#Aufholpaket für Kinder und Jugendliche kommt. Der Freistaat Bayern ist jetzt gefordert,  die entsprechenden Programme mit eigenen Mitteln aufzustocken bzw. mit Landesprogrammen zu begleiten! 
@BayernSPD
 @BayernSPD_Lndtg
 @HorstArnold_SPDCorona-Aufhol-Paket für Kinder und Jugendliche kommt! – Auch der Freistaat Bayern ist gefordert!
„Die SPD-Bundestagsfraktion hat erfolgreich für ein Corona-Aufhol-Paket für Kinder und Jugendliche gekämpft. Wir investieren zwei Milliarden Euro, um schulische Lernrückstände aufzuholen und soziale...
spd-landesgruppe-bayern.de",,4,7
Karl-Heinz Brunner,@BrunnerGanzOhr,2021-05-01T07:18:00.000Z,"Heute ist #TagderArbeit

#geMA1nsam haben wir mit dem #Kurzarbeitergeld Millionen Jobs gerettet und harte Monate der Pandemie durchgestanden.

#geMA1nsam kämpfen wir für:  bessere Arbeitsbedingungen, mehr Tarifverträge, starke Betriebsräte und einen #Mindestlohn von 12 Euro!",1,,5
toto,@josefheynckes,2021-04-23T10:01:39.000Z,"Nachtragshaushalt mit Unternehmenshilfen, Kurzarbeitergeld und Investitionen in Impfstoffe. Einsatz in Afghanistan. Gesetz gegen Schwarzarbeit. Gesetz zur Ausweitung Masernimpfungen. Wenn man sich bei allem enthält, hat man dann keine Meinung oder ist es ihr nur egal?",205,844,2.6K
Karl-Heinz Brunner,@BrunnerGanzOhr,2021-04-16T13:08:15.000Z,"Mit dem #Reisesicherungsfonds schaffen wir einen Paradigmenwechsel: Weg von einer reinen Versicherungslösung hin zu einer krisenfesten #Insolvenz|absicherung. Damit wollen wir der angeschlagenen #Reisebranche helfen.Insolvenzsicherung durch Reisesicherungsfonds
Die bisherige Haftungsbegrenzung war zu niedrig und somit keine dauerhafte Lösung. Mit Einführung des Reisesicherungsfonds schaffen wir einen Paradigmenwechs...
youtube.com",,1,3
Karl-Heinz Brunner,@BrunnerGanzOhr,2021-04-16T11:34:14.000Z,"Toller Startschuss für das Projekt #Mutmacher der Katholischen Familienstiftung für #Soldaten und Deutschen Härtefallstiftung! Mit dem Projekt werden #Kinder besser in die Behandlung ihrer Eltern eingebunden. Zu Beginn gab es Kinderbücher, die psychische Krankheiten thematisieren",1,,1
SPDqueer Tempelberg,@SPDqueerTS,2021-04-15T10:10:46.000Z,"Heute 19:30 Uhr Online-Diskussion zum #Transsexuellengesetz mit Nora Eckert und Jonathan Rose von TransInterQueer e.V., 
@MaraGeri
 und 
@BrunnerGanzOhr
 Zugangsdaten per E-Mail https://bit.ly/SPDQTS1504",,3,1
Karl-Heinz Brunner,@BrunnerGanzOhr,2021-04-13T12:54:36.000Z,"In der Pandemie werden #Familien zusätzlich belastet - etwa wenn #Kita oder #Schule schließen. Deshalb werden die #Kinderkrankentage für das laufende Jahr nochmals erhöht: pro Elternteil und Kind von 20 auf 30, bei Alleinerziehenden von 40 auf 60 Tage pro Kind.",1,2,5
Lars Castellucci,@larscastellucci,2021-04-13T05:25:01.000Z,"SPD, Grüne, Linke und FDP fordern #Rüstungsexportgesetz. Und bitte schnell volle Transparenz bei Nebeneinkünften, damit da kein Verdacht entsteht, wo der Widerstand herkommt - Zeit für progressive Mehrheiten https://handelsblatt.com/27086356.html?share=twitter… 
@denkfabrik_SPD
 @BrunnerGanzOhr
 @FrankSchwabeNach Urteil zu Heckler & Koch: SPD, Grüne und FDP fordern Rüstungsexportgesetz
Der Bundesgerichtshof hat auf Lücken bei der Kontrolle des Exports von Kriegswaffen hingewiesen. Ein neues Gesetz könnte zum Wahlkampfthema werden.
handelsblatt.com",1,7,34
