User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Hans-Georg Maaßen,@HGMaassen,2021-05-13T13:04:23.000Z,"Schauen Sie sich das Video an! Es ist unerträglich, das so etwas in Dtld möglich ist! Warum wird das nicht verboten? Was sagen die Damen Will, Neubauer und ihre politisch-medialen Alliierten dazu?Hass-Demo vor Synagoge in Gelsenkirchen - Judenhass eskaliert auf deutschen Straßen
In Israel attackiert die Terror-Organisation Hamas die Zivilbevölkerung. Jetzt scheint der mörderische Judenhass auch Deutschland zu erreichen. 
bild.de",535,1.3K,5.3K
"Dr. Christian Wirth, MdB",@ChrWirthMdB,2021-05-14T16:35:17.000Z,,1,4,7
Edward Franiel,@Politleben,2021-05-06T10:44:58.000Z,"Dr. Christian Wirth: „Keine #Notlage entbindet uns vor der Verantwortung verfassungsgemäße #Gesetze hier in diesem Hause zu erlassen. Dieses Gesetz, dieser Inzidenzwertautomatismus verstößt gegen die #Verfassung!“
@ChrWirthMdB
 #AfD
https://politwelt.de/2021/05/06/dr-christian-wirth-rede-vom-06-05-2021/… via 
@PolitweltDr. Christian Wirth – Rede vom 06.05.2021
Dr. Christian Wirth – Bevölkerungsschutzgesetz – Normenkontrolle Keine Notlage entbindet uns vor der Verantwortung verfassungsgemäße Gesetze hier in diesem Hause zu erlassen. Dieses Ges…
politwelt.de",,3,5
"Dr. Christian Wirth, MdB",@ChrWirthMdB,2021-05-06T11:01:39.000Z,Ordnungsruf? Was meint ihr?,7,4,4
Edward Franiel,@Politleben,2021-05-04T15:06:45.000Z,"Stephan Brandner: „Es ist typisch für Frau #Merkel, dass sie links und rechts nichts von sich duldet, und nur noch einen #Tunnelblick hat.“
@BerndBaumannAfD
 @StBrandner
 @ChrWirthMdB
 @GtzFrmming
 @MdB_Lucassen
 @Martin_Hess_AfD
 @AfDimBundestag
http://politwelt.de/?p=26460 
@PolitweltPK der AfD-Bundestagsfraktion, u. a.: Abstrakte Normenkontrollklage beim Bundesverfassungsgericht
Pressekonferenz der AfD-Fraktion im Deutschen Bundestag vom 04.05.2021 zu Themen und Anträgen in dieser Sitzungswoche Stephan Brandner: „Es wundert mich nicht, dass Frau Merkel sich darüber au…
politwelt.de",27,9,43
Edward Franiel,@Politleben,2021-04-22T19:53:00.000Z,"Dr. Christian Wirth: „Was im #Koalitionsvertrag vom ersten Tag an vereinbart war, scheint es ihnen erst jetzt wirklich wichtig zu sein, wo sie genau wissen, dass sie ihre #Regierung verlieren werden. Der #Wähler lässt grüßen.“
@ChrWirthMdB
https://politwelt.de/2021/04/22/dr-christian-wirth-rede-vom-22-04-2021/… via 
@PolitweltDr. Christian Wirth – Rede vom 22.04.2021
Dr. Christian Wirth – Bundespersonalvertretungsgesetz Was im Koalitionsvertrag vom ersten Tag an vereinbart war, scheint es ihnen erst jetzt wirklich wichtig zu sein, wo sie genau wissen, das…
politwelt.de",,3,7
"Dr. Christian Wirth, MdB",@ChrWirthMdB,2021-04-21T09:25:22.000Z,,3,8,10
𝗝𝗼𝗮𝗰𝗵𝗶𝗺 𝗣𝗮𝘂𝗹 𝗠𝗱𝗟,@JoachimPaul_AfD,2021-04-18T18:15:39.000Z,"#Deutschlandabernormal  unser Video 
@AfD
 - teilen!AfD-Kampagnenfilm 2021: Deutschland. Aber normal.
„Deutschland. Aber normal“ – so lautet der Leitspruch der AfD-Kampagne für die Bundestagswahl 2021. Hier sehen Sie das gleichnamige Kampagnen-Video.
youtube.com",,11,20
"Dr. Christian Wirth, MdB",@ChrWirthMdB,2021-04-16T15:05:47.000Z,https://facebook.com/151974798719373/posts/875490639701115/?d=n…,,1,3
Stephan Brandner,@StBrandner,2021-04-16T12:56:25.000Z,"Der Wirth schafft!
https://fb.watch/4V5RXvtppS/",11,2,16
