User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Cornelia Möhring,@Conni_Moehring,2020-10-31T07:55:04.000Z,"Es muss auch hierzulande endlich Schluss sein, das #Schwangerschaftsabbrueche kriminalisiert werden. #Austragungspflicht #218 streichen. #Beratungsrecht statt #Beratungspflicht #219a muss weg. Frauen können selbst entscheiden. #solidaritywithpolishwomen",10,43,212
Cornelia Möhring,@Conni_Moehring,2021-05-14T08:54:20.000Z,"What 
? Frau Giffey ist echt nicht zu bremsen in ihrem konservativen Anbiederungskurs. Wenn sie doch in ihren Anstengungen  #GewaltgegenFrauen zu bekämpfen genauso zielstrebig wäre.Norbert Müller
@Norbert_MdB
 · 5h
Zu Beginn der Wahlperiode hat die #NoAfD die Wiedereinführung der sogenannten ""Extremismusklausel"" beantragt. Im Kern ein Mißtrauen gegen antifaschistisches Engagement. Jetzt kommen @FranziskaGiffey & @spdbt diesem Wunsch nach. Unsäglich! @Linksfraktion https://youtu.be/p0AkNs5RcfU",,1,9
Cornelia Möhring,@Conni_Moehring,2021-05-14T07:10:12.000Z,"Schwangerschaftsabbrüche müssen als Teil der Gesundheitsversorgung gelten, überall in Deutschland möglich sein und die Kosten haben die Krankenkassen zu tragen. #wegmit218 #150JahreWiderstand #218abwählen",4,27,118
Cornelia Möhring,@Conni_Moehring,2021-05-14T07:06:39.000Z,"#Wegmit218 
Wir wollen Schwangerschaftsabbrüche aus dem Strafgesetzbuch streichen und stattdessen ein Recht auf selbstbestimmte Schwangerschaft. #ReproduktiveGerechtigkeit #218abwählen #150JahreWiderstand #wegmit218",,3,12
Cornelia Möhring,@Conni_Moehring,2021-05-13T11:14:04.000Z,"Finde ja eher, dass es Zeit für kluge Frauen und weniger für „starke“ Männer ist #DFB Deutschlandfunk - Die Nachrichten - Detail (Sport)DFB-Präsident - Berti Vogts schlägt Uli Hoeneß vor
Der ehemalige Fußball-Bundestrainer Berti Vogts schlägt Uli Hoeneß als neuen DFB-Präsidenten und Nachfolger von Fritz Keller vor.
deutschlandfunk.de",,,4
Inge Hannemann,@IngeHannemann,2021-05-13T07:28:03.000Z,"""""Homeoffice ist ein Privileg der Reichen"" #ArmutBettina Kohlrausch: ""Homeoffice ist ein Privileg der Reichen""
Der ""Armutsbericht"" der Bundesregierung zeigt, dass sich Armut verfestigt – erst recht durch Corona. Die Soziologin Bettina Kohlrausch warnt vor noch mehr Polarisierung.
zeit.de",3,30,68
DIE LINKE,@dieLinke,2021-05-10T13:14:44.000Z,"Für einen Wandel, der niemanden zurücklässt. 
Der Hoffnung gibt und sozial gerecht ist.
Gemeinsam machen wir das Land gerecht. Jetzt!
#MachtdasLandgerecht #jetzt",47,291,563
phoenix,@phoenix_de,2021-05-10T11:43:26.000Z,"Welche Ziele verfolgt 
@dieLinke
 für die #btw21? Co-Spitzenkandidatin 
@Janine_Wissler
 sagt: #Gemeinwohl, #Klimaschutz und #SozialeGerechtigkeit dürfen nicht länger warten. 
@Linksfraktion",4,18,55
Katja Kipping,@katjakipping,2021-05-10T10:56:27.000Z,"#Spitzenkandidatur: Ein kluger Vorschlag von 
@SusanneHennig
 & 
@Janine_Wissler
. Freue mich auf den gemeinsamen Wahlkampf mit den beiden Spitzenkandidat*innen Janine & Dietmar und der  gesamten Partei, denn eine starke 
@dieLinke
 #MachtdasLandgerecht #BTW21DIE LINKE
@dieLinke
 · May 10
Gemeinsam machen wir das Land gerecht: Wir kämpfen mit @Janine_Wissler und @DietmarBartsch an der Spitze für eine starke LINKE im Bundestag. Livestream der Präsentation der Spitzenkandidat*innen. #MachtdasLandgerecht #BTW21  https://twitter.com/i/broadcasts/1BRKjBvlYYoKw…",6,10,80
DIE LINKE,@dieLinke,2021-05-10T09:57:38.000Z,"Gemeinsam machen wir das Land gerecht: Wir kämpfen mit 
@Janine_Wissler
 und 
@DietmarBartsch
 an der Spitze für eine starke LINKE im Bundestag. Livestream der Präsentation der Spitzenkandidat*innen. #MachtdasLandgerecht #BTW21DIE LINKE
@dieLinke
Gemeinsam machen wir das Land gerecht. Jetzt!",12,72,173
linksfraktion,@Linksfraktion,2021-05-10T08:46:55.000Z,"„#Gewalt an #Frauen ist ein epidemisches Problem, welches durch die Belastungen der #Corona Pandemie im Anstieg von häuslicher Gewalt, überfüllten #Frauenhäuser|n & einem Hilfesystem am Rande seiner Belastungsgrenze offen zutage tritt.“, so 
@Conni_MoehringAufschrei statt Jubel: Nach zehn Jahren Istanbul-Konvention steht das Hilfesystem am Limit
„Gewalt an Frauen ist ein epidemisches Problem, was tief in unserer Gesellschaft verwurzelt ist. Durch die Belastungen aufgrund der Corona-Pandemie treten die Wunden nun offen zutage. Wir verzeichnen...
linksfraktion.de",,7,17
christina clemm,@barbaraclemm,2021-05-10T06:13:23.000Z,"Statistik: Auch heute wird ein Mann versuchen, seine (Ex-) Partnerin zu töten, mehr als 300 mal werden Frauen von ihren (Ex-)Partnern körperlich verletzt. Das sind die Anzeigen. Das Dunkelfeld ist riesig.
#femizid
 
#PartnerschaftsgewaltFemizid - Opfer-Meldungen 2021 Deutschland - Pressesammlung
Femizid - Frauentötung. Alle 72 Stunden stirbt in Deutschland eine Frau – getötet von ihrem (Ex)-Partner, Ehemann, Vater, Bruder, Sohn, Nachbarn, etc.
onebillionrising.de",,41,81
DIE LINKE. SH,@linke_sh,2021-05-09T13:47:35.000Z,"Es ist vollbracht, wir ziehen mit sechs tollen Kandidat*innen auf einer vielfältigen Landesliste in den #BTW21! Die Gesamtliste wird noch einmal per Briefwahl von den Delegierten bestätigt. Dieses Ergebnis wird am 25.5. ausgezählt und verkündet. #linkelvvSH",1,6,34
DIE LINKE. SH,@linke_sh,2021-05-09T12:39:46.000Z,"Auf Platz 4 vertritt uns Susanne Spethmann mit 71,9%! Als Krankenschwerster steht sie für solidarisches Umdenken in der Pflege- und Gesundheitspolitk - und ist unsere starke Stimme für den Kampf um eine gerechte Pflegepolitik.Herzlichen Glückwunsch!#linkelvvsh",1,5,21
DIE LINKE. SH,@linke_sh,2021-05-09T13:17:40.000Z,"Auf Platz 5 ist Sophie Bachmann mit 90,7%! Mit ihren Schwerpunkten Arbeits-,Bildungs-,und Wirtschaftspolitik erklärt sie soziale Gerechtigkeit und Sicherheit zusammen mit Klimagerechtigkeit als zentral für eine sozialökologische Transformation.Herzlichen Glückwunsch!#linkelvvsh",,4,13
Cornelia Möhring,@Conni_Moehring,2021-05-09T13:10:46.000Z,"Das ist ne Hammerliste,  die wir  
@linke_sh
 zur #btw21 aufgestellt haben. Auf in den Wahlkampf. Für eine starke 
@Linksfraktion
 Machen wir das Land gerecht! #CDUrausausderRegierung 
@Conni_Moehring
 @lgbeutin
 @katrinehoop
 @susispethmann
 Sophie Bachmann und 
@MaxiReimers
  lets rock",1,4,24
Nicolas Jähring,@NJaehring,2021-05-09T12:12:04.000Z,"Mal einen großen Applaus für die Mitarbeitende, die das Pult jedes Mal desinfiziert! #linkelvvSHGIF",,2,5
