User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
"Corinna Miazga, MdB",@CorinnaMiazga,2021-05-14T10:40:51.000Z,"Das neue #Klimapaket der GroKo definiert Ziele ohne Kostenabschätzung. Den schwarzen Peter wird man nach der Wahl gerne den Grünen zuschieben. Die Kosten werden explodieren, zahlen darf der Normalverbraucher. #AfD
► https://tinyurl.com/ydjcxmaw
► https://tinyurl.com/y9du8ve3",4,29,78
"Corinna Miazga, MdB",@CorinnaMiazga,2021-05-12T15:03:11.000Z,"#Macron verliert die Abstimmung zum ‚Grünen Pass‘!
► https://tinyurl.com/ye2j2u8y",10,37,154
"Corinna Miazga, MdB",@CorinnaMiazga,2021-05-10T11:11:33.000Z,"Die Holzpreise steigen und es droht Versorgungsknappheit. Exporte ja, aber nicht zulasten der heimischen Bauindustrie. (Über 50% des exportierten Rohholzes geht direkt nach China.) #AfD 
► https://tinyurl.com/yhlpqkyu",21,72,225
"Corinna Miazga, MdB",@CorinnaMiazga,2021-05-07T22:09:12.000Z,"Der #Verfassungsschutz 'vergisst' Akten zum Thema Amri. ""Im Rahmen einer Überprüfung wurde festgestellt, dass die Akten entgegen der bisherigen Annahme bislang nicht vollständig übermittelt worden waren"", teilte das Ministerium mit.
► https://tinyurl.com/54vdwax3",8,79,208
"Corinna Miazga, MdB",@CorinnaMiazga,2021-05-06T08:53:29.000Z,Für #Recht und #Ordnung in unseren Städten: #AfD,18,124,527
"Corinna Miazga, MdB",@CorinnaMiazga,2021-05-05T13:07:59.000Z,"#Amazon verdient Milliarden und zahlt keine Steuern in #Europa! Durch die Verzweigung der vielen Tochterunternehmen verbucht man in Europa einfach Verluste die man dem #Fiskus meldet. Unser #Steuergeld für #Gewinne in den #USA.
► https://tinyurl.com/yfb4sk2s",18,63,191
"Corinna Miazga, MdB",@CorinnaMiazga,2021-04-22T06:13:45.000Z,"16 Jahre #Merkel beenden das Kapitel der Union als Volkspartei. #Laschet wird der Todeskuss für die #CDU sein.
► https://tinyurl.com/yfglzedj
► https://tinyurl.com/ygfov9dw",37,97,343
"Corinna Miazga, MdB",@CorinnaMiazga,2021-04-19T16:10:03.000Z,"Das #RKI kritisiert die geplante Notbremse der Regierung als Betriebsanleitung für einen Dauerlockdown.
► https://tinyurl.com/ydo8x75j",11,35,123
"Corinna Miazga, MdB",@CorinnaMiazga,2021-04-19T16:07:17.000Z,"Ich bedanke mich ganz herzlich für die Unterstützung bei meinem Kreisverband, der mich am Wochenende in Abwesenheit (!) wählte. #AfD",57,125,806
"Corinna Miazga, MdB",@CorinnaMiazga,2021-04-16T20:13:31.000Z,"Chaosregierung versagt selbst beim Autobahnbau.
Herr #Scheuer ist nicht in der Lage die Rechnungen durch die neue Autobahn GmbH des Bundes zu bezahlen. Es folgte ein Baustopp in Bremen und weitere werden folgen.
► https://tinyurl.com/yk6xlmhm",22,105,286
"Corinna Miazga, MdB",@CorinnaMiazga,2021-04-15T15:08:17.000Z,"Kritik an #Merkel kommt inzwischen aus den eigenen Referaten des Bundeskanzleramts.
 Es wird Zeit für die Vertrauensfrage!
#Ausgangssperre #Bundesnotbremse #AfD 
► https://tinyurl.com/yjcskv9l",25,127,358
"Corinna Miazga, MdB",@CorinnaMiazga,2021-04-14T17:28:29.000Z,"Merkels letzte Machtprobe droht doch noch zu scheitern. In der Union regt sich Widerstand gegen die unverhältnismäßigen Grundrechtseingriffe. #Ausgangssperre #Bundesnotbremse #AfD #Merkel
► https://tinyurl.com/yemspyb7",19,63,261
"Corinna Miazga, MdB",@CorinnaMiazga,2021-04-13T16:21:18.000Z,"Ganz nach Konrad Adenauer: ""Was kümmert mich mein Geschwätz von gestern!""",34,79,306
"Corinna Miazga, MdB",@CorinnaMiazga,2021-04-12T13:09:48.000Z,"""Ein deutscher Liederabend"" mit Heino ist nicht politisch Korrekt genug. Heino selbst: ""Ich bin fassungslos, dass man mich mit so etwas auch nur annähernd in Verbindung bringt. ... Wenn man so weitermacht, verliert Deutschland seine eigene Identität....""
►https://tinyurl.com/ygdj4x2m",50,165,585
"Corinna Miazga, MdB",@CorinnaMiazga,2021-04-09T10:47:16.000Z,"Merkels letzte Machtprobe: Der Gipfel ist abgesagt, stattdessen wird das #Infektionsschutzgesetz im Eilverfahren und Einvernehmen mit den Ländern und den Bundestagsfraktionen (außer #AfD) zugunsten des Bundes geändert. Willkür per Gesetz.
► https://tinyurl.com/ydr68op5",72,252,518
"Corinna Miazga, MdB",@CorinnaMiazga,2021-04-08T07:51:27.000Z,"Wer folgt auf #Merkel?Grüne Eier sind meistens faul / 08.04.2021
Grüne Eier sind meistens faul / 08.04.2021
corinna-miazga.de",56,71,264
"Corinna Miazga, MdB",@CorinnaMiazga,2021-04-06T12:15:31.000Z,"Die Grünen haben ihr Wahlprogramm vorgestellt. Es ist übersäht mit Verboten, aber nur so kennen wir die Grünen.
► https://tinyurl.com/ydw84rm2",66,194,447
"Corinna Miazga, MdB",@CorinnaMiazga,2021-04-01T14:19:38.000Z,#AfD,30,60,267
