User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Olaf Gersemann,@OlafGersemann,2021-05-12T09:01:19.000Z,"Finde das Land, in dem am 24. April das ""Bundesnotbremen""-Gesetz in Kraft trat. 
@welt",110,636,2.1K
Daniel Föst,@DFoest,2021-05-13T09:15:45.000Z,Wie auch immer ihr ihn feiert: Ich wünsche euch allen einen schönen #Vatertag. ;),2,7,133
"What a week, huh? all Wednesdays",@whataweekhuh,2021-05-12T10:47:00.000Z,,186,35.6K,152.3K
Prof. Martin Neumann MdB,@_MartinNeumann,2021-05-12T14:36:13.000Z,"Die Entscheidung ist grotesk. Wir 
@fdpbt
 fordern die Teilwarmmiete, die die Lenkungswirkung des #Emissionshandel|s entfaltet & mit der Wohnen bezahlbar bleibt. Dieses Konzept schafft Anreize für #Vermieter, in #CO2-arme Technologien zu investieren. 
@DFoestVermieter sollen künftig 50 Prozent der CO2-Preis-Kosten tragen
Bisher trägt allein der Mieter die Kosten des CO2-Preises. Jetzt haben sich Union und SPD darauf geeinigt, dass Vermieter die Hälfte der Kosten übernehmen.
handelsblatt.com",1,4,27
VBS e.V.,@VBS_eV,2021-05-12T11:38:05.000Z,"Gutes Gespräch mit dem #FDP-Landesvorsitzenden 
@DFoest
 zu aktuellen Fragen der #Kreislaufwirtschaft. Im Fokus standen dabei die Themen #Klimaschutz durch Ausbau der #Kreislaufwirtschaft und Brandgefahr durch Lithium-Akkus reduzieren.",,1,7
Ulf Poschardt,@ulfposh,2021-05-11T14:22:52.000Z,"wer mit aktistivist:innen zusammenarbeitet oder sie einspannt, verliert am ende an glaubwürdigkeit. 
@annewill
 ist gestern vorbildlich zurückgerudert. nun der 
@tagesspiegel
 mit dem versuch einer selbstkritik. eine gute entwicklung. 

https://welt.de/kultur/medien/article231053961/Recherche-zu-allesdichtmachen-Tagesspiegel-entschuldigt-sich.html?cid=socialmedia.twitter.shared.web… via 
@weltRecherche zu #allesdichtmachen: „Tagesspiegel“ entschuldigt sich - WELT
Der „Tagesspiegel“ hat seine Berichterstattung über die Aktion #allesdichtmachen einer kritischen Bewertung unterzogen. Dabei kam heraus, dass bei einer Recherche „handwerkliche Fehler“ unterlaufen...
welt.de",85,95,515
Anna Schneider,@a_nnaschneider,2021-05-10T10:13:08.000Z,Mein Mietendeckel ist besser als deiner.,25,29,423
FDPPfeffer,@FdpPfeffer,2021-05-10T10:24:10.000Z,"Meine 2. Station ... 
@DFoest
 München ...",,1,11
Daniel Föst,@DFoest,2021-05-10T09:28:19.000Z,"Zum #NoIAA Bündnis gehört übrigens auch die Grüne Jugend, die Linke und die Partei. Macht man jetzt so Wahlkampf? Und noch wichtiger: darf man das dann auch bei euren Plakaten machen? Frage für einen Freund.Dorin Popa
@NiceBastard
 · May 10
München: „Am frühen Montagmorgen überhängten Aktivist*innen des Bündnisses #noIAA im Rahmen einer Aufklärungskampagne Partei-Plakate mit eigens gestalteten Plakaten, die den Fokus auf das gemeinwohlfeindliche Agieren der Automobilindustrie richten.“ #verkehrswende #iaa #öpnv
Show this thread",2,7,36
Matthias Süß,@matthiassuess,2021-05-08T13:37:24.000Z,"Replying to 
@DFoest",,11,43
Marco Buschmann,@MarcoBuschmann,2021-05-08T12:15:11.000Z,"Das ist ja putzig. Gestern habe ich sachliche Kritik an einem Programmpunkt der Grünen geübt. Gleich wurde versucht, mich dafür bei Twitter anzuschwärzen.
Albern!
Schlechte Debattenkultur!
Gut, dass Twitter den Blödsinn nicht mitmacht!",32,39,418
Daniel Föst,@DFoest,2021-05-08T09:24:31.000Z,"Das sollte man vor seiner Wahlentscheidung berücksichtigen.
#R2G wäre eine Katastrophe. Schaut einfach mal in die Programme.
PS: Nato ist da noch die kleinste SacheHabeck schließt Linksbündnis nach der Wahl nicht aus
Der Grünen-Chef zeigt sich offen für ein Bündnis aus Grün-Rot-Rot. Dafür müsse sich die Linke aber zur Nato bekennen.
tagesspiegel.de",5,14,82
Martin Hagen,@_MartinHagen,2021-05-08T09:07:06.000Z,"Kein #Lockdown für Kinderrechte! Heute spreche ich wieder auf einer Demo von 
@If_Bund
 in #Muenchen. Danke auch fürs Kommen an 
@DJanecek
 und 
@Johannes_Becher
! #wirfürkinder #Kinder #Schule #Kita #Corona #Politik",20,20,235
Marco Buschmann,@MarcoBuschmann,2021-05-08T06:58:03.000Z,"Wow! Die Aktion „Flaggen der Einheit“ der 
@fdpbt
 hat gestern jede Menge Preise beim Art Directors Award abgeräumt. Großes Kompliment an 
@HEIMATBerlin
 für das kreative Konzept und unsere Mitarbeiter für die Umsetzung! ",9,23,187
