User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Scoop,@doc_scoop,2021-05-13T09:05:50.000Z,"Ein paar Worte zu LongCovid und Kinderimpfpflicht. Und zur Beruhigung. Und zur Versachlichung.

Ich bin Kinderkardiologe und Kinderpneumologe - mit Einzugsbereich von 380.000 Einwohnern, der größte Teil seit Februar in Hochinzidenz bis 600 (Kids eher noch höher). 

1/x",149,1K,2.6K
Dieter Janecek,@DJanecek,2021-05-13T17:15:01.000Z,"Freibäder nun doch auf. Janecek: „Auf öffentliche Kritik reagiert der Ministerpräsident erfahrungsgemäß schnell. Und das ist in diesem Fall gut so"" – auch wenn sich erneut bewahrheitet habe, dass ""Kinder und Familien bei der #CSU an letzter Stelle kommen"".Münchens Freibäder dürfen öffnen
Hotel-Hallenbäder auf, Münchens Liegewiesen dicht? Nach Kritik ändert Markus Söder (CSU) den Kurs. Der Ministerpräsident will die Freibäder ab dem 21. Mai wieder aufsperren lassen.
abendzeitung-muenchen.de",8,3,22
Irene Mihalic,@IreneMihalic,2021-05-13T09:04:42.000Z,"Antisemitische Hetze 
vor der #Synagoge mitten in unserer Stadt… Es ist einfach abstoßend! Der Jüdischen Gemeinde in #Gelsenkirchen gilt unsere Solidarität. Dass Jüdinnen und Juden in Deutschland in Angst leben, dürfen wir nicht hinnehmen!  #NieWieder",33,85,613
Olaf Gersemann,@OlafGersemann,2021-05-13T08:43:47.000Z,"1/20

Modellierer des Schreckens - eine kleine #Corona-Serie

Folge 5: Cornelius Römer

Seriosität: 
Treffsicherheit: 
Faule-Ausreden-Faktor: 
Cornelius Römer ist der bunte Vogel unter den Corona-Modellierern. 

Er ist ...
@welt",224,603,1.9K
Dieter Janecek,@DJanecek,2021-05-13T06:32:31.000Z,"Kann ich nur empfehlen. Tom
@tomhillenbrand
 · May 13
In Deutschland trenden #Crypto und #Bitcoin
. GuMo, trendy Tweeps! Ich hätte da einen Thriller über Kryptowährungen, Coins und den ganzen Wahnsinn: https://kiwi-verlag.de/buch/tom-hillenbrand-montecrypto-9783462001570…",,1,5
Elon Musk,@elonmusk,2021-05-12T22:06:14.000Z,Tesla & Bitcoin,124.3K,124.8K,480.4K
RND,@RND_de,2021-05-12T08:31:34.000Z,"Die #Grünen-Kanzlerkandidatin Annalena #Baerbock hat den Regierungsentwurf für das geänderte #Klimaschutzgesetz kritisiert und mehr Investitionen für den Klimaschutz gefordert.Kanzlerkandidatin Baerbock will Klimaschutz-Sofortprogramm
Kanzlerkandidatin Annalena Baerbock (Die Grünen) hat das neue Klimaschutzgesetz kritisiert. Sie forderte mehr Investitionen. Zudem müsse „ein Klimaschutz-Sofortprogramm auf den Weg gebracht werden“.
rnd.de",4,7,42
Felix Müller,@mueller_fe,2021-05-12T06:58:29.000Z,"Hallenbäder für Hotelgäste öffnen. Münchner Freibäder haben keinerlei Perspektive. Das ist vollkommen absurd. Und passt leider ins Bild. Mein Kommentar in der 
@AbendzeitungFreibad-Öffnung in München: Platsch priorisieren!
AZ-Lokalchef Felix Müller über die Freibad-Politik.
abendzeitung-muenchen.de",2,13,71
Dieter Janecek,@DJanecek,2021-05-12T06:55:19.000Z,"Unsere #Freibäder brauchen dringend eine Perspektive - gerade in einer Millionenstadt wie #München, in der an sonnigen Tagen die Parks voll sind. Außenräume öffnen, um Innenräume zu vermeiden. Spielräume für Kinder schaffen!  
@AbendzeitungKeine Perspektive für Münchner Freibäder: Wann darf wieder geplanscht werden?
Die Freibäder haben keinerlei Perspektive. Dabei bräuchten sie Zeit zur Vorbereitung, etwa um das Wasser zu wärmen. Jetzt gibt es Kritik aus der Politik.
abendzeitung-muenchen.de",,1,10
Dieter Janecek,@DJanecek,2021-05-12T05:53:09.000Z," „Bayern hat beschlossen, die Biergärten zu öffnen, die Kosmetikstudios, Hotels samt Wellness und Innengastronomie und so weiter. Gleichzeitig hat der Ministerpräsident gerade nochmal betont: „Es macht keinen Sinn, die Schulen jetzt aufzumachen – ohne einen Plan zu haben.““Olaf Gersemann
@OlafGersemann
 · May 11
Bis zum Sommer keine Schulaufgaben und keine Klassenarbeiten mehr? Es wird immer verrückter, findet @ifo_Institut-Bildungsökonom Ludger @Woessmann. 

https://welt.de/wirtschaft/article231053129/Oeffnungen-Der-Politik-ist-die-Zukunft-einer-ganzen-Schuelergeneration-egal.html… via @welt",29,21,127
