User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Daniela Kluckert,@DanielaKluckert,2021-05-12T12:48:13.000Z,Bei den Raketenangriffen auf Israel verloren auch zwei Frauen aus Pankows Partnerstadt Aschkelon ihr Leben. Ich verurteile die terroristischen Angriffe der Hamas zutiefst und stehe solidarisch an der Seite der Menschen in Israel. #IStandWithIsrael,5,7,79
Felix Reifschneider,@prenzlix,2021-05-10T14:17:55.000Z,"Da setzt die jahrzehntelange Regierungspartei wohl auf Amnesie bei den Wähler:innen.
Eine funktionierende Verwaltung ist zentral. Die SPD hat da eindeutig versagt.SPD Berlin
@spdberlin
 · May 10
Eine funktionierende #Verwaltung ist die Basis des Zusammenlebens einer Stadt. Deshalb machen wir für alle Berliner:innen unsere Verwaltung ganz sicher zukunftsfähig: mit einer guten digitalen Ausstattung. #GanzSicherBerlin",1,1,10
Daniela Kluckert,@DanielaKluckert,2021-05-07T09:05:07.000Z,"Bettina #Jarasch von ⁦
@gruene_berlin
⁩ hat den Rückbau der A100 gefordert. Diese Forderung ist völlig unseriös - das zeigt jetzt auch die Antwort vom Verkehrsministerium auf meine Frage. Einer Regierungspartei ist das echt unwürdig. #Berlin #MobilitätScheuer bremst Berliner Grünen-Spitzenkandidatin Jarasch aus
Von oben wirkt es auf den ersten Blick wie ein XXL-Spargelbeet. Wer genau hinschaut, sieht Berlins umstrittenste Baustelle: die 3,2 Kilometer lange Verlängerung der A 100 von Neukölln bis Treptow....
bz-berlin.de",,4,22
Daniela Kluckert,@DanielaKluckert,2021-05-07T06:55:32.000Z,"Musste zweimal hinhören, wer hier Aufhebung von #Patentschutz der Impfstoffe gegen #Corona fordert. Aber auch #Biden irrt sich mal. Schnelle Spitzenforschung funktioniert nur mit Aussicht auf Gewinne. #EU und 
@vonderleyen
 müssen hier klare Kante zeigen. #marktwirtschaft",2,2,32
Daniela Kluckert,@DanielaKluckert,2021-04-29T16:42:20.000Z,"Herzlichen Dank für diese Spende. Wir werden sie für den Schutz der #Freiheit und der #Marktwirtschaft einsetzen. #FDPAus Angst vor den Grünen: Investor Kofler spendet 750.000 Euro an die FDP
Die Grünen seien der „sozialistische Wolf im grünen Schafspelz“, erklärt der Unternehmer, bekannt aus der Sendung „Die Höhle der Löwen“. Die FDP dagegen stehe für Freiheit und Marktwirtschaft.
handelsblatt.com",1,8,65
FDP Berlin,@fdp_berlin,2021-04-28T06:35:37.000Z,"Heute Abend noch nichts vor? 
@DanielaKluckert
 diskutiert heute um 20 Uhr über die Bundesnotbremse und berichtet über unsere Klage gegen die Ausgangssperre. Wer Lust hat, kommt einfach dazu: https://gotomeet.me/FDPPankow/stammtisch-zur-bundesnotbremse-und-der-corona-poli…",,3,18
Daniela Kluckert,@DanielaKluckert,2021-04-27T11:11:09.000Z,"Das #Infektionsschutzgesetz ist weder wirksam oder verhältnismäßig noch rechtssicher. Deswegen habe ich heute gemeinsam mit Kollegen der 
@fdpbt
 Beschwerde beim #BVerfG eingereicht. Ausgangssperre ist unwirksam und wir brauchen Regeln für Geimpfte. #COVID19 #fdp #freiheit",5,6,61
BDI,@Der_BDI,2021-04-22T16:31:39.000Z,"...wir den Mut und die Innovationskraft von allen klugen Köpfen brauchen. Happy #GirlsDay2021 
 #SheTransformsIT #WirtschaftistGesellschaftKatharina Hölzle and 8 others",1,3,21
Daniela Kluckert,@DanielaKluckert,2021-04-14T14:59:02.000Z,"In was genau befinden wir uns seit November, wenn der „Harte Lockdown“ von ⁦⁦
@CDU
⁩ ⁦
@CSU
⁩ und ⁦
@spdde
⁩ gefordert wird? #corona #uebereinjahr",2,5,35
Daniela Kluckert,@DanielaKluckert,2021-04-02T11:32:21.000Z,"Was für ein großes Unglück in #Taiwan Mein herzliches Beileid gilt den Angehörigen und dem gesamten Taiwanischen Volk. Den Verletzen wünsche ich eine schnelle und vollständige Genesung.Mehr als 50 Tote bei Zugunglück in Taiwan
In einem schwer zugänglichen Tunnel im Osten des Landes entgleist eine Bahn. Die Retter kämpfen sich zu Passagieren vor, die in Waggons eingeschlossen sind.
dw.com",1,4,32
