User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Daniela De Ridder,@DeRidder_MdB,2019-04-30T12:35:13.000Z,"Lest in meinem Newsletter für Mai 2019 mehr über meine Treffen mit Schülerinnen und Schüler aus unserer Region, denen ich von meinem Alltag als Politikerin für die Grafschaft Bentheim und das Emsland erzählen konnte. Sehr gefreut... http://77030.seu1.cleverreach.com/m/7294214/",2,1,3
Daniela De Ridder,@DeRidder_MdB,2019-04-18T16:01:07.000Z,"Seit längerem setze ich mich gerade auch in der Außenpolitik für die Stärkung der Frauen ein. Dies ist global von besonderer Bedeutung und betrifft diverse Ebenen...Engagierte Gründung des Parlamentskreises ""Frauen in der Außenpolitik""
Berlin. Seit längerem setze ich mich gerade auch in der Außenpolitik für die Stärkung der Frauen ein. Dies ist global von besonderer Bedeutung und betrifft diverse Ebenen außenpolitischen Handelns....
daniela-de-ridder.de",2,3,10
Daniela De Ridder,@DeRidder_MdB,2019-04-18T15:36:00.000Z,Die brennende Notre Dame hat auch uns ins Herz getroffen! Unsere Solidarität gilt unseren französischen Freundinnen und Freunden. Die Bundesregierung und ganz Deutschland stehen an der Seite Frankreichs. Zum... https://facebook.com/dr.danieladeridder/posts/2111689828926801…,,,2
Daniela De Ridder,@DeRidder_MdB,2019-04-18T14:44:17.000Z,"Im Jugendhaus Bad Bentheim sind Kinder, Jugendliche und junge Erwachsene für unsere Region engagiert. Bei einem Besuch im Deutschen Bundestag hatten sie viele Fragen zum Bundestag selbst, aber auch zur tagesaktuellen Politik dabei!Jugendhaus Bad Bentheim zu Besuch im Deutschen Bundestag
Berlin/Bad Bentheim. Im Jugendhaus Bad Bentheim sind Kinder, Jugendliche und junge Erwachsene für unsere Region engagiert. Bei einem Besuch im Deutschen Bundestag hatten sie viele Fragen zum Bundes...
daniela-de-ridder.de",,,
Daniela De Ridder,@DeRidder_MdB,2019-04-18T11:18:43.000Z,"Die Wirtschaftsjuniorinnen und -junioren des Emslandes und der Grafschaft Bentheim machen es vor, wie Unternehmergeist und Engagement unsere Region stärken. Die Politik muss sie auf diesem Weg unterstützen und stärken!Zum politischen Frühstück bei den Wirtschaftsjunioren Emsland – Grafschaft Bentheim
Die SPD-Bundestagsabgeordnete Dr. Daniela De Ridder war zu Gast bei den Wirtschaftsjuniorinnen und -junioren der Grafschaft Bentheim und des Emslandes, um gemeinsam mit den zahlreich erschienenen...
daniela-de-ridder.de",,1,1
Daniela De Ridder,@DeRidder_MdB,2019-04-16T13:56:36.000Z,"Wichtig ist der Einsatz für faire Arbeitsbedingungen und Entlohnung auf der ganzen Welt. Und in unserer Region gibt es viele Möglichkeiten, das zu unterstützen - schaut zum Beispiel doch mal im „Eine-Welt-Laden“ in Nordhorn vorbei!Im Einsatz für faire Bedingungen weltweit
Nordhorn. Die SPD-Bundestagsabgeordnete Dr. Daniela De Ridder war zu Gast im Nordhorner Weltladen und informierte bei ihrem Besuch über den aktuellen Stand hinsichtlich der Unterschriften-Kampagne...
daniela-de-ridder.de",,1,
Daniela De Ridder,@DeRidder_MdB,2019-04-05T07:34:07.000Z,"Der Tag der kleinen Forscherinnen und Forscher steht wieder an und ich freue mich wieder auf engagierte Beiträge aus dem Emsland und der Grafschaft Bentheim!„Klein, aber oho!“ Macht mit beim „Tag der kleinen Forscherinnen und Forscher“!
Grafschaft Bentheim/Emsland. Die SPD-Bundestagsabgeordnete Dr. Daniela De Ridder ruft alle Kindertageseinrichtungen, Horte und Grundschulen zur Teilnahme am „Tag der kleinen Forscher“ auf. Der...
daniela-de-ridder.de",,,1
Daniela De Ridder,@DeRidder_MdB,2019-04-05T07:31:50.000Z,"Schülerinnen und Schüler der Kardinal-von-Galen-Schule aus Meppen besuchten mich im Bundestag und informierten sich über das politische Berlin. Auch haben wir darüber gesprochen, wie wichtig das politische Engagement der jungen Generation ist!Kardinal-von-Galen-Schule Meppen zu Besuch im Deutschen Bundestag
Berlin/Meppen. Schülerinnen und Schüler der Kardinal-von-Galen-Schule aus Meppen besuchten mich im Bundestag und informierten sich über das politische Berlin. Neben der Veranschaulichung unserer...
daniela-de-ridder.de",,,
Daniela De Ridder,@DeRidder_MdB,2019-04-02T09:12:38.000Z,"Mit der Kollegin Gisela Manderla bin ich heute im Europäischen Parlament. In meinem Beitrag habe ich deutlich gemacht, dass wir  vor allem eine gemeinsame Europäische Außenpolitik benötigen, der die... https://facebook.com/411771882251946/posts/2087840314645086/…",,,
Daniela De Ridder,@DeRidder_MdB,2019-04-01T11:30:23.000Z,"Die Schülerinnen und Schüler des St. Antonius Gymnasiums aus Bad Bentheim waren mit ihren politischen Fragen sehr engagiert dabei: Es freut mich immer sehr zu sehen, dass sich die junge Generation aus unserer Region mit den wichtigen Zukunftsfragen...Besuch des St. Antonius Gymnasiums aus Bad Bentheim im Deutschen Bundestag
Bad Bentheim/Berlin. Rund 90 Gäste des Missionsgymnasiums St. Antonius aus Bad Bentheim besuchten kürzlich den Bundestag und informierten sich über meine politische Arbeit in Berlin. Dabei wurde...
daniela-de-ridder.de",,,
Daniela De Ridder,@DeRidder_MdB,2019-03-29T15:05:09.000Z,"Der Newsletter für April 2019 ist da!

Lest in meiner Kompaktzusammenfassung des Monats mehr zu meinen Reden im Plenum, wie etwa zur Fortführung der internationalen Bundeswehrmission Sea Guardian und den Förderungen der KfW und des... http://77030.seu1.cleverreach.com/m/7281402/",,,
Daniela De Ridder,@DeRidder_MdB,2019-03-29T13:20:59.000Z,"Von 2015 bis 2020 fördert das Bundesministerium für Arbeit und Soziales wichtige Projekte in der Grafschaft Bentheim und im Emsland. Es freut mich sehr, dass das SPD-geführte Ressort so viel für unsere Region tut - dafür möchte ich mich auch in den...Starke Förderung für die Grafschaft Bentheim und das Emsland durch das BMAS
Grafschaft Bentheim/Emsland. Die SPD-Bundestagsabgeordnete Dr. Daniela De Ridder begrüßt die hohe Förderquote des Bundesministeriums für Arbeit und Soziales (BMAS) in der Grafschaft Bentheim und im...
daniela-de-ridder.de",,,
Daniela De Ridder,@DeRidder_MdB,2019-03-28T17:05:06.000Z,"Unsere #Mitmachaktion! 
Auch diese Milchkanne braucht 5G
Macht mit für ein besseres Netz im Emsland und zeigt uns, wo noch „weiße Flecken“ sind.
Benutzt den #Milchkanne und verlinkt uns.",,,
Daniela De Ridder,@DeRidder_MdB,2019-03-28T13:31:33.000Z,"Blaulichtkräfte leisten einen enorm wichtigen und unentbehrlichen Beitrag für unsere Sicherheit und retten Menschenleben. Ob haupt- oder ehrenamtlich, sie sind...Zu Gast bei der Mitgliederversammlung des Kreisfeuerwehrverbandes Grafschaft Bentheim
Neuenhaus/Grafschaft Benheim. Die SPD-Bundestagsabgeordnete Dr. Daniela De Ridder besuchte die Mitgliederversammlung des Kreisfeuerwehrverbandes Grafschaft Bentheim in Neuenhaus und bedankte sich ich...
daniela-de-ridder.de",,,
Daniela De Ridder,@DeRidder_MdB,2019-03-28T09:20:03.000Z,"Eine Besuchergruppe aus Baccum besuchte in dieser Woche Berlin und verschaffte sich unter anderem einen intensiven Einblick in die politische Arbeit in Berlin. Von der  SPD Baccum war Reinhold Hoffmann als politisch kundiger Reiseführer wieder...Besuch aus Baccum im Deutschen Bundestag
Berlin. Eine Besuchergruppe aus Baccum besuchte in dieser Woche Berlin und verschaffte sich unter anderem einen intensiven Einblick in die politische Arbeit in Berlin. Aus dem SPD-Ortsverein Baccum...
daniela-de-ridder.de",,,
Daniela De Ridder,@DeRidder_MdB,2019-03-27T18:56:51.000Z,"Girls‘Day 2019 - Es ist wichtig, Mädchen und junge Frauen schon früh zu fördern und zu motivieren, Berufe zu wählen, in denen Frauen eher unterrepräsentiert sind.
Ich...Girls‘Day 2019 - Lea Busch vom Burg-Gymnasium in Bad Bentheim zu Gast im Bundestag
Berlin/Bad Bentheim/Schüttorf. Die SPD-Bundestagsabgeordnete Dr. Daniela De Ridder begrüßt zum diesjährigen Girls’ Day die Schülerin Lea Busch aus der 11. Jahrgang des Burg-Gymnasiums in Bad Bentheim...
daniela-de-ridder.de",,1,
Daniela De Ridder,@DeRidder_MdB,2019-03-27T15:27:34.000Z,"Meppen: Im Gespräch mit unserer stv. SPD-Fraktionsvorsitzenden Dr. Eva Högl haben wir über die aktuelle Situation in der Frauen- und Gleichstellungspolitik diskutiert. Allen Anwesenden ist klar:...Geschlechterdemokratie und Frauenrechte stärken!
Meppen. Zu meiner Veranstaltung „Geschlechterdemokratie und Frauenrechte stärken“ habe ich die stellvertretende Fraktionsvorsitzende der SPD-Bundestagsfraktion, Dr. Eva Högl, nach Meppen eingeladen....
daniela-de-ridder.de",,,
Daniela De Ridder,@DeRidder_MdB,2019-03-26T16:03:04.000Z,"Bei unserer Veranstaltung der SPD-Bundestagsfraktion unter dem Titel ""Gut zusammen leben"" haben wir zukunftsweisend über die Themen Migration und Integration debattiert und kamen mit...Gut zusammen leben - Unser Beitrag für eine gelungene Integration
Berlin. Im Bundestag kamen die Abgeordneten der SPD-Bundestagsfraktion mit zahlreichen Gästen an den Tisch um über die Herausforderungen und Chancen der Migration und Integration in den intensiven...
daniela-de-ridder.de",,,1
Daniela De Ridder,@DeRidder_MdB,2019-03-26T14:02:51.000Z,"Nach meiner Rede im Bundestag zur Freilassung von Billy Six aus dem Gefängnis in Venezuela erreichten mich einige Kommentare zu der Frage, wer die kolumbianischen Hilfslieferungen an der... https://faktenfinder.tagesschau.de/ausland/venezuela-hilfskonvoi-boettcher-101.html…",,,1
Daniela De Ridder,@DeRidder_MdB,2019-03-18T15:28:56.000Z,"Der Kampf für Lohngleichheit geht unvermindert weiter! Auch in Deutschland ist eine Lohnlücke von 21 Prozent zwischen den Gehältern von Männern und Frauen noch immer Realität - deshalb müssen wir mit aller Entschlossenheit für die Lohngleichheit auf...Der Kampf für Lohngleichheit geht weiter - Equal Pay Day 2019
Berlin. Noch immer verdienen Frauen rund 21 Prozent weniger als Männer, was auch in Deutschland noch immer Realität ist. Der heutige ""Equal Pay Day"" ist der Tag im Jahr, bis zu dem Frauen angesichts...
daniela-de-ridder.de",2,1,1
Daniela De Ridder,@DeRidder_MdB,2019-03-15T13:17:15.000Z,"Fridays for Future: Ganz viele Schülerinnen und Schüler haben heute direkt unter meinem Fenster in meinem Berliner Büro für Klima und Umweltschutz demonstratiert. Super, denn wir haben eben nur diese eine Erde!... https://facebook.com/411771882251946/posts/2062765533819231/…",,,
Daniela De Ridder,@DeRidder_MdB,2019-03-08T12:18:47.000Z,"Ist unsere Demokratie in Gefahr? Das diskutierten wir gestern Abend auf Einladung der Friedrich-Ebert-Stiftung mit viel Publikum im Kloster Frenswegen in Nordhorn. Mit dabei: Urban Überschär von der FES, der... https://facebook.com/411771882251946/posts/2054041148025003/…",,1,
Daniela De Ridder,@DeRidder_MdB,2019-03-06T14:53:20.000Z,"Am 08. März ist Internationaler Frauentag. Ein Tag, um  auf bestehende Probleme aufmerksam zu machen und aufzuzeigen, wo in punkto Gleichberechtigung und Chancengleichheit sowohl in Deutschland, aber auch weltweit heute noch Nachholbedarf besteht.De Ridder fordert anlässlich des Internationalen Frauentags mehr Chancengleichheit für Frauen und...
Berlin/Grafschaft Bentheim/Emsland. Der Internationale Frauentag wird seit 100 Jahren stets am 8. März gefeiert und ist für Frauen auf der ganzen Welt ein wichtiges Datum. Erklärtes Ziel ist die...
daniela-de-ridder.de",,2,3
Daniela De Ridder,@DeRidder_MdB,2019-03-05T15:42:54.000Z,"Am Donnerstag, 07.03.2019 wollen wir ab 18:00 Uhr über Rechtsradikalismus und Populismus diskutieren. Dazu lädt die FES ins Kloster Frenswegen ein. Ich bin mit dabei und freue mich auf viele diskussionsfreudige Gäste. https://facebook.com/dr.danieladeridder/posts/2050304728398645…",,,
Daniela De Ridder,@DeRidder_MdB,2019-03-04T15:54:02.000Z,"Die Kreditanstalt für Wiederaufbau (KfW) ist eine wichtige Partnerin für die Bürgerinnen und Bürger zur Existenzgründung und...De Ridder begrüßt starke Förderquote der Kreditanstalt für Wiederaufbau in der Grafschaft Bentheim...
Grafschaft Bentheim/Emsland. Die SPD-Bundestagsabgeordnete Dr. Daniela De Ridder begrüßt die starke Förderquote der Kreditanstalt für Wiederaufbau (KfW) in der Region für 2018 und setzt weiterhin auf...
daniela-de-ridder.de",,,
