User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Andreas Lenz,@DerLenzMdB,2021-05-13T08:38:23.000Z,Von Homeoffice zu Homeschooling - die #Väter leisten wie die #Mütter gerade in diesen Zeiten enormes! Schönen #Vatertag,,1,11
Andreas Lenz,@DerLenzMdB,2021-05-13T07:59:41.000Z,"Ich bin ja schon auch sehr für den #Vatertag, aber eigentlich ist heute #ChristiHimmelfahrt... #nurmalso #klugschtweet #hilftjanix",3,1,16
Andreas Lenz,@DerLenzMdB,2021-05-13T07:49:41.000Z,"Bzgl des #Holzmarkt|s ist es übrigens so, dass die #Grünen den Wald möglichst stilllegen möchten, aber dann trotzdem Holz als Baustoff nutzen wollen. Schützen und Nützen muss die Devise lauten! #Nachhaltigkeit",3,4,20
Landkreis Ebersberg,@KreisEbersberg,2021-05-11T06:26:00.000Z,"Junge Mütter und Väter aufgepasst! Morgen können Sie sich wieder online zum Elterncafé ""Chill mal, Mama!"" treffen, mit Gleichgesinnten reden, sich austauschen und Zeit verbringen. Alle Infos gibt's hier: https://lra-ebe.de/aktuelles/aktuelle-meldungen/chill-mal-mama/…",,1,3
Andreas Lenz,@DerLenzMdB,2021-05-10T15:49:52.000Z,"Durchaus Wert zu teilen!Papst Franziskus
@Pontifex_de
 · May 10
Alles, was ihr wollt, dass euch die Menschen tun, das tut auch ihnen! (Mt 7,12). Wir möchten, dass uns jemand zuhört? Hören wir zu! Wir brauchen Ermutigung? Machen wir Mut! Wir möchten, dass sich jemand um uns kümmert? Kümmern wir uns um den, der niemanden hat!",,1,13
Andreas Lenz,@DerLenzMdB,2021-05-10T15:46:28.000Z,"#Kurzarbeit muss immer ein zeitlich begrenztes Instrument sein. Aber es wirkt!Studie zu Corona-Maßnahme: Kurzarbeit rettet 2,2 Millionen Jobs
Im Zuge des Lockdowns müssen ganze Branchen in Deutschland ihren Betrieb einstellen. Die Kurzarbeit soll die schlimmsten Folgen für Beschäftigte abfedern - und das tut sie auch, belegt nun eine...
n-tv.de",,,3
Andreas Lenz,@DerLenzMdB,2021-05-10T14:20:07.000Z,"Im #Kreistag geht’s heute unter anderem um den #Haushalt. Schön zu sehen, dass das Geld des Bundes vor Ort ankommt und die kommunalen Haushalte gerade jetzt stabilisiert. Mit weiteren 25 Prozent unterstützt der Bund jetzt bis zu 74 Prozent in diesem Bereich! #KdU #Kommunalpartei",2,,6
Andreas Lenz,@DerLenzMdB,2021-05-10T11:59:27.000Z,"Wenn #Journalismus am Limit arbeitet 
 #Baerbock",4,1,14
Andreas Lenz,@DerLenzMdB,2021-05-09T06:26:59.000Z,"Sophie Scholl, immer ein Vorbild an Haltung - nicht nur an ihrem Geburtstag. 100 Jahre so lange kann ein Menschenleben dauern - viel zu früh wurde sie durch die Nazi-Verbrecher aus dem Leben gerissen! #SophieScholl",,,10
Andreas Lenz,@DerLenzMdB,2021-05-05T15:51:36.000Z,"Sehr gut! LK #Erding wieder unter Inzidenz 100!Hans Moritz
@HansMoritzED
 · May 5
#Corona im #Landkreis #Erding: #Inzidenz wieder unter 100. Landkreis führt die #LucaApp zur #Kontaktermittlung gegen #COVID19 ein.
https://merkur.de/lokales/erding/erding-ort28651/erdingcorona-inzidenz-wieder-unter-100-mehr-als-10-000-zweitimpfungen-21-neue-faelle-landkreis-fuehrt-luca-app-ein-13965820.html…",1,,8
