User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Erwin Rüddel,@Erwin_Rueddel,2021-05-14T13:59:22.000Z,"Transparenzrichtlinie darf Vereine nicht belasten! Keine unnötige Bürokratie und Gebühren.Erwin Rüddel MdB - Transparenzrichtlinie darf Vereine nicht belasten!
Berlin / Region. - „Ohne Ehrenamt ist kein Staat zu machen. Deshalb müssen wir Vereine dauerhaft von Bürokratie entlasten“, erklärt der heimische CDU-Bundestagsabgeordnete Erwin Rüddel, der sich seit...
erwin-rueddel.de",,,
Erwin Rüddel,@Erwin_Rueddel,2021-05-14T08:28:10.000Z,"50 Jahre Städtebauförderung – auch ein Erfolg für die Region.Erwin Rüddel MdB - 50 Jahre Städtebauförderung – auch ein Erfolg für die Region
Berlin / Region. - Zum 50. Jahrestag der Städtebauförderung erklärt der heimische Bundestagsabgeordnete Erwin Rüddel, dass ihm die Lebensqualität der Menschen in seinem Wahlkreis besonders am Herzen...
erwin-rueddel.de",,,1
Erwin Rüddel,@Erwin_Rueddel,2021-05-13T09:46:29.000Z,,,,4
Erwin Rüddel,@Erwin_Rueddel,2021-05-13T07:24:14.000Z,Heute ist Christi Himmelfahrt. Am 40. Tag der Osterzeit feiern Christen die Rückkehr Jesu zu seinem Vater in den Himmel. Allen einen gesegneten Feiertag.,,1,6
Erwin Rüddel,@Erwin_Rueddel,2021-05-12T14:53:38.000Z,Soziale Dienste demnächst vollelektrisch unterwegs! Förderprogramm des BMU läuft bis 2022. Das Heilpädagogisch-Therapeutische Zentrum gGmbH in Neuwied erhält 11.500 Euro aus dem Förderprogramm „Sozial & Mobil“ des Bundesumweltministeriums.,2,,
Erwin Rüddel,@Erwin_Rueddel,2021-05-11T15:40:25.000Z,Deutschland legt den Impfturbo ein: Seit heute hat jeder Dritte in  eine #Impfung gegen #Covid19 erhalten - über 8 Millionen sind bereits vollständig geimpft. #Impfen macht den Unterschied. Es rettet Leben und ist der Weg zurück in die #Freiheit.,,,2
Frankfurter Allgemeine gesamt,@FAZ_NET,2021-05-05T14:13:03.000Z,"Die Weltgemeinschaft will künftig schneller auf den Ausbruch von Pandemien reagieren. Dazu errichtet die WHO ein Frühwarnzentrum in Berlin, schreibt 
@Ritter_Hannes
.Daten gegen Corona: WHO errichtet Frühwarnzentrum in Berlin
Die Weltgemeinschaft will künftig schneller auf den Ausbruch von Pandemien reagieren. Die Daten dazu werden künftig in der deutschen Hauptstadt gebündelt und ausgewertet.
faz.net",48,22,50
BMG,@BMG_Bund,2021-05-05T08:17:40.000Z,"""Kontakt- und #Ausgangsbeschränkungen sollen für #Geimpfte und #Genesene nicht mehr gelten. Es ist eine gute Nachricht, dass wir 14 Monate nach Beginn der #Pandemie einen #Impfstoff haben, der das möglich macht."" 
@jensspahn
 im 
@morgenmagazin
.ZDF-Morgenmagazin Einzelbeitrag 16
ZDF-Morgenmagazin
zdf.de",308,44,122
Erwin Rüddel,@Erwin_Rueddel,2021-05-05T11:56:34.000Z,"2 Mrd. Euro umfasst das #Corona-#Aufholpaket für Kinder & Jugendliche. Das bedeutet: Lernlücken schließen und die frühkindliche Bildung intensiver fördern mit Angeboten für Alltag, Schule & Freizeit. Mehr zum #Aufholpaket  https://cducsu.de/themen/corona-aufholpaket-fuer-kinder-und-jugendliche…",1,,1
Erwin Rüddel,@Erwin_Rueddel,2021-05-03T04:10:47.000Z,"Förderung für Breitbandausbau wird auf „Graue Flecken“ ausgeweitet. Gigabit-Versorgung auch im Wahlkreis Neuwied / Altenkirchen unverzichtbar.Erwin Rüddel MdB - Die Förderung für Breitbandausbau wird auf „Graue Flecken“ ausgeweitet
Berlin / Region. - „Der Bund weitet die Förderung für Breitbandausbau auf sogenannte ‚Graue Flecken‘ aus. Damit können ab sofort Kommunen und Landkreise in Gebieten mit einer Internetversorgung von...
erwin-rueddel.de",,,
