User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Saskia Esken,@EskenSaskia,2018-03-04T23:50:28.000Z,"Möge stets 
jemand an deiner Seite sein,
mit dem du lachen kannst 
und der deine Lieder kennt.
Und am Ende des Tages 
hülle dich der Mantel der Liebe 
und des Friedens ein.
(Irischer Segensspruch)",1K,349,2.2K
Saskia Esken,@EskenSaskia,2021-05-13T09:13:52.000Z,"Heute endet für viele die Fastenzeit. Noch einmal war Ramadan anders: Fastenbrechen nur im kleinen Kreis, anstatt in großer Runde Gemeinschaft zu erleben und alles zu teilen. Ich teile am liebsten Franzbrötchen und wünsche allen Muslim*innen ein schönes Zuckerfest! Eid Mubarak!",116,38,515
Gustav A. Horn,@GustavAHorn,2021-05-13T06:53:50.000Z,"Warum ein hoher Co2 Preis plus Umverteilung nicht reicht. Gute Klimapolitik braucht einen fairen Arbeitsmarkt mit höherem Mindestlohn,schreibt 
@tom_krebs_
  auf 
@MakronomMagazin
 https://makronom.de/fuer-eine-sozial-liberale-klimapolitik-39218?utm_source=rss&utm_medium=rss&utm_campaign=fuer-eine-sozial-liberale-klimapolitik… 
@SvenjaSchulze68
 @nurdiespd
 @NowaboFM
 @Die_Gruenen
 @CanselK
 @hmeyer78Für eine sozial-liberale Klimapolitik
Mit der sogenannten Klima-Entscheidung des Bundesverfassungsgerichts wurde nun auch juristisch bestätigt, was bereits seit einiger Zeit gesellschaftlicher Konsens ist: Der menschengemachte Klimawan...
makronom.de",4,7,34
Stadt Düsseldorf,@Duesseldorf,2021-05-11T15:32:03.000Z,"Als Zeichen gegen Antisemitismus wurde bereits heute die israelische Flagge am Rathaus gehisst, statt wie vorgesehen am 14. Mai. Hintergrund ist die versuchte Sachbeschädigung an dem Gedenkstein für die 1938 niedergebrannte Synagoge an der Kasernenstraße.Düsseldorf setzt Zeichen gegen Antisemitismus
Am Montagabend, 10. Mai, ist eine versuchte Sachbeschädigung durch Feuer an dem Gedenkstein erfolgt, der an die in der Pogromnacht 1938 niedergebrannte Synag...
youtube.com",20,46,279
Robin Mesarosch,@mesarosch,2021-05-11T12:43:57.000Z,"Zuerst belächeln sie dich, dann machen sie Schlumpfwitze über dich, dann bekämpfen sie dich und am Ende gewinnt 
@OlafScholz
.Olaf Scholz: Unterschätzt
Ehrlicher Respekt und echte Geschlossenheit – Olaf Scholz könnte nicht nur Retter der SPD, sondern auch Bundeskanzler werden. Im Ernst? Ja, doch.
zeit.de",89,82,514
Saskia Esken,@EskenSaskia,2021-05-11T12:03:51.000Z,"So gehen moderne Mobilität und Klimaschutz zusammen! Für all diese elektrischen Verkehre brauchen wir sehr bald sehr viel mehr „sauberen“ Strom. Wir müssen den Ausbau der Erneuerbaren Energien deshalb in allen Regionen Deutschlands massiv voranbringen!Michel
@MichaelStierle
 · May 11
Zukunftsweisender Beschluss unserer Verbandsversammlung gestern:
Auf der #HermannHesseBahn werden in Kooperation mit dem Land batterieelektrische Fahrzeuge eingesetzt. Damit fährt die #HesseBahn  lokal emissionsfrei 
Zum Einsatz kommt der Siemens Mireo Plus B, der auch auf 1/x
Show this thread",34,7,60
Saskia Esken,@EskenSaskia,2021-05-10T07:51:00.000Z,"Das Alexander v. W.
@alweisen
 · May 10
Replying to @alweisen @corny_stripes and 3 others
Ich arbeite in der Windenergiebranche und die Ambitionen die da stehen reichen locker aus um die Energiewirtschaft sofort umzubauen... DE braucht jetzt Tatendrang in den Behörden, ergo: Genehmigen und Bauen! Funfact: Grün-regierte Länder sind keine Garantie für mehr Windenergie.",17,5,83
Bericht aus Berlin,@ARD_BaB,2021-05-09T18:35:49.000Z,"„Betreutes Regieren“, „Das geht auf Dauer so nicht“ – SPD-Chefin 
@EskenSaskia
 über das gemeinsame Regieren mit der Union. #BerichtausBerlin",55,62,251
Markus Dicks,@dicksmbx71,2021-05-09T15:56:24.000Z,"Mitdiskutieren über #KI in #Arbeit und #Gesellschaft? Am 19./20.05. mit der 
@denkfabrik_bmas
 des 
@BMAS
 https://denkfabrik-bmas.de/diskurs/veranstaltungen/ki-konferenz… 
@SPDBochum1
 @alexander_vogt
 @lisasteinmann
 @valentinakerst
 @obasumallick
 @c_kampmann
 @VeithL
 @nrwspd
 @EskenSaskia
 @MBStreckerAlgorithmen, Automatisierung und Arbeit - Wie KI unsere Arbeit und unser Leben besser machen kann
Wird über Künstliche Intelligenz (KI) gesprochen, geht es oft um selbstfahrende Autos, Sprachassistenzsysteme oder auch das perfekte Match beim Onlinedating.
denkfabrik-bmas.de",2,8,24
Saskia Esken,@EskenSaskia,2021-05-09T15:18:46.000Z,"Mit der fulminanten Rede von 
@OlafScholz
 geht unser SPD-Parteitag #spdbpt21 zu Ende! Mit der begeisterten Zustimmung der Delegierten für Zukunftsprogramm und Kanzlerkandidat starten wir in den Wahlkampf! Der Sommer wird gut, 
@Karl_Lauterbach
, aber der Herbst wird noch besser!",98,43,385
Saskia Esken,@EskenSaskia,2021-05-09T13:43:49.000Z,"Kapitel 4 zu Europa und der Welt, als deren Teil und Partner wir unsere Zukunftsmissionen in einer Gesellschaft des Respekts umsetzen wollen, und das Schlusskapitel 5 haben soeben die Zustimmung von 98% unserer Delegierten erhalten - Danke! #spdbpt21 #ausRespekt",1,,17
Saskia Esken,@EskenSaskia,2021-05-09T13:14:19.000Z,"Kapitel 3 in unserem #Zukunftsprogramm handelt vom #Respekt als der Grundlage für Zukunftsmut und Zusammenhalt in unserer Gesellschaft, und es hat die Zustimmung von 98% unserer Delegierten erhalten - Danke 
 #ausRespekt #spdbpt21",9,,30
Saskia Esken,@EskenSaskia,2021-05-09T12:07:53.000Z,"Auch das zweite Kapitel, das unsere #Zukunftsmissionen beschreibt und wie wir Innovation und Transformation gestalten wollen, wurde jetzt nach engagierter Debatte mit mehr als 95% angenommen. Danke für diese tolle Zustimmung! #ausRespekt #spdbpt21",7,6,39
SPD Parteivorstand,@spdde,2021-05-09T10:29:45.000Z,"Fantastic Four!
@larsklingbeil
 @NowaboFM
 @EskenSaskia
 & #RolfMützenich",42,24,139
Saskia Esken,@EskenSaskia,2021-05-09T11:15:59.000Z,Die SPD kann auch Illumination #ausRespekt #spdbpt21Sarah Ryglewski,12,1,116
Arne Lietz,@ArneLietz,2021-05-09T11:10:09.000Z,".
@SvenjaSchulze68
 sagte auf dem #SPDBPT21: „Zu Gutem Klima gehört auch Gute Arbeit!“ und machte klar, dass nur die SPD eine wirkliche sozialökologische Transformation umsetzen kann. Die #SPD steht zu der #DeutschenNachhaltigkeitsstrategie anhand der UN-Nachhaltigkeitsziele #SDG!Bernd Lange and 9 others",5,8,30
Saskia Esken,@EskenSaskia,2021-05-09T11:03:25.000Z,"Die großartige Spitzenkandidatin der 
@SPD_LSA
 @KatjaPaehle
 gibt sich kämpferisch für den Schlussspurt im Landtagswahlkampf in Sachsen-Anhalt und freut sich auf unsere und Eure Unterstützung! #ausRespektNorbert Walter-Borjans and 2 others",2,16,73
Saskia Esken,@EskenSaskia,2021-05-09T10:51:21.000Z,"Nach toller Debatte wurde das erste Kapitel mit mehr als 98% Zustimmung angenommen - Danke!SPD Parteivorstand
@spdde
 · May 9
Wir wollen, dass alle die Möglichkeit haben, die Zukunft zu meistern. Mit uns kommt die neue Zeit! @EskenSaskia eröffnet das erste Kapitel unseres Zukunftsprogramms. #AusRespekt vor deiner Zukunft! #SPDBPT21",31,10,100
Tiemo Wölken,@woelken,2021-05-09T10:40:55.000Z,"#Europatag, #Muttertag und #spdbpt21 und als ob das alles nicht schon gut genüg wäre, scheint auch noch die Sonne! Auch wenn ich gerne vor Ort und nicht nur auf dem Balkon werde, freue ich mich über unser 
@spdde
-Wahlprogramm abstimmen zu dürfen. Es wird gut! #ausRespektNorbert Walter-Borjans and 2 others",3,8,140
Saskia Esken,@EskenSaskia,2021-05-08T18:04:23.000Z,"Wir freuen uns auf Euch Torsten Rekewitz
@torsten_hautnah
 · May 8
Morgen! Der @spdde-Bundesparteitag. Ich werde digital dabei sein, wenn das Programm verabschiedet wird, mit dem wir ab dem 26. September für mehr #Respekt; #Gerechtigkeit und eine sozialere Politik sorgen wollen. Auch für euch alle! Gemeinsam mit @OlafScholz. Das wird guuut!
Show this thread",2,2,31
Saskia Esken,@EskenSaskia,2021-05-08T18:02:04.000Z,"So viele Genoss*innen haben sich am Programmprozess für unser #Zukunftsprogramm beteiligt, das wir morgen ab 11:00 beim #spdbpt21 beschließen. Wir werden 
@OlafScholz
 als unseren Kanzlerkandidaten bestätigen und sind schon sehr gespannt auf seine Rede! #ausrespekt",40,31,132
Theo Gramckow,@TheoGramckow,2021-05-08T15:20:47.000Z,"Wir freuen uns auf den Wahlkampf mit 
@OlafScholz
 und der 
@spdde
 #spdbpt21 #ausRespekt 
@brinkertlueck
 @EskenSaskia
 @larsklingbeil
 @NowaboFM",36,29,288
SPD Baden-Württemberg,@spdbawue,2021-05-08T11:52:45.000Z,"""Mit den Vielen & für die Vielen wollen wir das fortschrittlichste Land werden. Sozial, digital & klimaneutral. Aus Respekt vor deiner Zukunft. Dafür ziehen wir gemeinsam in einen starken Wahlkampf,"" so unsere Spitzenkandidatin 
@EskenSaskia
 Herzlichen Glückwunsch zur Wahl #BTW21SPD Parteivorstand ",11,11,108
Saskia Esken,@EskenSaskia,2021-05-08T16:19:14.000Z,Danke dass ich als Spitzenkandidatin meiner @spd_bawue in den Bundestagswahlkampf ziehen darf! Gemeinsam mit den vielen tollen Genoss*innen einer vielfältigen Liste ziehen wir nun in einen starken Wahlkampf und erneuern gemeinsam unser Land. #SozialePolitikfuerdich,35,11,275
Olaf Scholz,@OlafScholz,2021-05-08T10:47:19.000Z,"Der #TagderBefreiung ist der Sieg über Nazi-Deutschland. Auch heute noch wollen Rechtsextreme und Rassisten ein Klima von Hass, Zwietracht und Angst schaffen. Dagegen müssen wir uns wehren – jeder einzelne, und unsere Demokratie als Ganzes. Wir sind mehr. #8mai #NieWieder",83,103,679
Saskia Esken,@EskenSaskia,2021-05-08T14:09:48.000Z,"Am 8. Mai 1945 endete ein Alptraum, dem bis zuletzt unzählige Unschuldige zum Opfer fielen. Wir werden sie nie vergessen. Sind sind uns Mahnung für Respekt und Menschenrechte. #NieWieder! #TagderBefreiung",14,28,358
