User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Team_Luftwaffe,@Team_Luftwaffe,2021-05-13T10:01:02.000Z,"Heute sprach Generalleutnant Ingo Gerhartz mit seinem  
 Amtskollegen Amikam Norkin und versicherte ihm die volle Solidarität  mit der israelischen Bevölkerung.  Gleichzeitig betonte er die Hoffnung auf baldige Deeskalation der aktuellen Situation. #StrongerTogether 
@IAFsite",23,76,533
Richard C. Schneider,@rc_schneider,2021-05-12T21:33:55.000Z,"Wer in Deutschland die israelische Politik kritisieren will, hat das Recht dagegen zu protestieren. Wo? Vor der israelischen Botschaft oder dem israelischen Konsulat. Aber Synagogen angreifen, wie in Bonn etwa, das ist nichts als purer Antisemitismus.",10,185,1.9K
Dr. Eva Högl,@EvaHoegl,2021-05-12T20:57:29.000Z,"rbb Abendschau
@rbbabendschau
 · May 12
Du fehlst uns. Am Montag ist unser Landespolitik-Reporter Florian Eckardt @DerHerrE gestorben. Wir möchten an dieser Stelle noch einmal sagen: Danke Florian!",1,1,5
Dr. Eva Högl,@EvaHoegl,2021-05-12T20:55:01.000Z,"Lesenswertes Interview!QueerBw
@QueerBw
 · May 12
""Anstatt mich von Oben zu unterstützen und zu mir zu stehen, entschied man sich nach meiner Wahrnehmung fürs Ignorieren meiner Person.""

@BMVg_Bundeswehr @bundeswehrInfo @queer_de #diskriminierung #queer #trans #bundeswehr #queerbw

https://m.tagesspiegel.de/gesellschaft/queerspiegel/rehabilitierung-queerer-soldatinnen-ich-war-die-erste-frau-auf-kampfflugzeugen/27158450.html…
Show this thread",1,3,13
Dr. Eva Högl,@EvaHoegl,2021-05-11T19:59:20.000Z,"Florian Eckardt ist gestorben | rbb - Sehr traurig! Jedes Gespräch mit ihm war klasse. Ich werde ihn in bester Erinnerung behalten. Florian Eckardt ist gestorben
Wir sind eine Redaktion, die füreinander da ist, auch im größten Stress. Aber heute mussten wir eine besonders schlimme Nachricht verkraften: dass wir unseren lieben Kollegen Florian Eckardt nicht...
rbb-online.de",,4,26
Thorsten Alme,@Panzermann7,2021-05-10T21:07:16.000Z,"Die kommende eFP-Battlegroup, gestellt durch das bi-nationale Panzerbataillon 414 und Soldaten aus 4 Nationen, übt im Gefechtsübungszentrum des Heeres. Heute unter Beobachtung durch Divisions- und Brigadekommandeur. Fazit des Kommandeurs 1PzDiv: „Eine tolle integrative Leistung!“",1,4,28
Sanitätsdienst der Bundeswehr,@SanDstBw,2021-05-03T09:12:04.000Z,"Heute morgen um 8:00 Uhr verließ die mobile Sauerstofferzeugungsanlage die Weißenfelser Sachsen-Anhalt-Kaserne in Richtung Flughafen Wunstorf. In den nächsten Tagen wird von dort aus vom 
@Team_Luftwaffe
 nach #Indien geflogen.",5,34,269
Dr. Eva Högl,@EvaHoegl,2021-05-03T13:18:50.000Z,"War klasse in meiner „alten“ Heimat. Danke für wichtige Infos, spannende Eindrücke und gute Gespräche. Und für das Engagement. Heer
@Deutsches_Heer
 · May 3
Erster Besuch unserer #Wehrbeauftragten bei der #1Panzerdivision in #Oldenburg. @EvaHoegl geht auf Tuchfühlung zur #Heer|estruppe – neben persönlichen Gesprächen informiert sie sich über die Übung ""White Horse Arena"". Was sie mit nach Berlin nimmt, seht ihr ",2,5,39
Dr. Eva Högl,@EvaHoegl,2021-05-03T13:16:30.000Z,"Spannend in Mitte Weddingweiser
@weddingweiser
 · May 3
Drei Fragen, drei Tweets: Weg in die Politik https://weddingweiser.de/bundestagswahl-drei-tweets2/…",,,
Manuel Bewarder,@manuelbewarder,2021-05-03T03:48:06.000Z,"Heute ist #WorldPressFreedomDay

Was ich angesichts der laut Regierung „größten Bedrohung“ für unsere Demokratie nicht verstehe?

Dass das Verteidigungsministerium die Personalakten mit Mundlos-Bezug nach NEUN Jahren juristischem Streit noch immer nicht veröffentlicht 
@welt
 #NSU",4,40,201
