User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Fritz Güntzler,@FGuentzler,2021-05-09T20:42:29.000Z,"Souveräner und guter Auftritt von 
@ArminLaschet
  bei 
@AnneWillTalk
 . Er kann Kanzler.",4,2,13
Fritz Güntzler,@FGuentzler,2021-04-21T11:41:53.000Z,"Wir verbessern den steuerlichen Rahmen für die Mitarbeiterbeteiligungen.CDU/CSU
@cducsubt
 · Apr 21
Presseinfo
 @AntjeTillmann & @FGuentzler:  Startup-Standort Deutschland attraktiver machen
https://cducsu.de/presse/pressemitteilungen/startup-standort-deutschland-attraktiver-machen…",1,2,12
Fritz Güntzler,@FGuentzler,2021-04-20T19:43:51.000Z,"F.A.Z. Podcast für Deutschland: CDU für Laschet, gegen „Kandidaten der Herzen“ – Erste Austritte an der Basis https://faz.net/-iv7-aavd7?GEPC=s3… via 
@faznet
  Ab Minute 13:45 meine Meinung......F.A.Z. Podcast für Deutschland: CDU für Laschet, gegen „Kandidaten der Herzen“ – Erste Austritte an...
Warum sich der CDU-Vorstand für Armin Laschet entschieden hat und ob die Stimmung an der CDU-Basis und in der CSU gut genug für den Wahlkampf ist, darüber sprechen wir mit dem CDU-Politiker Fritz...
faz.net",,,2
Fritz Güntzler,@FGuentzler,2021-04-20T19:42:40.000Z,"CDU-Politiker Güntzler: „Es macht keinen Sinn, sich weiter zu...
Niedersachsens CDU-Vize Fritz Güntzler trommelte massiv für Markus Söder. Jetzt gibt er sich versöhnlich.
bild.de",,,
Fritz Güntzler,@FGuentzler,2021-04-20T09:31:43.000Z,"Die Würfel sind heute Nacht gefallen. 
@ArminLaschet
  wird der Kanzlerkandidat der Union. Ich hatte mich für 
@Markus_Soeder
 ausgesprochen. Nun gemeinsam für die Union gegen den politischen Gegner und für einen Kanzler Laschet.  
@CDU
 @csu_bt
 @cducsubt
 @CSU",29,18,121
CDU/CSU,@cducsubt,2021-04-14T15:06:22.000Z,"Dass es eine starke Finanzkontrolle braucht, unterstrich 
@FGuentzler
: ""Die Konsequenzen des kollektiven Aufsichtsversagens müssen wir als Gesetzgeber jetzt übernehmen."" Der #FISG-Schnellschuss des #Finanzministeriums werde deshalb nachgeschärft. Dabei gelte Sorgfalt vor Eile.Fritz Güntzler",1,3,7
CDU/CSU,@cducsubt,2021-04-14T15:06:25.000Z,"Es brauche eine Kultur der kritischen Grundhaltung bei #BaFin & #BMF, führte 
@FGuentzler
 weiter aus. Gleichzeitig sei #Governance zu stärken. Ein Aufsichtsrat dürfe nicht wie bei #Wirecard ein „Grüß-Gott-Gremium“ sein.Fritz Güntzler",1,4,10
Fritz Güntzler,@FGuentzler,2021-01-27T15:17:25.000Z,"Anhörung im Sportausschuss des 
@Bundestag
 „Schmerzmittelkonsum im Sport und in der Gesellschaft“.  Ein bisher wenig betrachtetes Phänomen. Mehr Aufklärung bei den Sportlern ist nötig. Aber wir brauchen auch mal eine klare Datenbasis. #Doping #ard #nada #Fussball #DFB",,,2
Fritz Güntzler,@FGuentzler,2021-01-23T10:01:32.000Z,"Der wahrscheinlich neue Präsident der Universität Göttingen. 
 Ein Fußballfans 
. Prof. Dr. Metin Tolan: Fußball oder die Physik der Ungerechtigkeit | Cam... https://youtu.be/3pF08TcZy0c via 
@YouTube
 #goettingen #FussballProf. Dr. Metin Tolan: Fußball oder die Physik der Ungerechtigkeit |...
Führen neue Technologien wie die Torlinientechnik oder der Videobeweis zu gerechteren Schiedsrichterentscheidungen?Mehr von Campus: http://www.br.de/campus h...
youtube.com",2,2,6
CDU/CSU,@cducsubt,2021-01-21T13:54:34.000Z,"Angesichts der #Corona-#Pandemie sollten wir alle möglichst zu Hause
 bleiben und #Homeoffice
 noch stärker nutzen. Die Beschlüsse des letzten Bund-Länder-Treffens sind unabdingbar. Wir müssen weiterhin gemeinsam an einem Strang ziehen! 
Mehr dazu: https://cducsu.de/themen/homeoffice-noch-staerker-nutzen…CDU/CSU and 2 others",22,11,24
Fritz Güntzler,@FGuentzler,2021-01-22T16:56:36.000Z,"Großer Vertrauensbeweis für 
@ArminLaschet
 . Herzlichen Glückwunsch. #cdu #cdubpt21 #wegenmorgen #teamCDU .",,,5
Fritz Güntzler,@FGuentzler,2021-01-22T15:12:28.000Z,#NeuesProfilbild,,,2
Fritz Güntzler,@FGuentzler,2020-07-17T20:34:05.000Z,"Nominierung durch CDU-Kreisvorstand Göttingen - Güntzler als Kandidat für die Bundestagswahl vorgeschlagen https://m.goettinger-tageblatt.de/Die-Region/Goettingen/CDU-Kreisvorstand-Goettingen-nominiert-Fritz-Guentzler-als-Kandidat-fuer-Bundstagswahl… via 
@goetageblattCDU-Kreisvorstand Göttingen nominiert Fritz Güntzler als Kandidat für Bundstagswahl
Geht es nach dem einstimmigen Beschluss des CDU-Kreisvorstands Göttingen, soll Fritz Güntzler im Herbst 2021 erneut für den Bundestag kandidieren. Die endgültige Nominierung durch die Parteimitglie...
goettinger-tageblatt.de",3,,18
Fritz Güntzler,@FGuentzler,2020-03-29T20:32:56.000Z,"Ich bin immer noch schockiert und sehr traurig über den Tod von Dr. Thomas Schäfer. Über die letzten Jahre hatten wir uns angefreundet. Er war stets da, wenn man ihn brauchte. Diese Begegnungen werden mir fehlen. Thomas war ein echter Kumpel..
Lieber Thomas: Ruhe in Frieden.",,1,10
Fritz Güntzler,@FGuentzler,2016-11-21T16:32:15.000Z,Fraktionssitzung.,,1,1
