User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Fabio De Masi (MdB),@FabioDeMasi,2019-12-18T13:25:12.000Z,"Die Bundeskanzlerin: 

„Ich finde, dass Andi #Scheuer eine sehr gute Arbeit macht ...“

Keine weiteren Fragen mehr, Euer Ehren! #Merkel0:55
225.7K views",362,921,3.8K
Fabio De Masi (MdB),@FabioDeMasi,2021-05-14T09:00:09.000Z,"Achtung Finance Geeks! Das Financial Innovation Lab meiner Alma Mater in Kapstadt 
@UCT_news
 bietet einen interessanten Online Kurs zu #FinTech an. Wenn ich in den nächsten Wochen nicht noch anderweitige Verpflichtungen im Bundestag hätte, wäre ich dabei. https://uct-online.getsmarter.com/presentations/lp/uct-fintech-disruption-in-finance-online-short-course/?ef_id=c:301303632460_d:c_n:g_ti:kwd-533725026925_p:_k:%2Buct%20%2Bfintech_m:b_a:58594288223&gclid=EAIaIQobChMIxtvW4eXI8AIVo-_tCh1OeArNEAAYASAAEgKpLPD_BwE&gclsrc=aw.ds…",,,9
Fabio De Masi (MdB),@FabioDeMasi,2021-05-14T07:49:29.000Z,"Der Rückzug auf den US Markt dürfte übrigens kein endgültiger Abschied von Facebooks weltweiten Ambitionen im Finanzmarkt sein. Es geht viel mehr darin Widerstände durch die Pilotphase mit einem US Dollar Stable Coin abzubauenWhy Diem chose to be regulated in the U.S.
The Facebook-affiliated stablecoin's move from Switzerland brings it to a country where regulators are familiar with crypto and rival currencies have already debuted.
paymentssource.com",,4,15
Fabio De Masi (MdB),@FabioDeMasi,2021-05-13T16:38:04.000Z,"Mit dem selben Argument wurde übrigens mal #Facebook bei mir vorstellig. Libra/Diem sei wichtig , damit Oppositionelle Kapitalverkehrskontrollen in autoritären Staaten umgehen können! Facebook als humanitäres Projekt ...The Diem Association
A simple global payment system and financial infrastructure that empowers billions of people.
diem.com",4,,62
Fabio De Masi (MdB),@FabioDeMasi,2021-05-12T16:23:11.000Z,"Fischers Fritze angelt Labskaus. Wessen Brot ich ess, dessen Lied ich sing. Ex Bundesrichter Fischer macht sich zum August der #CumEx Bankiers! Wenn Olaf Scholz die Affäre #Warburg vergessen machen will, legt Richter Gnadenlos Peinlich erst richtig los!Massimo Bognanni
@buon_anni
 · May 12
Staatsanwältin Brorhilker bezeichnet Fischers Ausführungen wiederum als „Verschwörungstheorie“ und erklärt, Fischer sei seinerseits befangen, da er gleichzeitig die Interessen von Max #Warburg und des Angeklagten Managers vertrete..
Show this thread",3,18,57
Fabio De Masi (MdB),@FabioDeMasi,2021-05-12T16:16:05.000Z,"Vielleicht sollte die Staatsanwaltschaft auch gleich im 
@BMG_Bund
 nachschauen. Da gab es doch einzelne Chargen die noch teurer waren wenn ich das richtig überblicke? #Spahn #Emix #Tandler https://sueddeutsche.de/politik/maskenaffaere-csu-andrea-tandler-ffp2-masken-1.5292322… 
@schmitt_jrg
 @m_grill
  #MaskendealsMaskenaffäre: Staatsanwaltschaft spricht im Gesundheitsministerium vor
Bayern: Hat das CSU geführte Gesundheitsministerium Steuergeld verschleudert?Es geht um einen Deal, den Andrea Tandler vermittelte.
sueddeutsche.de",5,52,163
Fabio De Masi (MdB),@FabioDeMasi,2021-05-12T13:31:19.000Z,"Corona Party für CDU Parteispenderin Susanne Klatten #BMW !Finanzwende
@finanzwende
 · May 12
Heute bei der Konzernrepräsentanz von @BMWGroup vorbeigeschaut, um eine riesen-Rechnung zu übergeben. Damit fordern wir Rückzahlung von Staatshilfen VOR der geplanten Dividenden-Ausschüttung von 1,25 Mrd Euro. Unterschreibt für den #DividendenLockdown
: https://finanzwende.de/kampagnen/lockdown-fuer-dividenden-keine-staatshilfen-an-aktionaere/…
Show this thread",5,57,283
Fabio De Masi (MdB),@FabioDeMasi,2021-05-12T12:27:21.000Z,"Deswegen müssen Deutschland und Frankreich vorangehen und eine Initiative ergreifen, um über Quellensteuer Besteuerungsrechte in Europa zu sichern. #team",3,3,72
Fabio De Masi (MdB),@FabioDeMasi,2021-05-12T12:27:20.000Z,"Es ist aber sehr kompliziert, ein Verstoß gegen den ""Arm's length"" Grundsatz bei konzerninternen Verrechnungspreisen nachzuweisen. Vereinfacht: zahlt Amazon 0% Steuern und Google 1%, ist dies eine Diskriminierung von Google. Zahlen beide 0% oder 1% liegt keine Diskriminierung vor",1,,11
Thomas Steinmann,@t_stoneman,2021-05-12T11:39:57.000Z,"Wobei sich mir die Logik von #Spahn nicht erschließt: Der Gegner des BMG in diesem Rechtsstreit - also #Emix - kennt die Vertragsinhalte natürlich. Warum würde eine Offenlegung der Verträge dann die Rechtsposition des Bundes gefährden, wie Spahn argumentiert? 
@FabioDeMasi",3,7,38
Thomas Steinmann,@t_stoneman,2021-05-12T11:14:20.000Z,"Laut #Spahn befindet sich der Bund aktuell im Rechtsstreit mit #Emix wegen der #Masken-Lieferungen. Das hier war der Sachstand des 
@BMG_Bund
 im März. Da gab es Streit um LieferfristenFabio De Masi (MdB)
@FabioDeMasi
 · May 12
Danke @TiloJung Er hat ab 1 Stunde und 50 Sekunden nachgehakt bei @jensspahn bzgl meiner Anfrage https://twitter.com/tilojung/status/1392405145674293248?s=21… und #Spahn antwortet man befände sich im Rechtsstreit mit #EMIX - daher keine Veröffentlichung. Das war mir neu! 
Show this thread",2,7,20
Fabio De Masi (MdB),@FabioDeMasi,2021-05-12T11:50:16.000Z,"Herr Spahn sagt auch er fände die Margen unmoralisch! Will das 
@BMG_Bund
 denn dann den Wucherparagraphen aktivieren ?",5,9,148
Fabio De Masi (MdB),@FabioDeMasi,2021-05-12T10:57:25.000Z,"Danke 
@TiloJung
 Er hat ab 1 Stunde und 50 Sekunden nachgehakt bei 
@jensspahn
 bzgl meiner Anfrage https://twitter.com/tilojung/status/1392405145674293248?s=21… und #Spahn antwortet man befände sich im Rechtsstreit mit #EMIX - daher keine Veröffentlichung. Das war mir neu! 
@schmitt_jrg
 @m_grill
 @LenaKampfTilo Jung
@TiloJung
 · May 12
Jetzt LIVE: BPK zur Corona-Lage mit RKI-Chef Lothar Wieler sowie Bundesminister Anja Karliczek & Jens Spahn (CDU) https://youtu.be/L32kdtU0c0U",9,28,265
