User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Florian Oßner,@Florian_Ossner,2021-05-09T08:02:02.000Z,"Alles Liebe zum Muttertag!

#muttertag #muttertagsgeschenk #muttertagsgeschenkidee #mütter #muttersöhnchen #mutterliebe #mutterglück #muttertochter #mutterundsohn #muttergefühle #mutterundtochter
 https://instagram.com/p/COpQ82jhQJd/?igshid=1r6cwo5c1wc06…",,,
Florian Oßner,@Florian_Ossner,2021-05-04T13:08:15.000Z,"Hat gerade ein Foto gepostet @ Babing, Bayern, Germany https://instagram.com/p/COc8BSGBOo_/?igshid=9kyd5y2srp7m…",,,
Florian Oßner,@Florian_Ossner,2021-04-30T21:38:46.000Z,Hat gerade ein Foto gepostet @ ESKARA Essenbach https://instagram.com/p/COTjQ3uhfZf/?igshid=1avtadks84hlw…,,,
Florian Oßner,@Florian_Ossner,2021-04-28T13:55:50.000Z,Hat gerade ein Foto gepostet @ Pfeffenhausen https://instagram.com/p/CONksctBzBc/?igshid=jcvhellvlqki…,,,
Florian Oßner,@Florian_Ossner,2021-04-12T10:54:54.000Z,Hat gerade ein Foto gepostet @ Deutscher Bundestag https://instagram.com/p/CNkDRPShN47/?igshid=dv8xr2rq1izt…,,,3
Florian Oßner,@Florian_Ossner,2021-02-25T11:40:09.000Z,Hat gerade ein Foto gepostet @ Deutscher Bundestag https://instagram.com/p/CLtr4g8BWdd/?igshid=q8fekdsjgw4z…,,,1
Florian Oßner,@Florian_Ossner,2021-02-17T11:25:00.000Z,Hat gerade ein Foto gepostet @ Landshut https://instagram.com/p/CLZDyfyBWiC/?igshid=xse6k5s3mxxp…,,,
Florian Oßner,@Florian_Ossner,2021-01-07T12:02:26.000Z,Hat gerade ein Foto gepostet @ bcc - Berliner Congress Center https://instagram.com/p/CJvje4BBErF/?igshid=1g6zlewcqiub1…,,,1
Florian Oßner,@Florian_Ossner,2020-12-17T13:07:56.000Z,Hat gerade ein Video gepostet @ Deutscher Bundestag https://instagram.com/p/CI5mPTOozWa/?igshid=1bj8bazxopnxj…,,,
Florian Oßner,@Florian_Ossner,2020-12-09T19:45:09.000Z,Hat gerade ein Foto gepostet @ Deutscher Bundestag https://instagram.com/p/CIltYlYh03s/?igshid=1bzptg4n7eo3i…,,,3
Florian Oßner,@Florian_Ossner,2020-12-05T08:27:33.000Z,Hat gerade ein Foto gepostet @ Landshut https://instagram.com/p/CIaMqPnhT9d/?igshid=1aaxofh7y34u8…,,,1
Florian Oßner,@Florian_Ossner,2020-11-25T17:53:31.000Z,Hat gerade ein Foto gepostet @ Deutscher Bundestag https://instagram.com/p/CIBden9JwnS/?igshid=16ywnrx76sxqr…,1,,1
Florian Oßner,@Florian_Ossner,2020-11-05T11:32:40.000Z,Hat gerade ein Foto gepostet @ Deutscher Bundestag https://instagram.com/p/CHNR_pFpDJS/?igshid=ee2ppmyo236k…,,,2
Florian Oßner,@Florian_Ossner,2020-10-08T08:06:07.000Z,Hat gerade ein Video gepostet @ Deutscher Bundestag https://instagram.com/p/CGE0FIBI_BN/?igshid=th0il0ndttji…,1,,2
CDU/CSU,@cducsubt,2020-06-18T19:15:41.000Z,"Das #Kurzarbeitergeld ist eine wichtige Maßnahme, um Massenentlassungen vorzubeugen. Dieses Instrument soll jetzt auch in der EU eingeführt werden. 
@Florian_Ossner
 erklärt dazu: ""Wir sichern damit viele Arbeitsplätze in Europa – und damit auch den Wohlstand in Deutschland."" #SURE",4,4,21
Tagesspiegel,@Tagesspiegel,2020-06-02T21:41:56.000Z,"Die ab 15. Juni geplante Schließung Tegels muss wohl abgesagt werden. Die Fluggesellschaften rechnen mit mehr Nachfrage, die #Schönefeld-Kapazitäten reichen nicht aus. #TegelAus für Flughafen Berlin-Tegel verzögert sich
Die ab 15. Juni geplante Schließung Tegels muss wohl abgesagt werden. Die Fluggesellschaften rechnen mit mehr Nachfrage, die SXF-Kapazitäten reichen nicht aus.
tagesspiegel.de",21,107,127
Florian Oßner,@Florian_Ossner,2020-05-22T16:38:57.000Z,"Für Solidarität - gegen Corona-Bonds
#Haushaltsrede im #DeutschenBundestag: solidarisch zu unseren Partnern in Europa, jedoch keine Freifahrtscheine oder #Vergemeinschaftung von Schulden aufgrund der Corona-Krise. https://youtube.com/watch?v=6AuQGUeM6iw&t… #csu_btFür Solidarität - gegen Corona-Bonds
Haushaltsrede im Deutschen Bundestag: Darin stellte ich klar, dass wir solidarisch zu unseren Partnern in Europa stehen. Es darf jedoch keine Freifahrtschein...
youtube.com",,1,3
CSU,@CSU,2020-02-05T16:50:04.000Z,"Pressestatement von #CSU-Chef und Ministerpräsident 
@Markus_Soeder
 zur politischen Lage in #Thüringen",16,19,83
Ralph Brinkhaus,@rbrinkhaus,2020-02-05T18:04:23.000Z,"Es bleibt dabei: klare Abgrenzung zur AfD! Keine Zusammenarbeit, keine Duldung - das gilt für Bund, Land und Kommunen, also auch für #Thueringen. Das heißt in Konsequenz: keine Gespräche, Unterstützung oder Zusammenarbeit mit 
@KemmerichThL
 (FDP)!",746,327,1.4K
Florian Oßner,@Florian_Ossner,2019-06-17T14:04:51.000Z,"Sieh dir dieses Instagram-Foto von 
@cdu
 an https://instagram.com/p/By0CrDSo-Zg/?utm_source=ig_web_button_share_sheet…",,,2
Heribert Hirte,@HHirte,2019-06-01T19:24:02.000Z,"Und hier eine #Alternative zu #ChampionsLeague2019 , #Fernsehen und #Rezo: 
Die Zerstörung der Grünen/Linken (+Rezo). https://youtu.be/GX3_mrwqyVs via 
@YouTubeDie Zerstörung der Grünen/Linken (+Rezo).
Rezo hat uns in seinem neusten ""zerstörungs"" Video, sein wahres Gesicht gezeigt und gezeigt, wie er wirklich tickt. Fakten vertuschen und fälschen ist ja imm...
youtube.com",13,5,5
