User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Junge Alternative Sachsen,@JA_Sachsen,2021-05-03T14:37:56.000Z,"Klares Statement Junge Alternative
@JA_Deutschland
 · May 3
Unsere PM zur Causa #Neumann findet ihr hier: https://t.me/JADeutschland",1,2,42
Max Otte,@maxotte_says,2021-05-09T12:16:12.000Z,"Sehr geehrte Frau #Steinbach, Sie machen #CDU-Politik. Kommen Sie zurück zur CDU! Wir haben ein Rückkehrerprogramm. Und bringen Sie Frau #Cotar mit!",47,36,143
"Frank Pasemann, MdB",@Frank_Pasemann,2021-05-08T09:33:38.000Z,"Die BT-Fraktionschefin ⁦
@Alice_Weidel
⁩ und der sächsische Spitzenkandidat und Bundessprecher ⁦
@Tino_Chrupalla
⁩ repräsentieren die gesamte ⁦
@AfD
⁩, alle Strömungen sowie Ost und West! Sie sind ideale Spitzenkandidaten.AfD-Chef Tino Chrupalla: Alice Weidel und ich sind keine Flügel-...
In der AfD läuft ein parteiinterner Wettbewerb, welches Spitzenkandidatenduo für die Partei in den Bundestagswahlkampf ziehen soll. Dazu äußert sich im SWR-Interview der Woche AfD-Parteichef Tino...
swr.de",4,5,20
"Frank Pasemann, MdB",@Frank_Pasemann,2021-04-29T09:24:21.000Z,"""Wir haben jetzt jeden 4. Deutschen geimpft, diese Woche wirds noch jeder 5. werden...""

Von Beruf ist 
@jensspahn
 Bankkaufmann. Aber mit den Zahlen hat er es wohl nicht so. Nun ist er Bundesminister.From 
Faktinator",10,21,48
Faktinator,@faktinator,2021-04-29T00:40:54.000Z,"""Wir haben jetzt jeden 4. Deutschen geimpft, diese Woche wirds noch jeder 5. Werden""

Selbst als Bankkaufmann muss 
@jensspahn
 eine Niete gewesen sein.",134,577,1K
Lexa W.,@rebew_lexa,2021-04-28T08:33:26.000Z,"Das ARD feiert ein Jahr #Maskenpflicht. Was für ein Zeug rauchen die denn?
Und für solch Diarrhö muss man GEZ bezahlen!",30,85,209
"Frank Pasemann, MdB",@Frank_Pasemann,2021-04-23T07:31:36.000Z,"99,63% der Bundesbürger haben auch heute kein SARS-CoV-2. 

https://absolute-zahlen.com",7,1,9
Alice Weidel,@Alice_Weidel,2021-04-21T08:07:23.000Z,Wir sagen Nein zum #Infektionsschutzgesetz. Die Bürger in #Deutschland müssen eigenverantwortlich und frei leben können. Die #AfD-Fraktion im Deutschen #Bundestag steht für #Freiheit statt Notstand!,241,560,2.6K
Tino Chrupalla,@Tino_Chrupalla,2021-04-17T12:47:50.000Z,"#MPKretschmer scheint seiner Aufgabe nicht gewachsen zu sein. Weshalb sonst beschwert sich ein Ministerpräsident über seine Bevölkerung? So spaltet man eine Gesellschaft!Regierung: Kretschmer kritisiert AfD und ""Querdenker""
Hier finden Sie Informationen zu dem Thema „Regierung“. Lesen Sie jetzt „Kretschmer kritisiert AfD und ""Querdenker""“.
zeit.de",116,129,525
Max Otte,@maxotte_says,2021-04-18T05:37:04.000Z,"#Pfizer-Chef zu Impfstoffwirkung: ""#Biontech braucht wohl jährliche Auffrischung."" Die Katze ist aus dem Sack, das Geschäftsmodell perfekt.Dazu: alle gewünschten Möglichkeiten der Manipulation.",214,1.1K,3.6K
Sezession im Netz,@SiNetz,2021-04-11T21:37:54.000Z,"Die #Sezession ist maßgeblich. Man sollte sie lesen. Zum Beispiel das neue Heft (Nr. 101, April 2021). Was steckt drin? Götz #Kubitschek und 
@benedikt_kaiser
 präsentieren die umfangreiche, dichte, thematisch vielfältige Ausgabe im kanal #schnellroda.»Sezession #101« Götz Kubitschek und Benedikt Kaiser präsentieren das...
Hier die #Sezession101 bestellen: https://sezession.de/sezession-101-april-2021Hier zur Hörfassung: https://anchor.fm/kanalschnellrodaHier die Sezession abon...
youtube.com",3,17,50
