User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
FES Afghanistan,@FESKabul,2021-03-23T09:45:05.000Z,"""Auch nach unserem Abzug sind wir weiter für #Afghanistan verantwortlich. Wir werden weiter dafür arbeiten, humanitäre und entwicklungspolitische Hilfe so zu leisten, dass sie bei der Bevölkerung ankommt."" 
@GaHeinrich
, stellv. 
@spdbt
-Vorsitzende / 
@frDen Abzug aus Afghanistan vorbereiten
Das Mandat für die Bundeswehr soll noch einmal verlängert werden, um über Frieden zu verhandeln. Der Gastbeitrag.
fr.de",1,3,3
SPD-Fraktion im Bundestag,@spdbt,2021-03-21T09:36:28.000Z,"Der #TagGegenRassismus ist ein Appell an uns alle, sich aktiv gegen Rassismus einzusetzen und rassistischem Gedankengut keinen Platz in unserer Gesellschaft zu geben, sagt 
@GaHeinrich
. #WorldAgainstRacismRassismus ist ein globales Problem | SPD-Bundestagsfraktion
spdfraktion.de",4,5,17
Gabriela Heinrich,@GaHeinrich,2021-03-18T11:34:38.000Z,"Ihm und allen weiteren politischen Gefangenen gilt meine volle Solidarität. Ihr Schicksal ist nicht vergessen. #WeStandBYyou 
@LiberecoPHR",,,2
Gabriela Heinrich,@GaHeinrich,2021-03-18T11:34:03.000Z,"Für ihren Einsatz für Freiheit, Demokratie und Menschenrechte sitzen immer noch zahlreiche Menschen in #Belarus zu Unrecht in Haft. So auch Yahor Suhoidz, für den ich eine Patenschaft übernommen habe.",3,1,3
Gabriela Heinrich,@GaHeinrich,2021-03-17T14:59:38.000Z,"Gerade für besonders von Corona betroffene Branchen braucht es noch stärkere Impulse, um die Durststrecke zu überstehen. Denn laut IHK ist letztes Jahr in Mittelfranken z.B. die Zahl der Ausbildungsverträge im Hotel- und Gaststättengewerbe um 23,5 % zurückgegangen.",,,
Gabriela Heinrich,@GaHeinrich,2021-03-17T14:59:28.000Z,"Die erweiterte #Ausbildungsprämie ist das Signal an die Betriebe, dass der Staat die Ausbildung in Zeiten von Corona noch stärker stützt. Künftig werden auch in #Nürnberg noch mehr Betriebe von der Förderung profitieren, die jetzt ausgeweitet wird.",1,1,
SPD-Fraktion im Bundestag,@spdbt,2020-06-10T10:50:32.000Z,"Die #FDP will die #Einkommensteuer senken. Was dann passiert? Die reichsten 10% profitieren am meisten, die ärmsten 10% gar nicht. 

Wir senken stattdessen die #Mehrwertsteuer. Davon profitieren die Einkommensschwächsten am meisten.

Es ist nicht egal, wer regiert. #Wumms",103,83,247
Frank Schwabe #FreeHozanCanê,@FrankSchwabe,2019-10-11T19:51:44.000Z,"Deutschland ist Vorbild bei der Anwendung des Weltrechtsprinzips. Menschenrechtsverbrecher müssen wissen, dass sie verfolgt und bestraft werden können. Überall auf der Welt. Wir wollen die Kapazitäten weiter ausbauen.
@spdbt
 @GaHeinrich
 #MenschenrechteIslamischer Staat: Iraker in Deutschland wegen Völkermord-Vorwurf in U-Haft
Gemeinsam mit seiner deutschen Frau soll er ein jesidisches Mädchen verdursten haben lassen. Die Bundesanwaltschaft wirft einem Iraker deshalb Völkermord vor. Jetzt sitzt er in Deutschland in U-Haft.
spiegel.de",1,4,4
SPD-Fraktion im Bundestag,@spdbt,2019-09-27T12:14:49.000Z,"""Werdet Ihr auch auf die unangenehmen Fragen antworten oder diese wieder lieber auslassen?"" Matthias #Miersch beantwortet Eure #Klimafragen. Weitere Antworten gibt es hier: https://youtu.be/8zFkfmf_y3s #Klimapaket #FridaysForFuture",13,15,25
Frank Schwabe #FreeHozanCanê,@FrankSchwabe,2019-10-06T07:12:08.000Z,"Wie kann man eigentlich nur so verständnislos, herzlos und politisch instinktlos wie der Vorsitzende der 
@cducsubt
 sein. Ihr treibt ein Thema hoch das keines ist. Für ein paar 100 Menschen. Wollt ihr stattdessen die Wiederholung der allwöchentlichen Dramen? #Seenotrettung",6,6,31
