User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Gero Hocker,@GeroHocker,2021-05-04T12:23:48.000Z,"Auch aus der Opposition heraus lässt sich Druck erzeugen und die Bundesregierung zu Entscheidungen veranlassen, die wenigstens in die richtige Richtung gehen!Fraktion der Freien Demokraten
@fdpbt
 · May 4
„Jetzt lenkt auch die #GroKo beim Thema Lockerungen für Geimpfte und Genesene ein. Doch nicht aus inhaltlicher Überzeugung, sondern allein aufgrund des Drucks der Verfassungsbeschwerde der Abgeordneten der @fdpbt!“ @MarcoBuschmann.
2:16
4K views",,2,5
Gero Hocker,@GeroHocker,2021-05-03T19:34:52.000Z,"Richtig! Wird nur noch überboten von  Journalisten, die Politikern nach einem Interview kotauesk applaudieren ;-)Julia Klöckner
@JuliaKloeckner
 · May 2
Replying to @DasErste @leineimmo and 3 others
Die Bundesgeschäftsstelle der Grünen hätte nicht besser antworten können",1,1,11
Gero Hocker,@GeroHocker,2021-04-22T11:41:48.000Z,"Während Debatte zum Klimaschutz erlischt das Licht, die Fenster öffnen sich automatisch und die Klimaanlage fährt volle Leistung, gefühlte 12C. Hoffentlich kein Hackerangriff. Wäre nicht das erste Mal, daß Parlament behindert wird, um auf Anliegen aufmerksam zu machen... ;-)",1,2,12
Gero Hocker,@GeroHocker,2021-04-22T09:40:18.000Z,"...und selbstverständlich trägt auch der einzige Förster im Deutschen Bundestag 
@HoffmannForest
 mit seiner Expertise einen großen Anteil an dieser Momentaufnahme! ;-)Gero Hocker
@GeroHocker
 · Apr 21
Replying to @KH_Paque @fdp and @FNFreiheit
Dahinter steht natürlich nie der Sprecher alleine sondern ein tolles Team aus Mitarbeitern und Kollegen: @carina_konrad , @nicole_ae_bauer und @busen_mdb ;-)",,1,5
Gero Hocker,@GeroHocker,2021-04-19T11:01:10.000Z,"Irgendwie wäre es doch cool, wenn zumindest öffentlich-rechtliche Medien zumindest den Anschein der Überparteilichkeit wahren würden...",2,,17
Fraktion der Freien Demokraten,@fdpbt,2021-04-19T09:18:42.000Z,"Klimaschutz und #Landwirtschaft zusammen gedacht: Wie kann #CarbonFarming auf dem Weg zur #Klimaneutralität zu einem attraktiven Geschäftsmodell für landwirtschaftliche Betriebe werden?
 Das diskutieren um 18:30 Uhr 
@c_lindner
, 
@koehler_fdp
 & 
@GeroHocker
: https://youtu.be/7m_Hya8UTL0",11,17,82
Gero Hocker,@GeroHocker,2021-03-24T10:23:56.000Z,"Kein Häme, kein Spott: Aber zeigt es nicht gerade die Schwäche von kleinen Exekutivrunden ohne Einbeziehung des Parlaments, dass die Fehler von Entscheidungen erst offensichtlich werden, wenn sie öffentlich diskutiert werden?Florian Gathmann
@FlorianGathmann
 · Mar 24
Kanzlerin Merkel hat eben in der Schalte mit den Ministerpräsidenten laut Teilnehmern erklärt, die Osterruhe werde rückgängig gemacht: ""War ein Fehler, ich trage dafür die Verantwortung"" @derspiegel",3,,18
Gero Hocker,@GeroHocker,2021-03-24T09:16:33.000Z,"Wäre es nicht irgendwie sinnvoller, nicht über „Umgang mit der Kritik“ zu diskutieren, sondern über andere, sinnvollere, nachvollziehbare und verhältnismäßige Maßnahmen zu konferieren? Habe Fremdschämangst was da nach Stunden wieder herauskommt.Corona: Angela Merkel berät kurzfristig erneut mit Ministerpräsidenten
Die Corona-Schalte bekommt eine Neuauflage: Nach der massiven Kritik an den Osterbeschlüssen wird die Kanzlerin heute erneut mit den Ministerpräsidenten der Länder in einer Videokonferenz zusammenk...
spiegel.de",,,6
Gero Hocker,@GeroHocker,2021-03-23T08:06:02.000Z,"Danke, lieber Otto! Wer Zeit hat, ist herzlich eingeladen, im Rahmen der coronakonformen Kundgebung um 12h vor dem Brandenburger Tor mit den Demonstranten zu sprechen. Wir Agrarpolitiker der 
@fdpbt
 sind natürlich auch dabei!OttO Fricke
@Otto_Fricke
 · Mar 23
Berlin 8:15h ind es geht mal nicht um Corona! (Empfehlung: Ton an) und bei der Frage, worum es geht den fantastischen Agrarpolitiker @GeroHocker fragen.",,,9
Gero Hocker,@GeroHocker,2021-03-15T21:07:56.000Z,"Deutschland organisiert Pandemiebekämpfung wie Bewilligung eines Bauantrags: jede Verantwortung vermeiden, jedes Interesse berücksichtigen, jedes Restrisiko ausschließen. Das kostet Zeit+Menschenleben. Bitte endlich Pragmatismus statt Behördenmentalität!Mögliche Nebenwirkungen: Deutschland stoppt AstraZeneca-Impfungen
Deutschland setzt vorübergehend Corona-Impfungen mit dem Wirkstoff von AstraZeneca aus. Dies sagte Bundesgesundheitsminister Spahn. Zuvor hatten bereits andere Staaten die Impfungen gestoppt - wegen...
tagesschau.de",2,3,38
