User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Helge Braun,@HBraun,2021-05-12T08:52:36.000Z,Achtung Schulträger: Ab sofort fördert das Wirtschaftsministerium den Neueinbau von stationären Frischluft-Klimaanlagen in Kindergärten und Grundschulen zu 80%! Gut gegen #Corona und auch langfristig ist gute Raumluft gut fürs „Lernklima“! ToDo: In den Sommerferien einbauen!,1.2K,1.5K,3K
GIGA Institute,@GIGA_Institute,2021-05-10T07:13:53.000Z,"Wie beeinflussen #Religionen #Bildungssysteme weltweit? Diese und weitere Fragen zu #Bildung und #Religionsfreiheit diskutieren 
@GruebelMdb
 @BMZ_Bund
, #GIGA-Experte Matthias Basedau, 
@tho_amanda
 & 
@religions4peace
 beim #GIGAGespräch am 17.5. Zur Anmeldung:Kann die Religions- und Weltanschauungsfreiheit nachhaltige Entwicklung fördern? Inklusive Bildun...
Bildung, nachhaltige Entwicklung und Religions- sowie Weltanschauungsfreiheit stehen in einer engen, noch wenig untersuchten, Beziehung zueinander. Bei diesem GIGA Gespräch, in Kooperation mit dem...
giga-hamburg.de",,1,1
Markus Grübel MdB,@GruebelMdb,2021-05-05T14:46:29.000Z,Christos Stylianides soll neuer Sonergesandter der #EU-Kommission für Religions- und Weltanschaungsfreiheit werden. Lange hat der Deutsche Bundestag und ich als deutscher Religionsfreiheitsbeauftragter die Wiederbesetzung der Stelle gefordert#. #FORB #Religionsfreiheit,,1,9
GIGA Institute,@GIGA_Institute,2021-05-05T14:05:14.000Z,"#Bildung sollte als #Menschenrecht allen zur Verfügung stehen, unabhängig von #Glauben & #Religion. Dazu tauschen sich aus 
@GruebelMdb
 @BMZ_Bund
, Matthias Basedau #GIGA, 
@tho_amanda
, 
@RatReligionen
 @religions4peace
 @GeorgEckert
 beim #GIGAGespräch am 17.5.:Kann die Religions- und Weltanschauungsfreiheit nachhaltige Entwicklung fördern? Inklusive Bildun...
Bildung, nachhaltige Entwicklung und Religions- sowie Weltanschauungsfreiheit stehen in einer engen, noch wenig untersuchten, Beziehung zueinander. Bei diesem GIGA Gespräch, in Kooperation mit dem...
giga-hamburg.de",,5,4
Jascha Noltenius,@JaschaNoltenius,2021-04-14T12:09:30.000Z,"Die Anhörung kann hier live mitverfolgt werden: 
https://bundestag.de/mediathek
@GydeJ
 @GruebelMdb
 @FrankHeinrich
 @KaiGehring
 @FrankSchwabe
 @WEAChairTC_de",1,2,5
Markus Grübel MdB,@GruebelMdb,2021-04-13T13:28:23.000Z,"""Glaub, was Du willst: Religionsfreiheit weltweit stärken“

Lesen Sie die neue Broschüre des Beauftragten der Bundesregierung für weltweite #Religionsfreiheit:

https://religionsfreiheit.bmz.de/de/religionsfreiheit/glaub_was_du_willst/index.html…

#Religionen 
#FoRB
#Weltanschauungsfreiheit",6,5,20
Markus Grübel MdB,@GruebelMdb,2021-03-07T09:51:49.000Z,"In #Mossul hat #PapstFranziskus heute für die Opfer des Krieges und des IS-Terrors gebetet. Er sprach sich für eine enge Zusammenarbeit der #Religionen gerade auch bei der Rückkehr der zahlreichen Geflüchteten aus.
#Irak
#ApostolischeReise
Foto: Markus Grübel im zerstörten Mossul",,1,9
Markus Grübel MdB,@GruebelMdb,2021-03-06T09:41:38.000Z,In seiner Rede in der Ur-Ebene hat #PapstFranziskus die #Religionen an ihren gemeins. Ursprung in #Abraham erinnert und zu einem friedlichen #Zusammenleben aufgerufen. Er erwähnte das große Leid der Jesiden durch den sog. IS und die Notwendigkeit für #Versöhnung & #Gerechtigkeit.,3,4,18
Markus Grübel MdB,@GruebelMdb,2021-03-06T09:35:53.000Z,"Das Gespräch von #PapstFranziskus mit dem schiitischen Ayatollah Ali al-Sistani ist ein wichtiger Schritt für das friedliche Miteinander der #Religionen im #Irak. Alle religiösen Führer tragen Verantwortung für den Schutz der Christen und anderer Minderheiten.
#Religionsfreiheit",8,7,27
Markus Grübel MdB,@GruebelMdb,2021-03-05T17:37:43.000Z,"Bei seiner Ansprache in der syrisch-katholischen Kathedrale in #Bagdad hat #PapstFranziskus heute auf die besondere Rolle der #Jugend als Hoffnungsträger der Versöhnung zwischen den #Religionen hingewiesen.
#Religionsfreiheit 
#FoRBWortlaut: Papst vor Bischöfen, Priestern und Ordensleuten im Irak - Vatican News
Wir dokumentieren hier im Wortlaut und amtlicher deutscher Übersetzung aus dem Vatikan die Rede von Papst Franziskus im Irak vor Bischöfen, Priestern, ...
vaticannews.va",4,1,6
