User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Gustav Herzog,@GustavHerzogMdB,2017-09-21T10:30:28.000Z,Einfache Botschaften! :-) #stimmefuerdieregion #gustavwählen,6,5,16
Daniel Stich,@D_Stich,2017-09-13T06:18:33.000Z,"Die Schüler des #HSG in #KL haben Ahnung. 
@GustavHerzogMdB
 und 
@spdde
 ist gut für unsere Region. Weiter Vollgas für den 24. September Gustav Herzog and 9 others",7,11,49
Gustav Herzog,@GustavHerzogMdB,2017-07-21T14:26:05.000Z,Meine neue Website. Einfach mal reinschauen. Lohnt sich :) http://gustav-herzog.de,,,9
Gustav Herzog,@GustavHerzogMdB,2017-06-12T19:35:33.000Z,"Kaiserslautern. Sieger der digitalen 
. #kaiserslautern #digitalestadt #herzlichdigital",,1,6
Gustav Herzog,@GustavHerzogMdB,2017-05-09T11:41:04.000Z,,1,1,5
Gustav Herzog,@GustavHerzogMdB,2017-05-01T09:38:04.000Z,Es gibt kein schlechtes Wetter. Nur falsche Kleidung #1mai  #dgb #malu #spdrlp #spdkl,,1,4
Gustav Herzog,@GustavHerzogMdB,2017-04-27T10:27:19.000Z,"Lustige Idee, wichtiges Anliegen! Also-auf zur Demo oder Kundgebung.Ich bin am 1. Mai in KL mit dabei - mit #MaluDreyer und #DietmarMuscheidDGB - Deutscher Gewerkschaftsbund
@dgb_news
 · Apr 27, 2017
#Einhorn war beim Dreh leider ausgebucht. Aber #CatContent zum #1mai2017 ist auch 'ne feine Sache. 
 Mehr Infos: http://dgb.de/erstermai2017",1,,2
SPD Parteivorstand,@spdde,2017-04-26T12:52:30.000Z,#OnThisDay vor 31 Jahren explodierte in #Tschernobyl ein Reaktorblock. Schluss mit der Atomkraft. Die Energiewende weiter voranbringen.,7,23,60
Gustav Herzog,@GustavHerzogMdB,2017-04-26T12:14:15.000Z,"Zwei Männer, drei Ziele: #SPD stärkste Partei bei der #btw2017, #MartinSchulz nächster Bundeskanzler, #GustavHerzogMdB Gewinner im WK209!",,,5
Gustav Herzog,@GustavHerzogMdB,2017-04-25T23:01:16.000Z,"Jetzt wird auch getwittert 
 #spd #btw2017 #schulzzug #Kaiserslautern #kusel #donnersbergkreis #fuerdieregion",1,1,9
