User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Helge Braun,@HBraun,2021-05-12T08:52:36.000Z,Achtung Schulträger: Ab sofort fördert das Wirtschaftsministerium den Neueinbau von stationären Frischluft-Klimaanlagen in Kindergärten und Grundschulen zu 80%! Gut gegen #Corona und auch langfristig ist gute Raumluft gut fürs „Lernklima“! ToDo: In den Sommerferien einbauen!,1.2K,1.5K,3K
Helge Braun,@HBraun,2021-05-08T21:21:30.000Z,"Die Verträglichkeit und Nebenwirkungen der #COVIDー19 Impfstoffe zu erfassen, ist jetzt wichtig. Deshalb: Wer geimpft ist, sollte die SaveVac-#App des Paul-Ehrlich-Institutes 
@PEI_Germany
 laden und melden, wie gut der Impfstoff vertragen wurde. https://pei.de/DE/newsroom/hp-meldungen/2020/201222-safevac-app-smartphone-befragung-vertraeglichkeit-covid-19-impfstoffe.html…",77,124,275
Helge Braun,@HBraun,2021-05-05T16:47:19.000Z,"Ich habe heute die Öffentlichkeit informiert, dass die 
@jlugiessen
 auch auf meine Bitte hin den Bezug einer vorausgegangenen Teilpublikation der Ergebnisse von mir und anderen Autoren zu meiner Dissertation überprüft:Plagiat? Zweifel an Doktorarbeit von Helge Braun - Uni Gießen überprüft Dissertation
Hat Kanzleramtsminister Helge Braun bei seiner Promotion gegen Regularien der Uni Gießen verstoßen? Eine Kommission überprüft seine Doktorarbeit.
giessener-allgemeine.de",49,22,43
Helge Braun,@HBraun,2021-05-05T07:52:25.000Z,Das Bundeskabinett hat gerade die schrittweise Einführung des Rechtsanspruchs auf #Ganztagsbetreuung im Grundschulalter beschlossen. Das ist ein wichtiger Schritt für die verlässliche Vereinbarkeit von Familie und Beruf auch nach der Kita!,65,28,86
Helge Braun,@HBraun,2021-05-04T09:49:11.000Z,#Impfen schützt individuell gut vor schweren Corona-Verläufen und leistet gesamtgesellschaftlich einen Beitrag zur Bewältigung der Pandemie. Deshalb habe ich mich heute gegen #COVID19 impfen lassen. #Erstimpfung,288,47,566
Helge Braun,@HBraun,2021-05-02T09:45:58.000Z,"Installieren Sie die Corona-Warn-App (wieder)! 
@BILDKommentar: Installieren Sie die Corona-Warn-App (wieder)!
Die Corona-Warn-App, kurz CWA, war das wohl hässlichste Entlein des vergangenen Jahres. Das ändert sich jetzt. Sie sollten sie auf jeden Fall (wieder) installieren!
bild.de",44,13,88
Steffen Seibert,@RegSprecher,2021-04-16T12:58:58.000Z,"Kanzlerin #Merkel: „Ich freue mich, dass ich heute die Erstimpfung mit AstraZeneca bekommen habe. Ich danke allen, die sich in der Impfkampagne engagieren – und allen, die sich impfen lassen. Das Impfen ist der Schlüssel, um die Pandemie zu überwinden.“",955,1.3K,7.7K
Helge Braun,@HBraun,2021-04-16T07:00:57.000Z,"Jetzt live im Bundestagsfernsehen die erste Lesung der Corona-#Bundesnotbremse mit einer Rede von Bundeskanzlerin Angela Merkel. Hier:Deutscher Bundestag - Mediathek
Live, unkommentiert und in voller Länge: Sämtliche Live-Übertragungen des Parlamentsfernsehens sowie das vollständige Videoangebot seit Beginn der 17. Wahlperiode im Oktober 2009 bietet...
bundestag.de",60,11,28
Ulrike Demmer,@UlrikeDemmer,2021-04-13T11:54:15.000Z,"Kanzlerin #Merkel zur Änderung des Infektionsschutzgesetzes: Wir setzen die Notbremse bundesweit um. Wo die Inzidenz über 100 liegt, greift sie automatisch. Sie ist überfällig, denn die Lage ist ernst, und wir alle müssen sie auch ernst nehmen. #Kabinett",198,98,190
Sanitätsdienst der Bundeswehr,@SanDstBw,2021-04-01T11:43:09.000Z,"#Bundespräsident Frank-Walter #Steinmeier ließ sich heute im #Bundeswehrkrankenhaus #Berlin mit #AstraZeneca gegen #COVID19 impfen. Für ihn ist klar: ""Das Impfen ist der entscheidende Schritt auf dem Weg aus der Pandemie. Nutzen Sie die Möglichkeiten. Machen Sie mit!""",37,82,375
DIVI e.V.,@DIVI_eV,2021-03-28T11:49:20.000Z,"#Intensivmediziner appellieren an die Politik und die Bevölkerung: Wir sind gerade in der wohl kritischsten und entscheidendsten Phase der #Pandemie!

Mehr Informationen zu den Forderungen und zum DIVI-Prognosetool in der aktuellen Pressemitteilung: https://divi.de/presse/pressemeldungen/pm-brauchen-wir-erst-ein-bergamo-um-den-mut-fuer-einen-harten-lockdown-zurueckzugewinnen…",64,277,527
Helge Braun,@HBraun,2021-04-01T14:53:07.000Z,"License to hack im Dienste der Bundesrepublik Deutschland: Jetzt bewerben bei der technischen Aufklärung des Bundesnachrichtendienstes. #BND #followtheglitchkarnickel http://followtheglitchkarnickel.deWelcome to the rabbit hole!
@glitchkarnickel
 · Mar 15
Unser Hacking-Lab ist zu einfach? Von fast 1.000 Anmeldungen haben es bisher nur zwei Personen geschafft, alle Aufgaben fehlerfrei zu meistern. Wir sagen: Try harder! https://bnd.hacking-lab.com",9,1,6
Helge Braun,@HBraun,2021-04-01T14:21:56.000Z,"Die Arbeit des Bundesnachrichtendienstes ist geheim, sein Alter aber nicht. Daher gratuliere ich dem #BND heute zu seinem 65. Geburtstag. Danke für den großartigen Beitrag für Sicherheit und Freiheit in Deutschland.Startseite | Bundesnachrichtendienst
Der BND ist der Auslandsnachrichtendienst Deutschlands. Er informiert die Bundesregierung tagesaktuell und objektiv zu außen- und sicherheitspolitischen Fragen.
bnd.bund.de",21,6,41
Digitaler Staat,@Digitaler_Staat,2021-03-31T08:29:22.000Z,"#SpotOnOZG geht in die nächste Runde: Der Hessische Weg – Erfolg durch gemeinsames Handeln

Jetzt auch im Livestream:Spot|on|OZG HE: Der Hessische Weg – Erfolg durch gemeinsames Handeln
Die Digitalisierung der Anträge kommunaler Verwaltungsleistungen ist für alle Landkreise, Städte und Gemeinden eine große Herausforderung. Sie wird in Hessen...
youtube.com",2,1,
Helge Braun,@HBraun,2021-03-31T12:52:17.000Z,"Eine gute Entwicklung zeigt sich in der gestrigen Statistik zur Altersverteilung der #SARSCoV2-Neuinfektionen allerdings auch: Die Impfkampagne in der Bevölkerung über 80 Jahre zeigt Wirkung, die Inzidenz ist deutlich gesunken. Das rettet viele Lebensjahre!",40,3,52
Helge Braun,@HBraun,2021-03-31T12:47:58.000Z,"Trotzdem mahnen diese Zahlen, dass wir konsequentes Testen und optimierten Infektionsschutz in Kitas und Schulen in den nächsten Monaten brauchen werden.",81,12,97
Helge Braun,@HBraun,2021-03-31T12:45:56.000Z,"Im gestrigen RKI Bericht zur Altersverteilung der #SARSCoV2-Infektionen sieht man leider eine deutlich stärkere Betroffenheit von Kindern unter 10 Jahren als in der 2. Welle. #B117 Deshalb gute Nachricht, dass es bei mRNA-Kinderimpfstoff Fortschritte gibt. https://rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Situationsberichte/Maerz_2021/2021-03-30-de.pdf?__blob=publicationFile…Robert Koch-Institut",346,168,453
Helge Braun,@HBraun,2021-03-30T13:04:59.000Z,"Starke Rede heute von 
@ArminLaschet
, mit #Innovationen sichern wir unseren Wohlstand. #zusammenmachenCDU Deutschlands
@CDU
 · Mar 30
.@ArminLaschet: Wir müssen aufhören zu verwalten und anfangen zu gestalten. Mein Ziel: Deutschland kann und soll Wasserstoffland Nummer 1 werden in der Welt. Ich will Klimawohlstand. Das bedeutet, dass wir eine bessere Welt hinterlassen als wir vorgefunden haben. #zusammenmachen",219,31,91
