User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Helin Evrim Sommer,@HESommer,2021-05-14T13:59:29.000Z,"Warum wird das ""Aussöhnungsabkommen""zwischen Deutschland& #Namibia über den kolonialen #Völkermord an den #Herero& #Nama hinter verschlossenen Türen ausgehandelt?Eine Aussöhnung ist nur möglich wenn die selbstgewählten Vertreter der Herero&Nama mitsprechen!EXKLUSIV - Deutschland vor Aussöhnungsabkommen mit Namibia
Die Verhandlungen zwischen Deutschland und Namibia über den Umgang mit den Verbrechen des Kolonialismus stehen kurz vor dem Abschluss. Nach Informationen des Deutschlandfunks gibt es in den
deutschlandfunk.de",2,3,32
Helin Evrim Sommer,@HESommer,2021-05-14T12:21:39.000Z,"Die humanitäre Katastrophe in #Indien haben die reichen Länder mit ihrer Blockadehaltung zur Aufhebung des Patentschutzes zu verantworten! Nicht nur für #Covid19 #Impfstoffe-Der #Patentschutz für alle lebensnotwendigen Medikamente muss aufgehoben werden!Corona-Pandemie in Indien: Das Virus wütet nun auf dem Land
In Indien waren zuerst die Großstädte am schwersten von der Pandemie betroffen - nun breitet sich das Virus auf dem Land aus. Die möglichen Gründe: reisende Tagelöhner, das rituelle Bad im Ganges und...
tagesschau.de",,2,3
Helin Evrim Sommer,@HESommer,2021-05-14T09:06:11.000Z,"Wie kann es sein, dass 1.5 Jahre nach dem Anschlag in #Halle, Antisemiten & islamistische Faschisten in Deutschland ungestört Synagogen angreifen & israelische Fahnen verbrennen? Jüdisches Leben schützen; kein Fußbreit dem #Antisemitismus!Gelsenkirchen: Polizei stoppt antisemitische Demo – Tatverdächtiger ermittelt - WELT
Die Polizei hat in Gelsenkirchen einen Demonstrationszug zu einer Synagoge gestoppt. Von den 180 Demonstranten gingen Sprechchöre mit antisemitischen Inhalten aus. Ein erster Tatverdächtiger ist...
welt.de",2,12,32
Helin Evrim Sommer,@HESommer,2021-05-14T07:41:19.000Z,"Die Einstufung der IS-Massenmorde an den #Jesiden als #Genozid ist eine Aufforderung an BuReg&UN,Schritte zum Schutz religiöser Minderheiten im #Syrien&Irak einzuleiten.BuReg muss sich für die Einrichtung eines UN-Sondertribunals in Nordostsyrien einsetzen!Keine Straffreiheit für IS-Terroristen - Helin Evrim Sommer
helinevrimsommer.de",2,27,62
Helin Evrim Sommer,@HESommer,2021-05-12T10:42:11.000Z,"Aber Müller hat Recht, dass das Horten von mehr Impfstoffe als benötigt in den reicheren Länder, einer globalen Lösung im Wege stehtHätte man sofort die Impfpatente freigegeben, wäre die Kapazität jetzt höher. In #Afrika werden derzeit nur 1 Prozent der Impfdosen gespritzt!",,,5
Helin Evrim Sommer,@HESommer,2021-05-10T09:34:00.000Z,"Die Präsidentschaftskandidaten der Hardliner im #Iran sind Raisi,der 1988 an der Massenhinrichtung von ca.5000 Menschen beteiligt war&Ahmadinedschad,der den #Holocaust als ""Märchen""bezeichnete.Ihre Wahl wäre ein Sargnagel für demokratische Reformen im Iran!Hardliner im Iran drängen an die Macht
Der Iran bestimmt einen neuen Präsidenten. Der Revolutionsführer entscheidet nun, wer bei der Wahl antreten darf – und damit über den Kurs des Landes.
tagesspiegel.de",,6,11
Helin Evrim Sommer,@HESommer,2021-05-10T08:21:00.000Z,"""In westlichen Medien wird #Erdoğan's Neoosmanismus jedenfalls oft als Ausdruck von Großmachtfantasien belächelt (...) Doch seine Umsetzung in knallharte Geopolitik hat längst begonnen und sollte endlich ernst genommen werden."" 
Lesenswert! #Türkei #RojavaImperialistische Bestrebungen der Türkei: Ankara auf Expansionskurs
Die Türkei macht ernst mit Ansprüchen auf frühere Gebiete des Osmanischen Reichs. Besonders deutlich werden die Großmachtvisionen in Nordsyrien.
taz.de",4,39,61
Helin Evrim Sommer,@HESommer,2021-05-08T11:23:37.000Z,"Heute gedachte ich mit Vertreter*innen von 
@DieLinkeSpandau
 und 
@RusBotschaft
 in Staaken der #Befreiung von Gewalt & Terror. Der #8mai muss auch ein Aktionstag gegen Faschismus, Rassismus, Antisemitismus, Homophobie und Rechte Gewalt sein. #NieWiederFaschismus! #NieWiederKrieg!",2,3,37
Helin Evrim Sommer,@HESommer,2021-05-07T13:57:18.000Z,"Statt Kritik an desaströser Menschenrechtslage&Völkerrechtsbrüchen des #Erdogan-Regimes zu äußern, stellt Maas den #Türkei-Urlaub in Aussicht. Trotz ausufernder Corona-Zahlen!Um Erdogan bei Laune zu halten,riskiert die BuReg die Gesundheit der Bürger*innen!Treffen der Außenminister: Türkei-Urlaub schon im Sommer?
Deutsche Touristen sollen schon im Sommer Urlaub in der Türkei verbringen können. Das stellten Außenminister Maas und sein türkischer Amtskollege Cavusoglu nach einem Treffen in Aussicht - trotz...
tagesschau.de",9,20,51
Helin Evrim Sommer,@HESommer,2021-05-07T08:25:58.000Z,"Der #8mai muss ein Tag sein, an dem wir nicht nur die Befreiung von Gewalt und Terror feiern, sondern es muss auch ein Aktionstag gegen #Faschismus, #Rassismus, #Antisemitismus, #Homophobie und allgemein gegen #rechte_Gewalt sein.",,6,25
Helin Evrim Sommer,@HESommer,2021-05-07T06:00:01.000Z,"Die reichen Länder produzieren den #Klimawandel, die ärmeren baden ihn aus? Bodenerosionen, Brände & Überschwemmungen nehmen zu!Daher: #CO2 absenken & Finanzhilfen für den globalen Süden, um sich gegen den Klimawandel wappnen zu können! #PetersbergerDialogPetersberger Klimadialog: Merkel darf sich bei Klima-Hilfen nicht wegducken
Mehr Führungsstärke in der internationalen Klimapolitik, mehr Ehrgeiz beim Klimaschutz in Deutschland und mehr finanzielle Unterstützung für wirtschaftlich benachteiligte Länder im Kampf gegen die...
oxfam.de",,2,5
Helin Evrim Sommer,@HESommer,2021-05-06T16:37:00.000Z,"Machen wir es wie ! Heute um 20 Uhr stimmen wir im #Bundestag über unseren Antrag 
@dielinke
 ab. Darin fordern wir die Aufhebung des #Patentschutz|es der #Corona-#Impfstoffe Menschenleben vor Profite stellen!",1,9,41
Helin Evrim Sommer,@HESommer,2021-05-06T15:18:00.000Z,"Am nächsten Mittwoch, 12.5., bin ich wieder von 16.30 bis 18 Uhr telefonisch erreichbar. Für meine #Bürgersprechstunde melden Sie sich bitte an unter 030 23 56 41 77 oder helin-evrim.sommer.ma05@bundestag.de. Sie können mit allen Fragen, Themen und Anregungen an mich herantreten.",,,4
Helin Evrim Sommer,@HESommer,2021-05-06T14:17:37.000Z,"Der rechtsextreme III. Weg versucht in #Berlin-#Spandau Fuß zu fassen. Der vor einem Jahr eröffnete rechte Thor-Steinar-Laden könnte sich zum Szene-Treff für Neonazis aus Berlin & #Brandenburg entwickeln. Wir bleiben wachsam; kein Fußbreit den Faschisten! 
@SJagow15Marie Frank
@Marie__Frank
 · May 5
Erneut Bombendrohung gegen die @SJagow15. Das linke Hausprojekt in Spandau wird seit Wochen terrorisiert. Die Linke-Abgeordnete @HESommer fordert die @polizeiberlin auf, ""zügig in Richtung eines rechtsextremistisch motivierten Hintergrunds zu ermitteln."" http://dasnd.de/1151637",,9,17
Marie Frank,@Marie__Frank,2021-05-05T14:04:06.000Z,"Erneut Bombendrohung gegen die 
@SJagow15
. Das linke Hausprojekt in Spandau wird seit Wochen terrorisiert. Die Linke-Abgeordnete 
@HESommer
 fordert die 
@polizeiberlin
 auf, ""zügig in Richtung eines rechtsextremistisch motivierten Hintergrunds zu ermitteln.""Terror gegen linkes Hausprojekt in Berlin
Gegen das linke Hausprojekt »Jagow15« in Berlin-Spandau ist in der Nacht zu Mittwoch eine Bombendrohung eingegangen. Mitten in der Nacht wurde Haus evakuiert, aber nichts Verdächtiges gefunden.
neues-deutschland.de",,16,35
Helin Evrim Sommer,@HESommer,2021-05-06T10:47:48.000Z,"Inverfügt 1% über 32 % des Nettovermögens. 
@Linksfraktion
 fordert eine #Vermögensabgabe der Reichsten 0,7%, um die #Corona-Belastungen zu meistern!Gerechter Lastenausgleich angesichts der historischen Herausforderung.
Umfrage: Wen wird CDU/CSU das wohl bezahlen lassen?Die kleinen Leute?
89.8%
Die Superreichen?
10.2%
98 votes
·
Final results",1,10,18
Helin Evrim Sommer,@HESommer,2021-05-04T07:55:38.000Z,"#DersimKatliamı'nda kullanılan kimyasaların Nazi Almanyası'ndan satın alındığı kanıtlanmıştır. Ancak Alman hükümeti kendi rolünü görmeksizin, tüm sorumluluğu Türkiye'ye devrediyor ve araştırmaların yerinde yapılması gerektiğini belirtiyor. #Dersim (1/2)Helin Evrim Sommer: Nazi Almanyası'nın Dersim Katliamı'ndaki rolünü netleştirin
Almanya Sol Parti Milletvekili Helin Evrim Sommer, 'Nazi Almanyası‘nın Dersim Katliamı'ndaki rolünü netleştirin' dedi.
evrensel.net",9,94,251
Helin Evrim Sommer,@HESommer,2021-05-04T07:32:46.000Z,"Nazi-Deutschland& #Türkei kooperierten bei dem #Dersim-Massaker 1937/38. 70 000 Alevit*innen wurden durch das türkische Militär grausam ermordet. Diejenigen,die sich in Berghöhlen versteckten,wurden mit Giftgas aus Nazi-Deutschland ermordet. Wir fordern Aufklärung!#DersimKatliamı",7,61,148
linksfraktion,@Linksfraktion,2021-05-03T09:23:04.000Z,"„Die #Bundesregierung muss endlich die mögliche Mitschuld des Dritten Reiches am Dersim-Massaker 1937 in der #Türkei aufarbeiten“, erklärt 
@HESommer
 anlässlich des Jahrestags zum Beginn des Dersim-Massakers 1937 in der TürkeiEinsatz von Chemiewaffen aus Nazi-Deutschland beim Dersim-Massaker aufklären
„Die Bundesregierung muss endlich die mögliche Mitschuld des Dritten Reiches am Dersim-Massaker 1937 in der Türkei aufarbeiten“, erklärt Helin Evrim Sommer, entwicklungspolitische Sprecherin der...
linksfraktion.de",8,21,47
Helin Evrim Sommer,@HESommer,2021-04-30T14:00:01.000Z,"Mit Genoss:innen der LINKEN Charlottenburg besuchte ich die #Mierendorffinsel. Hier brauchen wir ein Nachbarschaftszentrum, mehr öffentliche Räume für Initiativen, Bürger:innen - eine wichtige Voraussetzung für sozialen Zusammenhalt und solidarische Gemeinschaft im Stadtteil.",,2,14
Helin Evrim Sommer,@HESommer,2021-04-30T12:26:00.000Z,"„Solidarität ist Zukunft!“ Unter diesem Motto rufen die DGB-Gewerkschaften zum Tag der Arbeit auf. Er steht in diesem Jahr im Zeichen der #Corona-Krise. Es kann nicht sein, dass die Folgekosten der Pandemie auf die Arbeitnehmer:innen abgewälzt werden! #SolidaritätistZukunft #1Mai",2,6,22
Helin Evrim Sommer,@HESommer,2021-04-30T12:00:00.000Z,"Die Anschläge und Drohungen gegen das alternative Wohnprojekt Jagow 15 in Spandau verurteile ich zutiefst. Ich spreche den Bewohner:innen und den Freund:innen der Jagow 15 zudem meine volle Solidarität aus.Solidarität nach Anschlag auf alternatives Hausprojekt in Spandau - BERLINER ABENDBLATT
Erst ein Brandanschlag, dann eine angedrohte Sprengstoffattacke: Das Hausprojekt in der Jagowstraße 15 in Spandau sieht sich zunehmend bedroht. Menschen aus dem Bezirk solidarisieren sich mit der...
abendblatt-berlin.de",1,2,8
Helin Evrim Sommer,@HESommer,2021-04-30T08:00:59.000Z,"Hardliner im #Iran ziehen Atombombe&Sanktionen dem Abkommen&Sanktionserlass vor. Außenminister #Sarif sagt, #Putin unterstütze Hardliner&wolle eine Dauerspannung zwischen dem Iran& #USA. Für Putin sind Machtspiele wichtiger als die Verhinderung einer Bombe!Iran: Schöne Patrioten
Der Außenminister des Iran offenbart in einem geleakten Interview tiefe Verwerfungen in der Führung seines Landes. Die Revolutionsgarde und ein Verbündeter sind blamiert.
zeit.de",2,8,25
Helin Evrim Sommer,@HESommer,2021-04-29T11:59:00.000Z,"#Corona belastet #Frauen mehr als Männer!
Die Pflegearbeit zu leisten wird von Frauen erwartet! In der Konsequenz bedeutet das eine
Doppelbelastung bei gleichzeitigem Einkommensverlust: Global 800 Mrd US-Dollar &Jobverlust von 64 Mio. Frauen! 
@Oxfam_DEFrauen verlieren durch COVID-19 weltweit über 800 Milliarden US-Dollar an Einkommen
Weltweit hatten Frauen durch die COVID-19-Krise im vergangenen Jahr Einkommensverluste von mindestens 800 Milliarden Dollar. Das ist mehr als das Bruttonationalkommen von 98 Ländern zusammen. 64...
oxfam.de",,3,7
Helin Evrim Sommer,@HESommer,2021-04-29T07:41:49.000Z,"Die Schere zwischen reich und arm geht auseinander, seit JahrenEs ist Zeit! #ReichtumUmverteilen 45 Haushalte in Deutschland halten mehr Vermögen als die ärmere Hälfte der Bevölkerung. Das ist die neoliberale Politik. Steuern durch Steuern!Offener Brief – Reichtum umverteilen!
Zusammen mit mehr als 100 zivilgesellschaftlichen Organisationen und Intellektuellen aus Wissenschaft, Kunst und Kultur fordern wir eine stärkere [...]
werhatdergibt.org",,,17
Helin Evrim Sommer,@HESommer,2021-04-28T14:27:44.000Z,"Miete zu hoch? Vermieter droht mit Räumung? Rat und Hilfe gibt es bei mir: Am 5. Mai biete ich von 17 bis 19 Uhr wieder eine kostenlose telefonische #Mietrechtsberatung an. Einfach durchklingeln: 0152 - 18679376! Eine Anmeldung ist nicht nötig, aber wünschenswert.",,3,15
Helin Evrim Sommer,@HESommer,2021-04-28T10:35:26.000Z,"Diese Studie von 
@INKOTA
 @rosaluxstiftung
 und 
@PANGermany
 beweist den Skandal. Das Verbot ist überfällig. Zudem fordere ich, die Umsetzung eines Lieferkettengesetzes in zweiter Lesung wirksam zu gestalten - mit Haftungsklauseln, die man einklagen kann.PM - Gesundheitsschäden als Exportmodell: INKOTA-netzwerk
inkota.de",,1,8
Helin Evrim Sommer,@HESommer,2021-04-28T10:35:25.000Z,Pestizide von #Bayer & #BASF töten #Menschenleben im globalen Süden. Die in der EU verbotenen Stoffe sind in geringen Mengen tödlich.Deren Export ist verwerflich & schändlich.Diese BuReg nimmt den Tod von Menschen um den Profitwillen der deutschen Wirtschaft willentlich in Kauf.,2,8,22
Helin Evrim Sommer,@HESommer,2021-04-27T08:18:38.000Z,"Die Angeklagte #HDP-Abgeordnete 
@Ayla_Akat
 wurde im Zeitraum der Kobanê-Proteste entführt & bedroht, obwohl Sie Anzeige erstatte, wird sie im #KobaneProzess  nicht als Anklägerin sondern als Angeklagte aufgeführt. (3/7)",1,1,4
