User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
CDU/CSU,@cducsubt,2021-05-05T14:49:28.000Z,".
@Hansjoerg_Durz
 greift in seinem Schlusswort die Forderung auf, für die Entwicklung von #KünstlicherIntelligenz eine Umgebung zu schaffen, die das ""Aufblühen"" von Innovationen unterstützt und einen Rahmen zu setzen, der für ""Vertrauen"" sorgt. #JetztZukunft",1,3,6
CDU/CSU,@cducsubt,2021-05-04T10:13:05.000Z,"Wie hilft #KünstlicheIntelligenz Unternehmen bei der Performance-Optimierung? Wie gelingt der Transfer von #KI-Forschung hin zur innovativen Anwendung? Welche Rolle spielen Experimentier- & Datenräume? 
 Jetzt zu unserem digitalen Meet & Greet anmelden: http://cducsu.cc/KI_Unternehmen",6,7,12
CDU/CSU,@cducsubt,2021-04-23T11:30:00.000Z,"#Telekommunikationsmodernisierungsgesetz: 1 Wort. 39 Zeichen. Viel Zukunft. Was bedeutet das für #Glasfaser|ausbau? Gibt es bald #5G an der Ampel? Und wie stellen wir das Recht auf schnelles #Internet sicher?
Das erklärt 
@Hansjoerg_Durz
 um
16 Uhr im
 Insta-Live. #JetztZukunft",2,2,3
Dorothee Bär,@DoroBaer,2020-06-19T08:44:33.000Z,"Und jetzt sind es bereits 
,
 Millionen Downloads! Danke. Und bitte weiter machen! 
@coronawarnapp",73,64,688
Hansjörg Durz,@Hansjoerg_Durz,2020-06-16T08:18:51.000Z,"Die #CornaWarnApp setzt höchste Standards bei Transparenz, Datenschutz und Freiwilligkeit. Auch ich habe sie installiert und bitte alle, diese App zu nutzen. Sie kann dabei helfen, das #CoronaVirus zu bekämpfen und Leben zu retten. #gemeinsamgegencorona",7,4,12
CDU/CSU,@cducsubt,2020-06-04T13:27:05.000Z,".
@tschipanski
 & 
@Hansjoerg_Durz
 | Großer Schritt zur Digitalen Souveränität Europas #GaiaXGroßer Schritt zur Digitalen Souveränität Europas
Am heutigen Donnerstag hat Bundeswirtschaftsminister Peter Altmaier zusammen mit seinem französischen Amtskollegen Bruno Le Maire die nächsten Schritte bei der Entwicklung des europäischen Da...
cducsu.de",1,4,13
IHK Schwaben,@IHKSchwaben,2020-02-18T16:40:56.000Z,"„Die Digitalisierung verändert unsere Gesellschaft grundlegend. Wir können & müssen diese disruptiven Veränderungen gestalten - und zwar gemeinsam“, so ⁦⁦
@Hansjoerg_Durz
⁩ 
Wir sind gespannt auf die Insights in den #Bundestag #GemeinsamZukunft ⁦
@coworkingcampus
⁩",,2,7
Hansjörg Durz,@Hansjoerg_Durz,2020-01-14T15:18:13.000Z,"Zum Jahresauftakt Treffen der Digitalpolitiker der 
@cducsubt
 mit 
@peteraltmaier
 im 
@BMWi_Bund
 zu #GaiaX, #Digitalfond, #Datenpooling, #Transferzentren für #KuenstlicheIntelligenz und weitere zentrale Arbeitsthemen für 2020.",,1,8
CDU/CSU,@cducsubt,2019-12-20T11:05:08.000Z,"Hat der Weihnachtsmann 
 eine Monopolstellung, wenn es um Geschenke-Lieferungen geht? Nutzt er vielleicht Künstliche Intelligenz, während das Christkind auf den analogen Wunschzettel setzt? Die Antwort liefert 
@Hansjoerg_Durz
 in der Debatte zu #KI +++ Jetzt Video anschauen: ",,5,13
Hansjörg Durz,@Hansjoerg_Durz,2019-12-20T10:20:12.000Z,"Der Titel ist mir nicht entgangen!Cicero Online
@cicero_online
 · Dec 20, 2019
Hat der @Hansjoerg_Durz etwa schon den neuen Cicero gelesen mit Weltweihnachtsmann Jeff Bezos? ;) #AI #KI 
https://cicero.de/wirtschaft/cicero-januar-amazon-jeff-bezos…",,1,1
Hansjörg Durz,@Hansjoerg_Durz,2019-12-12T11:44:51.000Z,Meisterpflicht in 12 Handwerken wieder eingeführt. Handwerk und Mittelstand gestärkt!,1,1,6
CDU/CSU,@cducsubt,2019-12-02T15:23:12.000Z,"Im Rahmen des Internet Governance Forums #IGF2019, das vergangene Woche in Berlin stattfand, haben auch Digitalexperten der Unionsfraktion gesprochen. Hier die Rede von 
@Hansjoerg_Durz
  https://youtu.be/8fCUw55zt8s?t=1247… und von 
@RonjaKemmer
   https://youtu.be/8fCUw55zt8s?t=3703…",,3,5
Hansjörg Durz,@Hansjoerg_Durz,2019-11-25T16:47:04.000Z,"Die Versammlung der Parlamentarier aus aller Welt auf dem #IGF2019 habe ich heute im Namen von 
@jimmyschulz
 eröffnet. Seinen Kampf für die digitale Aufklärung werden wir weiterführen! Vor seiner Lebensleistung verneige ich mich. Meine Gedanken sind bei seiner Familie.",3,12,112
Stephan Tromp,@StephanTromp,2018-02-07T15:35:09.000Z,"#Groko #Koalitionsvertrag 
Viele gute Punkte zu Handel & #Digitalisierung 
Kompetenzzentrum #handel40 / Gigabit-Netze / offene Hotspots / Digitalagentur & vieles mehr
Dank an 
@tj_tweets
 @Hansjoerg_Durz
 @DoroBaer
 @larsklingbeil
 @EskenSaskia
 
@NadineSchoen
 @lietzkow
 @JanMetzler",,6,7
Florian Noell,@floriannoell,2018-02-07T14:00:24.000Z,"Der #Koalitionsvertrag der #Groko liegt vor. Wäre er das Termsheet für eine Finanzierungsrunde, die meisten Gründer würden es unterschreiben. Dank stellvertretend an 
@HBraun
 @tj_tweets
 @DoroBaer
 @brigittezypries
 @Hansjoerg_Durz
 @larsklingbeil
 @NadineSchoen
 @EskenSaskia
  @lietzkow",6,13,29
Hansjörg Durz,@Hansjoerg_Durz,2013-08-12T12:18:29.000Z,Ich freue mich auf den Dialog mit Ihnen auf meiner #Facebookseite >> https://facebook.com/Hansjoerg.Durz,1,2,6
