User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2017-10-09T15:12:33.000Z,"Stellv. Vorsitzender Dr. 
@R_Hartwig_AfD
:
»Die #AfD-Fraktion hat eine Kommission eingesetzt, die alle juristischen Möglichkeiten prüfen wird, um gegen die ungesteuerte Zuwanderung, verursacht durch die abgewählte Merkel-Regierung, vorzugehen!«
 https://facebook.com/afd.bundestagsfraktion/photos/a.159958374587682.1073741828.151974798719373/163588364224683/?type=3&theater…",85,336,803
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2017-10-06T14:59:46.000Z,"#AfD-Fraktion:
Vorsitz:
Dr. 
@Alice_Weidel
, Dr. Alexander Gauland
Vize:
Dr. 
@R_Hartwig_AfD
, Peter Felser, Tino Chrupalla, 
@Leif_Erik_Holm
, 
@Beatrix_vStorch
1. Parlamentarischer Geschäftsführer:
Dr. Bernd Baumann
Weitere PGF:
Jürgen Braun, Dr. @EspendillerM, Hansjörg Müller",43,170,451
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2017-10-06T08:28:14.000Z,"Die #AfD-Fraktion im Deutschen Bundestag weist die Kritik an der Person von Albrecht #Glaser, ihrem Kandidaten für das Amt des Vize-Präsidenten, als sachlich unbegründet zurück.
 https://facebook.com/afd.bundestagsfraktion/photos/a.159958374587682.1073741828.151974798719373/162641867652666/?type=3&theater…",25,142,366
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2017-10-03T17:47:34.000Z,"Am #TagderDeutschenEinheit schauen wir auf eine Nation, die sich ihre kulturellen Unterschiede von der Nordsee bis an die Alpen bewahrt hat.
Wer von Vielfalt spricht und dabei ausblendet, dass unser Land vielfältiger nicht sein könnte, der hat nicht verstanden, was  ausmacht!",32,276,686
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2017-10-02T23:47:05.000Z,"Zum #TagderDeutschenEinheit drei Fakten zur #AfD:
Fraktion mit höchster Promotions- und Professorendichte im 19. Deutschen Bundestag
~ 68 % der Wähler aus Westdeutschland
4,1 Prozentpunkte aus Ostdeutschland, 8,5 aus Westdeutschland => 12,6 %
 http://biaj.de/archiv-kurzmitteilungen/980-bundestagswahl-2017-nahezu-68-prozent-der-afd-waehler-lebt-in-westdeutschland.html…",68,277,473
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2017-09-29T15:56:52.000Z,"Glückwunsch an die Parlamentarischen Geschäftsführer der #AfD-Fraktion:
 Dr. Bernd Baumann
 Jürgen Braun
 Dr. @EspendillerM
 Hansjörg Müller
Albrecht Glaser wurde zudem als Kandidat für das Amt des Bundestagsvizepräsidenten gewählt.
https://afd.de/afd-bundestagsfraktion-waehlt-ihre-parlamentarischen-geschaeftsfuehrer-und-den-kandidaten-fuer-das-amt-des-bundestagsvizepraesidenten/…",18,118,339
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2017-09-28T17:02:45.000Z,"Im Rahmen ihrer konstituierenden Sitzung am 26. und 27. September 2017 hat die #AfD-Bundestagsfraktion folgende 3 Resolutionen beschlossen:

 Migrationschaos endlich stoppen
 Euro-Memorandum
 Direkte Demokratie nach Schweizer Vorbild

 https://afdkompakt.de/2017/09/28/resolutionen-der-fraktion-der-alternative-fuer-deutschland…",63,317,750
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2017-09-27T18:40:25.000Z,"Die #AfD-Fraktion im 19. Deutschen Bundestag wurde offenbar von #twitter280 ""auserwählt"" - jedenfalls stehen uns hier nun #280Zeichen zur Verfügung. AfD-Fraktion im Deutschen Bundestag
@AfDimBundestag
 · Sep 27, 2017
Die #AfD will im Einklang mit dem Grundgesetz wieder mehr nationale  Eigenverantwortung und damit die Voraussetzung für eine solide Finanz-  und Wirtschaftspolitik erwirken. 
 https://facebook.com/afd.bundestagsfraktion/photos/a.159958374587682.1073741828.151974798719373/160337964549723/?type=3&theater…",30,112,313
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2017-09-27T18:35:27.000Z,"Die #AfD will im Einklang mit dem Grundgesetz wieder mehr nationale  Eigenverantwortung und damit die Voraussetzung für eine solide Finanz-  und Wirtschaftspolitik erwirken. 
 https://facebook.com/afd.bundestagsfraktion/photos/a.159958374587682.1073741828.151974798719373/160337964549723/?type=3&theater…",76,294,695
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2017-09-26T17:19:07.000Z,"+++Dr. 
@Alice_Weidel
 & Dr. Alexander Gauland zu #AfD-Fraktionsvorsitzenden gewählt+++
Dem Spitzenduo und der gesamten Fraktion viel Erfolg!",98,219,834
