User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Hilde Mattheis,@HildeMattheis,2021-05-12T10:13:24.000Z,"Für diejenigen unter euch, die es ganz genau wissen wollen, hier mein Positionspapier zum Thema #Pflege:Pflegepapier_HildeMattheis.pdf
Hilde Mattheis Mitglied des Bundestages. Pflege gehört zum Leben. Pflege muss zum Leben passen. Pflege an entscheidenden Stellen reformieren!. Hilde Mattheis, MdB / Hilde.Mattheis@bundestag.de /...
docdroid.net",1,2,6
Hilde Mattheis,@HildeMattheis,2021-05-12T10:12:39.000Z,"Meine heutige Pressemitteilung zum #TagDerPflege:Hilde Mattheis: Die Pflegeversicherung braucht eine Runderneuerung - Hilde Mattheis MdB
Berlin, 12. Mai 2021 – Anlässlich des Internationalen Tages der Pflege ruft die Bundestagsabgeordnete Hilde Mattheis zu weitreichenden Reformen für die soziale Pflegeversicherung auf. Dabei müssten...
hilde-mattheis.de",2,,6
Hilde Mattheis,@HildeMattheis,2021-05-12T10:12:13.000Z,"Der neoliberale Wahnsinn hat unserem #Gesundheitssystem extremen Schaden zugefügt. Heute, am #TagDerPflege, ist es wichtig den Arbeitskampf der #Pflegekräfte zu unterstützen und sich auch für eine Runderneuerung der #Pflegeversicherung auszusprechen.",6,14,73
Hilde Mattheis,@HildeMattheis,2021-05-12T08:40:07.000Z,"Ok, seit Tagen arbeiten sich rechte Schreihälse an der Aktivistin #Neubauer ab und heute trendet #nichtmeinaerztetag. Manchmal macht #Twitter echt keinen Spaß. Heute ist übrigens #TagDerPflege! Das können bzw. müssen wir mal trenden lassen. #SolidaritätMitDenPflegenden",1,9,44
Hilde Mattheis,@HildeMattheis,2021-05-11T08:24:08.000Z,"Die #Pandemie verschärft diesen Trend. Mit neoliberalen Rezepten steuern wir in eine soziale Katastrophe. Wir brauchen grundlegende Reformen und die Rückkehr zu einem starken #Sozialstaat, in dem Sicherheit und nicht die ständige Angst vor dem Abstieg maßgeblich ist.",1,1,18
Hilde Mattheis,@HildeMattheis,2021-05-11T08:23:44.000Z,"Die sogenannte Mitte der Gesellschaft löst sich auf. Immer mehr Menschen droht der Abstieg in die #Armut. Der Sozialverband warnt vor einer immer deutlicheren Spaltung in Arm und Reich. Wer als „Partei der Mitte“ gelten will, sollte für den Großteil der Bevölkerung Politik machen",2,10,45
Forum DL21,@Forum_DL21,2021-05-08T13:24:40.000Z,Wer nicht feiert hat verloren! #TagderBefreiung,,6,33
Hilde Mattheis,@HildeMattheis,2021-05-07T09:19:43.000Z,"Liebe Twitter-Community! Was haltet ihr von einer Amtszeitbegrenzung der Kanzlerschaft auf zwei Legislaturperioden?Finde ich gut
69%
Bin dagegen
31%
323 votes
·
Final results",11,11,23
Hilde Mattheis,@HildeMattheis,2021-05-07T08:12:57.000Z,"Die Privatisierung unseres Gesundheitssystems war ein folgenreicher Fehler. Während sich die Profiteure seit Jahren die Taschen voll machen, leiden Pflegekräfte und Patient*innen unter den Folgen. Wählt dieses System ab!",3,4,38
Hilde Mattheis,@HildeMattheis,2021-05-07T08:12:34.000Z,"„Kliniken sind wie Fabriken, wo die Ware Mensch hineinkommt und bis zum letzten Atemzug Geld generiert wird“. Danke 
@RicardoLange4
 für deinen wichtigen Auftritt bei #Lanz gestern Abend!",1,7,50
Hilde Mattheis,@HildeMattheis,2021-05-06T10:08:33.000Z,"Ein Blick nach #Indien reicht aus, um zu verstehen, weshalb wir endlich und endgültig mit dieser Ideologie des #Neoliberalismus brechen müssen. Denn wenn Profit Menschenleben kostet, ist dies nicht mit unserem #Grundgesetz vereinbar. 5/5",1,9,58
Hilde Mattheis,@HildeMattheis,2021-05-06T10:08:04.000Z,"Auch wenn der Marktradikalste verstehen sollte, dass die #Pandemie nicht dadurch besiegt wird, dass die Industrieländer durchgeimpft werden, der Profit bleibt das unantastbare Heiligtum der neoliberalen Ideologie. Ein Verstoß wird mit Unheil biblischen Ausmaßes gleichgesetzt. 4/5",1,5,44
