User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Reinhard Houben,@HoubenReinhard,2021-04-22T08:15:28.000Z,"Der #TKMoG Entwurf der #BReg ist wieder einmal eine Verschiebung weg von der #Privatwirtschaft und hin zur #Staatswirtschaft. Das werden wir als 
@fdpbt
 nicht mittragen. 
#datenschutz #telekommunikation #Bundesregierung 

(TH)0:43
41 views",,,
Fraktion der Freien Demokraten,@fdpbt,2021-05-13T12:40:22.000Z,"+++ Deutschland darf nicht untätig bleiben, wenn #Israel angegriffen wird. Das gilt ebenso für Angriffe auf Juden und Synagogen in unserem Land. Der #Bundestag muss sich dringend damit befassen, deshalb: Antrag auf eine Aktuelle Stunde zum #Nahostkonflikt ! 
@MarcoBuschmann
 +++",67,94,759
Reinhard Houben,@HoubenReinhard,2021-05-13T08:05:02.000Z,"Wehret den Anfängen!Marco Buschmann
@MarcoBuschmann
 · 22h
Ich schäme mich dafür, dass das in meiner Heimatstadt geschieht! #Antisemitismus hat in Deutschland keinen Platz. Die Behörden müssen die Sicherheit der bedrohten Menschen mit allen Mittel des Rechtsstaates gewährleisten und für Ordnung sorgen. twitter.com/ZentralratJude…",,,
Johannes Vogel,@johannesvogel,2021-05-11T19:03:35.000Z,"HUNDERT neue Raketen alleine auf Tel Aviv. Das dürfen wir nicht achselzuckend zur Kenntnis nehmen, der Raketenterror der Hamas muss aufhören. Israel verteidigt die eigene Bevölkerung - zu Recht. Die Sicherheit Israels ist Staatsräson für Deutschland! 
 #standwithisrael",101,274,2.2K
FDP,@fdp,2021-05-10T09:31:31.000Z,"#VielzuTun: Am Freitag startet unser digitaler Parteitag! #bpt21 Und Du kannst vom heimischen Bildschirm aus dabei sein 
 auf http://fdp.de/live (auch in Gebärdensprache) und auf http://youtube.com/fdp 
 Einschalten und reinschauen. ",9,48,137
Karl-Heinz Paqué,@KH_Paque,2021-05-08T15:16:19.000Z,"Kein Mut! #Baerbock ordnet Start der Sozialen Marktwirtschaft SPD zu & datiert ihn auf 60er Jahre. Beides falsch, okay. Jämmerlich ist aber, dass #Grüne beides als ""Versprecher"" deklarieren. Ausrede aus Angst vor Blamage? ⁦⁦
@FNFreiheit
⁩ ⁦
@fdpBundestag: Baerbock schreibt Soziale Marktwirtschaft SPD zu - WELT
Grünen-Kanzlerkandidatin Annalena Baerbock hat im Bundestag mit einem historischen Rückgriff irritiert, der die Soziale Marktwirtschaft dem falschen Urheber zuordnet. Im Internet gab es dafür Häme –...
welt.de",14,17,161
INSM,@insm,2021-05-08T21:41:43.000Z,"Frau #Baerbock: ""Die Soziale Marktwirtschaft wurde von Sozialdemokraten auf den Weg gebracht.""

Die SPD so:GIF",2,2,24
Reinhard Houben,@HoubenReinhard,2021-05-04T11:57:51.000Z,"Emissionshandel ist der marktwirtschaftliche Weg für den Klimaschutz.Lukas Köhler
@koehler_fdp
 · May 4
Die @fdp hat das härteste #Klimaschutz-Konzept - denn mit dem sinkenden CO2-Limit im #Emissionshandel werden die Klimaziele garantiert erreicht. Warum dabei der #CO2Preis steigt, aber das Preis-Leistungs-Verhältnis sehr viel besser ist als bei einer CO2-Steuer, erfahrt ihr hier:
Show this thread",,,1
FDP Köln Innenstadt,@FDP_KoelnMitte,2021-05-01T13:29:30.000Z,"Heute ist ein guter Tag, um in die #FDP einzutreten.

FDP Mitgliedsantrag | FDP Mitgliedsantrag https://mitgliedwerden.fdp.de",1,1,9
Matthias Wachter,@WachterBDI,2021-04-29T18:51:59.000Z,"Spannende Diskussion im 
@Der_BDI
 Arbeitskreis Exportfinanzierung mit 
@HoubenReinhard
, 
@BMWi_Bund
 & 
@eulerhermes
. Die Welt verändert sich rasant und der systemische Wettbewerb nimmt weiter zu. Außenwirtschaftsförderung muss dem stärker Rechnung tragen. 
 https://bdi.eu/publikation/news/wirmachen-globalisierung/…BDI-Presse and 9 others",,2,12
