User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
BÜNDNIS 90/DIE GRÜNEN,@Die_Gruenen,2021-05-12T13:44:42.000Z,"Das #Klimaschutzgesetz darf kein leerer Rahmen bleiben, sondern muss auch mit Inhalten gefüllt werden. Das ist natürlich mit Herausforderungen verbunden, aber ""verantwortungsvolle Politik stellt sich Herausforderungen"", so 
@ABaerbock
 im 
@ardmoma
.0:31
5.9K views",93,46,330
Kerstin Maria Rippel | #Maskeauf,@kerstin_rippel,2021-05-12T06:36:28.000Z,"Unser 
@50Hertzcom
 NEP-Experte Paul Nahmmacher im Gespräch mit Ingrid Nestle zur spannenden Frage: Sind die #Klimaziele mit dem aktuellen NEP zu erreichen?Ingrid Nestle
@Ingrid_Nestle
 · May 12
Reicht der aktuelle Netzentwicklungsplan, um die Klimaziele zu erreichen? Dazu diskutiere ich mit Paul Nahmmacher @50Hertzcom und Franziska Flachsbarth @oekoinstitut in der aktuellen politischen Morgenrunde. Seien Sie dabei! https://ingrid-nestle.de/termine/politische-morgenrunde-zukunft-netzentwicklungsplan-strom/…",1,3,9
Ingrid Nestle,@Ingrid_Nestle,2021-05-12T05:06:19.000Z,"Reicht der aktuelle Netzentwicklungsplan, um die Klimaziele zu erreichen? Dazu diskutiere ich mit Paul Nahmmacher 
@50Hertzcom
 und Franziska Flachsbarth 
@oekoinstitut
 in der aktuellen politischen Morgenrunde. Seien Sie dabei!Politische Morgenrunde: Zukunft Netzentwicklungsplan Strom
ingrid-nestle.de",3,7,11
Ingrid Nestle,@Ingrid_Nestle,2021-05-11T13:40:48.000Z,"Spannende Berechnungen des Mercator Research Insitute: Ein höherer CO2-Preis kommt finanziell Schwächeren zu Gute, Wohlhabende zahlen etwas drauf. Die Energiewende sozial gerecht gestalten ist möglich!Bis zu 250 Euro mehr im Jahr: Wen ein höherer CO2-Preis am meisten belastet
Dass der CO2-Preis stärker steigen wird als bislang geplant, ist wahrscheinlich. Die Folgen für private Haushalte fallen sehr unterschiedlich aus. Ein Überblick. 
app.handelsblatt.com",2,6,18
Ingrid Nestle,@Ingrid_Nestle,2021-05-11T12:04:13.000Z,"Ich freue mich auf eine spannende Diskussion!Becker Büttner Held
@BBH_online
 · May 11
Am 18. Mai veranstalten wir unsere BBH-Jahreskonferenz und feiern #30JahreBBH #MutfürNeues. Uns erwartet eine spannende Diskussion mit vielen hochkarätigen Gästen und über 500 angemeldeten Teilnehmer*innen! Wir freuen uns u.a. auf Bundesumweltministerin @SvenjaSchulze68 (@bmu),
Show this thread",,,1
Annalena Baerbock,@ABaerbock,2021-05-07T14:26:36.000Z,"Wer das Klima schützt, schützt die Freiheit. #Klimaschutz ist nicht einfach nur Umweltpolitik. Es geht ums Ganze. #ErneuerbareEnergien müssen schneller ausgebaut werden. Und wir brauchen eine Politik, die Klimaschutz zum Kern jedes politischen Handelns macht. #KlimaschutzIstJetzt",496,502,4.3K
Ingrid Nestle,@Ingrid_Nestle,2021-05-06T10:52:52.000Z,"Über ein #Bürgergeld, welches pro Kopf ausgezahlt werden soll, profitieren insbesondere verbrauchsarme Haushalte. Mehr Geld in der Tasche haben dann vor allem Haushalte mit geringem Einkommen.(4/x)",1,,
Ingrid Nestle,@Ingrid_Nestle,2021-05-06T10:52:51.000Z,"Das Grüne Angebot von 
@GrueneBundestag
 zur Reform des #Strommarkts fördert den #Klimaschutz und günstige Energiepreise. Hier zeigen wir, wie das gehen kann: (1/x) https://gruene-bundestag.de/files/beschluesse/beschluss-strommarktdesign.pdf…",1,,5
Ingrid Nestle,@Ingrid_Nestle,2021-05-06T10:46:29.000Z,"Wer günstigere Energiepreise möchte, muss die #Erneuerbaren ausbauen. Je mehr Wind und Sonne im System sind, desto niedriger sind die Preise an der Strombörse. Nicht der #CO2Preis ist das Problem, sondern die teuren Klimaschäden.Höherer CO2-Preis: Stromkunden droht der nächste Preisanstieg
Verbraucher zahlen in Deutschland schon heute so viel für Strom wie in keinem europäischen Land – und nächstes Jahr womöglich noch mehr. Ist die EEG-Umlage noch zeitgemäß?
faz.net",5,2,14
Ingrid Nestle,@Ingrid_Nestle,2021-05-06T08:27:19.000Z,"Es ist Zeit für 
höhere Ausbauziele
die Möglichkeiten der Verbraucher stärken auf die Verfügbarkeit von Wind & Sonne zu reagieren

Davon profitieren auch die nicht flexiblen Verbraucher, für die in den entscheidenden Stunden günstigerer Strom übrig bleibt. #EEG #EnWG",,,6
Ingrid Nestle,@Ingrid_Nestle,2021-05-06T08:20:15.000Z,"Die Bundesregierung hat bisher jede Chance beim #EEG und #EnWG die richtigen Heben für die Erreichung der Klimaziele zu setzen verweigert. Nun Kehrtwende im Schnelldurchlauf? #KlimaklageKlimaschutz: Schöne Ziele, aber keine Wege dorthin
Im Eiltempo schrauben Union und SPD die deutschen Klimaziele hoch. Doch damit allein ist noch kein Gramm Kohlendioxid eingespart.
sueddeutsche.de",1,,9
Ingrid Nestle,@Ingrid_Nestle,2021-05-06T07:53:53.000Z,"Heute morgen gemeinsamer Parlamentskreis #Elektromobilität und #Sektorkopplung. Nicht nur 
@MpStephanWeil
 weist darauf hin, dass die Welt bei Pkw auf Elektromobilität setzt. Aber: Der Bau von Ladeinfrastruktur muss noch einfacher werden.",3,5,16
Ingrid Nestle,@Ingrid_Nestle,2021-05-05T13:27:09.000Z,"Botschaft von Podium von 
@FfZeV
: 450.000 Wallboxen haben schon eine Förderung beantragt. Wir sollten schnell die richtigen Rahmenbedingungen setzen, um diese intelligent ins System zu integrieren. Vorausschauend denken statt hinterher hecheln. #Strommarkt",3,3,16
Ingrid Nestle,@Ingrid_Nestle,2021-05-05T07:12:16.000Z,"Der Ausbau der Infrastruktur der #Bahn darf nicht nur an wirtschaftlichen Kriterien, sondern muss auch am klimapolitischen Nutzen gemessen werden. Meine kleine Anfrage dazu zeigt: Die Bundesregierung sieht leider keinen Bedarf.kleine Anfrage: Bahninfrastruktur Schleswig-Holstein
ingrid-nestle.de",,1,4
Ingrid Nestle,@Ingrid_Nestle,2021-05-05T07:09:30.000Z,"Die #Bahninfrastruktur in Schleswig-Holstein ist hier historisch bedingt vernachlässigt worden. Statt weiterhin nur die #Elektrifizierung von Strecken in Süddeutschland zu fördern, hat die Bundesregierung es in der Hand, diese Ungerechtigkeit zu beheben.Bahn-Elektrifizierungen: Bund und Schleswig-Holstein streiten um Oberleitungen | shz.de
Der Bund sieht im Norden kaum Bedarf, obwohl es nirgends so wenig elektrifizierte Strecken gibt. Nun wird das Land aktiv
shz.de",3,,2
phoenix,@phoenix_de,2021-05-04T13:51:25.000Z,"#KlimaGerechtigkeit muss mit sozialer Gerechtigkeit verknüpft werden. Wer mehr #CO2 verbraucht, muss mehr zahlen, fordert 
@GoeringEckardt
 @GrueneBundestag
. #Söder und Laschet müssen Farbe bekennen, was sie bei #WindKraft, #SolarEnergie und beim #KohleAusstieg tun. #Klimaschutz",54,46,136
Ingrid Nestle,@Ingrid_Nestle,2021-05-04T10:58:32.000Z,"Ich unterstütze gern den offenen Brief von 
@sven_giegold
 und 
@KristinaJeromin
. Effizienzprogramme bei fossilen Investitionen machen diese noch lange nicht nachhaltig, genauso wenig Atomenergie. Die Taxonomie darf nicht zur Mogelpackung geraten.Offener Brief an die EU-Kommission für glaubwürdige Sustainable Finance-Regeln
Ich habe gerade den offenen Brief an die EU-Kommission für glaubwürdige Sustainable Finance-Regeln unterzeichnet: https://actionnetwork.org/petitions/offener-brief-sustainable-finance
actionnetwork.org",2,5,7
Dieter Janecek,@DJanecek,2021-05-03T15:08:40.000Z,"Die #FDP hat die letzten drei Jahre in dieser Legislatur so getan, als wäre sie für #Klimaschutz und eine ökologische #Marktwirtschaft. War natürlich nicht ernst gemeint, jetzt wisst ihr Bescheid! #Lindner",3,7,44
Brigitte Knopf,@BrigitteKnopf,2021-05-03T13:51:32.000Z,"Replying to 
@Ingrid_Nestle
 @katdro
 and 2 othershier unsere Rechnungen dazu:",1,7,38
Ingrid Nestle,@Ingrid_Nestle,2021-05-02T11:09:48.000Z,"Die Umstellung auf klimafreundlichere #Infrastruktur. kommt zu langsam voran. Mehr Personal, Digitalisierung und frühzeitige Beteiligung sind wichtige Bausteine für effektive #Planungsbeschleunigung. Ich begrüße den Antrag ausdrücklich. #allesistdrinGRÜNE Schleswig-Holstein
@Gruene_SH
 · May 2
#Klimaschutz, #Infrastruktur #ErneuerbareEnergien, #Radwege - all das kriegen wir besser hin, wenn wir schnellere und klimagerechte Planungsverfahren haben. Die sind dafür superwichtig und wir setzen uns dafür ein. Jetzt live auf dem Landesparteitag #daswaszählt #allesistdrin",2,1,7
BÜNDNIS 90/DIE GRÜNEN,@Die_Gruenen,2021-05-02T10:53:12.000Z,"Jetzt ist die Zeit konkrete Schritte für ambitionierten Klimaschutz einzuleiten, indem wir das Klimaschutzziel für 2030 weiter verschärfen und z.B. den CO₂-Preis rascher anheben – auf 60 Euro ab 2023.Grüne wollen Angela Merkel und Olaf Scholz beim Klimaschutz unter Druck setzen
Vizekanzler Scholz und Umweltministerin Schulze planen für kommende Woche einen Vorschlag für ein neues Klimaschutzgesetz. Noch ehe dieser vorliegt, schreiben die Grünen der Regierung einen Brief und...
spiegel.de",247,130,557
GRÜNE Schleswig-Holstein,@Gruene_SH,2021-05-02T09:09:14.000Z,"@Ingrid_Nestle
 - „Wir müssen die Zeit, die wir jetzt noch haben, nutzen um die Folgen des #Klimawandel so gut es geht abzufedern.“ Und der Landesparteitag-Antrag dazu, der den Katastrophenschutz stärken will, wurde mit riesiger Mehrheit angenommen. #Klimaschutz #daswaszählt",1,2,6
Rasmus Andresen,@RasmusAndresen,2021-05-01T10:12:12.000Z,"Alles Liebe an 
@perlmuttern
 & 
@dm2sr
 zu der Wiederwahl als Doppelspitze für 
@Gruene_SH
. Wir haben viel vor. 
#allesistdrin",,1,15
GRÜNE Schleswig-Holstein,@Gruene_SH,2021-05-01T08:38:32.000Z," Es geht los! Wir sind in unseren Landesparteitag gestartet. Wir freuen uns auf Euch bei YouTube und auf ein ganzes Wochenende voller Grüner Politik! http://youtube.com/user/GrueneSH #daswaszählt #mitdir #allesistdrin #GrueneGRÜNE Schleswig-Holstein
Herzlich willkommen im Kanal von BÜNDNIS 90/DIE GRÜNEN in Schleswig-Holstein. Hier findest Du Videos rund um grüne Politik im Norden.
youtube.com",3,4,20
Ingrid Nestle,@Ingrid_Nestle,2021-05-01T09:26:26.000Z,"Ich stimme 
@ekavonkalben
 voll zu: Hass und Hetze gegen Frauen stellen wir uns kompromisslos entgegen. 
@ABaerbock
 wird es allen zeigen! Sie steht für Wandel. Wir Grüne haben einen Entwurf für ein progressives Wahlprogramm vorgelegt. #allesistdrin #mitdir #lptsh",1,3,21
