User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Jens Brandenburg,@JBrandenburgFDP,2021-05-12T14:18:32.000Z,"HIV-positive Menschen sollten am Arbeitsplatz Unterstützung statt Ausgrenzung erfahren. Wir 
@fdpbt
 und 
@fdp
 haben daher die Deklaration #positivarbeiten der 
@Aidshilfe_de
 unterzeichnet. Der 
@Bundestag
 und die Bundesregierung sollten dies in ihrer Vorbildfunktion ebenso tun.Queerspiegel
@Queerspiegel
 · May 12
Viele Menschen mit HIV erfahren auf der Arbeit Diskriminierung. Die Deklaration #positivarbeiten der @Aidshilfe_de will das ändern. Nun fordert die FDP auch die Bundesregierung dazu auf mitzuziehen. @JBrandenburgFDP 

https://tagesspiegel.de/gesellschaft/queerspiegel/der-staat-sollte-mit-positivem-beispiel-vorangehen-deutsche-aidshilfe-will-stigmatisierung-am-arbeitsplatz-bekaempfen/27177100.html…",,2,29
Queerspiegel,@Queerspiegel,2021-05-11T15:57:21.000Z,"HIV ist leider immer noch zu oft am Arbeitsplatz ein Stigmatisierungsgrund. Die 
@Aidshilfe_de
 will das ändern - und die 
@fdpbt
 fordert die Bundesregierung auf mitzuziehen. 
@JBrandenburgFDP
 @johannesvogelDeutsche Aidshilfe will Stigmatisierung am Arbeitsplatz bekämpfen
Menschen mit HIV erfahren auf der Arbeit Diskriminierung. Eine Deklaration der Aidshilfe will das ändern. Die FDP fordert die Bundesregierung auf mitzuziehen.
tagesspiegel.de",,7,16
Jens Brandenburg,@JBrandenburgFDP,2021-05-11T13:44:58.000Z,"Die geschlechtliche Identität eines Menschen kann niemand besser beurteilen als dieser Mensch selbst. 

Hier geht es zum offenen Brief:Offener Brief zu Abstimmung über ein modernes Selbstbestimmungsrecht am 19. Mai
In einem gemeinsamen offenen Brief fordern Jens Brandenburg (FDP) und Sven Lehmann (Grüne) alle Abgeordneten des Deutschen Bundestages auf, bei der Bundestagsabstimmung am 19. Mai für die Gesetzent...
jens-brandenburg.de",1,3,28
Jens Brandenburg,@JBrandenburgFDP,2021-05-11T13:44:57.000Z,Die geschlechtliche Identität eines Menschen kann niemand besser beurteilen als dieser Mensch selbst. Der unnötigen Schikane durch demütigende Gutachten und teure Gerichtsverfahren sollten wir endlich ein Ende setzen.,2,2,32
Jens Brandenburg,@JBrandenburgFDP,2021-05-11T10:15:17.000Z,"Liebe kann keine Sünde sein. Ein starkes Zeichen vieler katholischer Pfarrer, homosexuelle Paare zu segnen! Der Protest gegen das Segnungsverbot aus dem Vatikan führt hoffentlich zu einem Umdenken in der Kirche. #liebegewinntAus Protest homosexuelle Paare segnen: Pfarrer in Baden-Württemberg trotzen Vorgabe aus Rom
Homosexuellen Paaren den Segen zu spenden, sei nicht der Wille Gottes, hieß es zuletzt aus Rom. Dieses Machtwort ignorieren nun einige Pfarrer ganz bewusst - zum Missfallen ihres Erzbistums.
swr.de",2,4,18
Jens Brandenburg,@JBrandenburgFDP,2021-04-29T09:13:17.000Z,"Ein starker Beschluss des #Bundesverfassungsgericht|s zu Freiheitsrechten der jungen Generation und Verantwortung zum #Klimaschutz. Schluss mit der Symbolpolitik, wir brauchen endlich ein über alle Sektoren verbindliches CO2-Limit mit marktwirtschaftlichem Zertifikatehandel! BVerfG
@BVerfG
 · Apr 29
#BVerfG Verfassungsbeschwerden gegen das Klimaschutzgesetz teilweise erfolgreich http://bverfg.de/DE/bvg21-031",,1,45
Johannes Vogel,@johannesvogel,2021-04-29T08:38:50.000Z,"Das #BVerfG fordert zu Recht bessere Klimapolitik als das #Klimaschutzgesetz der GroKo ein. Damit wird Generationengerechtigkeit in ein Urteil gegossen - spannend, auch für die Rente. Politik muss in Jahrzehnten denken & immer auch die Freiheit künftiger Generationen sichern!",15,39,261
Jens Brandenburg,@JBrandenburgFDP,2021-04-29T08:16:15.000Z,"Nicht nur das #BAföG feiert dieses Jahr das 50. Jubiläum, sondern auch die Bundesbildungsministerin 
@AnjaKarliczek
. Über die Studienfinanzierung müssen wir nochmal sprechen, aber ein runder Geburtstag gehört gefeiert. Herzlichen Glückwunsch, Frau Ministerin! ",,,16
Jens Brandenburg,@JBrandenburgFDP,2021-04-24T11:42:30.000Z,"Die 
@fdpbt
-Anträge für eine Aufhebung des Kooperationsverbots im Grundgesetz blockiert die Union seit Jahren. Ihre Erkenntnis kommt spät, aber immerhin. Wer wirklich einen modernen Bildungsföderalismus möchte, verlässt sich besser auf das Original.Tobias Peter
@hand_aufs_hirn
 · Apr 24
.@AnjaKarliczek: „Ich gehe fest davon aus, dass die Forderung nach einer Grundgesetzänderung für eine bessere Zusammenarbeit zwischen Bund und Ländern mit Blick auf die Digitalisierung der Schulen ins Wahlprogramm der Union kommt.“ @arminlaschet #twlz
https://rnd.de/politik/karliczek-schulen-reihen-sich-mittlerweile-ins-ganz-normale-infektionsgeschehen-ein-DGZSNL5DDJBFXEGIRYB3XKJAYM.html…",,3,21
Jens Brandenburg,@JBrandenburgFDP,2021-04-23T13:58:33.000Z,"Nachdem das Infektionsschutzgesetz beschlossen ist, äußern sich auch die Landeswissenschaftsminister/-innen kritisch. Die Rückendeckung hätten wir letzte Woche brauchen können, als wir 
@fdpbt
 das weitgehende Verbot von Praxisveranstaltungen deutlich angesprochen haben.Jan-Martin Wiarda
@JMWiarda
 · Apr 23
Wissenschaftsminister kritisieren #Bundesnotbremse 

In einem gemeinsamen Brief an die Bundesregierung fordern sie Klarstellungen im Sinne der #Hochschulen und erklären, wie sie bis dahin das Gesetz möglichst studierfreundlich auslegen werden. 

Im Blog: https://jmwiarda.de/2021/04/23/wissenschaftsminister-kritisieren-infektionsschutzgesetz/…",,2,6
