User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Dr. Jan-Marco Luczak,@JM_Luczak,2021-05-14T06:42:33.000Z,"EU-Ländervergleich: Deutschland bald Impf-Europameister! Und wenn das sogar die ⁦
@BILD
⁩ sagt….
⁦
@jensspahn
⁩EU-Ländervergleich: Deutschland bald Impf-Europameister
Deutschland ist nach einer Statistik über Impfungen im Verhältnis zur Bevölkerungszahl endlich im EU-Ländervergleich an der Spitze!
bild.de",4,3,6
Dr. Jan-Marco Luczak,@JM_Luczak,2021-05-14T06:28:56.000Z,"Man stelle sich das mal umgekehrt vor: Habeck würde den Hintergrund von Baerbock mit Kühen und Schweinen umreißen und sich selbst als Völkerrechtler darstellen. Der Aufschrei über sexistisches Machogehabe wäre - zurecht - groß. Aber Baerbock darf offensichtlich alles…
@cducsubtArgo Nerd
@argonerd
 · 14h
Sympathisch und unprätentiös!
Show this thread",10,26,237
Dr. Jan-Marco Luczak,@JM_Luczak,2021-05-13T19:23:28.000Z,"Wer öffentlich die Flagge eines ausländischen Staates zerstört oder beschädigt und dadurch verunglimpft, macht sich strafbar, §104 I S. 2 StGB. Haben wir als 
@cducsubt
 in dieser Wahlperiode durchgesetzt. 
#ausGründen
#StandWithIsrael 
@ArminLaschet
 @lto_de
 @rbrinkhaus
 @CDU",21,20,169
Paul Ziemiak,@PaulZiemiak,2021-05-13T11:44:40.000Z,"Heute Nacht haben zwei bisher  unbekannte Täter die Flagge Israels 
 vor unserem Konrad-Adenauer-Haus 
@CDU
 gestohlen. Wir haben diese heute Morgen umgehend ersetzt. 
Ihr könnt uns zwar die Flagge nehmen, aber nicht unsere Haltung! 

#standwithisrael #Israel #IsraelUnderAttack",463,404,3K
Dr. Jan-Marco Luczak,@JM_Luczak,2021-05-13T06:25:15.000Z,"Keinen. Zentimeter. Platz. Für. #Antisemitismus!
#StandWithIsrael",52,92,371
Frankfurter Allgemeine gesamt,@FAZ_NET,2021-05-10T01:15:07.000Z,"Will Armin #Laschet Kanzler werden, muss er in die Offensive. Sein Stehvermögen zeigte er bei #AnneWill. Den besten Schlagabtausch lieferte ihm Klimaaktivistin Luisa #Neubauer, beobachtet 
@MichaelRadunski
.TV-Kritik: Anne Will: Laschet kann sie alle schaffen
Will Armin Laschet Kanzler werden, muss er in die Offensive. Sein Stehvermögen zeigt er bei Anne Will. Den besten Schlagabtausch liefert ihm Klimaaktivistin Luisa Neubauer.
faz.net",32,39,114
Matthias Hauer,@MatthiasHauer,2021-05-09T08:55:08.000Z,"Waren es nicht eigentlich die #Kobolde, die die #SozialeMarktwirtschaft erfunden haben? 
 #Baerbock",28,28,262
Dr. Jan-Marco Luczak,@JM_Luczak,2021-05-09T07:45:58.000Z,"Impfen wirkt - und die #Bundesnotbremse auch! Am 23. April 2021 trat diese in Kraft, danach gingen die Inzidenzen rapide runter...
Danke an 
@OlafGersemann
 für die hervorragende Begleitung der Pandemie mit Daten und Fakten!
@cducsubt
 @jensspahn",2,7,37
Dr. Jan-Marco Luczak,@JM_Luczak,2021-05-09T07:25:16.000Z,"Ohne Humor kommt man nicht durch diese schwere Zeit für die 
@cducsubt
. 
Aber ich bin sicher: wir werden die vermissten Wählerinnen und Wähler wiederfinden!
@CDU
 @cduberlinextra3
@extra3
 · May 9
Wenn heute Bundestagswahl wäre, dann würde die #CDU morgen sehr viele Menschen als vermisst melden.",4,1,8
Jan Schnellenbach,@schnellenbachj,2021-05-08T13:11:34.000Z,"Wie hoch war eigentlich wirklich der Anteil öffentlicher Förderung an der Erfolgsgeschichte von Biontech? Und ist daraus ein moralischer Anspruch auf Aufhebung des Patentschutzes abzuleiten? 

Das habe ich mir mal angeschaut:Gehört der Impfstoff uns allen? Die Diskussion um Patentschutz und öffentliche Fördermittel bei...
Im Zusammenhang mit der aktuellen Diskussion um ein Aussetzen des Patentschutzes für Covid-Impfstoffe gibt es unter den Befürwortern verschiedene Argumentationsstränge. Beide Stränge sollen in diesem...
wirtschaftlichefreiheit.de",45,187,456
