User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Jürgen Trittin,@JTrittin,2021-05-14T16:14:20.000Z,"""Der Status quo ist eine unhaltbare Situation für beide Seiten, die regelmäßig zur militärischer Eskalation führt."" Muriel Asseburg von 
@SWP_MEA
 zum Hintergrund der eskalierenden Gewaltspirale zwischen #Israel und #PalestineNahost-Konflikt : ""Die Menschen sind den Bombardierungen ausgeliefert""
Mit den Raketenangriffen auf Israel will die Hamas Stärke zeigen, sagt Nahostexpertin Muriel Asseburg. Doch damit schadet sie auch den Palästinensern.
zeit.de",,1,7
Jürgen Trittin,@JTrittin,2021-05-14T16:04:10.000Z,"#Afghanistan: Zivilgesellschaft unter Druck, Pressefreiheit bedroht. Die Familie #Siawash ist nach der Ermordung ihres Sohnes Yama erstmal in Sicherheit. Video-Gespräch während der Quarantäne in Reyershausen bei #Goettingen",4,4,14
Jürgen Trittin,@JTrittin,2021-05-14T11:17:37.000Z,"Die Raketenangriffe auf #Israel stoppen - jetzt. Ohne politische Lösung aber wird die Gewalt wieder aufleben. Es gibt eine Verantwortung dafür - für die #UN, #USA, #Russland und die #EU. Wegschauen ist eine gefährliche IllusionTrittin: ""Es muss in Palästina endlich Wahlen geben""
Jürgen Trittin, Außenpolitiker der Grünen, fordert von der Hamas ein sofortiges Ende des Rakentenbeschusses auf Israel. Anschließend müssten auch ""solche Operationen wie die Enteignung und Vertreib...
wdr.de",8,7,28
Katrin Schmidberger,@kaddinsky,2021-05-14T10:41:15.000Z,"#SIGNA gehts nicht um „Investitionen“ für Berlin, sondern um hohe Renditen. Wir brauchen keine Versilberung der Immobilie, aber günstigen Gewerberaum. Keine Erpressung mit Arbeitsplätzen, die nur bis zum Projektstart laufen. Da helfen weder ""Greenwashing"" noch ""Greenbashing""Susanna Kahlefeld",2,15,41
BÜNDNIS 90/DIE GRÜNEN,@Die_Gruenen,2021-05-13T09:32:22.000Z,"""Wenn wie jetzt israelische Flaggen vor Synagogen verbrannt oder Steine auf jüdische Gotteshäuser geworfen werden, müssen wir unsere Stimme erheben. #Antisemitismus hat in Deutschland keinen Platz und wir müssen ihn entschieden bekämpfen."" 
@ABaerbockBaerbock verurteilt Angriffe der Hamas auf Israel: „Wir stehen an der Seite der Israelis“
Grünen-Kanzlerkandidatin Annalena Baerbock verurteilt die Raketenangriffe auf Israel durch die islamistische Hamas „aufs Schärfste“. „Wir stehen in diesen schwierigen Stunden an der Seite der...
rnd.de",810,450,3.3K
Jürgen Trittin,@JTrittin,2021-05-07T20:12:01.000Z,"""Es gibt keinen Bayern München Effekt"" Wahlforscher Korte zum ZDF-Politbarometer: Grüne knapp vorn, Union auf Rekordtief 
@ZDFheutePolitbarometer: Grüne in Projektion knapp vor Union
Wäre am Sonntag Bundestagswahl, würde die Union abrutschen. Knapp stärkste Kraft wären die Grünen. Das zeigt das aktuelle Politbarometer.
zdf.de",8,4,33
Jürgen Trittin,@JTrittin,2021-05-07T15:20:55.000Z,"Wir haben der 
@cdu
 @csu
 & 
@spdde
 ein Nachhilfeangebot gemacht: So geht richtiger, verfassungsgemäßer (; Klimaschutz!
#KlimaschutzgesetzGrüne im Bundestag
@GrueneBundestag
 · May 7
#KlimaschutzIstJetzt: Wir dürfen nicht länger warten! 

Um die Klimakrise in den Griff zu kriegen, braucht es jetzt wirksame Maßnahmen. Unser Angebot 
https://dip21.bundestag.de/dip21/btd/19/292/1929294.pdf…
Show this thread",11,7,31
Jürgen Trittin,@JTrittin,2021-05-07T11:51:28.000Z,"Merkel bezeichnet die massiven Menschenrechtsverletzungen der chinesischen Regierung in #Hongkong und #Xinjiang als ""Meinungsverschiedenheiten"". Es handelt sich nicht nur um eine Meinungsverschiedenheit, sondern um einen tiefen, systemischen Konflikt. #China",21,239,277
Britta Haßelmann,@BriHasselmann,2021-05-07T11:43:45.000Z,"Wer einen Wald verspricht, muss auch Bäume pflanzen, so ⁦
@ABaerbock
⁩ in der Debatte zum #Klimaschutz im Bundestag. So ist es! Wir dürfen nicht länger warten. #KlimaschutzIstJetzt",18,43,327
Jürgen Trittin,@JTrittin,2021-05-07T07:52:02.000Z,"Von wegen Latte-Macchiato - Ob der 
@PaulZiemiak
 die Studie der eigenen Stiftung schon gelesen hat? Oder hat er immer noch Kopfschmerzen von seinen Pilztrip?Latte-macchiato-Trinker wählen grün? Wahlentscheidung hängt nicht vom Lebensstil ab
In Deutschland sind die Zusammenhänge von Lebensstil und Nähe zu einer Partei nur schwach ausgeprägt, zeigt eine Studie der Konrad-Adenauer-Stiftung, die dem RedaktionsNetzwerk Deutschland (RND)...
rnd.de",6,4,43
