User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Fabian Jacobi,@Jacobi_AfD,2021-01-31T12:52:33.000Z,"Zweifelsohne. Aber immer noch nicht bereit, das Land und den Staat, welche die Folie meiner eigenen bescheidenen Existenz bilden, widerspruchslos jenen zu überlassen, die davon angezogen werden und sich darin gefallen.Kroschel
@kroschel
 · Sep 4, 2020
Replying to @Bartzissey and @AluhutDank
Politik wieder als diese unterirdisch vulgäre Zumutung begreifen, die sie nun einmal ist. twitter.com/kroschel/statu…",2,1,4
Fabian Jacobi,@Jacobi_AfD,2021-05-08T18:03:17.000Z,"Das ist noch das harmloseste unter den Indikatoren. Wer Ohren hat zu hören, der höre ihnen zu.Dr. Alexander Will
@AF_Will
 · May 8
Warum erinnert grüne Ästhetik 
an FDJ und Komsomol? Weil sie sich absichtlich von totalitären Vorbildern ableitet. Das lässt auf das Denken schließen. #Grüne
Show this thread",1,1,4
Fabian Jacobi,@Jacobi_AfD,2021-05-08T15:25:18.000Z,"Wenn Worte Gewalt sind, dann ist der Ausdruck ""N-Wort"" der Baseballschläger der Antifa auf dem Hinterkopf der Zivilisation.Hendrik Wieduwilt
@hwieduwilt
 · May 8
Wer sich bei #Palmer in grammatische Exegesen schraubt, hat eines nicht kapiert (oder will es nicht kapieren): Palmer fand‘s richtig GEIL mal das N-Wort rauszuballern, sonst nichts. Es ist ein Statement, ein Fuß im Nacken Dunkelhäutiger. Meine Güte, dass man da dIsKuTiErEn muss.",1,,3
Fabian Jacobi,@Jacobi_AfD,2021-05-03T13:29:12.000Z,"Schon wieder? Sich selbst auf der Verliererseite der Stimmungsmache wiederzufinden, schärft das kritische Bewußtsein, ja? Erneut: CDU hat diesen ÖRR genau so mit geschaffen. Jetzt gefällt es nicht mehr? Tough luck.Dr. Jan-Marco Luczak
@JM_Luczak
 · May 2
Journalistische Objektivität und Distanz sollten auch für @DasErste gelten, auch und gerade aufgrund der öffentlichen Finanzierung. Ich kann darüber nur den Kopf schütteln...",2,1,5
Fabian Jacobi,@Jacobi_AfD,2021-05-02T21:03:58.000Z,"Hab nachgeschaut: nein.Richard Meusers v.W. ن
@maternus
 · May 2
Erscheinen die 8 Mrd Rundfunkbeitrag an den Zwangsfunk eigentlich im Rechenschaftsbericht der Grünen über ihnen zugeflossene Parteispenden? twitter.com/DasErste/statu…
Show this thread",1,1,5
Fabian Jacobi,@Jacobi_AfD,2021-05-02T06:29:59.000Z,"tweet des 
@ZDF
 offenbart, welch ein Monster 
@CDU
&Co mit dem ""ÖRR"" geschaffen haben.Dr. Jan-Marco Luczak
@JM_Luczak
 · May 1
tweet des @ZDF offenbart, auch wenn zwischenzeitlich gelöscht, wie sehr Vermieter zum Feindbild gemacht werden. Steigende Mieten werden auf „Tricks“ v Wohnungsbesitzern geschoben,die Mietern den Kragen platzen lassen. Das ist nicht mehr weit weg von der Rechtfertigung von Gewalt!",3,11,21
Fabian Jacobi,@Jacobi_AfD,2021-04-25T10:58:37.000Z,"Teile der herrschenden Klassen unserer Zeit zeigen Anzeichen gemeingefährlicher Geistesverwirrung. Um sich von diesen Leuten widerstandslos regieren lassen, muß man jegliche Selbstachtung verloren haben.Bei der EZB gilt: Zugang nur für Frauen
Die Europäische Zentralbank (EZB) plant eine Konferenz, an der nur Forschungsarbeiten von Frauen zugelassen sind. Besonders klug ist das nicht.
nzz.ch",1,,2
Fabian Jacobi,@Jacobi_AfD,2021-04-24T13:47:07.000Z,"Ja, ich habe Angst vor dieser Polizei.Polizei Berlin
@polizeiberlin
 · Apr 23
Wegen Streitigkeiten, Beleidigungen & einer Körperverletzung wurden unsere Kolleg. gestern in die Filiale eines Lebensmitteldiscounts in #Neukölln gerufen, nachdem ein Kunde eine rassistische Bezeichnung für Schokoküsse im Beisein einer PoC verwendete. https://berlin.de/polizei/polizeimeldungen/2021/pressemitteilung.1078658.php…
^yt
Show this thread",1,,2
Fabian Jacobi,@Jacobi_AfD,2021-04-21T06:01:54.000Z,"Unnötig. Das Licht geht aus, bevor das zuende ist. 
""Danach"" wird die Frage sein, ob es noch jemand wieder anmachen kann.AchimSpiegel
@AchimSpiegel
 · Apr 20
Wer macht hier danach das Licht aus? twitter.com/Wahlrecht_de/s…",1,2,6
Fabian Jacobi,@Jacobi_AfD,2021-04-18T12:58:22.000Z,"Nein. Hat er nicht. Es ist im Gegenteil gut erkennbar und auch allgemein bekannt, wofür die CDU steht. Es ist halt bloß nicht mehr dasselbe wie (vielleicht/angeblich) zu anderen Zeiten.Steinhoefel
@Steinhoefel
 · Apr 17
""Die CDU hat ihren Kompass verloren. Unsere Wählerinnen und Wähler, soweit noch vorhanden, wissen nicht mehr, wofür wir eigentlich stehen."" Friedrich Merz, 17.04.2021. Und damit hat er wohl Recht.",1,2,5
