User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2021-05-05T09:44:38.000Z,"Es liegt schon in der Luft. Nein, leider nicht der Frühling, sondern die Restriktionen, um die kommende „Klima-Katastrophe“, die ohne Frage nach Ende der Corona-Pandemie in den Fokus rücken wird, doch noch zu verhindern. #Klimalockdown 
 https://facebook.com/Jannolteafd/posts/3671478362962747…",,5,16
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2021-05-04T11:26:59.000Z,"(3) ... starke Hinweise darauf, dass die Regierung hier massiv übertreibt und das #KSK zermürbt. Hier soll der selbe Linksdruck ausgeübt werden, wie im Rest der Gesellschaft.",,,5
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2021-05-03T12:04:49.000Z,+++BREAKING NEWS+++,,,11
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2021-04-23T11:30:17.000Z,"Mutig ist, wer sich in Zeiten, in denen die Mächtigen im Unrecht sind, für Vernunft & Gerechtigkeit einsetzt. Solche Mutigen finden Sie eher nicht unter Schauspielern, die mit Kotau vor der linken Medienübermacht und ihren Scharfmachern einknicken. #allesdichtmachen",2,16,39
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2021-04-14T14:22:23.000Z,"Unfassbar, was da wieder los ist. Nicht nur, dass ein #Syrer, der hier nicht das Geringste zu suchen hat, nur Bewährung dafür bekommt, dass er einen Deutschen totschlägt. Nein, der Vater des Opfers wird auch noch selbst behandelt, wie ein Verbrecher.Polizei-Skandal: Syrer tötet 30-Jährigen - dann verfolgt Polizei deutsche Opferfamilie
2017 tötete ein junger Syrer den Sohn von Karsten Hempel (56) in Sachsen-Anhalt. Nach der Verurteilung des Täters auf Bewährung verfolgte die Polizei den Vater des Opfers – wegen angeblicher Rachep...
m.focus.de",2,24,86
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2021-04-12T17:17:11.000Z,"Bis 18:00 dauert die heutige Sondersitzung des Verteidigungsausschusses an. Im Fokus steht die sogenannte ""Munitionsamnestie"" des Kommandeurs KSK und die Umstrukturierung des #KSK. 
 https://facebook.com/Jannolteafd/posts/3607513416025909…",,,7
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2021-04-08T14:00:50.000Z,"Russlandkritik in Politik & Medien ist natürlich völlig in Ordnung. Aber ganz bewusst unvollständig zu berichten und damit das Feindbild Russland aufzubauen, ist unverantwortlich. 
 https://facebook.com/Jannolteafd/posts/3595763320534252…",3,13,39
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2021-04-06T15:43:48.000Z,Namensvorschläge für den nächsten #Lockdown können noch bis Ende April bei der Bundesregierung eingereicht werden.,7,8,81
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2021-03-26T14:36:46.000Z,"nnerhalb der vergangenen drei Jahre sind damit nicht nur die Versetzungsanträge massiv angestiegen, sondern es verabschiedeten sich innerhalb jedes einzelnen Jahres mehr Ausbilder als in den Jahren 2015, 2016 und 2017 zusammengenommen. 
 https://facebook.com/Jannolteafd/posts/3556752527768665…",,,8
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2021-03-26T14:36:45.000Z,"... etwa 90 Kommandosoldaten sich in psychologische Behandlung begeben haben. Nun hat eine Anfrage von mir ergeben, dass sich auch die Anzahl der Versetzungsanträge massiv erhöht hat. 

Während es 2017 noch 7 Versetzungsanträge (davon zwei Ausbilder) gab, verdoppelte sich ...",1,,5
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2021-02-24T09:03:27.000Z,"Wir werden noch #Wunder erleben. ;-) 
 https://facebook.com/Jannolteafd/posts/3468969389880313…",3,8,32
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2021-02-22T10:19:49.000Z,"Das ist wirklich der Gipfel der Ignoranz. Während die 
@CDU
  sich mit 100 Leuten ohne Maske zum Parteitag trifft, werden auf Geheiß der selben Partei tausende Existenzen vernichtet. Warum können dann die Geschäfte nicht endlich wieder öffnen? #lockdown 
 https://berliner-zeitung.de/news/parteitag-der-cdu-100-menschen-ohne-maske-in-einem-raum-li.141482…",6,3,18
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2021-02-18T14:23:42.000Z,"... #Ministerpräsidentenkonferenz zwar ohne viel Vorlauf die größtmöglichen Eingriffe in unsere #Grundrechte vornehmen und umsetzen kann, es aber nicht schafft, ein effektives Notprogramm für bedrohten Unternehmen auf die Beine zu stellen. 
 https://facebook.com/Jannolteafd/posts/3453385284772057…",,,3
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2021-02-18T14:23:41.000Z,"Auszahlung ebendieser, sowie eine tragfähige Langzeitperspektive, in welchem Rahmen und mit welchen Hygienekonzepten geschäftliche #Öffnungen ermöglicht werden können. Es ist schlichtweg nicht vermittelbar, warum eine ...",1,,4
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2021-02-18T14:23:40.000Z,"Statt noch mehr Digital-Portale zu Beantragung von #Wirtschaftshilfen, die natürlich just mit dem Beginn des Wirtschaftsgipfel online geschaltet wurden, braucht es jetzt einen schnellen Abbau der bürokratischer Hürden zur ...",3,2,8
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2021-02-12T11:00:31.000Z,"... befreien wollen aus dem Joch von Kapitalismus und Knechtschaft, so sind ihre Rezepte dafür untauglich, realitätsfern, moralisch verbrannt und aus der Zeit gefallen.",,1,6
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2021-02-07T12:57:21.000Z,Gestern wurde ich wieder auf Listenplatz 4 gewählt. Danke dafür! Jetzt heißt es weiter mit ganzer Kraft für eine gute Zukunft unseres Landes arbeiten.,8,5,83
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2021-02-05T13:26:56.000Z,"... kann man mit bestem Gewissen auf diesen 5.02.2020 verweisen. Meine ganzen Ausführungen zur Wahl in #Thüringen hier 
 https://facebook.com/Jannolteafd/posts/3421232481320671…",,,5
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2021-02-05T13:26:55.000Z,"... Thüringen parlamentarisch zu vertreten. Das ist der einzige #Tabubruch, an den man heute erinnern muss. Sollten sich zukünftige Generationen einmal fragen, auf welchen Ereignissen Politikverdruss & Misstrauen in die Demokratie fußen, dann ...",1,,8
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2021-02-05T10:26:30.000Z,"...  pseudo-antirassistischen Tugendfuror des linken Twittermobs als verlogen und destruktiv entlarvte. Der Shitstorm folgte auch hier auf dem Fuße. 
 https://facebook.com/Jannolteafd/posts/3414270662016853…",,,3
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2021-02-05T10:26:29.000Z,"Ein dogmatisch geführter #Täter-#Opfer-Diskurs wie neulich im 
@WDR
 sorgt für etliche Kuriositäten, beispielhaft beim linken Paradoxon, dass es gar keine genuin deutsche #Identität gäbe, aber alle ausländischen Minderheiten in #Deutschland eine ...",1,2,7
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2021-02-03T11:28:59.000Z,"... der Lage ist, #Regierungskritikern das Leben schwer zu machen, besonders sorgen. Vergessen wir nicht:
Es waren immer Regierungen, die mit ihrer Macht #Freiheit und #Demokratie ausgehöhlt oder abgeschafft haben. Nicht die politische #Opposition.",2,9,46
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2021-02-03T11:28:58.000Z,"... Kinder mit Zöpfen unter Naziverdacht stellt, ist politisch in sehr zweifelhaften Fahrwassern unterwegs. Für die Vorsitzende Anetta #Kahane ist es übrigens „eine Bankrotterklärung“, dass so viele ""weiße Menschen"" in #Ostdeutschland leben. Und dieses Jahr will ...",2,7,46
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2021-02-02T09:16:42.000Z,"... unsere politischen Gegner ärgerlich sein. Aber es ist nicht verfassungsfeindlich. Wenn #Regierungskritik ein Fall für den #Verfassungsschutz ist, läuft etwas falsch in #Deutschland. Wir sind gegen schlechte Politik. Nicht gegen die Verfassung. 
 https://facebook.com/Jannolteafd/posts/3411216215655631…",1,1,10
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2021-02-02T09:16:41.000Z,"Unsere Partei ist eine für #Menschen wie Samira, die verstehen, dass unsere Wirtschaft die ideologischen Fehlentscheidungen realitätsferner #Politik auf Dauer nicht verkraften wird. Wir passen uns nicht an. Der Weg des geringsten Widerstandes ist nicht unser Weg. Das mag für ...",2,2,20
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2021-01-27T11:10:37.000Z,"... sich in der 
@AfD
 seit Jahren für eine familienfreundliche Zukunft einsetzen und die ein Problem mit schlechter Politik haben. Aber bestimmt nicht mit der #Verfassung.",1,1,4
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2021-01-27T11:10:36.000Z,"... Gefahr für eine Gefahr für die #Demokratie. Deshalb brauchen wir eine Partei, die den Mut hat, die Dinge anzusprechen. Am Besten, Sie machen sich einfach mal selbst ein Bild von uns. Lernen Sie Mitglieder wie Claudia Papst-Dippel und Hakola Dippel kennen. Menschen, die ...",2,1,4
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2021-01-26T15:12:36.000Z,"Sehr richtig! 
 Die #AfD ist Schuld an #Corona, an der #Kriminalität bestimmter Zuwanderergruppen und am #Klimawandel. Und am #Aussterben der Dinosaurier und daran, dass Marmeladenbrot immer mit der beschmierten Seite nach unten fällt. 

https://rp-online.de/panorama/coronavirus/marco-wanderwitz-hohe-corona-zahlen-in-afd-hochburgen-sind-kein-zufall_aid-55864941?fbclid=IwAR2b_4qmfxb3hMpvVUZWRb6p-BxOl4rJnRedBzIwofUD20QgX8StxqRKNFs…",,1,14
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2021-01-25T12:07:31.000Z,"nicht auf #Ideologie und dass #Deutschland zu einer konservativen Politik der Vernunft zurückkehrt.
Lesen Sie unser #Grundsatzprogramm unter:Grundsatzprogramm - Alternative für Deutschland
Grundsatzprogramm für Deutschland Alternative für Deutschland | Bundesparteitag in Stuttgart| 30. April bis 1. Mai 2016HTML-Fassung (Kurzversion) - Für die Komplett-Version (PDF) wählen Sie diese...
afd.de",,,3
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2021-01-25T12:07:30.000Z,"In der #AfD engagieren sich ganz normale Menschen – keine #Verfassungsfeinde. Menschen, wie Andreas Salzmann, der sich seit 2013 für die AfD einsetzt. Weil man vieles in Deutschland nicht mehr offen sagen kann. Und ...",1,1,5
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2021-01-12T11:50:54.000Z,"Zu einem angemessenen Umgang mit der #gender Ideologie. 
 https://facebook.com/Jannolteafd/posts/3356513031125950…",,3,10
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2021-01-11T12:13:13.000Z,"Alle vier Jahre scheint der #Spiegel  aus Versehen mal einen guten Artikel zu bringen. Fortgeworfen vom Staat
Grundrechte außer Kraft, Alte isoliert, Kinder ohne Bildung: Wie Covid-19 die Werte beschädigt, die das deutsche Gemeinwesen ausmachen.
spiegel.de",1,1,8
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2020-12-08T16:05:43.000Z,"Unkameradschaftlicher kann man sich nicht positionieren. Wir wollen eine starke #Bundeswehr, die aber nicht Weltpolizist spielt. Die 
@SPD
 hingegen steht für gefährliche Einsätze bei schlechter Ausrüstung und geringer Wertschätzung unserer #Soldaten.",2,,7
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2020-12-08T11:58:24.000Z,"Die wirklichen Spalter sitzen in den #Medien. Meine Meinung zu dieser kontrovers diskutierten Aussage von Blome könnt ihr hier nachlesen: 
 https://facebook.com/Jannolteafd/posts/3271247519652502…",2,,3
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2020-11-30T10:50:52.000Z,"Eine Studie im Auftrag unseres gemeinsamen, freien #Rundfunks ergibt: Wir haben doch total Bock auf höhere Beiträge. Na dann wäre das ja geklärt.
#Rundfunkbeitrag #GEZMDR SACHSEN-ANHALT
@MDR_SAN
 · Nov 27, 2020
In Sachsen-Anhalt ist eine knappe Mehrheit der Menschen für eine Erhöhung des Rundfunkbeitrags. Das zeigt eine Studie im Auftrag der ARD. https://mdr.de/sachsen-anhalt/landespolitik/studie-vertrauen-oeffentlich-rechtlicher-rundfunk-erhoehung-rundfunkbeitrag-100.html…",1,,8
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2020-11-10T13:14:24.000Z,"Kuppeltalk mit der 
@Berliner_JA
 zur Lage der #Bundeswehr. Unter anderem zum Thema #Meinungsfreiheit und #Gender/Diversitygaga in der Bundeswehr.Gendergaga und Gesinnungsterror bei der Bundeswehr | KUPPELTALK mit...
Die Bundeswehr wird immer mehr zum ideologischen Schlachtfeld. Ihr werdet nicht glauben, wegen welchen Nichtigkeiten heutzutage Bundeswehrsoldaten aus dem Di...
youtube.com",1,,7
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2020-11-09T10:45:34.000Z,"Wer muss niederknien & sich für seine #Hautfarbe entschuldigen? Bei wem ist Ablehnung ""Rassismus"" & bei wem ist es völlig ok? Wer wird vor Gericht aus kulturellen Gründen mit Nachsicht behandelt? #Diskriminierung bitte überall bekämpfen, liebe Bundesregierung.",6,14,63
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2020-11-03T07:26:50.000Z,"Es reicht. Hören wir auf, nach jedem dieser abscheulichen Angriffe die Gefahren des radikalen #Islam und die Unterstützung, die er in muslimischen Parallelgesellschaften in unseren Städten genießt, herunterzuspielen. 
 https://facebook.com/Jannolteafd/posts/3177059155738006…",,1,16
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2020-10-29T12:39:54.000Z,"Sehr schlecht gealtert, der Kommentar. #Terrortaz
@tazgezwitscher
 · Oct 28, 2020
Frankreichs Präsident #Macron bauscht den islamistischen Mord an einem Lehrer zu einer Grundsatzfrage auf. Das kommt #Erdoğan gerade recht. http://taz.de/Erdoan-und-die-Mohammed-Karikaturen/!5724499/…",,3,14
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2020-10-29T11:58:16.000Z,"Es reicht! Wir dürfen nicht länger dulden, dass unsere eigene Regierung die Gefahr des #Islamismus schönredet und verschleiert. Französische und schwedische Zustände sind Blaupausen für unsere Zukunft. #enthauptung",4,14,53
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2020-10-26T10:43:17.000Z,"Ich spreche den Hinterbliebenen mein Beileid aus und wünsche ihnen Kraft für die schwere Zeit, die nun vor ihnen liegt.",1,,17
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2020-09-09T08:11:54.000Z,"Endlich wieder #Verteidigungspolitik mit den MdB 
@MdB_Lucassen
, 
@Gerold_Otten
, Jens Kestner und 
@ElsnervonGronow
 in Berlin. Themen waren der Haushalt 2021, sowie einige Anträge und weitere Initiativen.",,1,5
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2020-09-02T08:47:29.000Z,"Zunächst wurde der Eingang von wenigen Antifas blockiert, deren Weltbild sich auf auswendig gelernte Parolen stützte. Es gibt ja inzwischen diverse Interview-Videos, in denen solche Störer offenbaren, dass sie grundsätzliche, politische Zusammenhänge nie begriffen haben.",2,1,6
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2020-09-02T08:47:28.000Z,"Gestern waren meine Mitstreite & ich in Karben. Thema war die Arbeit der 
@AfDimBundestag
. 
@andreaslichert
 führte durch den Abend. Es war eine gute Veranstaltung mit vielen Gästen, was in #Corona-Zeiten & angesichts all der Auflagen keine Selbstverständlichkeit ist.",5,7,33
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2020-09-01T11:18:50.000Z,"Linkes Gesocks bei der Arbeit. Gut, dass auf dem vollständigen Video auch sein Gesicht zu sehen ist. #Linksextremismus #Kommunalwahl2020 #AfDMarie-Thérèse Kaiser
@hallofraukaiser
 · Sep 1, 2020
„#Demokraten“ 
  und wo bleibt hier der Aufschrei von #Altmaier und Co.? Blöd, wenn man seine Straftaten auch noch öffentlich bei Instagram postet. #Kommunalwahl2020 #NRW #KommunalwahlNRW",6,5,21
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2020-09-01T10:03:32.000Z,"Die Farben unseres Landes sind schwarz-rot-gold, die Farben, die Kaiser Barbarossa & Theodor Körner trugen, die Farben, die die #Demonstranten vom 17. Juni 1953 und 9. November 1989 mitführten. Die Farben, die Patrioten auf einer #Demo schwenken sollten.
 https://bit.ly/2EIXegU",,2,11
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2020-08-25T08:30:45.000Z,"""So kommen die Autoren in der Studie „#Journalismus in Deutschland“ von 2017 zum Ergebnis, dass die Vertreter der Medien politisch vermehrt im linksliberalen Spektrum stünden, und zwar deutlicher, als das beim Bevölkerungsdurchschnitt der Fall ist.""
https://bit.ly/2S5lNbn",3,2,9
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2020-08-24T14:55:27.000Z,"Kam die Tage ins Büro geflattert, was haben wir herzlich gelacht. Man merkt schon ein klein wenig, dass die sog. ""Bundeszentrale für Politische Bildung"" fest in SPD-Hand ist ... #Heimatlieder #UnsereHeimat #Deutschland",109,381,860
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2020-08-19T14:00:51.000Z,"Wir haben uns einiges in die Notizbücher geschrieben, das in unsere Arbeit in Berlin einfließen wird.",1,,4
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2020-08-19T14:00:50.000Z,"Auftrag der Politik ist es, für die Soldaten des EloKaBtl 931 die bestmöglichen Rahmenbedingungen zu schaffen. Was das angeht, ist noch einiges zu erleiden. Beispielhaft will ich hier Infrastrukturmaßnahmen anführen, mit denen es scheinbar in jeder Kaserne Probleme gibt.",2,,1
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2020-08-19T14:00:49.000Z,"Gestern haben 
@JoanaCotar
 und ich das EloKa (elektronische Kampfführung) Btl 931 in Daun besucht. Es hat unter anderem den Auftrag, Fernmeldeverkehre ortsfest und mobil aufzuklären und auszuwerten und trägt auf vielfältige Weise zum Schutz unserer #Soldaten bei.",5,4,24
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2020-08-14T11:29:26.000Z,Schönes #Wochenende.,5,4,26
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2020-07-24T10:24:59.000Z,"Heute findet das erste muslimische Gebet in der #HagiaSophia statt. Aus diesem Anlass will ich mein Gespräch mit dem Beauftragten der Synode der Russisch-Orthodoxen Kirche im Ausland (ROKA) am Sitz der Bundesregierung, Erzpriester André Sikojev, posten.MdB Jan Nolte im Gespräch mit Erzpriester André Sikojev: Hagia Sophia
Am heutigen Tage wird das erste muslimische Gebet in der Hagia Sophia stattfinden. Es wird zudem von türkischen Fundamentalisten gefordert, die alten, christ...
youtube.com",1,,5
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2020-07-22T15:54:52.000Z,... in der zweiten Hälfte des 20. Jhds. zunehmend die Arbeiterklasse abhanden kam.,2,,4
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2020-07-22T15:53:57.000Z,"Der Linke braucht die Migration, er braucht die Migranten, aus Selbstzweck allein, da der Linke ohne eine zu schützende Opfergruppe die raison d'etre fehlt, die  Daseinsberechtigung. Das gilt besonders für linke Bewegungen im wohlhabenden Europa, denen ...",2,,7
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2020-06-29T13:35:24.000Z,"Endlich wurde den Nazis und #Rassisten eine ihrer wichtigsten Devotionalen genommen: Der Aufheller von 
@LOrealParisUSA
, der in keiner Neonazi-Kameradschaft fehlen darf, wurde vom Markt genommen. Jetzt wird alles besser.",10,14,133
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2020-06-24T13:47:22.000Z,"So eine Frage kann nur stellen, wer die Region nicht kennt und noch nie ein gutes, schwäbisches #AllahuAkbar gegessen hat. Guten Appetit! Oder ""yallah gib ihm!"", wie der Schwabe sagt.",1,2,11
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2020-06-24T13:47:21.000Z,#ZDF-Erklärung zu den Krawallen von #Stuttgart. Die Täter haben einfach nur den regionalen Dialekt gesprochen. Dem aufgeklärten ZDF-Zuschauer sollte das doch längst klar sein.,2,2,16
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2020-06-21T08:47:28.000Z,"Das ist der Preis für Multikultiwahn und Realiätsverweigerung. Die öffentliche Sicherheit und der Rechtsstaat werden sich nach und nach verabschieden. Wer Parteien wählt, die sich die Sache lieber schönreden, als zu handeln, soll bitte nicht klagen. #StuttgartMax Otte
@maxotte_says
 · Jun 21, 2020
#Unruhen in #Stuttgart: Verletzte und Plünderungen. In Überschrift und Teaser erfahren wir nicht, wer randaliert. Am Ende die Auflösung: """"Teile der linken Szene überschreiten hier gerade Linien, was wir für Stuttgart bisher so nicht gekannt haben"". https://sueddeutsche.de/politik/stuttgart-randale-1.4942646…
Show this thread",2,2,17
Max Otte,@maxotte_says,2020-06-21T05:07:54.000Z,"#Unruhen in #Stuttgart: Verletzte und Plünderungen. In Überschrift und Teaser erfahren wir nicht, wer randaliert. Am Ende die Auflösung: """"Teile der linken Szene überschreiten hier gerade Linien, was wir für Stuttgart bisher so nicht gekannt haben"".Randale in Stuttgart: Verletzte und Plünderungen
Im Zentrum von Stuttgart haben sich in der Nacht zum Sonntag dutzende Kleingruppen Straßenschlachten mit der Polizei geliefert.
sueddeutsche.de",360,882,2.1K
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2020-06-18T10:06:00.000Z,Das hier ist die taz-Netiquette. ,2,,3
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2020-06-18T10:05:59.000Z,"Diese Sätze stammen aus der #taz, genauer gesagt von #HengamehYaghoobifarah , einer umstrittenen & meinungsfreudigen „Journalistin“, die sich selbst als „Autor_in, Redakteur_in und Referent_in zu Queerness, Feminismus, Antirassismus, Popkultur und Medienästhetik“ präsentiert.",4,,9
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2020-06-18T09:21:18.000Z,,,,7
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2020-06-10T13:04:21.000Z,"Und Straftaten, die gut dokumentiert sind. Nach den Maßstäben, die die SPD an die #AfD anlegt, müsste die SPD besser heute, als morgen ihr eigenes Verbotsverfahren initiieren. Aber wir leben im Land der #Doppelstandards.",2,,6
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2020-06-10T13:04:20.000Z,"... Konsequenzen, die Rufe nach Verboten und gesellschaftlicher #Haltung gegen #Extremismus?  Anders als Flügel oder JA, denen man irrwitziger Weise versucht, „verbale Gewalt“ als größte Schuld anzuhängen, begehen Antifa-Zellen ganz tatsächlich organisierte Gewalttaten.",1,,5
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2020-06-10T11:04:43.000Z,Ein aktuelles Beispiel von Jutta Gerta Armgard von Ditfurth. Die arme Frau.,6,8,23
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2020-06-10T09:53:06.000Z,"... schon heute unter fünf Prozent und Grüne wie Linke müssten sich um die restlichen zehn Prozent Narren streiten, die den utopisch-dystopischen Irrsinn noch weiter mittragen, bzw. finanzieren würden.",1,3,12
"Jan Nolte, AfD MdB",@Jan_Nolte_AfD,2020-06-09T14:28:09.000Z,Die aktuelle #BLM-Berichterstattung auf Kosten der vorherigen #Corona-Berichterstattung ist ein schönes Beispiel für einen aktuellen Blitzwechsel der #Narrative.,1,3,9
