User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Jana Schimke,@JanaSchimke,2021-05-07T18:59:05.000Z,"Gut für die #pflege, doch schlecht für #gastronomie, #tourismuswirtschaft und #eventbranche, in denen die Beschäftigten vorher tätig waren.  https://faz.net/-gqe-abgny?GEPC=s33… via 
@faznetCorona-Krise: Der „Pflexit“ bleibt aus
Deutschland verliere in der Corona-Krise Tausende Pflegekräfte: Diese Nachricht sorgte für viel Wirbel. Zahlen der Bundesagentur für Arbeit zeigen das Gegenteil – die Beschäftigung steigt.
faz.net",,,6
Jana Schimke,@JanaSchimke,2021-05-05T20:38:48.000Z,"Deutschlands nächste Unternehmergeneration. Herzlichen Glückwunsch 
@AgeFinn
 zu dieser Auszeichnung!Finn Age Hansel
@AgeFinn
 · May 5
Nun ist es raus und ich bin wahnsinnig stolz „Gründer des Jahres 21“ zu sein. Aber es war ein Team Effort, den ich ohne meinen Freund und Mitgründer Fabian, dem Team der Sanity Group, sowie vielen andere Beteiligten nicht geschafft hätte #startup #cannabis #GSA21 @StartupVerband",2,,19
Jana Schimke,@JanaSchimke,2021-05-05T17:44:43.000Z,"„Die Zeit der asymmetrischen Demobilisierung ist vorbei.“ Die richtigen Antworten auf die Frage, wie die 
@CDU
 in die #BTW21 geht, gibt es heute mit 
@_FriedrichMerz
 in der 
@cducsubt
 #klarekante #wegenmorgen #volkspartei",5,9,87
Jana Schimke,@JanaSchimke,2021-05-02T06:29:50.000Z,"Carsten #linnemann spricht aus, was viele denken: „Die Distanz zur Parteibasis wird immer größer. Die Welt, die ich am Wochenende im Wahlkreis erlebe, hat regelmäßig nichts mit der Welt in Berlin Mitte zu tun.“ FOCUS OnlineNie wieder 16 Jahre! Wird das Kanzleramt zum Bunker, leidet das Land
Die Corona-Pandemie deckt schonungslos auf: Deutschland ist satt und behäbig. Wir ruhen uns auf alten Erfolgen aus, zehren von der Substanz. Statt uns zu reformieren, haben wir es uns in der Komfor...
focus.de",64,195,845
Jana Schimke,@JanaSchimke,2021-04-27T15:09:43.000Z,„Will der #lauterbach jetzt auch noch zu #letsdance oder was?“ - Corona Bürgergespräch heute im #wahlkreisbüro.,5,4,42
Jana Schimke,@JanaSchimke,2021-04-23T16:30:06.000Z,"Künstler sind keine Beamten und dürfen sich selbstverständlich zu politischen Themen öffentlich einlassen, wie jeder Bürger in diesem Land. Das ist menschlich und wir müssen es aushalten. #Allesdichtmachen",27,34,401
Jana Schimke,@JanaSchimke,2021-04-09T11:49:31.000Z,"Anerkannte Wissenschaftler und Köpfe dieses Landes verzweifeln immer mehr angesichts der aktuellen  #coronastrategie. Sie sind keine Leugner und auch keine Verschwörer. Es sind die Aufrechten in diesen Zeiten. Michael Hüther
@michael_huether
 · Apr 9
Der ständige Hinweis „wir brauchen einen Lockdown“ muss all denen wie Hohn vorkommen, deren Geschäfte, Restaurants, Hotels etc. seit Monaten geschlossen sind. Im politischen Diskurs dominiert die Lockdown-Euphorie ohne angemessene Evidenz über Wirkung & Kollateraleffekte.
Show this thread",9,24,148
Jana Schimke,@JanaSchimke,2021-04-09T11:28:42.000Z,"„Ich erwarte von meiner Regierung, dass sie mir glaubhaft nachweist, dass sie alle Anstrengungen unternimmt, mir ein selbstbestimmtes Leben in privater und wirtschaftlicher Hinsicht zu erlauben.“ (Roland Koch) Lockdown für immer? - F.A.Z.Lockdown für immer?
Ein neuer Lockdown scheint vor der Tür zu stehen. Dieses Mal sei es der letzte, möglicherweise eine „Brücke“ zurück in ein normales Leben in Freiheit. Doch viele zweifeln an der Grundlage dieser...
zeitung.faz.net",4,35,162
Jana Schimke,@JanaSchimke,2021-04-06T23:30:02.000Z,"Mit Michael Oelmann sprach ich über die politische Lage in unserem Land, die Rolle der sozialen Marktwirtschaft und natürlich die künftigen Aufgaben der CDU.DDW
@DDWirtschaft
 · Apr 6
„Bereiten in der CDU einen Generationenwechsel vor“- @JanaSchimke im DDW-Interview.

Hier zum ganzen Interview->
https://die-deutsche-wirtschaft.de/jana-schimke-mittelstandspolitik/…

#coronaprotest #Mittelstand #Schimke #CDU #Deutschland #Corona #mit",7,3,44
Jana Schimke,@JanaSchimke,2021-04-03T15:09:29.000Z,"Danke für die Klarstellung! Der politische Gegner sitzt nicht in den eigenen Reihen, sondern außerhalb. Das müssen manche noch lernen. Wer die #cdu im #wk196 repräsentiert, entscheidet allein die #basis in #Thueringen. #volkspartei #wegenmorgenChristian Hirte
@ChristianHirte
 · Apr 2
Ich teile viele Sichtweisen und den Stil von @HGMaassen nicht. Für die @cdu_thueringen steht aber fest: Politik für Thüringen ohne #AfD und #Linke! 
Die Entscheidung über den Bundestagskandidaten liegt satzungsgemäß bei den Delegierten der 4 CDU-Kreisverbände in Südthüringen.",27,40,324
Jana Schimke,@JanaSchimke,2021-04-01T20:14:34.000Z,"Es gibt KEINE #corona #impfpflicht in Deutschland. Sich impfen zu lassen ist eine persönliche Entscheidung, auch weil es keine Langzeitstudien gibt. Politisches Vertrauen entsteht nicht durch Druck, sondern Glaubwürdigkeit.BILD
@BILD
 · Apr 1
Klares Nein zu Spahns Aufforderung - Seehofer will sich NICHT mit AstraZeneca impfen lassen https://bild.de/politik/inland/politik-inland/seehofer-will-sich-nicht-mit-astrazeneca-impfen-lassen-nein-zu-spahns-aufforderu-75929572.bild.html…",14,11,96
Jana Schimke,@JanaSchimke,2021-04-01T15:12:30.000Z,"Wer #generationengerechtigkeit lebt, zeigt Wege dafür auf. #altersvorsorge ist Lebensaufgabe und beginnt schon mit der #schulbildung .Rentenversicherung leistungsfähig und finanzierbar halten
Die beitragsfinanzierte Rentenversicherung bildet das Fundament der Alterssicherung in Deutschland. Durch die demografische Entwicklung, aber auch die Ausweitung versicherungsfremder Leistungen wird...
mit-bund.de",10,9,39
phoenix,@phoenix_de,2021-03-24T20:42:17.000Z,"Die #Union könne nicht “im Schlafwagen ins Kanzleramt fahren”, so 
@JanaSchimke
 @cducsubt
. Sie plädiert für, dass die #CDU sich neu aufstelle - inhaltlich und personell.
#Merkel #Osterruhe #Vertrauensfrage
#phoenixrunde 
https://youtube.com/watch?v=nKHry9X6WWk…0:39
3.5K views",23,22,82
Jana Schimke,@JanaSchimke,2021-03-24T18:33:29.000Z,"Für mich gilt: Auch in schweren Zeiten für die eigene Truppe einstehen und sich den berechtigten Fragen stellen phoenix
@phoenix_de
 · Mar 24
#phoenixrunde: „#Merkel unter Druck – Wer führt die Union aus der Krise?“ mit @JanaSchimke (@cducsubt), @an_clauss (@derspiegel), Georg Streiter (Politikberater) & @moritzkuepper (@dlf). #Osterruhe #covid19de #gruendonnerstag #CDU #CSU #maskenaffaere https://pscp.tv/w/cyoWPTQ0ODAzMzJ8MUJSS2pCcnpuUG9LdxTF4HrTLJiDEBTMeLolLh1yJdhMrO8YXd7dUI_dAP5N…",6,5,43
Jana Schimke,@JanaSchimke,2021-03-24T10:12:37.000Z,"Seit gestern haben wir wütende Landwirte, Händler und Schlachter am Telefon. Der #ruhetag muss aus den Beschlüssen der #mpk gestrichen werden! Er kostet den Unternehmen Milliarden und trägt NICHTS zur Eindämmung des Virus bei. 
@BILDBlitz-Gipfel! Die Gründe für das Corona-Treffen bei Merkel
Zwischen 9.45 Uhr und 9.59 Uhr gingen die Einladungen ein! Absenderin: Bundeskanzlerin Angela Merkel (CDU). Alle Ministerpräsidenten zum Corona-Blitz-Gipfel! Uhrzeit: 11 Uhr. Das sorgte direkt für...
bild.de",15,22,124
Jana Schimke,@JanaSchimke,2021-03-22T12:35:29.000Z,"Liebe #jugendliche, Ihr seid KEINE Rassisten, weil Ihr versucht, freundlich zu sein. Bewahrt Euch Eure #neugierde und #spontanität anderen Menschen gegenüber.",213,478,2.6K
