User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Martin Greive,@MartinGreive,2021-05-14T17:11:47.000Z,"Exklusiv: Gute Nachrichten für Steuerzahler. Koalition verlängert Abgabefristen für die Steuererklärung 2020.  Abgabe jetzt frühestens am 31. Oktober.Koalition verlängert Abgabefristen für die Steuererklärung 2020
Die Regierung gewährt allen Steuerzahlern mehr Zeit für die Abgabe ihrer Steuererklärung. Auch eine weitere Frist wird verlängert.
handelsblatt.com",6,2,9
Filipp Piatov,@fpiatov,2021-05-14T17:11:08.000Z,"Der Fraktionschef macht Israel für antisemitische Angriffe mitverantwortlich, die Parteijugend verbündet sich mit radikalen Organisationen, die Israel auslöschen wollen. Eventuell hat die SPD ein Problem.",23,108,593
Johannes Steiniger,@JoSteiniger,2021-05-14T10:38:13.000Z,"Man stelle sich vor, #Merz hätte so was Abgehobenes gesagt. Twitter wäre außer sich.matthias fuchs
@matthiasfuchs_
 · 14h
einer für genießer.
Show this thread",9,15,154
Ulf Poschardt,@ulfposh,2021-05-14T06:15:09.000Z,"so stelle ich mir humor im lehrerzimmer einer gesamtschule vorArgo Nerd
@argonerd
 · May 13
Sympathisch und unprätentiös!
Show this thread",259,234,2K
Claus Strunz,@ClausStrunz,2021-05-13T07:53:37.000Z,"Stellen wir uns vor, dass in Gelsenkirchen nicht „Scheiß Jude“ gerufen worden wäre, sondern „Scheiß Moslem“, „Scheiß Flüchtlinge“ oder „Scheiß Schwule“. Das Land würde zurecht beben. Es gäbe tagelang Berichterstattung, Demos, Konzerte, Solidarität im Netz. Und jetzt? 
@bild",339,1.3K,4.7K
Zentralrat der Juden in Deutschland,@ZentralratJuden,2021-05-12T23:27:11.000Z,"Judenhass mitten in #Gelsenkirchen vor der #Synagoge. Zeiten, in denen Juden auf offener Straße beschimpft werden, sollten längst überwunden sein. Das ist purer #Antisemitismus, sonst nichts!",1.9K,4.6K,10.4K
Florian Hahn,@hahnflo,2021-05-11T19:06:54.000Z,"Dröhnende Stille seit mehr als 24 Stunden von 
@ABaerbock
 & 
@Die_Gruenen
 zu #IsraelUnderAttack - passt vermutlich nicht in den Wohlfühlwahlkampf 

#Israel #IsraelUnderFire  #IStandWithIsrael",326,395,2.3K
Johannes Steiniger,@JoSteiniger,2021-05-11T14:58:22.000Z,"Zuständig für die Gemeinnützigkeit ist Finanzminister Scholz. Hier gab es in den letzten 3 Jahren keinen einzigen Vorstoß in der Sache.game_eV
@game_verband
 · May 11
Erneute Absage an den #Esport: Das Bundesinnenministerium macht in einer Antwort auf eine Kleine Anfrage von @BrittaDassler MdB & @fdpbt klar, dass es keinen Handlungsbedarf sieht. Wir kritisieren diese Blockadehaltung. game-GF @FelixFFalk
Show this thread",2,,14
Paul Ziemiak,@PaulZiemiak,2021-05-11T12:16:28.000Z,Teile der Fridays for Future Bewegung rufen zum Boykott israelischer Produkte auf. Jede Form der Hetze gegen #Israel schockiert mich. Gerade für uns Deutsche muss klar sein: Wir stehen an Israels Seite - ganz unabhängig von der eigenen Parteizugehörigkeit!  #StandWithIsrael,352,294,1.5K
Filipp Piatov,@fpiatov,2021-05-10T21:02:58.000Z,"Während sich zehntausende israelischer Familien in Luftschutzbunkern verstecken müssen, teilt Greta Thunberg die Tweets der Israel-Boykotteurin Naomi Klein. Kein Wort zum Terror der radikal-islamischen Hamas, kein Wort über Raketen auf israelische Zivilisten.",46,160,698
