User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Joana Cotar,@JoanaCotar,2021-05-09T10:59:17.000Z,"Ich bin noch nie dafür bestraft worden, gesund zu sein. #RechtefürGeimpfte",65,381,2K
Joana Cotar,@JoanaCotar,2021-05-13T21:04:17.000Z,Fakt ist: Die deutsche Regierung hat die größten Feinde unserer jüdischen Mitbürger selbst zu uns eingeladen. #Antisemitismus,22,131,482
Joana Cotar,@JoanaCotar,2021-05-13T14:32:08.000Z,"Die Bilder zeigen deutlich: Alles Rechte. #Gelsenkirchen #AntisemitismusGelsenkirchen: Polizei stoppt antisemitische Demonstration vor Synagoge - WELT
Die Polizei hat in Gelsenkirchen einen Demonstrationzug zu einer Synagoge gestoppt. Von den 180 Demonstranten gingen Sprechchöre mit antisemitischen Inhalten aus. Zuvor war auch in Hannover eine...
welt.de",53,207,662
Joana Cotar,@JoanaCotar,2021-05-13T10:14:00.000Z,"#Zensur findet nicht statt? #Meinungsfreiheit #AfD 

https://afd.de/zensur",17,115,294
Joana Cotar,@JoanaCotar,2021-05-13T08:09:48.000Z,"Die europäische Solidarität wird dann enden, wenn irgendwann kein Geld mehr von Deutschland fließen kann.Europas ewige Schuldenregeln sterben einen Tod auf Raten - WELT
In der Pandemie haben die EU-Staaten Unternehmen und Arbeitnehmer mit vielen Milliarden Euro unterstützt. Jetzt stecken sie tief in den roten Zahlen, und kaum ein Land erfüllt noch die Maastricht-K...
welt.de",14,125,426
Joana Cotar,@JoanaCotar,2021-05-13T06:39:31.000Z,"Die vierte, die fünfte, die sechste Welle..... #DauerpanikCorona live: Lauterbach – Vierte Corona-Welle vermeiden durch strenge Tests an Flughäfen - WELT
Karl Lauterbach fordert strenge Tests für Reiserückkehrer an den Flughäfen. Nach der Notfallzulassung spricht sich nun auch ein Expertengremium der Gesundheitsbehörde CDC für den Einsatz des Bionte...
welt.de",83,97,406
Joana Cotar,@JoanaCotar,2021-05-12T05:37:53.000Z,"Bei aller Begeisterung für Kryptowährungen, das #Bargeld muss unter allen Umständen erhalten bleiben. Bargeld ist gedruckte #Freiheit.Bargeld oder Bitcoin Womit werden wir morgen bezahlen?
Wie lange wird es noch Bargeld geben? Können sich digitale Währungen wie Bitcoin durchsetzen – und dürfen Unternehmen einfach eigene Zahlungsmittel schaffen? Ein Geld-Special.
m.faz.net",15,83,379
AfD_Muenster,@AfD_Muenster,2021-05-07T21:02:36.000Z,"""Kinder besser schützen, Kinderschützer vernetzen!"" (https://elsnervongronow-bundestag.de/2021/05/07/kinder-besser-schuetzenkinderschuetzer-vernetzen/…)

| Gemeinsam gegen #Kindesmissbrauch: Folgt 
@kinderkongress
 @AfD_SO
 @sandra2519691
 @LohstrohIngrid
 @SophieschollM
 @JilgAntje
 & 
@GegenKinderehen
! #AfD #Deutschlandabernormal #abernormal #FollowFriday #FFBerengar Elsner von Gronow, MdB and 9 others",83,946,1.3K
Marces E.,@marceselvis,2021-05-09T09:53:33.000Z,"Eine Stimme für die #AfD, ist eine Stimme für die #Meinungsfreiheit. ",8,118,543
Joana Cotar,@JoanaCotar,2021-05-11T22:54:51.000Z,"Diese Angriffe auf #Israel müssen aufhören. Sofort. #IsraelUnderAttackIsrael Defense Forces
@IDF
 · May 11
RAW FOOTAGE: This is the moment the Iron Dome intercepted a barrage of rockets over Tel Aviv and central Israel.",29,89,354
Joana Cotar,@JoanaCotar,2021-05-11T14:23:27.000Z,"Das Schlimmste an der Sache mit Luisa #Neubauer ist, dass sie einfach etwas behauptet und bis auf Herrn Klein niemand Beweise einfordert.",50,176,1.1K
Joana Cotar,@JoanaCotar,2021-05-11T09:24:00.000Z,"Es steht schlecht um die #Meinungsfreiheit in Deutschland. Darüber diskutiere ich mit dem Berliner Landesvorsitzenden der JA 
@realDerksen
 und dem rheinland-pfälzischen AfD-Landtagsabgeordnete 
@JoachimPaul_AfD
. Moderiert von 
@JDunzel
. #AfD #Freiheit #AfDTV„AfD-TV“: Gesprächsrunde zum Thema Meinungsfreiheit
Anlässlich der Woche der Meinungsfreiheit veranstaltet „AfD-TV“ eine Gesprächsrunde zu der Thematik. Es diskutieren: Der Berliner Landesvorsitzende der Junge...
youtube.com",14,31,104
Joana Cotar,@JoanaCotar,2021-05-11T06:07:41.000Z,"Natürlich erwarte ich auch eine ausführliche Analyse vom Volksverpetzer. Und einen Beitrag im ÖRR dazu. Nicht, dass ich das extra erwähnen muss.",10,62,386
