User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Jens Spahn,@jensspahn,2021-05-14T07:29:46.000Z,"Großer Schritt nach vorn: Neuer Tagesrekord für Deutschland mit 1,35 Mio Impfungen am Mittwoch. So wurden am Mittwoch / Donnerstag fast 2% der Deutschen geimpft. Damit sind 35,9% (29,8 Mio) mindestens einmal geimpft und 10,6% (8,8 Mio) voll geschützt.",268,201,1.4K
Martin Selmayr,@MartinSelmayr,2021-05-13T07:51:32.000Z,"Und so könnte das 
EU-Zertifikat für freies & sicheres Reisen ab Juni aussehen (dann natürlich in allen EU-Sprachen): ein QR-Code, der viele Türen öffnet, sofern die nationalen Regierungen dies so entscheiden. Die EU ermöglicht das, die Mitgliedstaaten regeln die Praxis vor Ort.",5,15,36
Katja Leikert,@KLeikert,2021-05-13T20:45:28.000Z,"Marxisten als Helden 
 #CheGuevara & 
@Die_Gruenen
. Ganz schön aus der Zeit gefallen diese falsche Verklärung.Andreas Hallaschka
@Hallaschka_HH
 · 19h
Wer so über einen Massenmörder und Kriegsverbrecher spricht, hat nicht viel gelernt in seinem Studium „International Law“ oder Völkerrecht oder was auch immer.
#Baerbock #Baerbockfail #CheGuevara",4,5,56
BMWi Bund,@BMWi_Bund,2021-04-30T08:38:05.000Z,"Der Anteil erneuerbarer Energien in Deutschlands Strom knackt bald die 50 %. So sorgen wir gemeinsam für ein nachhaltiges und zukunftsfähiges #Wachstum. Mehr Impulse auf http://bmwi.de – Deutschland macht sich #neustartklar.Deutschland macht sich neustartklar
bmwi.de",194,50,198
Armin Laschet,@ArminLaschet,2021-05-12T20:28:31.000Z,"Eyaletimizde yaşayan bir çok Türkiye kökenli vatandaşlarımız var. Onlar bizim bir parçamız. Hepsinin Ramazan Bayramını kutluyorum ve bu bayramın hayırlara vesile olmasını temenni ediyorum.

بمناسبة حلول عيد الفطر المبارك اتقدم اليكم بالتهاني وكل عام و أنتم بخيرStaatskanzlei NRW
@landnrw
 · May 12
Heute endet der muslimische Fastenmonat #Ramadan
. Ministerpräsident @ArminLaschet sendet allen Musliminnen und Muslimen in #NRW herzliche Grüße und wünscht ein gesegnetes #Zuckerfest. #EidMubarak",258,170,718
Jens Spahn,@jensspahn,2021-05-11T13:45:50.000Z,"Mehr als jeder dritte Deutsche (27,7 Mio) ist nun mindestens einmal gegen COVID-19 geimpft, fast 10% (8 Mio) haben bereits den vollen Impfschutz. Von allen über 60-Jährigen sind bereits zwei Drittel mindestens einmal geimpft.  Wir sind weiter auf Kurs.",360,86,839
Katja Leikert,@KLeikert,2021-05-11T11:47:45.000Z,"Vor 10 Jahren wurde die #IstanbulKonvention unterzeichnet. Sie ist ein wichtiger Beitrag zur Gleichstellung. Der verbindliche Schutz von Frauen und Kindern vor Gewalt ist besonders in Zeiten von Corona extrem wichtig. Dtl. setzt sich dafür ein, dass noch mehr Länder beitreten.",1,1,14
CDU Deutschlands,@CDU,2021-05-11T09:22:35.000Z,"2/2: Mit dabei ab 20:15 Uhr: 
@KLeikert
, 
@YannickBury
, 
@SusanneZels
 & drei 
-geber aus unserer Beteiligungskampagne zum Regierungsprogramm. Alle sind voller Herzblut für ein sicheres 
 in Frieden, Freiheit, Demokratie & Wohlstand. Wir freuen uns auf eine spannende Diskussion!",7,7,20
CDU Deutschlands,@CDU,2021-05-11T09:22:34.000Z,"1/2: Nächste Runde am runden Tisch heute 20:15 Uhr | live auch hier auf Twitter. Unser Thema: ""Handlungsfähig und bürgernah: Unser 
."" Gemeinsam mit Ideengebern von ""Dein Deutschland. Deine Ideen."" diskutieren wir, wie wir das #Europa der Zukunft gestalten. #zusammenmachen",28,17,35
Katja Leikert,@KLeikert,2021-05-11T05:44:49.000Z,"Es war mir eine Ehre! 
 @norazabel
 @_LilliFischer
 @_womensplainingwomensplaining
@_womensplaining
 · May 11
Quo vadis, #Europa? 
Quo vadis, Union? 
Diese und weitere spannende Fragen haben wir der unglaublich lässigen @KatjaLeikert gestellt. Gönnt Euch die volle Packung Zukunftsfähigkeit in nur 35 Minuten. Danke liebe @KLeikert für die so wichtigen Impulse! ",3,1,14
Katja Leikert,@KLeikert,2021-05-10T21:45:43.000Z,"Es bleibt niedlich der so offensichtliche Widerspruch zwischen privatem Lifestyle und verordnetem Moralismus - erinnert mich an den Winterurlaub im sonnigen Kalifornien von einer #Grünen Politikerin nach einem anstrengenden Bienchenwahlkampf. 
Besser, wenn wir das machen!ZDFheute
@ZDFheute
 · May 10
Wie viele Flüge sind bei einem konsequenten Klimaschutz noch möglich? Im ZDF-Interview verneint Grünen-Kanzlerkandidatin @ABaerbock Beschränkungen für Reisende - und sagt, wo sie stattdessen limitieren will.",14,10,58
Katja Leikert,@KLeikert,2021-05-10T20:59:04.000Z,"Die katholische Kirche predigt #Menschenrechte und diskriminiert  offen Frauen und Homosexuelle. Es ist ein tiefgreifendes Problem. Positiv ist der Mut der Pfarrer heute! Dass es dafür Mut braucht, ist allerdings bedenklich.WDR Aktuelle Stunde
@aktuelle_stunde
 · May 10
Wenn es nach dem Vatikan geht, sollen homosexuelle Paare nicht gesegnet werden - viele katholische Pfarrer in Deutschland widersetzen sich dem. So auch Pfarrer Andreas Lamm aus Hattingen. #liebegewinnt",,,11
Katja Leikert,@KLeikert,2021-05-10T17:01:26.000Z,"#Klimaschutz ist #keinElitenprojekt. Bereits jetzt fast 50% #erneuerbare E am Stromverbrauch. Und jetzt werden wir noch schneller. 
Aber eben mit einem fairen gesellschaftlichen Ausgleich. 
@CDU
 @ArminLaschet
.CDU Deutschlands
@CDU
 · May 9
.@ArminLaschet|s Stärke. Ehrlich sein, Verantwortung übernehmen, unbequeme Entscheidungen treffen, wenn sie richtig und nötig sind. #AnneWill
0:37
17.6K views",3,,27
CDU Deutschlands,@CDU,2021-05-10T15:33:33.000Z,"32,8% der Deutschen sind mindestens einmal geimpft, 24,4% weniger Infektionen zur Vorwoche meldet das RKI heute. So kann die Woche starten! ",93,50,174
Marian Bracht,@MarianBracht,2021-05-10T12:20:53.000Z,"Das wird gut! 
 Morgen Abend um 20:15 Uhr geht’s wieder um unser Unions-#Wahlprogramm: Wir diskutieren am runden Tisch live & digital mit 
@KLeikert
, 
@SusanneZels
 & 
@YannickBury
 über die Zukunft Europas 
 Anmelden & Einschalten 
 #FutureofEurope #wegenmorgen #zusammenmachenCDU Deutschlands
@CDU
 · May 10
Ein starkes 
 in Frieden, Freiheit & Demokratie – das wollen wir #zusammenmachen. Die EU ist das größte politische Erfolgsprojekt unserer Zeit. Wie wir ihre aktuellen Herausforderungen am besten meistern – darüber diskutieren wir morgen am runden Tisch, 20:15, live auf Twitter.
Show this thread",1,3,9
Katja Leikert,@KLeikert,2021-05-10T11:23:18.000Z,"Die Pandemie ist wie jede Krise auch eine Chance, Europa gen Zukunft auszurichten. Wir dürfen die Augen vor neuen sozialen Problemen dabei nicht verschließen. Mein Kommentar zum #Sozialgipfel in #Porto. #EU #COVID19  
@cducsubtEU-Sozialgipfel in Porto: Signal für eine starke Europäische Union
Katja Leikert, stellvertretende Fraktionsvorsitzende der CDU/CSU-Bundestagsfraktion und zuständig für die Themen Europa und Menschenrechte. Hier kommentiert sie in einem Gastbeitrag den EU-So...
cducsu.de",2,5,16
CDU Deutschlands,@CDU,2021-05-09T09:59:00.000Z,"Europa ist für uns nicht nur ein Staatenverbund, Europa ist unsere Verpflichtung hin zu Frieden, Wohlstand und Sicherheit. 
An diesem gemeinsamen Europa arbeiten wir, machen Sie mit! 
 https://zusammenmachen.de/europa-und-internationales/…",51,29,76
Katja Leikert,@KLeikert,2021-05-05T17:17:24.000Z,"Ein wichtiger und berührender Beitrag zur Gleichstellung von Menschen mit #Behinderung, lieber 
@AlexWeigand
!Alex
@AlexWeigand
 · May 5
Heute ist Europäischer Protesttag zur Gleichstellung von Menschen mit #Behinderung. 

Ein privater Einblick: Meine Schwester ist kleinwüchsig, hat Achondroplasie. In Deutschland leben circa 100,000 kleinwüchsige Menschen, die im alltäglichen Leben Diskriminierung erfahren.
Show this thread",,7,53
