User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Kai Whittaker,@Kai_Whittaker,2021-05-14T08:17:31.000Z,"Allen linken, rechten und grünen Unkenrufen zum Trotz: Die Bundesregierung liefert. Das ist echter Bevölkerungsschutz! #Corona 
@CDU
 @cducsubtOlaf Gersemann
@OlafGersemann
 · 19h
Im Laufe des heutigen Freitags wird in  der 30.000.000ste Bürger gegen #Corona geimpft.

@welt",6,4,43
Kai Whittaker,@Kai_Whittaker,2021-05-13T08:05:33.000Z,"Der Armuts- und Reichstumsbericht zeigt: Immer mehr Menschen sind in Arbeit, der Lebensstandard steigt. Er zeigt aber auch: Aufstiegschancen von ganz unten haben sich wenig verbessert und die Vermögensverteilung ist sehr ungleich. Mit unseren Plänen wird sich das ändern (müssen!)",2,2,23
"Zwischenruf, MdB",@ZwischenrufMdB,2021-05-12T13:09:00.000Z,"Nach einem Zwischenruf von 
@MWBirkwald
 (LINKE):
—W. Kubicki (VPräs.): »Sie sind ja noch dran, Herr Kollege Birkwald.«
—
@MWBirkwald
 (LINKE): »Ja! Ich freue mich schon, Herr Präsident!«
—
@Kai_Whittaker
 (CDU/CSU): »Die Freude ist nur einseitig!« [19/222]
#bundestag",,2,38
Kai Whittaker,@Kai_Whittaker,2021-05-12T12:34:54.000Z,"Danke 
@ArminLaschet
 für diese sehr klaren Worte: ""Wir dulden keine Gewalt. Wir dulden keinen Antisemitismus."" Das gilt für mich und die ganze 
@CDU
 @CSU
 @cducsubt
. #IsraelUnderAttack #StandWithIsraelphoenix
@phoenix_de
 · May 12
Pressekonferenz von NRW-Ministerpräsident @ArminLaschet (CDU), Gesundheitsminister Karl-Josef Laumann (CDU) und Wirtschaftsminister Andreas @a_pinkwart (FDP) u.a. zu den Angriffen auf Synagogen und der aktuellen Corona-Lage  https://twitter.com/i/broadcasts/1RDGlPvaEddGL…",2,10,49
Kai Whittaker,@Kai_Whittaker,2021-05-10T18:12:37.000Z,"Sozi-Heldenepos auf Wish bestellt. Jobs haben in erster Linie die gerettet, die das Kurzarbeitergeld erwirtschaften - nämlich alle hart arbeitenden Menschen da draußen. Die Rahmenbedingungen haben wir gemeinschaftlich als CDU und SPD geschaffen.SPD Parteivorstand
@spdde
 · May 10
 2,2 Millionen Jobs – So viele Arbeitsplätze haben @OlafScholz und @hubertus_heil mit dem Kurzarbeitergeld gerettet! 

Woher diese Zahl kommt und was sie bedeutet? Wir erklären es euch im Thread:
Show this thread",3,12,71
Kai Whittaker,@Kai_Whittaker,2021-05-08T12:40:45.000Z,"Sehr starke Rede unseres Kanzlerkandidaten 
@ArminLaschet
 auf dem Landesparteitag der 
@CDU_BW
. Wir als 
@CDU
 wissen wie Strukturwandel geht. Wir bauen unsere Industrienation zur Technologienation um, bewahren so den Wohlstand und schützen dadurch das Klima. #LPTCDUBW",25,6,80
CDU Deutschlands,@CDU,2021-05-08T09:23:44.000Z,"Unser Parteivorsitzender 
@ArminLaschet
 hat mit der 
@faznet
 über die Zukunft Europas, den anstehenden Wahlkampf und darüber gesprochen, wie wir das #Modernisierungsjahrzehnt angehen wollen. 
https://faz.net/aktuell/politik/inland/laschet-im-f-a-z-interview-impfangebot-noch-im-juli-17331105.html…",114,32,102
Kai Whittaker,@Kai_Whittaker,2021-05-05T17:08:01.000Z,"Gut Ding will Weile haben... 
@CDU
 @cducsubtKai Gehring
@KaiGehring
 · May 5
Gern würde ich das #CDU-Wahlprogramm kritisch würdigen, aber die hat noch immer keins.  #btw21 #fliegenpilz #laschetdenktnach",5,1,25
Kai Whittaker,@Kai_Whittaker,2021-05-04T13:57:55.000Z,"Die CDU im Ländle erneuert sich Stück für Stück. Herzlichen Glückwunsch an 
@HagelManuel
 zum neuen Fraktionsvorsitzenden! 
@CDU_BW",2,4,59
Kai Whittaker,@Kai_Whittaker,2021-05-04T08:10:04.000Z,"Die Haltung überall #Nazis zu vermuten ist so toxisch. Informiert euch mal über meinen Hintergrund und meine Positionen. Mit #FFF hatte ich bereits gute Gespräche.
Mir Nazi-Nähe vorzuwerfen weil ich sage, dass durch nachhaltige Politik unsere Heimat geschützt wird, ist verdorben.Fridays for Future Bad Nenndorf
@FridaysBad
 · May 4
Replying to @klimaunion @Tagesspiegel and 5 others
Sagt @Kai_Whittaker im Artikel ernsthaft ""Klimaschutz ist Heimatschutz"", einen Slogan den abgewandelt auch die #NPD verwendet @klimaunion @wegeheld ???!",18,16,262
