User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Dr. Karamba Diaby,@KarambaDiaby,2021-05-12T17:03:13.000Z,"Heute endet der Fastenmonat #Ramadan
. Ich wünsche allen Muslim:innen ein gesegnetes Zuckerfest, dauerhaften Frieden und ein solidarisches Miteinander. Meine Solidarität gilt allen Menschen, die durch Krieg, Not und Elend leiden.",8,82,1K
Dr. Karamba Diaby,@KarambaDiaby,2021-05-11T09:15:03.000Z,Die Beratungsanfragen bei der #Antidiskriminierungsstelle im Vergleich zum Vorjahr sind so stark gestiegen wie nie zuvor. Das ist eine Gefahr für den Zusammenhalt der Gesellschaft.,6,7,120
Dr. Karamba Diaby,@KarambaDiaby,2021-05-09T17:11:50.000Z,"Glückwunsch, lieber 
@OlafScholz
!SPD bestätigt Scholz mit 96,2 als Kanzlerkandidat
Vizekanzler Olaf Scholz ist von den Delegierten eines SPD-Parteitags in Berlin mit 96,2 Prozent als Kanzlerkandidat bestätigt worden. 513 Delegierte stimmten am Sonntag online für Scholz, 20 gegen...
rnd.de",7,11,156
Dr. Karamba Diaby,@KarambaDiaby,2021-05-09T10:22:41.000Z,"Nicht Spaltung, sondern Zusammenhalt brauchen wir. Dafür kämpft die SPD. Dafür kämpft 
@OlafScholz
. #ausRespekt",8,4,81
Dr. Karamba Diaby,@KarambaDiaby,2021-05-08T17:16:27.000Z,"„Ihr seid nicht schuld an dem, was war, aber verantwortlich dafür, dass es nicht mehr geschieht.“ (Max Mannheimer 1920-2016, Holocaust-Überlebender) #8Mai",18,396,3.7K
Dr. Karamba Diaby,@KarambaDiaby,2021-05-05T10:09:33.000Z,"Die Zukunft gehört den Kindern & Jugendlichen. Doch viele von ihnen werden zurückgelassen - insbesondere in der Corona-Pandemie. Als Bürger, Vater, Politiker ist das nicht auszuhalten. Deshalb bin ich sehr froh, dass jetzt die SPD ein #Coronaaufholpaket durchgesetzt hat.",3,7,140
Dr. Karamba Diaby,@KarambaDiaby,2021-05-03T14:55:59.000Z,"Journalismus ist kein Verbrechen. Solidarität mit allen, die bei der Ausübung ihres Jobs bedroht, behindert, verletzt, verhaftet oder gar getötet werden. #TagderPressefreiheit",4,23,249
Philipp Sandmann,@philsandmann,2021-05-01T08:51:53.000Z,".
@KarambaDiaby
 bei 
@ntvde
: „Es bedrückt einen, wenn man weiß, dass man etwas gesagt oder geschrieben hat oder eine politische Entscheidung getroffen hat und man immer davon ausgehen muss, dass man beleidigt oder bedroht wird. Das lässt mich nicht kalt.“Karamba Diaby im Interview: ""Bedrohungen und Hass sind fast normal geworden""
Immer mehr Politikerinnen und Politiker werden bedroht. Manche ziehen sich deswegen ganz aus dem politischen Geschäft zurück. Der SPD-Politiker Diaby wehrt sich - und bekommt Unterstützung.
n-tv.de",8,27,104
Olaf Scholz,@OlafScholz,2021-04-29T17:18:34.000Z,"Die Kommunen sollten Strategien entwickeln, um in Brennpunkten niedrigschwelliger zu impfen. Es braucht mehrsprachige Briefe und #Impfmobile auf den Marktplätzen. Niemand hat etwas davon, wenn die Vororte durchgeimpft sind, aber die Pandemie in den Brennpunkten weiter grassiert.",89,74,356
Dr. Karamba Diaby,@KarambaDiaby,2021-04-27T13:56:09.000Z,"Es hat mir sehr viel Spaß gemacht! Am 6.6. ist Landtagswahl in Sachsen-Anhalt! Igor Matviyets
@IgorMatviyets
 · Apr 27
Mit @KarambaDiaby Plakate in #Halle gehängt 
 #ltwlsa #SPD",3,4,211
Dr. Karamba Diaby,@KarambaDiaby,2021-04-21T15:29:14.000Z,Fakt ist: Seit Februar dieses Jahres verzeichnen wir steigende Infektionszahlen. Der Staat hat eine Schutzpflicht gegenüber seinen Bürger:innen. Dieser Schutzpflicht müssen wir nachkommen. Deshalb haben wir heute im Bundestag Änderungen im Infektionsschutzgesetz beschlossen.,33,12,244
Dr. Karamba Diaby,@KarambaDiaby,2021-04-19T09:21:52.000Z,Glückwunsch an #Baerbock. In den nächsten 5 Monaten wird es um die besseren Argumente und besseren Ideen für unsere Gesellschaft gehen. Auf diesen Austausch freue ich mich.,5,9,545
Dr. Karamba Diaby,@KarambaDiaby,2021-04-18T13:06:59.000Z,"Hinter jedem Menschen, der stirbt, steht eine Geschichte, steht eine Familie, stehen Freund:innen. Knapp 80 000 Menschen sind in unserem Land an oder mit dem Corona-Virus gestorben. Mein Mitgefühl und meine Gedanken sind bei all jenen, die einen Menschen verloren haben.",16,54,761
SPD-Fraktion im Bundestag,@spdbt,2021-04-16T07:45:03.000Z,".
@Karl_Lauterbach
 erklärt 
@c_lindner
 im #Bundestag, warum #Ausgangsbeschränkungen nicht hinreichend, aber notwendig sind. #Infektionsschutzgesetz",364,1K,6.1K
Dr. Karamba Diaby,@KarambaDiaby,2021-04-13T09:01:39.000Z,Ich wünsche allen Muslim:innen einen gesegneten #Ramadan,17,64,1.3K
rüdigererben,@ruedigererben,2021-04-10T08:39:04.000Z,"Die Jugendfeuerwehr 
@sachsenanhalt
 wird 30 Jahre. Gemeinsam mit 
@KarambaDiaby
 gratuliere ich Landesjugendfeuerwehrwart Thomas Voss und den über 12000 Mädchen und Jungen sowie deren Kinder- und Jugendwarte zum Jubiläum.The following media includes potentially sensitive content. Change settings
View",2,4,68
Dr. Karamba Diaby,@KarambaDiaby,2021-04-08T13:15:14.000Z,"Im April 1971 trafen sich Sinti:zze & Rom:nja auf einem int. Kongress, um u.a. über die Überwindung von Diskriminierung zu sprechen. 50 Jahre danach ist einiges besser geworden, vieles aber auch nicht. Deshalb gilt: Wir brauchen mehr Gleichberechtigungspolitik und nicht weniger.",9,27,323
Dirk Wiese Sauerland,@DirkWieseSPD,2021-04-03T11:36:46.000Z,"Ich erwarte, dass die Bundeskanzlerin für Klarheit sorgt und die Befassung des Gesetzesvorhabens im #Kabinett sicherstellt. (3)",2,4,24
Dr. Karamba Diaby,@KarambaDiaby,2021-04-02T15:25:05.000Z,Ich wünsche allen einen schönen Karfreitag!,32,8,643
Dr. Karamba Diaby,@KarambaDiaby,2021-03-31T15:14:13.000Z,"Dass engagierte junge Menschen wie 
@Tareq_Alaows
 durch rassistische Anfeindungen ausgebremst werden, ist ein Skandal! Hier muss die demokratische Mehrheit hinsehen und Solidarität zeigen. Online und offline! #SolidaritaetMitTareq",28,116,1.2K
Dr. Karamba Diaby,@KarambaDiaby,2021-03-27T18:26:07.000Z,Ich wünsche allen Jüdinnen und Juden ein fröhliches Pessach-Fest - חג פסח שמח,4,39,800
Dr. Karamba Diaby,@KarambaDiaby,2021-03-25T15:52:40.000Z,"Die SPD hat das Lobbyregister durchgesetzt. Die CDU & CSU haben erst dann eingelenkt, als der Druck wegen der Maskenaffäre wuchs. Bis heute lehnen sie den exekutiven Fußabdruck ab - also die Pflicht, bei allen Gesetzen offenzulegen, welcher Lobbyist beteiligt war.  Sehr schade!",53,143,1.3K
Dr. Karamba Diaby,@KarambaDiaby,2021-03-24T11:54:52.000Z,"Ein Rücktritt ist unsinnig: Merkel hat Verantwortung für einen Fehler übernommen, den alle 16 Ministerpräsident:innen mitgetragen haben. Das ist keine Schwäche, sondern eine Stärke der Kanzlerin. Wichtig ist, dass der Fehler jetzt korrigiert wird.",379,1.4K,23K
Dr. Karamba Diaby,@KarambaDiaby,2021-03-22T11:49:54.000Z,"Ich freue mich auch sehr auf heute Abend, liebe 
@FerdaAtaman
. Bis später!ferda ataman
@FerdaAtaman
 · Mar 22
Heute Abend, 19 Uhr, spreche ich mit @KarambaDiaby über seinen Doktortitel, sein Faibel für Schrebergärten und seinen spannenden Weg vom Senegal zur Sozialdemokratie. Ich darf mit ihm sein wunderbares, neu aufgelegtes Buch vorstellen. Anmeldung 
https://hoffmann-und-campe.de/products/leben-fur-die-demokratie…
Show this thread",2,4,77
