User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Katrin Werner,@Katrin_Werner,2021-05-14T12:00:00.000Z,"#Bund und #RLP  müssen mehr Stellen, mehr Plätze in #Frauenhäusern und mehr niedrigschwellige Unterstützungs- und Beratungsangebote schaffen. Wir fordern eine konsequente Umsetzung der #Istanbulkonvention in den Kommunen, auf Landes- und auf Bundesebene.

https://bit.ly/3bqKad8",,1,1
Katrin Werner,@Katrin_Werner,2021-05-12T19:08:00.000Z,"Allen #Muslim*innen wünsche ein ich trotz der Corona-Auflagen ein wunderschönes, herzliches, frohes und gemütliches #Zuckerfest!
Nach dem Fastenmonat Ramadan, der Verzicht und Besinnung bedeutet, bleibt nur eins zu sagen: Lassen Sie es sich schmecken und #eidmubarak2021 !",,1,9
DIE LINKE,@dieLinke,2021-05-10T13:14:44.000Z,"Für einen Wandel, der niemanden zurücklässt. 
Der Hoffnung gibt und sozial gerecht ist.
Gemeinsam machen wir das Land gerecht. Jetzt!
#MachtdasLandgerecht #jetzt",47,292,564
Dietmar Bartsch,@DietmarBartsch,2021-05-10T11:59:14.000Z,".
@DieLinke
 ist die Anwältin derjenigen, die zu wenig verdienen und zu viel zahlen. Wir sind nicht die Partei der Stellschrauben, sondern der radikalen Reformen, um das Leben der Menschen zu verbessern. Wir wollen mehr, weil mehr möglich ist. 
@Janine_Wissler
 #zweistellig #btw21",89,104,686
queer.de,@queer_de,2021-05-08T09:54:30.000Z,"In einem gemeinsamen Brief fordern Abgeordnete von SPD, FDP, Linken und Grünen die Union dazu auf, noch in dieser Legislaturperiode die Diskriminierung von Kindern in Regenbogenfamilien zu beendenDas verfassungswidrige Abstammungsrecht endlich reformieren!
In einem gemeinsamen Brief fordern Abgeordnete von SPD, FDP, Linken und Grünen die Union dazu auf, noch in dieser Legislaturperiode die Diskriminierung von Kindern in Regenbogenfamilien zu beenden....
queer.de",,18,41
linksfraktion,@Linksfraktion,2021-05-05T11:00:18.000Z,"„Das Aufholpaket ist zwar ein Schritt in die richtige Richtung, aber bei weitem nicht ausreichend…& fällt mit 2 Mrd € viel zu klein aus. Während für große Unternehmen geklotzt wurde, wird für ärmere Familien nur gekleckert."" 
@Katrin_Werner
 @Norbert_MdBAufholpaket wird Bedarfen von Kindern und Familien nicht gerecht
„Das Aufholpaket ist zwar ein Schritt in die richtige Richtung, aber bei weitem nicht ausreichend, weil es nicht langfristig angelegt ist und mit zwei Milliarden Euro viel zu klein ausfällt. Während...
linksfraktion.de",1,2,11
linksfraktion,@Linksfraktion,2021-05-05T06:00:00.000Z,"Schwangere & Gebärende haben ein Recht auf eine gute und sichere Versorgung. #Hebammen haben ein Recht auf gute Arbeit, die nicht krank macht. Wir fordern eine bedarfsorientierte Personalbemessung in Krankenhäusern & eine 1:1-Betreuung im Kreißsaal. #welthebammentag #hebammentag",13,38,183
Dietmar Bartsch,@DietmarBartsch,2021-05-04T06:57:59.000Z,"Die 
@Linksfraktion
 hat mit dem 
@DIW_Berlin
 ein Konzept für eine #Vermögensabgabe entwickelt, die lediglich 0,7% der Bevölkerung trifft & langfristig ca. 310 Mrd bringt. Adenauer hat eine solche damals in einer schwierigen Situation umgesetzt, so wie es das #Grundgesetz vorsieht.",21,58,224
Katrin Werner,@Katrin_Werner,2021-05-03T14:35:02.000Z,"#Aufholpaket der Regierung für Kinder & Jugendliche reicht nicht, um die Krisenfolgen auszugleichen. Es braucht langfristige & nachhaltige Investitionen in die soziale Infrastruktur für Kinder & Armutsbekämpfung. Mehr im Interview mit 
@DLF
.
https://ondemand-mp3.dradio.de/file/dradio/2021/05/03/geplantes_aufholpaket_reicht_nicht_interview_katrin_dlf_20210503_1436_799e0122.mp3… 
@Linksfraktion",,1,4
Katrin Werner,@Katrin_Werner,2021-05-03T12:13:06.000Z,Reporter ohne Grenzen haben den Zustand der Pressefreiheit in Deutschland von „gut“ auf „zufriedenstellend“ abgesenkt. DIE LINKE fordert mehr Schutz für Journalismus. #Pressefreiheit #PostForThePress #WorldPressFreedomDay #TagderPressefreiheit,,,
linksfraktion,@Linksfraktion,2021-05-03T08:49:08.000Z,"Unser Antrag am Donnerstag im Plenum des #Bundestag|es: Eine einmalige #Vermögensabgabe nach Vorbild von #Adenauer|s #Lastenausgleich trifft nur 0,7% der Bevölkerung in Deutschland, brächte dem Bund aber Einnahmen von bis zu 310 Mrd. Euro. 
@hib_Nachrichten
 https://bundestag.de/dokumente/textarchiv/2021/kw18-de-vermoegensabgabe-836858…",43,120,512
Katrin Werner,@Katrin_Werner,2021-05-01T18:49:53.000Z,"Heute ist der erste Mai! Am Kampftag der Arbeiter:innen erinnern wir nochmal mit aller Lautstärke an die noch anstehenden Verbesserungen für die Arbeitswelt. 
Morgen Mittag folgt ein Video mit inhaltlichen Details!",,1,1
Katrin Werner,@Katrin_Werner,2021-04-30T12:00:00.000Z,"Die arbeitgeberfreundliche #Corona-Politik von #SPD & #Union belastet v.a. die Lohnabhängigen. Große Vermögen müssen endlich durch Steuern & Abgaben angemessen zur Bewältigung der Krise herangezogen & Infektionsschutz in den Betrieben umgesetzt werden.

https://bit.ly/3eJ7TGv",,,5
Bericht aus Berlin,@ARD_BaB,2021-04-29T11:20:27.000Z,"2020 sind durch Kurzarbeit 1,65 Milliarden Arbeitsstunden ausgefallen. Gleichzeitig fielen 1,68 Milliarden Überstunden an – über die Hälfte davon unbezahlt. Das sagt Linken-Vize-Fraktionschefin 
@SusanneFerschl
 dazu.",,17,35
Dietmar Bartsch,@DietmarBartsch,2021-04-29T07:14:11.000Z,"Länger arbeiten & weniger verdienen: Auch im 4. Jahrzehnt nach der Einheit Alltag im Osten. Das frustriert, weil es gegen das Prinzip der Leistungsgerechtigkeit verstößt. Mehr Tarifbindung, stärkere Gewerkschaften, mindestens 12€ Mindestlohn! 
@derspiegel
 https://spiegel.de/wirtschaft/deutsche-einheit-ostdeutsche-verdienen-immer-noch-deutlich-weniger-a-351e8b5d-c8a1-4e24-8143-88ecc715c09c…",10,17,133
