User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
BDEW,@bdew_ev,2021-05-12T08:19:48.000Z,"Ihre Sicherheit hat für uns oberste Priorität. Um uns trotzdem mit möglichst vielen von Ihnen persönlich auszutauschen, findet der #BDEW Kongress als hybride Veranstaltung statt. #bdewk21 

Mehr zu unserem Sicherheits- und #Hygienekonzept finden Sie hier: https://bdew.de/service/veranstaltungen/bdew-kongress-2021/…0:49
120 views",,1,3
BDEW,@bdew_ev,2021-05-12T10:46:23.000Z,"Heutige Entscheidung zur #Ladesäulenverordnung bedeutet zusätzlichen Bremsklotz für die #Elektromobilität. Insbesondere mit Blick auf das heute geänderte #Klimaschutzgesetz schade: Das wird erst mit Leben gefüllt, wenn auch #EMobilität an Tempo gewinnt.
https://bdew.de/presse/presseinformationen/einbau-verpflichtung-fuer-kartenlesegeraete-bremst-hochlauf-der-elektromobilitaet-aus/…",3,1,6
BDEW,@bdew_ev,2021-05-12T09:39:52.000Z,"BuReg befasst sich heute mit der Änderung vom #Klimaschutzgesetz. Aktuell klemmt es noch überall: #Windenergie-Ausbau stockt wegen fehlender Flächen & langer Genehmigungsverfahren, Strategien für #Photovoltaik fehlen. Jetzt Hürden für #Erneuerbare abbauen! https://bdew.de/presse/presseinformationen/bdew-zum-klimaschutz-gesetz-im-bundeskabinett/…Kerstin Andreae",,4,5
BDEW,@bdew_ev,2021-05-11T09:54:09.000Z,"#Elektromobilität und #Digitalisierung gehen beim Laden Hand in Hand: Digitales Bezahlen bedeutet Preistransparenz, viele Bezahloptionen und Offenheit für Innovationen. Pflicht für EC-Kartenlesegeräte bedeutet unnötige Mehrkosten und eine Bremse für den #Ladesäulen-Ausbau. ",1,3,3
Kerstin Andreae,@KerstinAndreae,2021-05-11T12:00:29.000Z,"Wir erreichen Klimaziele nur, wenn wir den Ausbau der erneuerbaren Energien mit aller Verve voran bringen. 
@bdew_evKompetenzzentrum Naturschutz und Energiewende
@KNE_tweet
 · May 11
Mehr Tempo bei der #Energiewende fordert @KerstinAndreae in einer neuen Folge unseres Podcasts. ""Dem #Naturschutz nützt es gar nichts, wenn wir mit den Erneuerbaren nicht vorankommen."" Zu hören unter: https://naturschutz-energiewende.de/aktuelles/mehr-tempo-bei-der-energiewende-das-kne-im-gespraech-mit-bdew-chefin-kerstin-andreae/… @bdew_ev",2,2,23
BWO,@BWO_news,2021-05-10T14:07:49.000Z,"@KerstinAndreae
 vom 
@bdew_ev
, 
@mvgerhardt
 von 
@SiemensGamesa
, 
@LembWolfgang
 von der 
@IGMetall
 & BWO-Vorstandsmitglied 
@CatrinJung
 von 
@Vattenfall_De
 diskutieren den Ausbau der #Offshore-#Windenergie auf der #NMK2021Stefan Thimm",1,3,12
BDEW,@bdew_ev,2021-04-30T11:51:20.000Z,"Nach aktuellen Zahlen der 
@bnetza
 sind die Ausschreibungen für #Windenergie-Projekte an Land erneut stark unterzeichnet. So kann es nicht weitergehen. Die Politik muss dringend das Ruder herumreißen! #Energiewende 

https://bdew.de/presse/presseinformationen/die-politik-muss-dringend-das-ruder-herumrei%C3%9Fen/…Kerstin Andreae",,8,11
Heiko Stubner,@hstubner,2021-04-29T20:38:16.000Z,"FAZ: Hoffnung auf eine „langfristige Klimapolitik“ - Das Bundesverfassungsgericht mahnt strengere Klimaziele an. 
@Der_BDI
 fordert klare Gesetze für Planungssicherheit https://zeitung.faz.net/faz/wirtschaft/2021-04-30/hoffnung-auf-eine-langfristige-klimapolitik/604751.html… 
@bdew_ev
 @KerstinAndreae
 @holger_loesch
 @BMWi_Bund
 @peteraltmaierHoffnung auf eine „langfristige Klimapolitik“
Das Bundesverfassungsgericht mahnt strengere Klimaziele an – BDI fordert klare Gesetze für Planungssicherheit
zeitung.faz.net",,1,2
Kerstin Andreae,@KerstinAndreae,2021-04-29T13:23:52.000Z,"Je schneller wir die richtigen Weichen stellen,desto besser für die Strecke von 2030 bis 2050. Was wir brauchen: Erhöhung Ausbaupfade für Wind und PV, Entlastung Strompreis, mehr genehmigte Flächen für Erneuerbare. Ist übrigens auch ein Konjunkturpaket #Klimaschutzgesetz 
@bdew_evBDEW
@bdew_ev
 · Apr 29
Laut heutigem #BVerfG-Urteil greift das 2019 verabschiedete #Klimaschutzgesetz zu kurz. Gesetzgeber muss bis Ende 2022 Reduktionsziele für THG-Emissionen für die Zeit nach 2030 näher regeln. Jetzt schnell die richtigen Weichen stellen!

Mehr dazu: https://bdew.de/presse/presseinformationen/chance-fuer-eine-vorausschauendere-langfristiger-ausgerichtete-energiepolitik/…",,1,8
BDEW,@bdew_ev,2021-04-29T08:59:36.000Z,"#Klimawandel-Folgen, gewässerverträgliche #Agrarpolitik, Gewässerschutz: Der Handlungsbedarf der Politik in den nächsten Jahren ist groß. Der #BDEW hat dazu heute in seiner neuen Wasserstrategie für 
 Forderungen an die künftige BuReg aufgestellt: https://bdew.de/presse/presseinformationen/wasserstrategie-fuer-deutschland-veroeffentlicht/…",,8,12
