User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Angelica Dinger,@Dingerang,2021-05-13T16:02:10.000Z,"Respekt bedeutet hinschauen! Online-Diskussion mit Olaf Scholz und Margo... https://youtu.be/6h3bIkT65fM via 
@YouTubeRespekt bedeutet hinschauen! Online-Diskussion mit Olaf Scholz und...
Wir laden ein zur Online-Diskussion ""Respekt heißt Hinschauen!"" mit SPD-Kanzlerkandidat Olaf Scholz und Margot Käßmann anlässlich des 3. Ökumenischen Kirchen...
youtube.com",,1,3
Kerstin Griese,@KerstinGriese,2021-05-13T11:59:47.000Z," Klare Worte!Heiko Maas
@HeikoMaas
Regierungsvertreter*in aus Deutschland
 · 14h
Menschen jüdischen Glaubens bei uns dürfen für Ereignisse im Nahen Osten nicht verantwortlich gemacht werden. Und für Angriffe auf Synagogen und #Antisemitismus wie in #Gelsenkirchen darf es in unserem Land ohnehin null Toleranz geben! 

https://auswaertiges-amt.de/de/newsroom/maas-funke/2459240…",1,1,1
SPD Parteivorstand,@spdde,2021-05-13T06:43:23.000Z,Zum Ende des Fastenmonats Ramadan wünschen wir allen Muslim*innen ein frohes Zuckerfest! Bayraminiz kutlu olsun. #EidMubarak,162,49,274
Kerstin Griese,@KerstinGriese,2021-05-13T10:26:30.000Z,"Ich freue mich sehr, dass ich heute zwei spannende Menschen moderieren darf:
Um 18 Uhr livestream der 
@spdde
 anlässlich des Ökumenischen Kirchentages!
@OlafScholz
 diskutiert mit Margot #Käßmann das Thema
Respekt bedeutet hinschauen!
Schaltet ein!
http://youtu.be/6h3bIkT65fM
#oektRespekt bedeutet hinschauen! Online-Diskussion mit Olaf Scholz und...
Wir laden ein zur Online-Diskussion ""Respekt heißt Hinschauen!"" mit SPD-Kanzlerkandidat Olaf Scholz und Margot Käßmann anlässlich des 3. Ökumenischen Kirchen...
youtube.com",5,7,45
Thomas Kutschaty,@thomaskutschaty,2021-05-12T16:28:04.000Z,"Wer die #Synagogen in unserem Land attackiert, ist ein Feind unserer offenen Gesellschaft und erfährt die Gegenwehr der gesamten Sozialdemokratie in NRW. Wir dulden keinen #Antisemitismus. Die Sicherheit jüdischen Lebens ist nicht verhandelbar.Polizei NRW BN
@polizei_nrw_bn
 · May 12
Steinwurf auf Synagoge: Tatverdächtige räumten Tat ein https://bonn.polizei.nrw/node/59780",2,18,80
Kerstin Griese,@KerstinGriese,2021-05-13T06:40:37.000Z,"Danke 
@OlafScholz
 für diese klare Ansage!phoenix
@phoenix_de
 · May 12
#Finanzminister @OlafScholz verurteilt #Hamas-Angriffe auf 
 #Israel. Sicherheit Israels gehöre zur deutschen Staatsräson. Lösung des #Nahost|konfliktes nur am Verhandlungstisch. Angriffe auf 
 #Synagogen in #Bonn & #Münster sind zu ahnden. 
 #Palästina @BMF_Bund @spdde
#Gaza",,4,24
Simon Lavo-Braumann,@simbosan,2021-05-10T07:25:30.000Z,"2.200.000 Jobs gerettet. Danke 
@hubertus_heil
 und 
@OlafScholz
! #KurzarbeitStudie zu Corona-Maßnahme: Kurzarbeit rettet 2,2 Millionen Jobs
Im Zuge des Lockdowns müssen ganze Branchen in Deutschland ihren Betrieb einstellen. Die Kurzarbeit soll die schlimmsten Folgen für Beschäftigte abfedern - und das tut sie auch, belegt nun eine...
n-tv.de",2,10,71
Hubertus Heil,@hubertus_heil,2021-05-09T13:11:48.000Z,"Um etwa 15.30 Uhr spricht der zukünftige Bundeskanzler ⁦
@OlafScholz
⁩ auf dem #spdbpt21 #AusRespekt",1.3K,412,510
phoenix,@phoenix_de,2021-05-09T12:21:44.000Z,"Weder #CDU noch #Grüne stellten Konkurrenz dar, so Bundesarbeitsminister 
@hubertus_heil
. So habe die #CDU nichts Zukunftweisendes vor, während bei den #Grünen zwar Wille, aber kein Können zu sehen sei. Die 
@spdde
 habe nichts zu fürchten außer der Furcht selbst. #spdbpt21",23,21,55
Kerstin Griese,@KerstinGriese,2021-05-08T14:21:21.000Z,"Herzlichen Glückwunsch, liebe 
@AnnaHeinr
 Und Glückwunsch unserer Kirche zu dieser neuen Präses! 
@EKDEvangelische Kirche
@EKD
 · May 8
Herzlichen Glückwunsch! Anna-Nicole Heinrich ist die Präses der 13. Synode der Evangelischen Kirche in Deutschland. #EKDSynode @AnnaHeinr",,3,28
