User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Jens Kestner,@KestnerJens,2021-05-12T06:04:26.000Z,"Existenzen ruiniert, Unschuldige ""diskreditiert"" - und was macht der ""Tagesspiegel"" ? Sich für ""handwerkliche Fehler"" entschuldigen. Wir haben es schon immer gewusst - nur diesmal ist es eben aufgeflogen. Unsere ""Qualitätsmedien"" eben.....The following media includes potentially sensitive content. Change settings
View",,,2
Heer,@Deutsches_Heer,2021-05-11T05:25:41.000Z,"#GutenMorgen! Auf geht's durch die Letzlinger Heide in den #TankTuesday beim #Heer. Es geht weiter im #Gefechtsübungszentrum beim 
 #Panzerbataillon414 #PanzerHurra #StayTuned",2,20,155
Jens Kestner,@KestnerJens,2021-05-09T06:07:31.000Z,"Die besten Wünsche zum #Muttertag

„Es gibt nur eine ganz selbstlose, ganz reine, ganz göttliche Liebe.
Und das ist die #Liebe der #Mutter für ihr #Kind.“

Georg Moritz Ebers

#KESTNER #AfDThe following media includes potentially sensitive content. Change settings
View",,1,2
Jens Kestner,@KestnerJens,2021-05-09T05:13:18.000Z,"Liebe Frau Baerbock, Nur weil Karl Marx ""Das Kapital"" geschrieben hat, ist der ""Kapitalismus"" keine Erfindung der Kommunisten. Auch falten Zitronenfalter keine Zitronen und Francois Holland war nicht Präsident von Holland.The following media includes potentially sensitive content. Change settings
View",,,1
Jens Kestner,@KestnerJens,2021-05-08T02:15:54.000Z,"Leg nie die Kontrolle über Währung,Energie, Sicherheit & Grenzen in fremde Hände!The following media includes potentially sensitive content. Change settings
View",1,1,3
AfD Kreisverband Lüneburg,@AfD_Lueneburg,2021-05-05T20:01:24.000Z,"Der Bundestagsabgeordnete und ehemalige Landesvorsitzende Paul Hampel wurde mit großer Mehrheit zum Direktkandidaten des Wahlkreises 37 gewählt. 
Herzlichen Glückwunsch an Paul Hampel! Wir freuen uns auf den gemeinsamen Wahlkampf. 
#Deutschlandabernormal #AfD",,3,7
Jens Kestner,@KestnerJens,2021-04-30T06:52:51.000Z,"Willkommen in unserer Welt Herr Josef Liefers. „Ich habe mit Kritik gerechnet, aber nicht damit, dass ich als #Rechter, #Antidemokrat und #Coronaleugner beschimpft werde.
Jan Josef Liefers“ https://berliner-zeitung.de/wochenende/jan-josef-liefers-man-kann-alles-sagen-aber-nicht-ungestraft-li.156139?utm_medium=Social&utm_source=Facebook#Echobox=1619716910…

#KESTNER #AfDThe following media includes potentially sensitive content. Change settings
View",3,18,36
Edward Franiel,@Politleben,2021-04-23T11:24:10.000Z,"Jens Kestner: „Wir sehen die Verlängerung der #Saisonarbeitszeit als wichtiges Signal für die #Landwirtschaft, um während der #Corona-Pandemie die Versorgung mit frischen und hochwertigen Lebensmitteln gewährleisten zu können.“
@KestnerJens
https://politwelt.de/2021/04/23/jens-kestner-rede-vom-22-04-2021/… via 
@PolitweltJens Kestner – Rede vom 22.04.2021
Jens Kestner – Seefischereigesetz, Saisonarbeitskräfte Insgesamt sehen wir die Verlängerung der Saisonarbeitszeit als ein wichtiges Signal für die Betriebe in der Landwirtschaft, um auch währ…
politwelt.de",,2,4
Ralf Schumacher,@RalfSchumache17,2021-04-23T21:21:43.000Z,Zitat eines Kinderarztes: „Ich habe keine hustenden Kinder mehr. Ich habe nur noch psychiatrische Fälle.“,70,1.1K,4.2K
Anabel,@ainyrockstar,2021-04-23T19:53:27.000Z,"Die, die sich heute für ihre Kollegen bei #allesdichtmachen geschämt haben, werden sich eines Tages für sich selbst schämen.",91,448,3.4K
Hamed Abdel-Samad,@hamed_samad,2021-04-23T20:44:04.000Z,"#ZDF hat mich zensiert. Man lud mich als kritische Stimme bei #Aspekte ein, um über  #Rassismus zu reden.  Doch kein einziger kritische Satz von mir wurde gesendet. Man hat nur einen Satz von mir gesendet, während andere Gesprächspartner ausführlich zu Wort kamen. Das ist feige!",494,1.9K,7.2K
Jens Kestner,@KestnerJens,2021-04-22T05:15:49.000Z,"Der Krüger Nationalpark für Dealer und Kriminelle. #Berlin leistet sich - als einzige deutsche Großstadt - ein eigenes ""Naturschutzgebiet"" für Kriminelle und ausreisepflichtige Ausländer. 
So sieht die Zukunft Deutschlands mit einer grünen Kanzlerin aus!""The following media includes potentially sensitive content. Change settings
View",,,
Jens Kestner,@KestnerJens,2021-04-19T10:37:56.000Z,"Können wir uns wirklich eine mögliche #Kanzlerin leisten, welche die Politikfelder auf Klassensprecher Niveau bearbeitet ?The following media includes potentially sensitive content. Change settings
View",,1,2
Jens Kestner,@KestnerJens,2021-04-16T05:43:09.000Z,"#Haseloff stellt sich hinter #Söder und bereit jetzt schon seinen Abgang nach #Berlin vor nach der zu erwartenden Wahlschlappe gegen die #AfD.The following media includes potentially sensitive content. Change settings
View",,1,2
Jens Kestner,@KestnerJens,2021-04-15T04:54:43.000Z,"Wer davon träumt, ""auf dem Weg Menschen zu erwischen"", die nichts weiter machen, als friedlich ihrer Wege zu gehen, gehört auf die Psychiatercouch oder nach #Nordkorea, aber gewiss nicht in ein deutsches Parlament.

#KESTNER #AfDThe following media includes potentially sensitive content. Change settings
View",,1,7
Jens Kestner,@KestnerJens,2021-04-14T15:26:20.000Z,"#Merkel-#Deutschland ist, wenn Deine #Katze in der Nacht mehr Rechte hat als Du.The following media includes potentially sensitive content. Change settings
View",,2,5
Jens Kestner,@KestnerJens,2021-04-13T06:03:24.000Z,"Erinnerung an George #Orwell 1984
Wie kontrolliert Big Brother die Menschen? Vor allem durch #Sprache. 

#Neusprech; Sprache wird auf einfache, stumpfe Begriffe heruntergebrochen. Durch die Kontrolle der Sprache kontrolliert die Partei die Menschen.The following media includes potentially sensitive content. Change settings
View",1,1,4
Dr. Roland Hartwig,@R_Hartwig_AfD,2021-04-11T18:16:33.000Z,"Ich freue mich über den Parteitagsbeschluss und das Vertrauen, den Bundesvorstand aufzufordern, mich wieder als Leiter der AG-Verfassungsschutz einzusetzen. Ich stehe für die Parteieinheit und eine entschlossene Verteidigung gegen einen politisch missbrauchten Verfassungsschutz!Dr. Roland Hartwig and 2 others",27,93,478
Jens Kestner,@KestnerJens,2021-04-09T17:12:12.000Z,"Wir dürfen nicht mal ins Ferienhaus, aber hunderttausende #Illegale reisen hin und her - Wahnsinn. Jedem ist es bekannt, auch schon vor #Corona, nur jetzt wird der Wahnsinn noch Transparenter. 

Ich bleibe dabei, wir brauchen die https://festung-europa.netThe following media includes potentially sensitive content. Change settings
View",,1,2
Jens Kestner,@KestnerJens,2021-04-08T05:10:02.000Z,"In jeder Hinsicht eine Katastrophe für unser Land und eine Bankrotterklärung visionärer, stabilitäts- und wohlstandsorientierter Vernunftspolitik. https://welt.de/politik/deutschland/article229875163/Baerbock-oder-Habeck-Gruene-geben-Kanzlerkandidat-am-19-April-bekannt-Partei-nun-bei-23-Prozent.html… 

#KESTNER #AfD #GrüneThe following media includes potentially sensitive content. Change settings
View",,,
Jens Kestner,@KestnerJens,2021-03-22T04:40:07.000Z,"Sollten die Planungen von Merkel und den Altparteien so umgesetzt werden wie gewünscht, wird der #Lockdown gepaart mit einer #Ausgangssperre ein neues Kapitel der #Unfreiheit in Deutschland einläuten.The following media includes potentially sensitive content. Change settings
View",,1,7
Jens Kestner,@KestnerJens,2021-03-18T07:45:42.000Z,"#Dänemark erscheint mir derzeit wie ein Leuchtfeuer der Vernunft. Dass die zweifellos vorhandenen und immer größer werdenden Parallelgesellschaften jedes Integrationsbemühen unterwandern, das dürfte eigentlich jedem klar sein.

#KESTNER #AfDThe following media includes potentially sensitive content. Change settings
View",3,2,6
Jens Kestner,@KestnerJens,2021-03-17T13:00:38.000Z,"Welche Alternativen gibt es denn für die Deutschen? 
#Ostsee, #Nordsee #Nordseeinseln #Harz - nein! 
Anstatt nur die sich nach etwas Anderem sehnenden Familien zu verurteilen oder zu gängeln, könnte ja über Öffnungen im eigenen Land nachgedacht werden!The following media includes potentially sensitive content. Change settings
View",,1,2
Jens Kestner,@KestnerJens,2021-03-02T05:37:31.000Z,"Warum bin ich Gedanklich sofort beim Bestseller von George #Orwel?      Farm der Tiere: 
Alle Tiere sind gleich. Aber manche sind gleicher als die anderen.The following media includes potentially sensitive content. Change settings
View",,,4
Dr. Roland Hartwig,@R_Hartwig_AfD,2021-02-28T18:35:45.000Z,"Der #AfD-Bundeskonvent hat gestern den Bundesvorstand aufgefordert, meine Entlassung als Leiter der AG-Verfassungsschutz zu überdenken + ggf. zu korrigieren. Ich freue mich außerordentlich über die Anerkennung und Unterstützung meiner Bemühung um eine einige und geschlossene AfD.Dr. Roland Hartwig",38,103,622
Jens Kestner,@KestnerJens,2021-03-01T06:49:15.000Z,"Berlins Gegenwart ist Deutschlands Zukunft, wenn die Wähler bei der kommenden Bundestagswahl (mit freundlicher Unterstützung durch #ARD und #ZDF) eine parlamentarische Mehrheit Grün-Rot-Dunkelrot ermöglichen sollten.The following media includes potentially sensitive content. Change settings
View",,,2
Jens Kestner,@KestnerJens,2021-02-16T04:46:14.000Z,"Riexinger springt wahltaktisch auf jeden Gaul, ist aber nicht fähig die wahren Probleme zu benennen. Das jedenfalls hat er mit Hofreiter Gemein.
Grün & Rot Hand in Hand für Deutschland‘s Untergang...The following media includes potentially sensitive content. Change settings
View",,1,1
"Sebastian Münzenmaier, MdB",@S_Muenzenmaier,2021-02-11T10:05:37.000Z,"Deutliche Ansagen an Kanzlerin Angela #Merkel bei der #Regierungserklärung zur fatalen #Lockdownverlaengerung der #Bundesregierung. #Panikmache stoppen! #Risikogruppen schützen! #Lockdown beenden! #AfD

TM",40,121,256
