User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Kirsten Kappert-Gonther,@KirstenKappert,2021-05-12T15:34:43.000Z,"Die Gewalt der Terrororganisation Hamas gegen die israelische Zivilbevölkerung muss aufhören. Die Hamas missbraucht auch die eigene palästinensische Bevölkerung, indem sie diese in ihre Gewaltaktionen mit hineinzieht. Für Terror gibt es keine Legitimation. #StandWithIsrael ",,3,13
Kirsten Kappert-Gonther,@KirstenKappert,2021-05-12T12:47:37.000Z,Pflege braucht Zeit. #TagDerPflege #TagDerPflegenden,,,6
Grüne im Bundestag,@GrueneBundestag,2021-05-12T10:17:00.000Z,"Pflegefachpersonal verdient mehr – nicht erst seit Corona!

Gute #Pflege braucht:
 angemessene Personalausstattung
 gute Löhne
 attraktive Arbeitsbedingungen
 bessere Lobby

#TagDerPflege #TagDerPflegendenKatrin Göring-Eckardt and 4 others",17,26,91
Andreas Kappler,@GruenSprecher,2021-05-10T17:26:04.000Z,"#Klimaschutz-Maßnahmen müssen jetzt auch umgesetzt werden. „Sonst sind Klimaziele nur heiße Luft“, sagt ⁦
@ABaerbock
⁩ bei #WasNun im ⁦
@ZDF
⁩",8,30,202
pro familia Bundesverband,@profamilia_bv,2021-05-10T09:35:55.000Z,"#Schwangerschaftsabbruch steht im Strafgesetzbuch bei Mord und Totschlag. So werden ungewollt Schwangere kriminalisiert & stigmatisiert, wenn sie über ihren eigenen Körper entscheiden. Es braucht Unterstützung statt Strafandrohung! #prochoice #wegmit218 #RechtStattVerurteilung",,22,56
Grüne im Bundestag,@GrueneBundestag,2021-05-10T16:00:06.000Z,"Jetzt LIVE 
 Die grausamen „Euthanasie“-Morde und Zwangssterilisationen im Nationalsozialismus sind nach wie vor nicht richtig aufgearbeitet.

Darüber sprechen 
@KirstenKappert
 & 
@Erhard_Grundl
 jetzt mit ihren Gästen. Diskutiert gerne mit.Grüne im Bundestag
@GrueneBundestag
Mörderische Medizin",5,11,26
Kirsten Kappert-Gonther,@KirstenKappert,2021-05-07T11:42:09.000Z,"Es gibt keine Abkürzung auf dem Weg zur gewaltfreien #Geburtshilfe. Der medikamentöse Schwangerschaftsabbruch muss realisierbar sein. 
@Docs4ChoiceVersorgung von Schwangeren gefährdet?
Wegen schwerer Nebenwirkungen wurde der Vertrieb eines Wehenmittels gestoppt, das auch für Abtreibungen verwendet wurde. Doch offenbar fehlen Alternativen.
tagesspiegel.de",1,1,8
IKK e.V.,@ikk_ev,2021-05-07T11:29:23.000Z,"@KirstenKappert
 fordert verbindlichen Gesundheits-Check für politische Entscheidungen, damit Verantwortung für Gesundheit nicht den Einzelnen zugeschoben, sondern als öffentliche Aufgabe wahrgenommen wird. Wir ergänzen „und über Steuern finanziert wird!“„In Deutschland fehlt es an funktionierenden Public-Health-Strukturen“ - Observer Gesundheit
Gesundheit ist kein rein individuelles Geschehen. Vielmehr hängt unsere Gesundheit maßgeblich von unserer Umwelt, unseren Lebensbedingungen ab – also von Faktoren, auf die Menschen häufig nur einen...
observer-gesundheit.de",,1,3
Ulf Jacob,@umweltHB,2021-05-07T10:27:35.000Z,"#Bremen wählt... das „Deichparlament“. Klimasichere #Deiche sind für uns an der #Küste unverzichtbar. Ich kandidiere für die #Deichschutzliste und für einen konsequent #ökologisch ausgerichteten #Hochwasserschutz 
https://deichschutzliste.deBUND Bremen and 6 others",,6,8
Kirsten Kappert-Gonther,@KirstenKappert,2021-05-07T07:26:31.000Z,"Der Zugang zu Impfungen muss jetzt schnell und einfach erfolgen, hier und weltweit: für die globale Produktion müssen die Patente für die Covid-Impfungen freigegeben werden.",1,8,25
Grüne im Bundestag,@GrueneBundestag,2021-05-06T13:47:32.000Z,".
@KirstenKappert
 zu Freiheiten für Corona-Geimpfte und -Genesene:

In Pflegeheimen, wo Bewohner*innen und Pflegekräfte geimpft sind, wird jetzt gemeinsames Essen & Leben wieder möglich.

Die Impfung schützt so nicht nur vor Infektion, sondern auch vor Einsamkeit.",9,9,39
Kirsten Kappert-Gonther,@KirstenKappert,2021-05-06T09:23:44.000Z,Rauchentwöhnung muss endlich Kassenleistung werden. Wir Grüne haben Gesetzentwurf zur Streichung des Verbots vorgelegt. Die Bundesregierung hält bisher am Lifestyle-Paragraphen fest. #absurd #Suchthilfe #tempo,35,36,359
Grüne im Bundestag,@GrueneBundestag,2021-05-06T07:53:34.000Z,"Wir wollen die Arbeitsbedingungen in der Geburtshilfe grundlegend verbessern. So Geburtshilfe – von Anfang an gut versorgt
Wir wollen einen Kulturwandel in der Geburtshilfe. Die Bedürfnisse von Eltern und Kindern müssen im Mittelpunkt der Geburtshilfe stehen. Sie müssen sich auf eine gute Versorgung vor, während und nach...
gruene-bundestag.de",1,3,11
