User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Klaus Mindrup,@KlausMindrup,2021-05-13T09:58:15.000Z,Allen Muslim*innen wünsche ich ein gesegnetes Zuckerfest! #EidMubarak,1,1,8
Anja Ingenbleek,@AnjaIngenbleek,2021-05-12T18:47:36.000Z,"Am Samstag, den 15.5.2021, habt ihr ab 17:30 Uhr die Gelegenheit, mit unserem Kanzlerkandidaten 
@OlafScholz
 und mir ins Gespräch zu kommen. Mit dabei sind auch 
@amtrasnea
 aus Treptow-Köpenick und 
@KlausMindrup
 aus Pankow. Seid dabei unter:  https://facebook.com/events/1459153784259748…",1,9,11
Klaus Mindrup,@KlausMindrup,2021-05-12T18:53:26.000Z,Heute ist #TagderPflege. Eigentlich bräuchten wir diesen Tag 365 Mal im Jahr. #pflege #danke #tariflöhne,,1,5
Klaus Mindrup,@KlausMindrup,2021-05-11T10:07:48.000Z,Auf diesem Wege wünsche ich eine gute Genesung und einen milden Verlauf an Herrn BM #Seehofer!  #COVID19,,,13
Klaus Mindrup,@KlausMindrup,2021-05-08T12:30:32.000Z,"Dafür haben wir als 
@spdbt
 hart und  erfolgreich gekämpft. Ich erwarte, dass #Berlin die notwendigen Schritte - Landesrechtliche Umsetzung und mehr Personal für die Bezirke - zügig umsetzt. #Baulandmobilisierungsgesetz https://t1p.de/nsdu 
@tagesspiegel
 @RegBerlinBaulandmobilisierungsgesetz ist schärfer - und besser - geworden
Der Staat zeigt sich in Sachen Bauen handlungsfähig und -willig. Wenn Marktliberale das jetzt geißeln, verkennen sie eine fatale Entwicklung. Ein Kommentar.
m.tagesspiegel.de",,4,9
_GermanZero,@_GermanZero,2021-05-07T19:28:12.000Z,"Danke an Bettina Hoffmann, 
@KlausMindrup
 @DJanecek
 und 
@StefanGelbhaar
 für die Unterzeichnung des Klimaversprechens! Nur gemeinsam können wir die Klimaneutralität erreichen und das war der erste Schritt
 
#Klimalockdown #Klimaplan #KlimakriseISTjetzt",1,6,18
Klaus Mindrup,@KlausMindrup,2021-05-05T16:14:53.000Z,"Erneuerbare Energien und circular economy sind die Antwort #EarthOvershootDayBundesverband Erneuerbare Energie e.V. (BEE)
@bEEmerkenswert
 · May 5
#ErneuerbareEnergien sichern klimafreundlich, verlässlich, nahezu unbegrenzt und dabei immer kostengünstiger unsere Energieversorgung. Mit enormen THG-Einsparungen tragen sie wesentlich zur Eindämmung des Klimawandels und zur Sicherung unserer Ressourcen bei. #EarthOvershootDay  twitter.com/NATURSTROM_AG/…",,,6
Klaus Mindrup,@KlausMindrup,2021-05-05T13:02:40.000Z,"Jetzt kommt auch in Bayern an: Ohne #Windkraft kein #Klimaschutz und keine Sicherung des Industriestandorts. Meine Prognose: Dauert nicht mehr lange, dann sagen die Bremser aus der CSU, dass sie schon immer für Windkraft waren. 
@Germanwatch
 @bEEmerkenswertBayern: Mindestabstand bei Windrädern könnte fallen
Windräder sollen künftig näher an Wohngebieten gebaut werden können - das will Bayerns Umweltminister Thorsten Glauber.
sueddeutsche.de",,3,10
Klaus Mindrup,@KlausMindrup,2021-05-05T12:51:31.000Z,"Das neue Bundesgesetz hilft Berliner Mieter*innen und ist wegweisend für eine gerechte Miet- und Wohnungspolitik. #Baulandmobilisierungsgesetz #berlin 
@spdberlin
 #spd #mieten #umwandlungSaleh: Neues Bundesgesetz hilft gerade Städten wie Berlin
Berlins SPD-Fraktionschef und Landesvorsitzender Raed Saleh hat ein neues Gesetz gelobt, auf das sich die schwarz-rote Regierungskoalition im Bund geeinigt hat....
sueddeutsche.de",3,3,13
Klaus Mindrup,@KlausMindrup,2021-05-05T11:50:52.000Z,"Hebammen* sind #unersetzbar. Heute ist #InternationalerHebammentag. Ich bin froh, dass es das 
@MajaGeburtshaus
 auch weiter bei uns im Kiez geben wird. #MAJAbleibt Ein Kiez, in dem sich Hebammen nicht mehr leisten können, ansässig zu sein, ist kein lebenswerter Kiez.",,2,7
ENERTRAG,@ENERTRAG,2021-05-05T07:27:58.000Z,"Die #Heidekrautbahn wird mit 100% grünem Wasserstoff von ENERTRAG fahren. Am Montag hat 
@andreasscheuer
 die Fördermittelbescheide an die 
@NEB_Bahn
 und die #KreiswerkeBarnim überreicht. Ein großes Danke auch an 
@joergstb
, Guido #Beermann 
@KlausMindrup
https://kurzelinks.de/enertrag",1,4,14
Klaus Mindrup,@KlausMindrup,2021-05-05T11:03:09.000Z,"Guter Vorschlag, entspricht meiner seit langem geäußerten Analyse. Verschärfung ist erforderlich, um die #Klimaziele der EU einzuhalten. #klimaneutralität  #klimaschutzgesetz 
@Germanwatch
 @kainiebert
 @bEEmerkenswertKlimawandel: Koalition strebt Klimaneutralität vor 2050 an
Nach dem Urteil des Bundesverfassungsgerichts arbeitet die Koalition fieberhaft am Klimaschutzgesetz.
sueddeutsche.de",,1,4
Florian Schmidt,@f_schmidt_BB,2021-05-04T18:45:44.000Z,"Schritt in die richtige Richtung. Danke 
@KlausMindrup
 für den Einsatz. Dennoch: Ein Tsunami an Eigenbedarfskündigungen steht bevor. Aufteilung ist enorm fortgeschritten. Dank an €DU dafür. Und: Umwandlung & Modernisierung weiter möglich. Daher #Vorkauf!!Baulandmobilisierungsgesetz: Mieter werden besser vor Verdrängung geschützt
In vielen Städten ist es ein beliebtes Geschäftsmodell: Mietshäuser kaufen, Bewohner rausekeln und die Wohnungen dann zum Verkauf anbieten. Nun hat die Bundesregierung beschlossen, diese Praxis...
spiegel.de",4,15,38
Klaus Mindrup,@KlausMindrup,2021-05-04T17:19:16.000Z,"#Baulandmobilisierungsgesetz: Die neue Regelung ist ein Meilenenstein! Endlich werden Mieter*innen besser vor #Verdrängung geschützt! 
@BMieterverein
 @200Haeuser
 @spdbt
 @spdberlin
 @dgb_news
 #mieten #umwandlung #berlin #BauGBBaulandmobilisierungsgesetz: Mieter werden besser vor Verdrängung geschützt
In vielen Städten ist es ein beliebtes Geschäftsmodell: Mietshäuser kaufen, Bewohner rausekeln und die Wohnungen dann zum Verkauf anbieten. Nun hat die Bundesregierung beschlossen, diese Praxis...
spiegel.de",7,23,56
Klaus Mindrup,@KlausMindrup,2021-05-04T12:22:04.000Z,"Wir wollen beim #Klimaschutz vorankommen. Dazu müssen wir die #Energiewende ganzheitlich angehen. #Stromerzeugung steigern und dafür Potenzial unserer erneuerbaren Energien nutzen ist die Devise. #renewableenergy 
@spdbt
 @spddeWie klappt’s mit dem Klimaschutz? Energiewende ganzheitlich denken
Wir wollen beim Klimaschutz vorankommen. Dazu müssen wir die Energiewende ganzheitlich angehen. Unsere Stromerzeugung muss deutlich gesteigert werden. Wir br...
youtube.com",,,5
