User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Konstantin Kuhle,@KonstantinKuhle,2021-02-17T16:42:21.000Z,"Was fehlt Euch? Ich habe mir Gedanken darüber gemacht, was ich während der Pandemie vermisse: Begegnungen mit Menschen, Kultur, Sport, Gastronomie, usw. Es ist okay, wenn es uns mit der aktuellen Situation nicht gut geht. Es kommen wieder bessere Zeiten.Was fehlt euch?
Was fehlt Euch zur Zeit? Ich habe mir Gedanken darüber gemacht, was ich während der Pandemie besonders vermisse: Begegnungen mit Menschen, Kultur, Sport, Gas...
youtube.com",45,15,150
FDP,@fdp,2021-05-14T10:22:07.000Z,"Jetzt geht's los: 
@c_lindner
 spricht auf dem #bpt21. Live auf http://fdp.de, http://youtube.com/fdp und http://facebook.com/fdp. 
 #VielZuTunFDP
IMPRESSUM Verantwortlich: Freie Demokratische Partei e.V., Bundesgeschäftsstelle E-Mail: info@fdp.de Telefon: +49 30 28 49 58 - 0 vertreten durch den Bundesgeschäftsführer Michael Zimmermann Reinha...
youtube.com",3,6,20
Tobias Betz,@BetzTobias,2021-05-14T09:32:47.000Z,"Parteitag #FDP: Wegen #Corona v.a. digital. #Kubicki eröffnet kämpferisch: „Wir wollen drittstärkste Kraft werden. Wir wollen aufs Treppchen.“ Liberale haben Schwung in Umfragen. #bpt21 
@BR24
 @ARD_BaB
 
Woher der Schwung? Habe 
@MuenchUrsula
 gefragt.
https://br.de/nachrichten/deutschland-welt/fdp-parteitag-liberale-nicht-mehr-in-der-todeszone,SXHCJZI…",1,4,23
Konstantin Kuhle,@KonstantinKuhle,2021-05-14T09:56:07.000Z,"Im Niedersachsen-Chat geht’s ab #vielzutun #bpt21 
@fdp",1,1,27
Konstantin Kuhle,@KonstantinKuhle,2021-05-14T09:22:20.000Z,Er hat die Kommunalwahl in Niedersachsen erwähnt <3 Wir wollen auch aufs Treppchen ;-) #vielzutun #bpt21,1,4,65
Konstantin Kuhle,@KonstantinKuhle,2021-05-14T09:14:09.000Z,"Guten Morgen, Wolfgang 

#vielzutun #bpt21 
@fdp",3,4,97
Konstantin Kuhle,@KonstantinKuhle,2021-05-14T09:04:14.000Z,"Angesichts der widerlichen Vorfällen in mehreren deutschen Städten hier noch mal mein Video zum Thema Antisemitismus. Die deutsche Vergangenheit ist ein wichtiger Grund, gegen Antisemitismus Stellung zu beziehen – aber sie ist nicht der einzige:Null Toleranz gegenüber Antisemitismus
youtube.com",2,8,47
Matthias Quent,@Matthias_Quent,2021-05-13T15:52:59.000Z,Woher hat die Hamas die ganzen Raketen? Und das Geld dafür? Warum gibt sie das Geld nicht für die Gesundheit und für soziale Zwecke der Palästinenser:innen aus? #IsraelUnderAttack #StandWithIsrael,33,65,595
Konstantin Kuhle,@KonstantinKuhle,2021-05-12T16:26:56.000Z,"Großartige Initiative der #JuLis zum 
@fdp
-Bundesparteitag am Wochenende zum Thema Psychische Gesundheit #vielzutun #mentalhealth
 @jungeliberaleVor Parteitag: FDP-Jugend will Offensive für psychische Gesundheit ins Wahlprogramm bringen
Die Jungen Liberalen fordern unter anderem mehr Therapeutenplätze, mehr Psychotherapie per Videochat und eine Kampagne der BZgA gegen Vorurteile und Tabus.
watson.de",4,16,177
Konstantin Kuhle,@KonstantinKuhle,2021-05-12T07:11:45.000Z,"Following my Report, 
@PACE_Political
 condemns attempts by states to “interfere improperly or illicitly in democratic decision-making processes” in other states by funding political parties or campaigns while asking to preserve the work of NGOs 
@PACE_NewsCommittee sets out road-map for limiting foreign funding of political parties and campaigns
PACE’s Political Affairs Committee has condemned attempts by states to “interfere improperly or illicitly in democratic decision-making processes” in other states by funding political parties or...
pace.coe.int",,5,11
