User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Alexander Lambsdorff,@Lambsdorff,2018-05-16T17:19:02.000Z,"BREAKING NEWS: Breaking News is bullshit. Slow down, read books and longer articles. I was better informed when I got two day late Herald Tribunes when overseas.
Kudos to 
@john_sipher",46,52,465
Alexander Lambsdorff,@Lambsdorff,2021-05-13T09:07:24.000Z,"Hallo, liebe 
@SerapGueler
, was denkst Du? Das Programm der 
@CDU
 beruht auf dem christlichen Menschenbild, ja, ok, aber fällt die Verbreitung des Markus-#Evangelium s über Parteiaccounts noch unter Art. 21 #Grundgesetz (""politische Willensbildung"")?
Oh, und #EidMubarak
  CDU Deutschlands
@CDU
 · May 13
„Nachdem Jesus, der Herr, dies zu ihnen gesagt hatte, wurde er in den Himmel aufgenommen und setzte sich zur Rechten Gottes. Sie aber zogen aus und verkündeten überall. Der Herr stand ihnen bei und bekräftigte das Wort durch die Zeichen, die es begleiteten.“ Mk 16,19f.
Show this thread",12,4,38
Alexander Lambsdorff,@Lambsdorff,2021-05-12T07:53:05.000Z,"Ich freue mich total darauf, gleich ab 10 Uhr bei SWR1 Leute (eine ganz wunderbare Sendung) mit Nadine Köster live über die „Elefanten“ 
 zu reden. Und über vieles andere mehr, lassne wir uns überraschen… 
⁦
@SWRpresse
⁩ #SWR1Leute #SWR ⁦
@Ullstein
⁩",2,5,14
Alexander Lambsdorff,@Lambsdorff,2021-05-12T07:28:49.000Z,"Nee, ne? 
Ich liebe mein #Bonn , aber das ist eine erstaunliche Schlagzeile im ⁦
@gabonn
⁩. Ich jedenfalls freue mich, wenn es wieder lebhaft und, ja, am Anfang auch ein bisschen lauter wird, wenn die #Ausgangssperre (und vor allem #Corona insgesamt) endlich vorbei ist ",14,7,138
Alexander Lambsdorff,@Lambsdorff,2021-05-12T07:00:25.000Z,"Jetzt gleich geht es um #Israel im Tagesgespräch bei ⁦
@phoenix_de
⁩. Um 9:03 Love, gerne einschalten 
 #Nahost #IsraelunterBeschuss ⁦
@fdpbt
⁩",4,2,53
Alexander Lambsdorff,@Lambsdorff,2021-05-12T06:57:13.000Z,"Schön, wenn einen bei der ⁦
@ARDde
⁩ morgens vertraute Gesichter begrüßen 
 #MordmitAussicht #BjarneMädel",3,,15
Alexander Lambsdorff,@Lambsdorff,2021-05-09T10:58:13.000Z,"#Europatag und #Muttertag am selben Sonntag - eine glückliche Fügung, denn auch #Europa war #Mutter: Die älteste europäische Hochkultur, die ""Minoische"" auf #Kreta, wurde von ihrem Sohn #Minos begründet. 
Alles Gute zum Europatag! ...der so gesehen immer ein Muttertag ist Tu was für Europa and 3 others",1,4,24
Alexander Lambsdorff,@Lambsdorff,2021-05-09T10:36:45.000Z,"Was für ein anrührender Tweet. #MuttertagJasmin Schreiber
@LaVieVagabonde
 · May 9
Ich wünsche heute allen unfreiwillig Kinderlosen, euch allen, deren Kinder gestorben sind, euch, die vielleicht keine Schwangerschaft halten konnten, obwohl sie es sich so sehr gewünscht hatten, dass ihr gut durch diesen Tag kommt. 
#Muttertag
Show this thread",2,,59
Alexander Lambsdorff,@Lambsdorff,2021-05-08T13:58:05.000Z,"Hallo, 
@CDU
, habt Ihr vielleicht noch einen #Bundestagswahlkreis in Nord-#Thüringen zu vergeben? Ich wüsste da vielleicht jemanden, der Zeit hat…  
 #Palmer #Aogo <i/off>DER SPIEGEL
@derspiegel
 · May 8
Boris #Palmer hat viele Male mit populistischen Kommentaren Empörung ausgelöst. Jetzt reicht es den Grünen in Baden-Württemberg: Sie leiten ein Parteiausschlussverfahren gegen den Tübinger Oberbürgermeister ein. https://spiegel.de/politik/deutschland/boris-palmer-gruene-leiten-parteiausschlussverfahren-ein-a-f6cbd6c2-d755-48eb-9063-0e7d84511f91…",8,3,35
Alexander Lambsdorff,@Lambsdorff,2021-05-06T21:46:01.000Z,"Eben leider 
@DLF
 als Karikatur der #ÖRR-Gegner: politisch einseitige Fragen einer Moderatorin an einen #CDU-MdB, den sie vermittels derer eher ideologisch desavouieren als kritisch befragen wollte. („ALLE Wissenschaftler sehen das anders“ & „Sie meinen also wirklich, dass…“ etc)",21,10,209
