User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Burkhard Lischka,@LischkaB,2021-05-14T06:00:57.000Z,Ich mache gerne den Wahl O Maten.... Habe aber noch nie so viele unsinnige und sinnfreie Fragen beantwortet wie diesmal zur Landtagswahl in Sachsen-Anhalt. Den „Normalbürger“ wird das ziemlich ratlos zurücklassen.,5,1,15
Ralf Stegner,@Ralf_Stegner,2021-05-06T06:29:02.000Z,"Heute Morgen war der grüne Virologe Robert Habeck im Deutschlandfunk zu hören mit interessanten Einschätzungen zur Impfstrategie und Impfungen von anderen und sich selbst….
Bei uns macht das 
@Karl_Lauterbach
 ",207,41,200
SPD Sachsen-Anhalt,@SPD_LSA,2021-05-03T16:34:42.000Z,"Das Verfassungsgericht hat der #AfD heute ins Stammbuch geschrieben: Briefwahl ist demokratische Wahl.

Das ist in unserem Video auch die Botschaft von jemandem, der erlebt hat, wie ein Leben ohne demokratische Wahlen aussieht. Willi Polte, Du hast das Wort:",1,12,31
DER SPIEGEL,@derspiegel,2021-05-02T09:23:02.000Z,"Der gebürtige Südthüringer und Biathlon-Olympiasieger Frank Ullrich geht im Wahlkreis 196 für die SPD ins Rennen - und will nun Hans-Georg #Maaßen schlagen. Wie er das schaffen will, erklärt er hier (S+)SPD-Kandidat in Thüringen: Herr Ullrich, wie wollen Sie Hans-Georg Maaßen schlagen?
Im Wahlkreis 196 in Thüringen hofft die SPD, der CDU das Bundestagsmandat abzuringen. Ins Rennen schicken die Sozialdemokraten den gebürtigen Südthüringer und Olympiasieger Frank Ullrich. Hier...
spiegel.de",26,106,556
Karl Lauterbach,@Karl_Lauterbach,2021-05-01T21:51:57.000Z,"Diese Zahlen zeigen, wie stark der Impfeffekt wird, wenn 50 % der Bevölkerung eine erste Dosis bekommen haben. Ende Mai wird dies für uns bedeuten, dass die Fallzahlen deutlich unter 50 fallen. Wir sind jetzt in der letzten Runde auf der Schlussgeraden. Der Sommer wird gut werdenEric Topol
@EricTopol
 · May 1
What may we expect from vaccination of 10-15% more of the US population?
7-day averages compared with UK and Israel shows a 5-15X difference in outcomes
Show this thread",917,2.1K,15.9K
SPD Thüringen,@SPDThueringen,2021-04-30T18:07:23.000Z,Mit der Nominierung von Hans-Georg Maaßen fischt die #CDU am rechten Rand. Wir schicken die ostdeutsche Sportlegende Frank Ullrich gegen #Maaßen ins Rennen und überlassen ihm nicht den Wahlkreis. Ihr könnt uns dabei unterstützen: https://spd-thueringen.de/unterstuetzen/,213,364,1.5K
Karl Lauterbach,@Karl_Lauterbach,2021-04-24T11:48:45.000Z,"Ich habe gestern noch ⁦
@JanJosefLiefers
⁩ vor Hass verteidigt. Aber seine Inhalte sind fern jeder Realität. Die vielen Lockdowns haben halt zehntausenden das Leben gerettet. Daher machen wir das. Und erklären es jeden Tag. Nicht nur „die Regierung“. Man nennt es Wissenschaft",1.4K,1.7K,16.3K
Burkhard Lischka,@LischkaB,2021-04-24T06:49:03.000Z,"Das ist Emil. Geboren in Ostfriesland. Aber eigentlich egal. Er fühlt sich im Osten sehr wohl. Weil es ist egal wo man herkommt. Nur Euer Plakat, liebe 
@Eva0112
 , 
@LinksfraktionSt
 findet er ziemlich DOOF . Wuff.Wuff.",1,4,26
Burkhard Lischka,@LischkaB,2021-04-24T06:34:56.000Z,"So mit das bekloppteste Plakat, das ich je gesehen habe. Wer ist gemeint? Bodo Ramelow? Wer ist der Hund? Wer das Mädchen? Die Not muss sehr, sehr groß sein, bei der Linken.",13,6,54
Florian Gathmann,@FlorianGathmann,2021-04-18T21:24:12.000Z,Ausgerechnet am Tag des Corona-Totengedenkens und dann noch als Vorsitzende von CDU und CSU so ein Affentheater zu veranstalten - dafür sollten sich Armin Laschet und Markus Söder wirklich schämen,43,111,1.6K
Kristin Joachim,@KristinJoachim,2021-04-16T14:35:24.000Z,"Irritierende Pressestrategie der #gruene|n für die Auflösung der #KFrage am Montag: es wird keine Möglichkeit geben, der „Nummer 2“ eine Frage zu stellen. #habeck #Baerbock",4,14,52
