User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
linksfraktion,@Linksfraktion,2021-05-12T12:30:30.000Z,"#Steuererhöhungen kommen - nur für wen? 
@LoetzschMdB
 fordert angesichts der aktuellen #Steuerschätzung alle #Parteien auf zu erklären, welche Steuern sie erhöhen wollen. DIE #LINKE will große #Vermögen gerecht besteuern und die #Schuldenbremse streichen.Gesine Lötzsch, DIE LINKE: Steuererhöhungen kommen - nur für wen?
""Schon vor der Steuerschätzung war klar, dass Steuererhöhungen nach der Bundestagswahl kommen werden“, sagt Gesine Lötzsch mit Blick auf die aktuelle Steuers...
youtube.com",3,7,28
Stefanie Wagner-Boysen,@BoysenWagner,2021-05-12T15:23:22.000Z,"Am heutigen #tagderpflege demonstrieren wir gemeinsam für einen TVöD in den Krankenhäusern, für eine Anpassung des Pflegeschlüssels und einen Schlussstrich für Profite auf Kosten unserer Gesundheit
@PetraPauMaHe
 @LoetzschMdB
 @Rathaus_Keller
 @pascalmeiser
 @SeeroiberJenny",,7,25
Maximilian Schirmer,@MaxMenkenke,2021-05-12T15:40:25.000Z,"Zum #TagDerPflegenden #TagDerPflege auf dem Alex, für bessere Löhne, mehr Personal und gute Ausbildungsqualität. Was die Situation des Personals in den Krankenhäusern verbessert, verbessert die Situation für die Patient*innen und das sind wir alle! #Berlin #Pflege #mehralsapplausMartin Neise and 9 others",1,5,26
DIE LINKE. Berlin,@dielinkeberlin,2021-05-12T14:26:22.000Z,"""Wenn ihr uns als Personal halten wollt, dann zeigt uns das!"" Schallt es von der Bühne! Das Ultimatum steht: 100 Tage, die Zeit läuft ab. #TagDerPflege #mehralsapplaus #b1205 #BerlinGesine Lötzsch and Petra Pau",2,6,17
DIE LINKE. Berlin,@dielinkeberlin,2021-05-12T14:14:02.000Z,"Natürlich stehen wir an der Seite der Beschäftigten. Im Krankenhaus betreut eine Pflegekraft bis zu 30 Personen, in der ambulanten Pflege ist die Zeit der Taktgeber für die Arbeit mit den Menschen.
#TagDerPflege #mehralsapplaus #b1205 #BerlinAnne Helm and 8 others",1,5,18
Jacobin Magazin,@jacobinmag_de,2021-05-12T10:50:41.000Z,"Linke Politik sollte sich nicht von Trends und Umfragen leiten lassen. Worüber wir wirklich sprechen sollten, erfahren wir direkt in unseren Bezirken, meint 
@LoetzschMdB
.Ideale brauchen Pragmatismus
Linke Politik sollte sich nicht von Trends und Umfragen leiten lassen. Worüber wir wirklich sprechen sollten, erfahren wir direkt in unseren Bezirken, meint Gesine Lötzsch.
jacobin.de",,4,18
linksfraktion,@Linksfraktion,2021-05-10T07:46:13.000Z,"Laut Bundesregierung stirbt jeder Fünfte vor dem 69. Lebensjahr. Wirtschaftsinstitute schlagen vor, das Renteneintrittsalter von 67 auf 69 anzuheben. Sabine Zimmerman fordert eine Rückkehr zur Rente mit 65 & leichteren Zugang zur Erwerbsminderungsrente. https://linksfraktion.de/themen/nachrichten/detail/jeder-fuenfte-stirbt-vor-dem-69-lebensjahr/…",44,103,505
Gesine Lötzsch,@LoetzschMdB,2021-05-10T07:22:16.000Z,"Meine Statement gegen Selbstbedienung:Aktion Abendsonne: Auffällige Stellenvermehrung in BerlinAktion Abendsonne: Auffällige Stellenvermehrung in Berlin
Vor dem möglichen Regierungs-Aus hat bei den Ministerien eine auffällige Vermehrung von gut bezahlten Jobs eingesetzt. Vertraute werden mit üppig fließenden Besoldungen abgesichert. Warum die...
ga.de",,5,16
Gesine Lötzsch,@LoetzschMdB,2021-05-10T06:25:48.000Z,"Lesen gegen das Vergessen: live und online:Gesicht zeigenGesicht zeigen
Wie Siegfried Wein an die NS-Bücherverbrennung erinnert
neues-deutschland.de",,3,7
rls_history,@rls_history,2021-05-10T04:48:23.000Z,"Heute: Lesung zum Tag der #Bücherverbrennung. Was ursprünglich und traditionell schon auf dem Berliner Bebel-Platz stattfinden sollte, wird digital ausgestrahlt.rls_history
@rls_history
 · May 9
Herzliche Einladung zum ""Lesen gegen das Vergessen"", am 10. Mai, mit Carolin Haupt, @klauslederer, @LoetzschMdB, Luise Meier, Susan Neimann, @PetraPauMaHe, Oliver Runert (@fcunion), Ingo Schulze, Holger Teschke, Douglas Vistel, Lina Wendel. https://rosalux.de/veranstaltung/es_detail/4JKG2/…",,4,11
Dietmar Bartsch,@DietmarBartsch,2021-05-09T18:17:40.000Z,"Herzlichen Glückwunsch, lieber Frank Nieswandt (DIE LINKE)
Friedlands neuer Bürgermeister. Freu mich! ⁦
@DIE_LINKE_MV
⁩Frank Nieswandt ist Friedlands neuer Bürgermeister
Der neue Bürgermeister Friedlands steht fest. Frank Nieswandt setzte sich bei der Stichwahl mit rund 53 Prozent gegen den Kontrahenten Matthias Noack durch.
nordkurier.de",3,3,62
Karlen Vesper,@Karlen73432305,2021-05-09T12:49:28.000Z,"Vor 100 Jahren, am 9. Mai 1921, wurde #SophieScholl geboren. Entgegen Mainstreammeinung, dass in der #DDR nur des kommunistischen Widerstands gedacht wurde: Die Geschwister Scholl kannten schon Schulkinder, die DDR-Post gab eine Briefmarke mit deren Konterfeis heraus. 
@ndaktuell",,8,13
Gregor Gysi,@GregorGysi,2021-05-09T10:04:03.000Z,Russland feiert den 9. Mai als #TagdesSieges. Am 22. Juni jährt sich der Überfall Deutschlands auf die Sowjetunion zum 80. Mal. Es wird zu diesem Jahrestag in Deutschland kein offizielles Gedenken geben. Diese einseitige Geschichtsvergessenheit der Bundesregierung ist beschämend.,96,136,893
rls_history,@rls_history,2021-05-09T12:14:00.000Z,"Herzliche Einladung zum ""Lesen gegen das Vergessen"", am 10. Mai, mit Carolin Haupt, 
@klauslederer
, 
@LoetzschMdB
, Luise Meier, Susan Neimann, 
@PetraPauMaHe
, Oliver Runert (
@fcunion
), Ingo Schulze, Holger Teschke, Douglas Vistel, Lina Wendel.Lesen gegen das Vergessen - Rosa-Luxemburg-Stiftung
Lesung erinnert an die Bücherverbrennungen der Nazis
rosalux.de",,11,19
rls_history,@rls_history,2021-05-09T06:12:00.000Z,"Gestern noch feierten wir den #TagderBefreiung, vergessen darüber heute aber nicht #SophieScholl. Am 22. Juli 1942 wurde sie ermordet. #AndiesemTag würde ihr 100. Geburtstag sein.",,12,41
Gesine Lötzsch,@LoetzschMdB,2021-05-08T05:27:13.000Z,Glückwunsch an die #Eisbären!,,,
Eisbären Berlin,@Eisbaeren_B,2021-05-07T21:22:12.000Z,#NeuesProfilbild,30,80,580
Gesine Lötzsch,@LoetzschMdB,2021-05-08T04:04:51.000Z,"08.05.2021: Wer nicht feiert, hat verloren (Tageszeitung junge Welt)Wer nicht feiert, hat verloren
Bundestag macht Jahrestag der Befreiung Deutschlands vom Faschismus weiterhin nicht zum Feiertag. Viele Gedenkveranstaltungen im Bundesgebiet
jungewelt.de",2,1,14
Gesine Lötzsch,@LoetzschMdB,2021-05-08T04:03:38.000Z,"08.05.2021: Der Staat gegen junge Welt (Tageszeitung junge Welt)Der Staat gegen junge Welt
Fensterreden von Regierungspolitikern für die Pressefreiheit. Unterdessen versucht die Regierung dieser Zeitung den Garaus zu machen
jungewelt.de",1,6,21
DIE LINKE. Berlin,@dielinkeberlin,2021-05-07T13:16:00.000Z,"Morgen ist #8Mai #8Mai2021 #tagderbefreiung!

Alle Gedenkkundgebungen, Ehrungen und Kranzniedelegungen findet ihr hier auf einen Blick:
https://dielinke.berlin/befreiung/

#niewiederfaschismus #niewiederkrieg #niewieder #b0805 #DIELINKE #DIELINKEBerlin #Berlin #BerlinbesserohneNazis",4,9,19
Gesine Lötzsch,@LoetzschMdB,2021-05-07T09:37:04.000Z,"Bericht über meine Anfrage im Bundestag. Ich bleibe dran! So verschonen die Finanzämter Deutschlands MillionäreSo verschonen die Finanzämter Deutschlands Millionäre
Exklusive Zahlen zeigen: Die Zahl der Wohlhabenden in Berlin und Deutschland steigt. Die Zahl der Steuerprüfungen sinkt. Die Linke sieht darin Arbeitsverweigerung.
berliner-kurier.de",5,18,36
